Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Circuit","Number of Positions","Switch Function","Contact Timing","Current Rating (Amps)","Voltage Rating - AC","Voltage Rating - DC","Actuator Type","Key Removable Positions","Angle of Throw","Contact Material","Contact Finish","Mounting Type","Termination Style","Panel Cutout Dimensions","Features","Operating Temperature"
http://spec_sheets.e-switch.com/specs/K100302.pdf,//media.digikey.com/Photos/E-Switch%20Photos/KO106A102.jpg,EG2625-ND,KO106A102,E-Switch,SWITCH KEYLOCK 2POS SPST 1A 125V,555,0,"3.46000","0","1","KO","Active","SPST","2","Off-On","Not Specified","1A (AC)","125V","-","Tubular Key","All","90°","Copper Alloy","Silver","Panel Mount","Solder Lug","Circular - 12.00mm Dia","-","-"
http://spec_sheets.e-switch.com/specs/K100204.pdf,"//media.digikey.com/photos/E-Switch%20Photos/KO103D,%20KO103C.jpg",EG2623-ND,KO103C701,E-Switch,SWITCH KEYLOCK 2POS SPDT 1A 125V,566,0,"5.71000","0","1","KO","Active","SPDT","2","On-On","Not Specified","1A (AC)","125V","-","Tubular Key","1 only","90°","Copper Alloy","Silver","Panel Mount","Solder Lug","Circular - 12.00mm Dia","-","-"
https://www.ckswitches.com/media/1381/y.pdf,//media.digikey.com/Photos/CK%20Comp%20Photos/Y101132C203NQ.jpg,CKN11517-ND,Y101132C203NQ,C&K,SWITCH KEYLOCK 2POS SPDT 4A 125V,1354,0,"11.71000","0","1","Y","Active","SPDT","2","On-On","Not Specified","4A (AC/DC)","125V","28V","Flat Key","1 only","90°","Copper","Silver","Panel Mount","Solder Lug","Circular - 19.30mm Dia","-","-"
https://www.ckswitches.com/media/1381/y.pdf,//media.digikey.com/photos/CK%20Comp%20Photos/Y1011U2C203NQ.jpg,CKC8000-ND,Y1011U2C203NQ,C&K,SWITCH KEY 2POS SPDT 4A 125V 4PC,856,0,"11.75000","0","1","Y","Active","SPDT","2","On-On","Not Specified","4A (AC/DC)","125V","28V","Flat Key","All","90°","Copper","Silver","Panel Mount","Solder Lug","Circular - 19.30mm Dia","-","-"
https://www.e-switch.com/system/asset/product_line/data_sheet/20/KO.pdf,//media.digikey.com/Photos/E-Switch%20Photos/KO129E.jpg,EG2630-ND,KO129E,E-Switch,SWITCH KEYLOCK 2POS SPDT 4A 125V,848,0,"13.01000","0","1","KO","Active","SPDT","2","On-Mom","Not Specified","4A (AC)","125V","-","Flat Key","3 only","45°","Copper Alloy","Silver","Panel Mount","Solder Lug","Circular - 19.00mm Dia","-","-"
http://www.nkkswitches.com/pdf/SK_12mmBushingMount.pdf,//media.digikey.com/Photos/NKK%20Switches%20Photos/SK12AAW01.jpg,360-1936-ND,SK12BAW01,NKK Switches,SWITCH KEYLOCK 2POS SPDT 3A 125V,1977,2446,"13.06000","0","1","SK","Active","SPDT","2","On-On","Non-Shorting (BBM)","3A (AC)","125V","-","Flat Key","1 only","90°","Silver (Ag)","-","Panel Mount","Solder Lug","Circular - 12.00mm Dia","Epoxy Sealed Terminals","-25°C ~ 70°C"
http://www.nkkswitches.com/pdf/SK_PCBmountMiniature.pdf,//media.digikey.com/Photos/NKK%20Switches%20Photos/MFG_SK12BG13-RO.jpg,SK12BG13-ND,SK12BG13,NKK Switches,SWITCH KEYLK 2POS SPDT 0.4VA 28V,1150,907,"13.40000","0","1","SK","Active","SPDT","2","On-On","Non-Shorting (BBM)","0.4VA (AC/DC)","28V","28V","Flat Key","1 only","90°","Beryllium Copper","Gold","Through Hole","PC Pin","-","Process Sealed","-25°C ~ 70°C"
https://www.ckswitches.com/media/1383/ym.pdf,//media.digikey.com/photos/CK%20Comp%20Photos/YM06132C205NQ.JPG,CKC8010-ND,YM06132C205NQ,C&K,SWITCH KEYLOCK 2POS SPST 4A 125V,965,0,"13.48000","0","1","YM","Active","SPST","2","Off-On","Not Specified","4A (AC/DC)","125V","28V","Flat Key","1 only","90°","Copper","Silver","Panel Mount","Quick Connect - 0.110"" (2.8mm)","Circular - 11.99mm Dia","-","-"
https://www.ckswitches.com/media/1381/y.pdf,//media.digikey.com/photos/CK%20Comp%20Photos/Y108122A203NQ.jpg,CKN11514-ND,Y108122A203NQ,C&K,SWITCH KEYLOCK 2POS SPDT 4A 125V,1185,0,"13.54000","0","1","Y","Active","SPDT","2","On-Mom","Not Specified","4A (AC/DC)","125V","28V","Flat Key","1 only","45°","Copper","Silver","Panel Mount","Solder Lug","Circular - 19.30mm Dia","-","-"
http://www.nkkswitches.com/pdf/CKM_CKL.pdf,//media.digikey.com/Photos/NKK%20Switches%20Photos/CKM12BFW01-001.jpg,360-3204-ND,CKM12BFW01-001,NKK Switches,SWITCH KEYLOCK 2POS SPDT 3A 250V,1749,2326,"13.60000","0","1","CK","Active","SPDT","2","On-On","Non-Shorting (BBM)","3A (AC)","250V","-","Flat Key","1 only","90°","Silver (Ag)","Silver","Panel Mount","Solder Lug","Circular - 16.00mm Dia","Epoxy Sealed Terminals","-25°C ~ 70°C"
