Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Circuit","Switch Function","Current Rating (Amps)","Voltage Rating - AC","Voltage Rating - DC","Maximum Cable Length","Features","Operating Force","Ingress Protection","Operating Temperature"
https://industrial.omron.us/en/media/ER6022_datasheet_en_201404_C57I-E-01_tcm849-108893.pdf,//media.digikey.com/photos/Omron%20Auto/44506-5220.jpg,Z3870-ND,ER6022-021NE,Omron Automation and Safety,SWITCH LIMIT 2NC 1NO 6A 120V,3,0,"279.18000","0","1","ER6022","Active","3PST-2NC/1NO","On-Off, Off-On","6A (AC), 2.5A (DC)","120V","24V","-","Push Button Emergency Stop Switch","-","IP67 - Dust Tight, Waterproof","-25°C ~ 80°C"
https://industrial.omron.us/en/media/ER5018_datasheet_en_201503_C56I-E-01_tcm849-108892.pdf,//media.digikey.com/photos/Omron%20Auto/44506-4120.jpg,Z3867-ND,ER5018-021NE,Omron Automation and Safety,SWITCH LIMIT 2NC 1NO 6A 120V,2,0,"219.78000","0","1","ER5018","Active","3PST-2NC/1NO","On-Off, Off-On","6A (AC), 2.5A (DC)","120V","24V","-","Push Button Emergency Stop Switch","-","IP67 - Dust Tight, Waterproof","-25°C ~ 80°C"
http://sensing.honeywell.com/honeywell-sensing-cps-series-product-sheet-004785-2-en.pdf,//media.digikey.com/Photos/Honeywell%20Photos/1CPSA1A.jpg,480-4041-ND,1CPSA1A,Honeywell Sensing and Productivity Solutions,SWITCH SNAP ACTION DPST 10A 600V,8,0,"303.51000","0","1","CPS","Active","DPST-NO/NC","On-Off, Off-On","10A (AC/DC)","600V","250V","-","Lighted Indicator","-","IP67 - Dust Tight, Waterproof","-40°C ~ 80°C"
http://sensing.honeywell.com/honeywell-sensing-cps-series-product-sheet-004785-2-en.pdf,//media.digikey.com/photos/Honeywell%20Photos/1CPSA2.jpg,480-3763-ND,1CPSA2,Honeywell Sensing and Productivity Solutions,SWITCH SNAP ACTION 4PST 10A 600V,10,0,"309.89000","0","1","CPS","Active","4PST-2NO/2NC","On-Off, Off-On","10A (AC/DC)","600V","250V","-","-","-","IP67 - Dust Tight, Waterproof","-40°C ~ 80°C"
https://industrial.omron.us/en/media/ER1022_datasheet_en_201503_C59I-E-01_tcm849-108891.pdf,//media.digikey.com/photos/Omron%20Auto/44506-6420.JPG,Z5962-ND,ER1022-042NELL,Omron Automation and Safety,SWITCH LIMIT 4NC 2NO 6A 120V,4,0,"374.22000","0","1","ER1022","Active","6PST-4NC/2NO","On-Off, Off-On","6A (AC), 2.5A (DC)","120V","24V","-","Push Button Emergency Stop Switch","-","IP67 - Dust Tight, Waterproof","-25°C ~ 80°C"
https://industrial.omron.us/en/media/ER1022_datasheet_en_201503_C59I-E-01_tcm849-108891.pdf,//media.digikey.com/photos/Omron%20Auto/44506-6520.JPG,Z5963-ND,ER1022-042NELR,Omron Automation and Safety,SWITCH LIMIT 4NC 2NO 6A 120V,4,0,"374.22000","0","1","ER1022","Active","6PST-4NC/2NO","On-Off, Off-On","6A (AC), 2.5A (DC)","120V","24V","-","Push Button Emergency Stop Switch","-","IP67 - Dust Tight, Waterproof","-25°C ~ 80°C"
https://industrial.omron.us/en/media/ER1032_datasheet_en_201503_C62I-E-01_tcm849-110997.pdf,//media.digikey.com/Photos/Omron%20Auto/44506-7420.jpg,Z3873-ND,ER1032-042NEL,Omron Automation and Safety,SWITCH LIMIT 4NC 2NO 6A 120V,4,0,"576.18000","0","1","ER1032","Active","6PST-4NC/2NO","On-Off, Off-On","6A (AC), 2.5A (DC)","120V","24V","-","Push Button Emergency Stop Switch","-","IP67 - Dust Tight, Waterproof","-25°C ~ 80°C"
https://industrial.omron.us/en/media/ER6022_datasheet_en_201404_C57I-E-01_tcm849-108893.pdf,//media.digikey.com/photos/Omron%20Auto/44506-5020.jpg,Z3869-ND,ER6022-021N,Omron Automation and Safety,SWITCH LIMIT 2NC 1NO 6A 120V,2,0,"255.42000","0","1","ER6022","Active","3PST-2NC/1NO","On-Off, Off-On","6A (AC), 2.5A (DC)","120V","24V","-","-","-","IP67 - Dust Tight, Waterproof","-25°C ~ 80°C"
https://industrial.omron.us/en/media/ER6022_datasheet_en_201404_C57I-E-01_tcm849-108893.pdf,//media.digikey.com/Photos/Omron%20Auto/44506-5480.jpg,Z3872-ND,ER6022-022NEL,Omron Automation and Safety,SWITCH LIMIT 2NC 2NO 6A 120V,2,0,"308.88000","0","1","ER6022","Active","4PST-2NO/2NC","On-Off, Off-On","6A (AC), 2.5A (DC)","120V","24V","-","Push Button Emergency Stop Switch, Status Indicator","-","IP67 - Dust Tight, Waterproof","-25°C ~ 80°C"
https://industrial.omron.us/en/media/ER6022_datasheet_en_201404_C57I-E-01_tcm849-108893.pdf,//media.digikey.com/Photos/Omron%20Auto/44506-5420.jpg,Z3871-ND,ER6022-021NEL,Omron Automation and Safety,SWITCH LIMIT 2NC 1NO 6A 120V,2,0,"368.28000","0","1","ER6022","Active","3PST-2NC/1NO","On-Off, Off-On","6A (AC), 2.5A (DC)","120V","24V","-","Push Button Emergency Stop Switch, Status Indicator","-","IP67 - Dust Tight, Waterproof","-25°C ~ 80°C"
http://sensing.honeywell.com/honeywell-sensing-cps-series-product-sheet-004785-2-en.pdf,//media.digikey.com/Photos/Honeywell%20Photos/2CPSA1A1A_primary.jpg,480-6734-ND,2CPSA1A1A,Honeywell Sensing and Productivity Solutions,SWITCH SNAP ACT 4PST 50MA 250V,10,0,"601.74000","0","1","CPS","Active","4PST-2NO/2NC","On-Off, Off-On","50mA (AC/DC)","250V","60V","-","Lighted Indicator","-","IP67 - Dust Tight, Waterproof","-40°C ~ 80°C"
http://www.altechcorp.com/bernstein/SubPages/Safety_Splits/Safety0107-115.pdf,-,1920-1220-ND,601.2831.023,Altech Corporation,SWITCH CABLE PULL 1 NO/1 NC 10A,5,4,"198.10000","0","1","SIEM","Active","DPST-NO/NC","On-Off, Off-On","10A (AC)","240V","-","-","-","-","IP65 - Dust Tight, Water Resistant","-30°C ~ 80°C"
https://industrial.omron.us/en/media/ER5018_datasheet_en_201503_C56I-E-01_tcm849-108892.pdf,//media.digikey.com/Photos/Omron%20Auto/ER5018-021M.jpg,Z12610-ND,ER5018-021M,Omron Automation and Safety,"ER5018-021M, 2N/C+1N/O, M20",3,0,"201.96000","0","1","ER5018","Active","-","-","-","-","-","-","-","-","-","-"
https://www.steute.com/en/automation/products/pull-wire-switches/zs-71/zs-71-1oe1s-55-n.pdf,//media.digikey.com/Photos/Steute-Wireless-Photos/MFG_STE-1048069ZS71.jpg,1743-1094-ND,STE-1048069ZS71,Steute,STEUTE PULL-WIRE SWITCH,5,0,"203.21000","0","1","ZS71","Active","DPST-NO/NC","On-Mom, Off-Mom","6A (AC)","400V","-","5m","-","5608gf","IP65 - Dust Tight, Water Resistant","-25°C ~ 70°C"
https://www.steute.com/en/automation/products/pull-wire-switches/zs-71/zs-71-2oe-55-n.pdf,//media.digikey.com/Photos/Steute-Wireless-Photos/MFG_STE-1048098ZS71.jpg,1743-1096-ND,STE-1048098ZS71,Steute,STEUTE PULL-WIRE SWITCH,5,0,"203.21000","0","1","ZS71","Active","DPST-NC","On-Mom","6A (AC)","400V","-","5m","-","5608gf","IP65 - Dust Tight, Water Resistant","-25°C ~ 70°C"
https://www.steute.com/en/automation/products/pull-wire-switches/zs-71-z/zs-71-z-1oe1s.pdf,//media.digikey.com/Photos/Steute-Wireless-Photos/MFG_STE-1179743ZS71.jpg,1743-1099-ND,STE-1179743ZS71,Steute,STEUTE PULL-WIRE SWITCH,5,0,"203.21000","0","1","ZS71","Active","DPST-NO/NC","On-Mom, Off-Mom","6A (AC)","400V","-","-","-","10197gf","IP65 - Dust Tight, Water Resistant","-25°C ~ 70°C"
https://www.steute.com/en/automation/products/pull-wire-switches/zs-71/zs-71-1oe1s-w-200-n.pdf,//media.digikey.com/Photos/Steute-Wireless-Photos/MFG_STE-1048093ZS71.jpg,1743-1095-ND,STE-1048093ZS71,Steute,STEUTE PULL-WIRE SWITCH,5,0,"204.18000","0","1","ZS71","Active","DPST-NO/NC","On-Mom, Off-Mom","6A (AC)","400V","-","20m","-","20394gf","IP65 - Dust Tight, Water Resistant","-25°C ~ 70°C"
https://www.steute.com/en/automation/products/pull-wire-switches/zs-71/zs-71-2oe-w-200-n.pdf,//media.digikey.com/Photos/Steute-Wireless-Photos/MFG_STE-1048116ZS71.jpg,1743-1097-ND,STE-1048116ZS71,Steute,STEUTE PULL-WIRE SWITCH,5,0,"204.18000","0","1","ZS71","Active","DPST-NC","On-Mom","6A (AC)","400V","-","20m","-","20394gf","IP65 - Dust Tight, Water Resistant","-25°C ~ 70°C"
https://cdn.sick.com/media/pdf/7/87/587/dataSheet_i110-RP313_6025076_en.pdf,//media.digikey.com/Photos/Sick%20Photos/MFG_602507x.jpg,1882-1156-ND,I110-RP313,"SICK, Inc.",SW SAFETY ROPE PULL 3NC/1NO,2,0,"218.89000","0","1","i110RP","Active","4PST-3NC/1NO","On-Off, Off-On","3A (AC), 2A (DC)","240V","24V","-","-","-","IP66 - Dust Tight, Water Resistant","-25°C ~ 80°C"
https://industrial.omron.us/en/media/ER6022_datasheet_en_201404_C57I-E-01_tcm849-108893.pdf,//media.digikey.com/Photos/Omron%20Auto/ER6022-021M.jpg,Z8858-ND,ER6022-021M,Omron Automation and Safety,"ER6022-021M, 2N/C+1N/O, M20",3,0,"255.42000","0","1","*","Active","-","-","-","-","-","-","-","-","-","-"
https://www.steute.com/en/automation/products/pull-wire-switches/zs-71-z/zs-71-z-1oe1s-re.pdf,//media.digikey.com/Photos/Steute-Wireless-Photos/MFG_STE-1052373ZS71.jpg,1743-1100-ND,STE-1052373ZS71,Steute,STEUTE PULL-WIRE SWITCH,5,0,"258.50000","0","1","ZS71","Active","DPST-NO/NC","On-Off, Off-On","4A (AC)","400V","-","-","-","10197gf","IP65 - Dust Tight, Water Resistant","-25°C ~ 70°C"
https://cdn.sick.com/media/pdf/1/61/761/dataSheet_i150-RP223_6024884_en.pdf,//media.digikey.com/Photos/Sick%20Photos/602488x.jpg,1882-1164-ND,I150-RP223,"SICK, Inc.",SW SAFETY ROPE PULL 2NC/2NO,2,0,"329.97000","0","1","i150RP","Active","4PST-2NO/2NC","On-Off, Off-On","3A (AC), 2A (DC)","240V","24V","-","-","-","IP65 - Dust Tight, Water Resistant","-25°C ~ 80°C"
https://cdn.sick.com/media/pdf/2/62/762/dataSheet_i150-RP313_6024883_en.pdf,//media.digikey.com/Photos/Sick%20Photos/602488x.jpg,1882-1165-ND,I150-RP313,"SICK, Inc.",SW SAFETY ROPE PULL 3NC/1NO,2,0,"329.97000","0","1","i150RP","Active","4PST-3NC/1NO","On-Off, Off-On","3A (AC), 2A (DC)","240V","24V","-","-","-","IP65 - Dust Tight, Water Resistant","-25°C ~ 80°C"
https://www.steute.com/en/automation/products/emergency-pull-wire-switches/zs-441/zs-441-2oe1s-vd-220-n.pdf,//media.digikey.com/Photos/Steute-Wireless-Photos/MFG_STE-1185075ZS44.jpg,1743-1085-ND,STE-1185075ZS44,Steute,STEUTE EMERGENCY PULL-WIRE SWITC,5,0,"336.23000","0","1","ZS441","Active","3PST-2NC/1NO","On-Off, Off-On","2A (AC)","250V","-","60m","-","-","IP65 - Dust Tight, Water Resistant","-25°C ~ 70°C"
https://industrial.omron.us/en/media/ER1022_datasheet_en_201503_C59I-E-01_tcm849-108891.pdf,//media.digikey.com/photos/Omron%20Auto/44506-6520.JPG,Z8860-ND,ER1022-042MELR,Omron Automation and Safety,"ER1022-042MELR, 4N/C+2N/O, M20",3,0,"374.22000","0","1","ER1022","Active","-","-","-","-","-","-","-","-","-","-"
