Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Circuit","Number of Positions","Switch Function","Current Rating (Amps)","Voltage Rating - AC","Voltage Rating - DC","Illumination","Illumination Type, Color","Illumination Voltage (Nominal)","Mounting Type","Termination Style","Panel Cutout Dimensions","Ingress Protection","Features","Operating Temperature"
https://www.carlingtech.com/sites/default/files/documents/V-Series-Rotary_Details_%26_COS.pdf,//media.digikey.com/Photos/Carling%20Technologies%20Photos/MFG_V-Series.JPG,432-1328-ND,RV24D2CC0CB-K4C,Carling Technologies,SWITCH SELECT 2POS DPDT 20A 12V,182,0,"20.77000","0","1","V-Series Contura","Active","Standard","DPDT","2","On-On","20A (DC)","-","12V","Illuminated","LED, Red","12 VDC","Panel Mount, Snap-In","Quick Connect - 0.250"" (6.3mm)","Rectangular - 36.83mm x 21.08mm","IP67 - Dust Tight, Waterproof","Bezel - Rectangular","-"
https://assets.omron.com/m/2b22af8565a287d3/original/A165S-W_Datasheet-pdf.pdf,//media.digikey.com/photos/Omron%20Elect%20Photos/A165S-T3M-2.jpg,Z5386-ND,A165S-T2M-2,Omron Automation and Safety,SWITCH SELECT 2POS DPDT 5A 125V,119,0,"43.00000","0","1","A165S","Active","Standard","DPDT","2","On-On","5A (AC), 3A (DC)","125V","30V","Non-Illuminated","-","-","Panel Mount","Solder, Quick Connect - 0.110"" (2.8mm)","Circular - 16.00mm Dia","IP65 - Dust Tight, Oil and Water Resistant","Bezel - Round","-10°C ~ 55°C"
http://www.ia.omron.com/data_pdf/cat/a22n_m22n_a30n_a254-e1_4_5_csm1045427.pdf,//media.digikey.com/Photos/Omron%20Auto/A22NS-2MM-NBA-G100-NN.JPG,Z6113-ND,A22NS-2MM-NBA-G100-NN,Omron Automation and Safety,SWITCH SELECT 2POS SPST-NO 10A,833,0,"12.05000","0","1","A22NS","Active","Standard","SPST-NO","2","Off-On","10A (AC), 8A (DC)","120V","24V","Non-Illuminated","-","-","Panel Mount","Screw Terminal","Circular - 22.30mm Dia","IP66 - Dust Tight, Water Resistant","Bezel - Round, Black Knob","-25°C ~ 70°C"
http://www.ia.omron.com/data_pdf/cat/a22n_m22n_a30n_a254-e1_4_5_csm1045427.pdf,//media.digikey.com/Photos/Omron%20Auto/A22NS-2RM-NBA-G100-NN.JPG,Z5661-ND,A22NS-2RM-NBA-G100-NN,Omron Automation and Safety,SWITCH SELECT 2POS SPST-NO 10A,171,0,"12.88000","0","1","A22NS","Active","Standard","SPST-NO","2","Off-On","10A (AC), 8A (DC)","120V","24V","Non-Illuminated","-","-","Panel Mount","Screw Terminal","Circular - 22.30mm Dia","IP66 - Dust Tight, Water Resistant","Bezel - Round, Black Knob","-25°C ~ 70°C"
http://www.schurterinc.com/bundles/snceschurter/epim/_ProdPool_/newDS/en/typ_SWA1__Frontpl_.pdf,//media.digikey.com/Photos/Schurter%20Photos/0033.4504.jpg,486-1993-ND,0033.4501,Schurter Inc.,SWITCH SELECT 2POS SERIES 6.3A,256,1500,"6.89000","0","1","SWA","Active","Line Voltage Selector","Series, Parallel Connections","2","On-On","6.3A (AC)","250V","-","Non-Illuminated","-","-","Panel Mount","Solder Lug","Circular - 12.70mm Dia","IP40","Marking: 110-220","-40°C ~ 85°C"
http://www.schurterinc.com/bundles/snceschurter/epim/_ProdPool_/newDS/en/typ_SWA2__Print_.pdf,//media.digikey.com/photos/Schurter%20Photos/0033.4601.JPG,486-1994-ND,0033.4601,Schurter Inc.,SWITCH SELECT 2POS SERIES 6.3A,764,4500,"7.49000","0","1","SWA","Active","Line Voltage Selector","Series, Parallel Connections","2","On-On","6.3A (AC)","250V","-","Non-Illuminated","-","-","Panel Mount","PC Pin","-","IP40","Marking: 110-220","-40°C ~ 85°C"
http://www.schurterinc.com/bundles/snceschurter/epim/_ProdPool_/newDS/en/typ_SWA1__Frontpl_.pdf,//media.digikey.com/Photos/Schurter%20Photos/0033.4504.jpg,486-2403-ND,0033.4504,Schurter Inc.,SWITCH SELECT 2POS SERIES 6.3A,323,400,"7.49000","0","1","SWA","Active","Line Voltage Selector","Series, Parallel Connections","2","On-On","6.3A (AC)","250V","-","Non-Illuminated","-","-","Panel Mount","Solder Lug","Circular - 12.70mm Dia","IP40","Marking: 115-230","-40°C ~ 85°C"
https://www.bulgin.com/products/pub/media/bulgin/data/Voltage_selector.pdf,//media.digikey.com/Photos/Bulgin%20Photos/VS0002.JPG,708-2688-ND,VS0002,Bulgin,SWITCH SELECT 2POS SPDT 6.3A,196,0,"7.08000","0","1","VS","Active","Line Voltage Selector","SPDT","2","On-On","6.3A (AC)","120V","-","Non-Illuminated","-","-","Panel Mount","Solder, Quick Connect - 0.110"" (2.8mm)","Circular - 12.80mm Dia","-","Bezel - Round","-20°C ~ 85°C"
https://www.bulgin.com/products/pub/media/bulgin/data/Voltage_selector.pdf,//media.digikey.com/Photos/Bulgin%20Photos/VS0001.JPG,708-2687-ND,VS0001,Bulgin,SWITCH SELECT 2POS SPDT 6.3A,125,0,"7.08000","0","1","VS","Active","Line Voltage Selector","SPDT","2","On-On","6.3A (AC)","120V","-","Non-Illuminated","-","-","Panel Mount","Solder, Quick Connect - 0.110"" (2.8mm)","Circular - 12.80mm Dia","-","Bezel - Square","-20°C ~ 85°C"
http://us.idec.com/Common/Download.aspx?d=193354,//media.digikey.com/photos/IDEC/HW1S-2T.JPG,1885-1008-ND,HW1S-2TF10,IDEC,22MM SELECTOR SWITCH,426,0,"15.13000","0","1","HW","Active","Standard","SPST-NO","2","Off-On","10A (AC), 8A (DC)","110V","24V","Non-Illuminated","-","-","Panel Mount","Screw Terminal","Circular - 22.30mm Dia","IP65 - Dust Tight, Water Resistant","-","-25°C ~ 50°C"
