Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Coil Type","Coil Current","Coil Voltage","Contact Form","Contact Rating (Current)","Switching Voltage","Must Operate Voltage","Must Release Voltage","Operate Time","Release Time","Features","Mounting Type","Termination Style","Operating Temperature"
https://cotorelay.com/wp-content/uploads/2014/09/9000_series_reed_relay_datasheet.pdf,//media.digikey.com/photos/Coto%20Tech%20Photos/9002%20SERIES.jpg,306-1059-ND,9002-05-00,Coto Technology,RELAY RF SPST 500MA 5V,38408,0,"4.36000","0","1","Tube","9000","Active","Non Latching","14.3mA","5VDC","SPST-NO (1 Form A)","500mA","200VAC, 200VDC - Max","3.75 VDC","0.4 VDC","0.35ms","0.1ms","-","Through Hole","PC Pin","-20°C ~ 85°C"
https://cotorelay.com/wp-content/uploads/2014/09/9814_series_reed_relay_datasheet.pdf,//media.digikey.com/photos/Coto%20Tech%20Photos/9800%20SERIES%20GULLWING%20LEAD.jpg,306-1386-2-ND,9814-05-00TR,Coto Technology,RELAY RF SPST 250MA 5V,12000,0,"4.49652","0","1000","Tape & Reel (TR)","9800","Active","Non Latching","33.3mA","5VDC","SPST-NO (1 Form A)","250mA","100VAC, 100VDC - Max","3.8 VDC","0.4 VDC","0.25ms","0.05ms","Magnetic Shield","Surface Mount","Gull Wing","-20°C ~ 85°C"
https://cotorelay.com/wp-content/uploads/2014/09/9814_series_reed_relay_datasheet.pdf,//media.digikey.com/photos/Coto%20Tech%20Photos/9800%20SERIES%20GULLWING%20LEAD.jpg,306-1386-1-ND,9814-05-00TR,Coto Technology,RELAY RF SPST 250MA 5V,12563,0,"8.47000","0","1","Cut Tape (CT)","9800","Active","Non Latching","33.3mA","5VDC","SPST-NO (1 Form A)","250mA","100VAC, 100VDC - Max","3.8 VDC","0.4 VDC","0.25ms","0.05ms","Magnetic Shield","Surface Mount","Gull Wing","-20°C ~ 85°C"
https://cotorelay.com/wp-content/uploads/2014/09/9814_series_reed_relay_datasheet.pdf,//media.digikey.com/photos/Coto%20Tech%20Photos/9800%20SERIES%20GULLWING%20LEAD.jpg,306-1386-6-ND,9814-05-00TR,Coto Technology,RELAY RF SPST 250MA 5V,12563,0,"Digi-Reel","0","1","Digi-Reel®","9800","Active","Non Latching","33.3mA","5VDC","SPST-NO (1 Form A)","250mA","100VAC, 100VDC - Max","3.8 VDC","0.4 VDC","0.25ms","0.05ms","Magnetic Shield","Surface Mount","Gull Wing","-20°C ~ 85°C"
https://cotorelay.com/wp-content/uploads/2014/09/9814_series_reed_relay_datasheet.pdf,//media.digikey.com/photos/Coto%20Tech%20Photos/9800%20SERIES%20GULLWING%20LEAD.jpg,306-1387-2-ND,9814-03-00TR,Coto Technology,RELAY RF SPST 250MA 3.3V,1000,0,"4.49652","0","1000","Tape & Reel (TR)","9800","Active","Non Latching","47.1mA","3.3VDC","SPST-NO (1 Form A)","250mA","100VAC, 100VDC - Max","2.5 VDC","0.4 VDC","0.25ms","0.05ms","Magnetic Shield","Surface Mount","Gull Wing","-20°C ~ 85°C"
https://cotorelay.com/wp-content/uploads/2014/09/9814_series_reed_relay_datasheet.pdf,//media.digikey.com/photos/Coto%20Tech%20Photos/9800%20SERIES%20GULLWING%20LEAD.jpg,306-1387-1-ND,9814-03-00TR,Coto Technology,RELAY RF SPST 250MA 3.3V,2722,0,"8.47000","0","1","Cut Tape (CT)","9800","Active","Non Latching","47.1mA","3.3VDC","SPST-NO (1 Form A)","250mA","100VAC, 100VDC - Max","2.5 VDC","0.4 VDC","0.25ms","0.05ms","Magnetic Shield","Surface Mount","Gull Wing","-20°C ~ 85°C"
https://cotorelay.com/wp-content/uploads/2014/09/9814_series_reed_relay_datasheet.pdf,//media.digikey.com/photos/Coto%20Tech%20Photos/9800%20SERIES%20GULLWING%20LEAD.jpg,306-1387-6-ND,9814-03-00TR,Coto Technology,RELAY RF SPST 250MA 3.3V,2722,0,"Digi-Reel","0","1","Digi-Reel®","9800","Active","Non Latching","47.1mA","3.3VDC","SPST-NO (1 Form A)","250mA","100VAC, 100VDC - Max","2.5 VDC","0.4 VDC","0.25ms","0.05ms","Magnetic Shield","Surface Mount","Gull Wing","-20°C ~ 85°C"
https://4a30d8fd18dae1bf393d-df49f4cedb726ad03ad145d2e3d346bd.ssl.cf5.rackcdn.com/datasheets/96/9605180022e.pdf,//media.digikey.com/photos/Meder%20Electronics%20Photos/CRF05-1A.jpg,374-1041-2-ND,CRF05-1A,Standex-Meder Electronics,RELAY RF SPST 500MA 5V,3000,0,"4.85650","0","1000","Tape & Reel (TR)","CRF","Active","Non Latching","33.3mA","5VDC","SPST-NO (1 Form A)","500mA","170VAC, 170VDC - Max","3.75 VDC","0.75 VDC","0.1ms","0.02ms","-","Surface Mount","SMD (SMT) Tab","-40°C ~ 125°C"
https://4a30d8fd18dae1bf393d-df49f4cedb726ad03ad145d2e3d346bd.ssl.cf5.rackcdn.com/datasheets/96/9605180022e.pdf,//media.digikey.com/photos/Meder%20Electronics%20Photos/CRF05-1A.jpg,374-1041-1-ND,CRF05-1A,Standex-Meder Electronics,RELAY RF SPST 500MA 5V,3540,0,"8.94000","0","1","Cut Tape (CT)","CRF","Active","Non Latching","33.3mA","5VDC","SPST-NO (1 Form A)","500mA","170VAC, 170VDC - Max","3.75 VDC","0.75 VDC","0.1ms","0.02ms","-","Surface Mount","SMD (SMT) Tab","-40°C ~ 125°C"
https://4a30d8fd18dae1bf393d-df49f4cedb726ad03ad145d2e3d346bd.ssl.cf5.rackcdn.com/datasheets/96/9605180022e.pdf,//media.digikey.com/photos/Meder%20Electronics%20Photos/CRF05-1A.jpg,374-1041-6-ND,CRF05-1A,Standex-Meder Electronics,RELAY RF SPST 500MA 5V,3540,0,"Digi-Reel","0","1","Digi-Reel®","CRF","Active","Non Latching","33.3mA","5VDC","SPST-NO (1 Form A)","500mA","170VAC, 170VDC - Max","3.75 VDC","0.75 VDC","0.1ms","0.02ms","-","Surface Mount","SMD (SMT) Tab","-40°C ~ 125°C"
