Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Color","Style","Voltage - Input","Current - Input","Voltage - Output","Current - Output","Turn On Time","Turn Off Time","Features"
http://www.grayhill.com/assets/1/7/IO_Mod_DC_Input.pdf,//media.digikey.com/photos/Grayhill%20Photos/70M-IDC5.jpg,GH7027-ND,70M-IDC5,Grayhill Inc.,DC INPUT MODULE 3-32V,620,1099,"13.17000","0","1","70","Active","DC Input Module","White","Mini","3 ~ 32VDC","18mA","5VDC","10mA","0.20ms","0.40ms","-"
http://www.grayhill.com/assets/1/7/IO_Mod_DC_Output.pdf,//media.digikey.com/photos/Grayhill%20Photos/70M-ODC5.jpg,GH7024-ND,70M-ODC5,Grayhill Inc.,DC OUTPUT MODULE 3A,1923,1747,"13.28000","0","1","70","Active","DC Output Module","Red","Mini","5VDC","14mA","3 ~ 60VDC","3A","0.02ms","0.05ms","-"
http://www.grayhill.com/assets/1/7/IO_Mod_DC_Output.pdf,//media.digikey.com/Photos/Grayhill%20Photos/70-RED-STANDARD.JPG,GH7019-ND,70-ODC5,Grayhill Inc.,DC OUTPUT MODULE 3.5A,838,1661,"13.92000","0","1","70","Active","DC Output Module","Red","Standard","5VDC","14mA","3 ~ 60VDC","3.5A","0.02ms","0.05ms","Hold Down Screw"
http://www.grayhill.com/assets/1/7/IO_Mod_AC_Output.pdf,//media.digikey.com/Photos/Grayhill%20Photos/70-BLACK-MINI.JPG,GH7023-ND,70M-OAC5A,Grayhill Inc.,AC OUTPUT MODULE 3A,277,1046,"15.35000","0","1","70","Active","AC Output Module","Black","Mini","5VDC","16mA","24 ~ 280VAC","3A","8.33ms","8.33ms","-"
http://www.crydom.com/en/products/catalog/g_ms_output_modules.pdf,//media.digikey.com/Photos/Crydom%20Photos/MFG_84130104.jpg,646-1067-ND,84130104,Sensata-Crydom,DC OUTPUT MODULE 3A,170,0,"52.07000","0","1","17.5MM","Active","DC Output Module","Red","DIN Rail Mount","4 ~ 32VDC","22mA","5 ~ 60VDC","3A","0.05ms","0.05ms","Status LED(s)"
http://www.crydom.com/en/products/catalog/dr_output_modules.pdf,//media.digikey.com/Photos/Crydom%20Photos/MFG_DR-OAC.jpg,646-1065-ND,DR-OAC,Sensata-Crydom,AC OUTPUT MODULE 5A,127,0,"56.17000","0","1","DR","Active","AC Output Module","Black","DIN Rail Mount","3.7 ~ 32VDC","18mA","12 ~ 280VAC","5A","8.33ms","8.33ms","Status LED(s)"
http://www.grayhill.com/assets/1/7/IO_Mod_AC_Input.pdf,//media.digikey.com/photos/Grayhill%20Photos/70M-IAC5.jpg,GH7026-ND,70M-IAC5,Grayhill Inc.,AC INPUT MODULE 120V,401,1476,"13.34000","0","1","70","Active","AC Input Module","Yellow","Mini","120VAC","8mA","5VDC","10mA","20ms","20ms","-"
http://www.grayhill.com/assets/1/7/IO_Mod_AC_Output.pdf,//media.digikey.com/Photos/Grayhill%20Photos/70-BLACK-MINI.JPG,GH7022-ND,70M-OAC5,Grayhill Inc.,AC OUTPUT MODULE 3A,309,1903,"13.67000","0","1","70","Active","AC Output Module","Black","Mini","5VDC","16mA","24 ~ 140VAC","3A","8.33ms","8.33ms","-"
http://www.grayhill.com/assets/1/7/IO_Mod_DC_Input.pdf,//media.digikey.com/photos/Grayhill%20Photos/70-IDC5.jpg,GH7021-ND,70-IDC5,Grayhill Inc.,DC INPUT MODULE 3-32V,214,830,"13.76000","0","1","70","Active","DC Input Module","White","Standard","3 ~ 32VDC","18mA","5VDC","10mA","0.20ms","0.40ms","Hold Down Screw"
http://www.grayhill.com/assets/1/7/IO_Mod_AC_Output.pdf,//media.digikey.com/Photos/Grayhill%20Photos/70-BLACK-STANDARD.JPG,GH7018-ND,70-OAC5,Grayhill Inc.,AC OUTPUT MODULE 3.5A,190,203,"15.48000","0","1","70","Active","AC Output Module","Black","Standard","5VDC","16mA","24 ~ 140VAC","3.5A","8.33ms","8.33ms","Hold Down Screw"
