Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","1st Connector","2nd Connector","Color","Length","Features"
https://www.molex.com/pdm_docs/sd/688014146_sd.pdf,//media.digikey.com/Photos/Molex/0688014146.jpg,WM9591-ND,0688014146,Molex,PICO-EZMATE HARNESS FOR VERO 6"",16586,0,"0.80000","0","1","Pico-EZmate","Active","Plug, 4 Position","Wire Leads","Black, Red","6.00"" (152.4mm)","28 AWG"
https://www.molex.com/pdm_docs/sd/688014084_sd.pdf,//media.digikey.com/Photos/Molex/0688014084.jpg,WM9594-ND,0688014084,Molex,PICO-EZMATE HARNESS FOR VERO 6"",32966,0,"1.15000","0","1","Pico-EZmate","Active","Plug, 4 Position","Wire Leads","Black, Red","6.00"" (152.4mm)","20 AWG, 28 AWG"
https://www.molex.com/pdm_docs/sd/688014085_sd.pdf,//media.digikey.com/Photos/Molex/0688014085.jpg,WM9595-ND,0688014085,Molex,PICO-EZMATE HARNESS FOR VERO 12"",13920,0,"1.28000","0","1","Pico-EZmate","Active","Plug, 4 Position","Wire Leads","Black, Red","12.00"" (304.8mm)","20 AWG, 28 AWG"
https://www.molex.com/pdm_docs/sd/688014228_sd.pdf,//media.digikey.com/Photos/Molex/0688014228.jpg,WM9596-ND,0688014228,Molex,PICO-EZMATE HARNESS FOR VERO 18"",4692,0,"1.38000","0","1","Pico-EZmate","Active","Plug, 4 Position","Wire Leads","Black, Red","18.0"" (457.2mm)","20 AWG, 28 AWG"
https://www.molex.com/pdm_docs/sd/688014229_sd.pdf,//media.digikey.com/Photos/Molex/0688014229.jpg,WM9599-ND,0688014229,Molex,PICO-EZMATE HARNESS FOR VERO 18"",32228,0,"1.50000","0","1","Pico-EZmate","Active","Plug, 4 Position","Wire Leads","Black, Red","18.0"" (457.2mm)","18 AWG, 28 AWG"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=2213362&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/2213362-4.JPG,A118883-ND,2213362-4,TE Connectivity AMP Connectors,RCPT ASSY DIM PHTCNTRL 3/4,8193,0,"11.93000","0","1","LUMAWISE Endurance N","Active","Socket, 7 Position (4 Dimmable, 3 Power)","Wire Leads","Multiple, Individual","12.00"" (304.8mm)","Dimming"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=2213362&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/2213362-2.JPG,A118881-ND,2213362-2,TE Connectivity AMP Connectors,RCPT ASSY DIM PHTCNTRL 3/4,8714,0,"14.08000","0","1","LUMAWISE Endurance N","Active","Socket, 7 Position (4 Dimmable, 3 Power)","Wire Leads","Multiple, Individual","12.00"" (304.8mm)","Dimming"
https://www.molex.com/pdm_docs/sd/688014147_sd.pdf,//media.digikey.com/Photos/Molex/0688014147.jpg,WM9592-ND,0688014147,Molex,PICO-EZMATE HARNESS FOR VERO 12"",14976,0,"0.93000","0","1","Pico-EZmate","Active","Plug, 4 Position","Wire Leads","Black, Red","12.00"" (304.8mm)","28 AWG"
https://www.molex.com/pdm_docs/sd/688014227_sd.pdf,//media.digikey.com/Photos/Molex/0688014227.jpg,WM9593-ND,0688014227,Molex,PICO-EZMATE HARNESS FOR VERO 18"",10100,0,"1.11000","0","1","Pico-EZmate","Active","Plug, 4 Position","Wire Leads","Black, Red","18.0"" (457.2mm)","28 AWG"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=2106378&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/2106378-2.JPG,A101048-ND,2106378-2,TE Connectivity AMP Connectors,CONN PLUG CABLE ASSY 2POS 18AWG,785,0,"5.21000","0","1","SlimSeal","Active","Plug, 2 Position","Wire Leads","Black","4.00"" (101.6mm)","-"
