Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Connector Type","Length","Cable Type","Color","Shielding","Usage"
https://www.molex.com/pdm_docs/sd/887511310_sd.pdf,//media.digikey.com/Photos/Molex/0887511310.jpg,WM10788-ND,0887511310,Molex,SATA POWER ADPT ASSY TYPE G/F,5600,0,"1.53000","0","1","-","Active","Rectangular 04 pos Plug to SATA 15 pos Female","0.50' (152.4mm)","Individual","Multiple","Unshielded","Internal, Power Cable"
https://www.bulgin.com/products/pub/media/bulgin/data/400_mini_USB.pdf,//media.digikey.com/photos/Bulgin%20Photos/PX0443.jpg,708-1235-ND,PX0443,Bulgin,CABLE IP68 B MINI USB-5WAY CRIMP,432,0,"13.64000","0","1","Buccaneer®","Active","USB Mini B (5 pos) Male Plug to Rectangular 5 pos Plug","0.39' (120.6mm)","Round","Black","Shielded","Industrial Environments - IP68"
//media.digikey.com/pdf/Data%20Sheets/Amphenol%20PDFs/USBBF.pdf,//media.digikey.com/photos/Amphenol%20Photos/USBBF7.jpg,APC1097-ND,USBBF7,Amphenol PCD,CONN USB B RCPT W/CORD-5PIN,445,0,"17.26000","0","1","-","Active","USB B Female Receptacle to Rectangular 5 pos Header","0.16' (50.0mm)","Round","Black","Shielded","Industrial Environments - IP67"
http://www.assmann-wsw.com/fileadmin/datasheets/ASS_1576_CA.pdf,//media.digikey.com/photos/Assmann%20Photos/A-USB-APFS-R.jpg,AE10157-ND,A-USB-APFS,Assmann WSW Components,CONN USB TYPE A FMAL PNLMT W/CBL,622,0,"18.55000","0","1","-","Active","USB A Female Receptacle to Rectangular 5 pos Header","0.16' (50.0mm)","Round","Black","Shielded","Industrial Environments - IP67"
http://www.assmann-wsw.com/fileadmin/datasheets/ASS_1576A_CA.pdf,//media.digikey.com/photos/Assmann%20Photos/A-USB-BPFS-R.jpg,AE10158-ND,A-USB-BPFS,Assmann WSW Components,CONN USB TYPE B FMAL PNLMT W/CBL,466,0,"18.55000","0","1","-","Active","USB B Female Receptacle to Rectangular 5 pos Header","0.16' (50.0mm)","Round","Black","Shielded","Industrial Environments - IP67"
https://www.bulgin.com/products/pub/media/bulgin/data/Standard_USB.pdf,//media.digikey.com/Photos/Bulgin%20Photos/PX0843%5EA.JPG,708-1022-ND,PX0843/A,Bulgin,CONN RCPT IP68 USB A PNL - 5POS,1089,0,"19.70000","0","1","Buccaneer®","Active","Rectangular 05 pos Plug to USB A Male Plug","0.49' (150.0mm)","Round","Black","Shielded","Industrial Environments - IP68"
-,//media.digikey.com/photos/3M%20Photos/7315050.jpg,3M5554-ND,7315050,3M,CABLE USB TYPE-A TO 2MM CONN 23"",117,0,"20.03000","0","1","-","Active","Rectangular 05 pos Plug to USB A Male Plug","1.92' (584.2mm)","Round","Beige","Shielded","-"
https://www.digi.com/resources/documentation/Digidocs/PDFs/90000253.pdf,//media.digikey.com/Photos/Digi%20Int'l%20Photos/76000240.jpg,602-1506-ND,76000240,Digi International,CABLE STRAIGHT 4' RJ-45/DB-9M,263,0,"23.00000","0","1","-","Active","D-Sub 09 pos Male to RJ45, 10p10c","4.00' (1.22m)","Round","Blue","Unshielded","Serial Modem"
//media.digikey.com/pdf/Data%20Sheets/Lumberg%20Automation%20PDFs/0985_DS.pdf,//media.digikey.com/Photos/Lumberg-Automation/0985-656-104%5E1M.jpg,1794-1186-ND,0985 656 104/1M,Lumberg Automation,CABLE ETHERNET M12-RJ45 1M,604,0,"46.80000","0","1","EtherMATE™","Active","Circular 08 pos Female to RJ45, 8p8c","3.28' (1.00m)","Round","Teal","Shielded","Cat5"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/1406127.pdf,//media.digikey.com/Photos/Phoenix%20Photos/1408733.JPG,277-9835-ND,1406127,Phoenix Contact,NTWRK CBL 4POS 2M M12-RJ45 CDE D,218,128,"50.04000","0","1","-","Active","Circular 04 pos Male to RJ45, 8p4c","6.56' (2.00m)","Round","Blue","Shielded","Network"
//media.digikey.com/pdf/Data%20Sheets/Lumberg%20Automation%20PDFs/0985_DS.pdf,//media.digikey.com/photos/Lumberg-Automation/MFG_0985-656-103.jpg,1794-1185-ND,0985 656 103/5M,Lumberg Automation,CABLE ETHERNET FML M12-RJ45 5M,183,0,"56.61000","0","1","EtherMATE™","Active","Circular 08 pos Male to RJ45, 8p8c","16.40' (5.00m)","Round","Teal","Shielded","Cat5"
