Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Working Dimensions","Interface","File Type","Voltage - Supply","Contents"
//media.digikey.com/pdf/Data%20Sheets/Bantam%20Tools%20PDFs/Desktop_PCB_Milling_Machine_Web.pdf,//media.digikey.com/Photos/Bantam%20Tools/MFG_OM1002.jpg,1932-1000-ND,OM1002,Bantam Tools,BANTAM TOOLS DESKTOP PCB US ONLY,10,0,"3199.00000","0","1","-","Active","5.500"" x 4.500"" x 1.600"" (140.00mm x 114.00mm x 40.60mm)","USB 2.0","Eagle BRD (.brd), Gerber RS‐274X (.gtl and .grb), G‐Code (.nc and .tap), SVG (.svg)","100 VAC ~ 240 VAC @ 1.4A","Cable(s), Power Supply, Project Materials, Tool Kit"
//media.digikey.com/pdf/Data%20Sheets/Bantam%20Tools%20PDFs/Desktop_PCB_Milling_Machine_Web.pdf,//media.digikey.com/Photos/Bantam%20Tools/MFG_OM1004.jpg,1932-1001-ND,OM1004,Bantam Tools,INTL ONLY BANTAM TOOLS DES,5,0,"3699.00000","0","1","-","Active","5.500"" x 4.500"" x 1.600"" (140.00mm x 114.00mm x 40.60mm)","USB 2.0","Eagle BRD (.brd), Gerber RS‐274X (.gtl and .grb), G‐Code (.nc and .tap), SVG (.svg)","101 VAC ~ 240 VAC @ 1.4A","Cable(s), Power Supply, Project Materials, Tool Kit"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/Stepoko_Hookup_Guide.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_ROB-13899.jpg,1568-1386-ND,ROB-13899,SparkFun Electronics,CNC BOARD 3-AXIS CNTRL SOLUTION,0,0,"149.95000","0","1","Stepoko","Active","-","USB","G-Code","13V ~ 30V","Board(s)"
http://docs.carbide3d.com/assembly/shapeoko/s3/,-,TOL-14620-ND,TOL-14620,SparkFun Electronics,SHAPEOKO V3,0,0,"1373.75000","0","1","*","Active","16.000"" x 16.000"" x 3.000"" (425.00mm x 425.00mm x 75.00mm)","USB","G-Code","24VDC @ 5A","Board(s), Cable(s), Enclosure, Mechanical Kit, Power Supply, Stepper Motor(s), Switch(s)"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/TOL-14693_Web.pdf,-,TOL-14693-ND,TOL-14693,SparkFun Electronics,SHAPEOKO XL,0,0,"1873.75000","0","1","Shapeoko","Active","33.000"" x 16.000"" x 3.000"" (838.00mm x 425.00mm x 76.20mm)","USB","G-Code","-","Mechanical Kit"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/TOL-14694_Web.pdf,-,TOL-14694-ND,TOL-14694,SparkFun Electronics,SHAPEOKO XXL,0,0,"2123.75000","0","1","Shapeoko","Active","33.000"" x 33.000"" x 3.000"" (838.00mm x 838.00mm x 76.20mm)","USB","G-Code","-","Mechanical Kit"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/TOL-14772_Web.pdf,-,TOL-14772-ND,TOL-14772,SparkFun Electronics,NOMAD 883 PRO (WHITE HDPE),0,0,"3123.75000","0","1","Nomad™","Active","8.000"" x 8.000"" x 3.000"" (203.20mm x 203.20mm x 76.20mm)","USB","-","120VAC, 240VAC","Cable(s), Power Supply, Project Materials, Tool Kit"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/TOL-14771_Web.pdf,-,TOL-14771-ND,TOL-14771,SparkFun Electronics,NOMAD 883 PRO (GRAY HDPE),0,0,"3123.75000","0","1","Nomad™","Active","8.000"" x 8.000"" x 3.000"" (203.20mm x 203.20mm x 76.20mm)","USB","-","120VAC, 240VAC","Cable(s), Power Supply, Project Materials, Tool Kit"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/TOL-14692_Web.pdf,-,TOL-14692-ND,TOL-14692,SparkFun Electronics,NOMAD 883 PRO (BAMBOO),0,0,"3123.75000","0","1","Nomad™","Active","8.000"" x 8.000"" x 3.000"" (203.20mm x 203.20mm x 76.20mm)","USB","-","-","Cable(s), Power Supply, Project Materials, Tool Kit"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/Stepoko_Hookup_Guide.pdf,//media.digikey.com/photos/Sparkfun%20Elec%20%20Photos/ROB-13155.JPG,1568-1330-ND,ROB-13155,SparkFun Electronics,CNC BOARD 3-AXIS CNTRL SOLUTION,0,0,"Obsolete","0","1","Stepoko","Obsolete","-","USB","G-Code","12V ~ 30V","Board(s)"
