Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Sensor Type","Sensing Distance","Output Type","Response Frequency","Shielding","Material - Body","Voltage - Supply","Termination Style","Operating Temperature","Ingress Protection","Indicator","Package / Case"
https://www3.panasonic.biz/ac/e_download/fasys/sensor/proximity/catalog/gx-f_h_e_cata.pdf,//media.digikey.com/Photos/Panasonic%20Photos/GX-F12.jpg,1110-2207-ND,GX-F12A,Panasonic Industrial Automation Sales,SENSOR PROX INDUCTIVE 3.3MM MOD,2364,533,"26.80000","0","1","GX","Active","Inductive","0.13"" (3.3mm)","NPN-NO, 3-Wire","500Hz","Unshielded","Plastic","12V ~ 24V","Cable Leads","-25°C ~ 70°C","IP68","LED","Module"
https://www3.panasonic.biz/ac/e_download/fasys/sensor/proximity/catalog/gx-f_h_e_cata.pdf,//media.digikey.com/photos/Panasonic%20Elect%20Works%20Photos/GX-F8BI-P.jpg,1110-2212-ND,GX-F8A,Panasonic Industrial Automation Sales,SENSOR PROX INDUCTIVE 2.1MM MOD,1339,0,"26.80000","0","1","GX","Active","Inductive","0.083"" (2.1mm)","NPN-NO, 3-Wire","500Hz","Unshielded","Plastic","12V ~ 24V","Cable Leads","-25°C ~ 70°C","IP68","LED","Module"
https://www3.panasonic.biz/ac/e_download/fasys/sensor/proximity/catalog/gx-f_h_e_cata.pdf,//media.digikey.com/Photos/Panasonic%20Photos/GX-F12.jpg,1110-2210-ND,GX-F12B-P,Panasonic Industrial Automation Sales,SENSOR PROX INDUCTIVE 3.3MM MOD,817,176,"26.80000","0","1","GX","Active","Inductive","0.13"" (3.3mm)","PNP-NC, 3-Wire","500Hz","Unshielded","Plastic","12V ~ 24V","Cable Leads","-25°C ~ 70°C","IP68","LED","Module"
https://www3.panasonic.biz/ac/e_download/fasys/sensor/proximity/catalog/gx-f_h_e_cata.pdf,//media.digikey.com/Photos/Panasonic%20Photos/GX-F12.jpg,1110-2209-ND,GX-F12B,Panasonic Industrial Automation Sales,SENSOR PROX INDUCTIVE 3.3MM MOD,634,15,"26.80000","0","1","GX","Active","Inductive","0.13"" (3.3mm)","NPN-NC, 3-Wire","500Hz","Unshielded","Plastic","12V ~ 24V","Cable Leads","-25°C ~ 70°C","IP68","LED","Module"
https://www3.panasonic.biz/ac/e_download/fasys/sensor/proximity/catalog/gx-f_h_e_cata.pdf,//media.digikey.com/Photos/Panasonic%20Photos/GX-F12.jpg,1110-2208-ND,GX-F12A-P,Panasonic Industrial Automation Sales,SENSOR PROX INDUCTIVE 3.3MM MOD,284,0,"26.80000","0","1","GX","Active","Inductive","0.13"" (3.3mm)","PNP-NO, 3-Wire","500Hz","Unshielded","Plastic","12V ~ 24V","Cable Leads","-25°C ~ 70°C","IP68","LED","Module"
https://www3.panasonic.biz/ac/e_download/fasys/sensor/proximity/catalog/gx-f_h_e_cata.pdf,//media.digikey.com/photos/Panasonic%20Elect%20Works%20Photos/GX-F8BI-P.jpg,1110-2213-ND,GX-F8B,Panasonic Industrial Automation Sales,SENSOR PROX INDUCTIVE 2.1MM MOD,273,154,"26.80000","0","1","GX","Active","Inductive","0.083"" (2.1mm)","NPN-NC, 3-Wire","500Hz","Unshielded","Plastic","12V ~ 24V","Cable Leads","-25°C ~ 70°C","IP68","LED","Module"
https://www3.panasonic.biz/ac/e_download/fasys/sensor/proximity/catalog/gx-f_h_e_cata.pdf,//media.digikey.com/Photos/Panasonic%20Photos/GX-H8A.jpg,1110-2214-ND,GX-H8A,Panasonic Industrial Automation Sales,SENSOR PROX INDUCTIVE 2.1MM MOD,232,0,"26.80000","0","1","GX","Active","Inductive","0.083"" (2.1mm)","NPN-NO, 3-Wire","500Hz","Unshielded","Plastic","12V ~ 24V","Cable Leads","-25°C ~ 70°C","IP68","LED","Module"
http://www.ia.omron.com/data_pdf/cat/e2b_d116-e1_1_5_csm1012652.pdf,//media.digikey.com/Photos/Omron%20Auto/E2B-M12KN08-M1-C1.JPG,Z4155-ND,E2B-M12KN08-M1-C1,Omron Automation and Safety,SENSOR PROX INDUCTIVE 8MM CYLIND,197,0,"27.29000","0","1","E2B","Active","Inductive","0.315"" (8mm)","NPN-NO, 3-Wire","800Hz","Unshielded","Nickel-Plated Brass","10V ~ 30V","Connector","-25°C ~ 70°C","IP67","LED","Cylinder, Threaded - M12"
http://www.ia.omron.com/data_pdf/cat/e2b_d116-e1_1_5_csm1012652.pdf,//media.digikey.com/photos/Omron%20Auto/E2B-M18KN16-WP.jpg,Z4198-ND,E2B-M18KN16-WP-C1 2M,Omron Automation and Safety,SENSOR PROX INDUCTIVE 16MM CYL,120,288,"32.40000","0","1","E2B","Active","Inductive","0.630"" (16mm)","NPN-NO, 3-Wire","400Hz","Unshielded","Nickel-Plated Brass","10V ~ 30V","Cable Leads","-25°C ~ 70°C","IP67","LED","Cylinder, Threaded - M18"
https://www3.panasonic.biz/ac/e_download/fasys/sensor/proximity/catalog/gx-f_h_e_cata.pdf,//media.digikey.com/Photos/Panasonic%20Photos/GX-F15.jpg,1110-1935-ND,GX-F15A,Panasonic Industrial Automation Sales,SENSOR PROX IND 4.2MM MOD 1M CBL,132,12,"39.00000","0","1","GX","Active","Inductive","0.165"" (4.2mm)","NPN-NO, 3-Wire","250Hz","Unshielded","Plastic","12V ~ 24V","Cable Leads","-25°C ~ 70°C","IP68","LED","Module"
https://www3.panasonic.biz/ac/e_download/fasys/sensor/proximity/catalog/gxl_e_cata.pdf,//media.digikey.com/Photos/Panasonic%20Photos/GXL-8HUI.JPG,1110-2216-ND,GXL-8FU,Panasonic Industrial Automation Sales,SENSOR PROX INDUCTIVE 1.8MM MOD,111,78,"49.10000","0","1","GX","Active","Inductive","0.071"" (1.8mm)","NPN-NO, 2-Wire","1kHz","Unshielded","Plastic","12V ~ 24V","Cable Leads","-25°C ~ 70°C","IP67","LED","Module"
