Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Linear Range","Size / Dimension","Features","Operating Temperature"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=MHR&DocType=Data+Sheet&DocLang=English,//media.digikey.com/photos/Measurement%20Specialties%20Photos/02560408-000.jpg,223-1847-ND,02560408-000,TE Connectivity Measurement Specialties,SENSOR LVDT MHR SERIES +-1.27MM,97,0,"164.16000","0","1","MHR","Active","±1.27mm","20.3mm","-","-55°C ~ 150°C"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=MHR&DocType=Data+Sheet&DocLang=English,//media.digikey.com/photos/Measurement%20Specialties%20Photos/02560407-000.jpg,223-1846-ND,02560407-000,TE Connectivity Measurement Specialties,SENSOR LVDT MHR SERIES +-0.64MM,27,0,"171.77000","0","1","MHR","Active","±0.64mm","16.8mm","-","-55°C ~ 150°C"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=HR&DocType=Data+Sheet&DocLang=English,-,223-1838-ND,02560390-000,TE Connectivity Measurement Specialties,GENERAL PURPOSE LVDT HR,35,0,"149.81000","0","1","HR","Active","±2.54mm","46.0mm","High Reliability","-55°C ~ 150°C"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=HR&DocType=Data+Sheet&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/02560391-000.JPG,223-1839-ND,02560391-000,TE Connectivity Measurement Specialties,LVDT MODEL HR 200,26,0,"175.65000","0","1","HR","Active","±5.08mm","63.5mm","High Reliability","-55°C ~ 150°C"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=HR&DocType=Data+Sheet&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/02560395-000.jpg,223-1841-ND,02560395-000,TE Connectivity Measurement Specialties,GENERAL PURPOSE LVDT HR,30,0,"245.68000","0","1","HR","Active","±25.4mm","168.4mm","High Reliability","-55°C ~ 150°C"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Data+Sheet%7FGCD-SE%7FA2%7Fpdf%7FEnglish%7FENG_DS_GCD-SE_A2.pdf,-,223-1834-ND,02350511-000,TE Connectivity Measurement Specialties,SERIES PRECISION GAUGE HEADS,8,0,"722.68000","0","1","GCD","Active","6.35mm","111mm","High Reliability","0°C ~ 70°C"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=HR&DocType=Data+Sheet&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/02560389-000.JPG,223-1837-ND,02560389-000,TE Connectivity Measurement Specialties,SENSOR LVDT HR SERIES,17,0,"128.16000","0","1","HR","Active","±1.27mm","28.7mm","High Reliability","-55°C ~ 150°C"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=MHR&DocType=Data+Sheet&DocLang=English,//media.digikey.com/photos/Measurement%20Specialties%20Photos/02560409-000.jpg,223-1848-ND,02560409-000,TE Connectivity Measurement Specialties,SENSOR LVDT MHR SERIES +-2.54MM,14,0,"191.71000","0","1","MHR","Active","±2.54mm","25.4mm","-","-55°C ~ 150°C"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=HR&DocType=Data+Sheet&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/02560394-000.JPG,223-1840-ND,02560394-000,TE Connectivity Measurement Specialties,GENERAL PURPOSE LVDT SE,9,0,"229.60000","0","1","HR","Active","±12.7mm","139.7mm","High Reliability","-55°C ~ 150°C"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=R30A&DocType=Data+Sheet&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/02560231-000.JPG,223-1836-ND,02560231-000,TE Connectivity Measurement Specialties,LINEAR TRANSDUCER,24,0,"455.74000","0","1","R30A","Active","-","22.1mm","High Reliability","-55°C ~ 150°C"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=E-Series&DocType=Data+Sheet&DocLang=English,//media.digikey.com/photos/Measurement%20Specialties%20Photos/02560542-000.jpg,223-1849-ND,02560542-000,TE Connectivity Measurement Specialties,SENSOR LVDT E SERIES ECON 5.08MM,9,0,"127.40000","0","1","E","Active","±5.08mm","57.2mm","Economical","-55°C ~ 95°C"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=MHR&DocType=Data+Sheet&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/02560405-000.JPG,223-1842-ND,02560405-000,TE Connectivity Measurement Specialties,GENERAL PURPOSE LVDT HR,10,0,"203.20000","0","1","MHR","Active","±0.13mm","9.5mm","General Purpose","-55°C ~ 150°C"
