Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Output Type","Output Configuration","Current","Minimum Liquid Specific Gravity","Switch Actuation Level","Mounting Type","Material - Housing & Prism","Operating Temperature","Voltage Rating"
https://www.littelfuse.com/~/media/electronics/datasheets/reed_sensors/littelfuse_reed_sensors_59630_datasheet.pdf.pdf,//media.digikey.com/Photos/Littelfuse%20Photos/59630-1-T-02-A.jpg,HE637-ND,59630-1-T-02-A,Littelfuse Inc.,REED SENSOR W/INTEGRAL FLOAT,1382,0,"7.18000","0","1","59630","Active","Liquid","Switch (Single Float)","SPST-NO","500mA","-","0.2"" (5.08 mm)","Panel Mount, M8 Thread","-","-40°C ~ 105°C","200VDC"
https://www.cynergy3.com/sites/default/files/MS%202016.pdf,//media.digikey.com/Photos/Cynergy%203/MFG_MS%20Series.jpg,725-1023-ND,MS10C,Cynergy 3,CABLE FLOAT SPDT 10A POLY,136,0,"36.85000","0","1","MS","Active","Liquid","Switch (Single Float)","SPDT","10A","-","-","Cable Mount","High Density Polyethylene (PEHD)","0°C ~ 55°C","110VDC, 250VAC"
https://www.cynergy3.com/sites/default/files/product-data-sheets/OLS5.pdf,//media.digikey.com/Photos/Cynergy%203/OLS5%20SERIES.JPG,725-1284-ND,OLS500D3,Cynergy 3,OPT LIQUID LVL SENSOR M10 MNT HI,341,0,"38.64000","0","1","OLS5","Active","Liquid","Push-Pull","High-Dry","2.5mA","-","-","Threaded","Polysulfone (PES)","-25°C ~ 80°C","5 V ~ 15 V"
https://www.cynergy3.com/sites/default/files/OLS2%202015.pdf,//media.digikey.com/Photos/Cynergy%203/OLS2%20SERIES%20Voltage.JPG,725-1281-ND,OLS200D3SH,Cynergy 3,OPT LIQUID SENSOR M12 EXT MT HI,176,0,"38.64000","0","1","OLS2","Active","Liquid","Push-Pull","High-Dry","2.5mA","-","-","Threaded","Polysulfone","-25°C ~ 80°C","5 V ~ 15 V"
https://www.cynergy3.com/sites/default/files/product-data-sheets/OLS7.pdf,//media.digikey.com/Photos/Cynergy%203/OLS7%20SERIES%20Open%20Drain.JPG,725-1288-ND,OLS700D3LSH,Cynergy 3,OPT LIQ LVL SENS 1/4 NPT MNT LW,104,0,"38.64000","0","1","OLS7","Active","Liquid","Push-Pull","Low-Dry","2.5mA","-","-","1/4"" NPT and 3/8"" Conduit","Polysulfone","-25°C ~ 80°C","5 V ~ 15 V"
https://www3.panasonic.biz/ac/e_download/fasys/sensor/photoelectric/catalog/ex-f1_e_cata.pdf,//media.digikey.com/Photos/Panasonic%20Photos/EX-F1.JPG,1110-1874-ND,EX-F1,Panasonic Industrial Automation Sales,SENSOR AMP 6-13MM DIA 12-24V NPN,278,0,"135.60000","0","1","-","Active","Liquid","NPN","Open Collector","30mA","-","-","Tie Mount","Polycarbonate","-10°C ~ 55°C","12 ~ 24 V"
//media.digikey.com/pdf/Data%20Sheets/SSI%20Technology%20PDFs/DFT-110.pdf,//media.digikey.com/photos/SSI%20Tech%20Photos/DFT-100-R.JPG,734-1162-ND,DFT-110,SSI Technologies Inc,SENSOR DRUM GAUGE 55GALLON LCD,39,0,"164.16000","0","1","Digital Fluid-Trac™","Active","Liquid","-","LCD Display","-","-","-","Male 2"" (50.8mm) NPT","-","0°C ~ 50°C","-"
https://www.littelfuse.com/~/media/electronics/datasheets/reed_sensors/littelfuse_reed_sensors_59630_datasheet.pdf.pdf,//media.digikey.com/Photos/Littelfuse%20Photos/59630-1-T-02-A.jpg,F7185-ND,59630-1-T-03-A,Littelfuse Inc.,REED SENSOR W/INTEGRAL FLOAT,282,0,"7.99000","0","1","59630","Active","Liquid","Switch (Single Float)","SPST-NO","500mA","-","0.2"" (5.08 mm)","Panel Mount, M8 Thread","-","-40°C ~ 105°C","200VDC"
https://www.cynergy3.com/sites/default/files/RSF80%202016.pdf,//media.digikey.com/Photos/Cynergy%203/MFG_RSF80%20Series.jpg,725-1009-ND,RSF84Y100R,Cynergy 3,FLOATSWITCH HORZ .6A POLYPROP,290,0,"15.71000","0","1","RSF80","Active","Liquid","Switch (Single Float)","SPST-NC/NO","600mA","0.85","0.787"" (20mm)","Male 1/2"" (12.7mm) NPT","Polypropylene (PP)","-20°C ~ 100°C","120VDC, 240VAC"
https://www.cynergy3.com/sites/default/files/RSF80%202016.pdf,//media.digikey.com/Photos/Cynergy%203/MFG_RSF80%20Series.jpg,725-1134-ND,RSF88Y100R,Cynergy 3,FLOATSWITCH HORZ .6A NO/NC POLY,120,0,"15.71000","0","1","RSF80","Active","Liquid","Switch (Single Float)","SPST-NC/NO","600mA","0.85","0.787"" (20mm)","Male 1/2"" (12.7mm) NPT","Polypropylene (PP)","-20°C ~ 100°C","120VDC, 240VAC"
https://www.cynergy3.com/sites/default/files/RSF50%202016_1.pdf,//media.digikey.com/Photos/Cynergy%203/rsf53y100rc.JPG,725-1013-ND,RSF53Y100RC,Cynergy 3,FLOATSWITCH VERT .6A NO/NC NYL,148,0,"17.36000","0","1","RSF50","Active","Liquid","Switch (Single Float)","SPST-NC/NO","600mA","0.8","0.886"" (22.5mm)","Panel Mount, M12x1.75 Thread","Nylon","-20°C ~ 75°C","120VDC, 240VAC"
https://www.cynergy3.com/sites/default/files/RSF70%202016_2.pdf,//media.digikey.com/Photos/Cynergy%203/MFG_RSF70%20Series.jpg,725-1128-ND,RSF78Y100RN,Cynergy 3,FLOATSWITCH HORZ .6A NO/NC POLY,360,0,"18.03000","0","1","RSF70","Active","Liquid","Switch (Single Float)","SPST-NC/NO","600mA","0.8","0.787"" (20mm)","Panel Mount, M16x2 Thread","Polypropylene (PP)","-20°C ~ 100°C","120VDC, 240VAC"
https://www.cynergy3.com/sites/default/files/RSF10%202017.pdf,//media.digikey.com/photos/Crydom%20Photos/RSF16Y100RF.jpg,725-1348-ND,RSF16Y100RF,Cynergy 3,SENSOR LEVEL VERTICAL POLYPROP,171,0,"23.53000","0","1","RSF10","Active","Liquid","Switch (Single Float)","SPST-NC","600mA","0.75","0.866"" (22mm)","Panel Mount, M16x2 Thread","Polyphenylene Sulphide (PPS)","-10°C ~ 120°C","120VDC, 240VAC"
//media.digikey.com/pdf/Data%20Sheets/Audiowell%20PDFs/UM0017-000.pdf,//media.digikey.com/Photos/Audiowell-International-LLC/MFG_UM0017.JPG,1922-1000-ND,UM0017,Audiowell International LLC,ULTRASONIC BOTTOM LEVEL SENSOR,104,0,"24.75000","0","1","-","Active","Liquid","Digital","-","12mA","-","19.685"" (500mm)","Cable Mount","Acrylonitrile Butadiene Styrene (ABS)","5°C ~ 50°C","4.5 V ~ 5.5 V"
https://www.cynergy3.com/sites/default/files/product-data-sheets/OLS5.pdf,//media.digikey.com/Photos/Cynergy%203/OLS5%20SERIES.JPG,725-1286-ND,OLS510D3,Cynergy 3,OPT LIQUID LVL SENSOR M10 MNT HI,135,0,"42.51000","0","1","OLS5","Active","Liquid","Push-Pull","High-Dry","2.5mA","-","-","Threaded","Polysulfone (PES)","-40°C ~ 125°C","5 V ~ 15 V"
http://www.sstsensing.com/product/honeywell-lle-series-liquid-level-switches/,//media.digikey.com/Photos/SST-Sensing/LLC103101.JPG,1921-1006-ND,LLC103101,SST Sensing Ltd.,LIQUID LEVEL SENSOR,178,0,"56.00000","0","1","-","Active","Liquid","Digital","Push-Pull","2.5mA","-","-","Threaded","Polysulfone (PES)","-40°C ~ 125°C","4.5 V ~ 15.4 V"
https://www.cynergy3.com/sites/default/files/RSF70%202016_2.pdf,//media.digikey.com/Photos/Cynergy%203/RSF76Y050TV.jpg,725-1063-ND,RSF76Y050TV,Cynergy 3,FLOATSWITCH 25VA PPS N/O 50CM,214,0,"22.49000","0","1","RSF70","Active","Liquid","Switch (Single Float)","SPST-NC/NO","600mA","0.85","0.945"" (24mm)","Panel Mount, M16x2 Thread","Polyphenylene Sulphide (PPS)","-10°C ~ 120°C","120VDC, 240VAC"
