Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Operating Force","Output","Sensor Type","Voltage - Supply","Actuator Type","Actuator Style/Size","Operating Temperature"
https://cdn.sparkfun.com/datasheets/Sensors/ForceFlex/TAL220M4M5Update.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_SEN-13329.jpg,1568-1852-ND,SEN-13329,SparkFun Electronics,LOAD CELL - 10KG STRAIGHT BAR TA,1089,0,"8.50000","0","1","-","Active","10.00kgf (22lbs)","Resistive","Load Cell","9V ~ 12V","Diaphragm","-","-10°C ~ 40°C"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=FX19&DocType=DS&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/FX1901-0001.jpg,223-1528-ND,FX1901-0001-0025-L,TE Connectivity Measurement Specialties,SENSOR TENSE LOAD CELL,421,0,"30.76000","0","1","-","Active","11.34kgf (25lbs)","Voltage","Resistive","5V","Pushbutton","-","0°C ~ 50°C"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=FX19&DocType=DS&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/FX1901-0001.jpg,223-1529-ND,FX1901-0001-0050-L,TE Connectivity Measurement Specialties,SENSOR TENSE LOAD CELL,130,0,"30.76000","0","1","-","Active","22.68kgf (50lbs)","Voltage","Resistive","5V","Pushbutton","-","0°C ~ 50°C"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=FX19&DocType=DS&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/FX1901-0001.jpg,223-1531-ND,FX1901-0001-0200-L,TE Connectivity Measurement Specialties,SENSOR TENSE LOAD CELL,120,0,"30.76000","0","1","-","Active","90.72kgf (200lbs)","Voltage","Resistive","5V","Pushbutton","-","0°C ~ 50°C"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=FC22&DocType=DS&DocLang=English,//media.digikey.com/photos/Measurement%20Specialties%20Photos/FC2231%20SERIES.jpg,223-1772-ND,FC2231-0000-0025-L,TE Connectivity Measurement Specialties,SENSOR FORCE LOAD CELL 25LBS,258,0,"66.88000","0","1","-","Active","11.34kgf (25lbs)","0.5 V ~ 4.5 V","Load Cell","5V","Pushbutton","Round, 6mm","-40°C ~ 85°C"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=FC22&DocType=DS&DocLang=English,//media.digikey.com/photos/Measurement%20Specialties%20Photos/FC2231%20SERIES.jpg,MSP6948-ND,FC2231-0000-0010-L,TE Connectivity Measurement Specialties,SENSOR FORCE LOAD CELL 10LBS,208,0,"66.88000","0","1","-","Active","4.54kgf (10lbs)","0.5 V ~ 4.5 V","Load Cell","5V","Pushbutton","Round, 6mm","-40°C ~ 85°C"
http://sensing.honeywell.com/index.php?ci_id=50136,//media.digikey.com/Photos/Honeywell%20Photos/FSG005WNPB.jpg,480-5692-ND,FSG005WNPB,Honeywell Sensing and Productivity Solutions,SENSOR FORCE SENSING RES 0-5N,117,0,"129.42000","0","1","FSG","Active","0 ~ 5N","Voltage","Force Sensing Resistor","10V","Plunger","-","-40°C ~ 85°C"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=FC23&DocType=DS&DocLang=English,//media.digikey.com/photos/Measurement%20Specialties%20Photos/FC2311-0000-0250-L.JPG,MSP6952-ND,FC2311-0000-0250-L,TE Connectivity Measurement Specialties,SENSOR FORCE LOAD CELL 250LBS,65,0,"130.85000","0","1","-","Active","113.4kgf (250lbs)","100mV","Load Cell","2V ~ 10V","Pushbutton","Round, 8mm","-40°C ~ 85°C"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=FC23&DocType=DS&DocLang=English,//media.digikey.com/Photos/Measurement%20Specialties%20Photos/FC2311-0000-0500-L.JPG,MSP6953-ND,FC2311-0000-0500-L,TE Connectivity Measurement Specialties,SENSOR FORCE LOAD CELL 500LBS,52,0,"130.85000","0","1","-","Active","226.80kgf (500lbs)","100mV","Load Cell","2V ~ 10V","Pushbutton","Round, 8mm","-40°C ~ 85°C"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=FC23&DocType=DS&DocLang=English,//media.digikey.com/photos/Measurement%20Specialties%20Photos/FC2311-0000-2000-L.JPG,MSP6955-ND,FC2311-0000-2000-L,TE Connectivity Measurement Specialties,SENSOR FORCE LOAD CELL 2000LBS,33,0,"130.85000","0","1","-","Active","907.18kgf (2000lbs)","100mV","Load Cell","2V ~ 10V","Pushbutton","Round, 8mm","-40°C ~ 85°C"
http://sensing.honeywell.com/honeywell-t&m-model-13-subminiature-load-cell-product-sheet-008641-2-en.pdf,//media.digikey.com/Photos/Honeywell%20Photos/13-SERIES.jpg,480-6088-ND,060-2443-06,Honeywell Sensing and Productivity Solutions T&M,SENSOR FORCE LOAD CELL 10LBS,42,0,"696.36000","0","1","Model 13","Active","4.54kgf (10lbs)","Voltage","Load Cell","5V","Pushbutton","Round, 2.29mm","-54°C to 121°C"
https://cdn.sparkfun.com/assets/e/5/f/5/6/TAL220B.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_SEN-14729.jpg,1568-1900-ND,SEN-14729,SparkFun Electronics,LOAD CELL 5KG STRAIGHT BAR TAL22,106,0,"11.88000","0","1","-","Active","5kgf (11lbs)","Analog Voltage","Load Cell","3V ~ 10V","-","-","-10°C ~ 55°C"
http://sensing.honeywell.com/index.php/ci_id/44994/la_id/1/document/1/re_id/0,//media.digikey.com/Photos/Honeywell%20Photos/FSS1500NGT.jpg,480-3308-5-ND,FSS1500NGT,Honeywell Sensing and Productivity Solutions,SENSOR FORCE SURF MOUNT 3.3LBS,320,0,"94.38000","0","1","FSS","Active","1.5kgf (3.3lbs)","180mV","Resistive","3V ~ 6V","Ball","Round, 1.98mm","-40°C ~ 85°C"
http://sensing.honeywell.com/index.php?ci_id=50136,//media.digikey.com/Photos/Honeywell%20Photos/FSG015WNPB.jpg,480-5694-ND,FSG015WNPB,Honeywell Sensing and Productivity Solutions,SENSOR FORCE SENSING RES 0-15N,30,0,"129.42000","0","1","FSG","Active","0 ~ 15N","Voltage","Force Sensing Resistor","10V","Plunger","-","-40°C ~ 85°C"
//media.digikey.com/pdf/Data%20Sheets/Seeed%20Technology/114990093_Web.pdf,//media.digikey.com/Photos/Seeed%20Technology%20Ltd/MFG_114990093.jpg,1597-1575-ND,114990093,"Seeed Technology Co., Ltd",WEIGHT SENSOR (LOAD CELL) 0-3KG,122,0,"10.15000","0","1","*","Active","-","-","-","-","-","-","-"
-,"//media.digikey.com/photos/Honeywell%20Photos/FSS1500NSB,%20FSS1500NSR,%20FSS1500NST.jpg",480-2619-2-ND,FSS1500NSR,Honeywell Sensing and Productivity Solutions,SENSOR FORCE SURF MOUNT 3.3LBS,0,0,"74.80000","0","25","FSS","Active","1.5kgf (3.3lbs)","180mV","Resistive","3V ~ 6V","Ball","Round, 1.98mm","-40°C ~ 85°C"
-,"//media.digikey.com/photos/Honeywell%20Photos/FSS1500NSB,%20FSS1500NSR,%20FSS1500NST.jpg",480-2619-1-ND,FSS1500NSR,Honeywell Sensing and Productivity Solutions,SENSOR FORCE SURF MOUNT 3.3LBS,844,0,"100.86000","0","1","FSS","Active","1.5kgf (3.3lbs)","180mV","Resistive","3V ~ 6V","Ball","Round, 1.98mm","-40°C ~ 85°C"
-,"//media.digikey.com/photos/Honeywell%20Photos/FSS1500NSB,%20FSS1500NSR,%20FSS1500NST.jpg",480-2619-6-ND,FSS1500NSR,Honeywell Sensing and Productivity Solutions,SENSOR FORCE SURF MOUNT 3.3LBS,844,0,"Digi-Reel","0","1","FSS","Active","1.5kgf (3.3lbs)","180mV","Resistive","3V ~ 6V","Ball","Round, 1.98mm","-40°C ~ 85°C"
https://www.parallax.com/sites/default/files/downloads/30056-FlexiForce-Sensor-Documentation-v2.0.pdf,//media.digikey.com/Photos/Parallax%20Photos/30056.jpg,30056-ND,30056,Parallax Inc.,SENSOR FORCE SENSING RES 25LBS,23,0,"24.99000","0","1","FlexiForce®","Active","11.34kgf (25lbs)","0 V ~ 4.2 V","Force Sensing Resistor","2.7V ~ 5.6V","Flat Membrane","Round, 9.53mm","-9°C ~ 60°C"
