Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Applications","Pressure Type","Operating Pressure","Output Type","Output","Accuracy","Voltage - Supply","Port Size","Port Style","Features","Termination Style","Maximum Pressure","Operating Temperature","Package / Case","Supplier Device Package"
https://ae-bst.resource.bosch.com/media/_tech/media/datasheets/BST-BMP280-DS001.pdf,//media.digikey.com/Photos/Bosch%20Sensortec/MFG_BMP280.jpg,828-1064-2-ND,BMP280,Bosch Sensortec,SENSOR PRESSURE ABS,90000,0,"1.23690","0","10000","-","Active","Board Mount","Absolute","4.35PSI ~ 15.95PSI (30kPa ~ 110kPa)","I²C, SPI","16b","±0.015PSI (±0.1kPa)","1.71V ~ 3.6V","-","No Port","Standby Mode","SMD (SMT) Tab","290.08PSI (2000kPa)","-40°C ~ 85°C","8-SMD","8-SMD"
https://ae-bst.resource.bosch.com/media/_tech/media/datasheets/BST-BMP280-DS001.pdf,//media.digikey.com/Photos/Bosch%20Sensortec/MFG_BMP280.jpg,828-1064-1-ND,BMP280,Bosch Sensortec,SENSOR PRESSURE ABS,99272,0,"3.48000","0","1","-","Active","Board Mount","Absolute","4.35PSI ~ 15.95PSI (30kPa ~ 110kPa)","I²C, SPI","16b","±0.015PSI (±0.1kPa)","1.71V ~ 3.6V","-","No Port","Standby Mode","SMD (SMT) Tab","290.08PSI (2000kPa)","-40°C ~ 85°C","8-SMD","8-SMD"
https://ae-bst.resource.bosch.com/media/_tech/media/datasheets/BST-BMP280-DS001.pdf,//media.digikey.com/Photos/Bosch%20Sensortec/MFG_BMP280.jpg,828-1064-6-ND,BMP280,Bosch Sensortec,SENSOR PRESSURE ABS,99272,0,"Digi-Reel","0","1","-","Active","Board Mount","Absolute","4.35PSI ~ 15.95PSI (30kPa ~ 110kPa)","I²C, SPI","16b","±0.015PSI (±0.1kPa)","1.71V ~ 3.6V","-","No Port","Standby Mode","SMD (SMT) Tab","290.08PSI (2000kPa)","-40°C ~ 85°C","8-SMD","8-SMD"
http://www.st.com/content/ccc/resource/technical/document/datasheet/bf/c1/4f/23/61/17/44/8a/DM00140895.pdf/files/DM00140895.pdf/jcr:content/translations/en.DM00140895.pdf,//media.digikey.com/Renders/STMicro%20Renders/10HCLGA.jpg,497-16265-2-ND,LPS22HBTR,STMicroelectronics,MEMS NANO PRESSURE SENSOR: 260-1,8000,0,"1.28000","0","8000","-","Active","Board Mount","Absolute","3.77PSI ~ 18.27PSI (26kPa ~ 126kPa)","I²C, SPI","24 b","±0.015PSI (±0.1kPa)","1.7V ~ 3.6V","-","No Port","Temperature Compensated","SMD (SMT) Tab","290.08PSI (2000kPa)","-40°C ~ 85°C","10-WFLGA Exposed Pad","10-HLGA (2.0x2.0)"
http://www.st.com/content/ccc/resource/technical/document/datasheet/bf/c1/4f/23/61/17/44/8a/DM00140895.pdf/files/DM00140895.pdf/jcr:content/translations/en.DM00140895.pdf,//media.digikey.com/Renders/STMicro%20Renders/10HCLGA.jpg,497-16265-1-ND,LPS22HBTR,STMicroelectronics,MEMS NANO PRESSURE SENSOR: 260-1,12290,0,"2.73000","0","1","-","Active","Board Mount","Absolute","3.77PSI ~ 18.27PSI (26kPa ~ 126kPa)","I²C, SPI","24 b","±0.015PSI (±0.1kPa)","1.7V ~ 3.6V","-","No Port","Temperature Compensated","SMD (SMT) Tab","290.08PSI (2000kPa)","-40°C ~ 85°C","10-WFLGA Exposed Pad","10-HLGA (2.0x2.0)"
http://www.st.com/content/ccc/resource/technical/document/datasheet/bf/c1/4f/23/61/17/44/8a/DM00140895.pdf/files/DM00140895.pdf/jcr:content/translations/en.DM00140895.pdf,//media.digikey.com/Renders/STMicro%20Renders/10HCLGA.jpg,497-16265-6-ND,LPS22HBTR,STMicroelectronics,MEMS NANO PRESSURE SENSOR: 260-1,12290,0,"Digi-Reel","0","1","-","Active","Board Mount","Absolute","3.77PSI ~ 18.27PSI (26kPa ~ 126kPa)","I²C, SPI","24 b","±0.015PSI (±0.1kPa)","1.7V ~ 3.6V","-","No Port","Temperature Compensated","SMD (SMT) Tab","290.08PSI (2000kPa)","-40°C ~ 85°C","10-WFLGA Exposed Pad","10-HLGA (2.0x2.0)"
https://ae-bst.resource.bosch.com/media/_tech/media/datasheets/BST-BMP388-DS001.pdf,//media.digikey.com/Photos/Bosch%20Sensortec/MFG_BMP388.jpg,828-1079-2-ND,BMP388,Bosch Sensortec,SENSOR PRESSURE ABS,10000,0,"1.30050","0","10000","-","Active","Board Mount","Absolute","4.35PSI ~ 18.13PSI (30kPa ~ 125kPa)","I²C, SPI","-","±0.007PSI (±0.05kPa)","1.65V ~ 3.6V","-","No Port","-","SMD (SMT) Tab","-","-","10-WFLGA","10-LGA (2x2)"
https://ae-bst.resource.bosch.com/media/_tech/media/datasheets/BST-BMP388-DS001.pdf,//media.digikey.com/Photos/Bosch%20Sensortec/MFG_BMP388.jpg,828-1079-1-ND,BMP388,Bosch Sensortec,SENSOR PRESSURE ABS,16844,0,"3.81000","0","1","-","Active","Board Mount","Absolute","4.35PSI ~ 18.13PSI (30kPa ~ 125kPa)","I²C, SPI","-","±0.007PSI (±0.05kPa)","1.65V ~ 3.6V","-","No Port","-","SMD (SMT) Tab","-","-","10-WFLGA","10-LGA (2x2)"
https://ae-bst.resource.bosch.com/media/_tech/media/datasheets/BST-BMP388-DS001.pdf,//media.digikey.com/Photos/Bosch%20Sensortec/MFG_BMP388.jpg,828-1079-6-ND,BMP388,Bosch Sensortec,SENSOR PRESSURE ABS,16844,0,"Digi-Reel","0","1","-","Active","Board Mount","Absolute","4.35PSI ~ 18.13PSI (30kPa ~ 125kPa)","I²C, SPI","-","±0.007PSI (±0.05kPa)","1.65V ~ 3.6V","-","No Port","-","SMD (SMT) Tab","-","-","10-WFLGA","10-LGA (2x2)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=MS5637-02BA03&DocType=Data+Sheet&DocLang=English,//media.digikey.com/Renders/Measurement%20Specialties%20Renders/BAROMETRIC%20PRESSURE%20SENSOR.jpg,223-1199-2-ND,MS563702BA03-50,TE Connectivity Measurement Specialties,SENSOR 17.4PSIA I2C 24B 4-QFN,14400,0,"1.31950","0","3600","-","Active","Board Mount","Absolute","4.35PSI ~ 17.4PSI (30kPa ~ 120kPa)","I²C","24 b","±0.058PSI (±0.4kPa)","1.5V ~ 3.6V","-","No Port","-","SMD (SMT) Tab","87.02PSI (600kPa)","-40°C ~ 85°C","4-SMD, No Lead Exposed Pad","4-SMD"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=MS5637-02BA03&DocType=Data+Sheet&DocLang=English,//media.digikey.com/Renders/Measurement%20Specialties%20Renders/BAROMETRIC%20PRESSURE%20SENSOR.jpg,223-1199-1-ND,MS563702BA03-50,TE Connectivity Measurement Specialties,SENSOR 17.4PSIA I2C 24B 4-QFN,16785,0,"3.40000","0","1","-","Active","Board Mount","Absolute","4.35PSI ~ 17.4PSI (30kPa ~ 120kPa)","I²C","24 b","±0.058PSI (±0.4kPa)","1.5V ~ 3.6V","-","No Port","-","SMD (SMT) Tab","87.02PSI (600kPa)","-40°C ~ 85°C","4-SMD, No Lead Exposed Pad","4-SMD"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=MS5637-02BA03&DocType=Data+Sheet&DocLang=English,//media.digikey.com/Renders/Measurement%20Specialties%20Renders/BAROMETRIC%20PRESSURE%20SENSOR.jpg,223-1199-6-ND,MS563702BA03-50,TE Connectivity Measurement Specialties,SENSOR 17.4PSIA I2C 24B 4-QFN,16785,0,"Digi-Reel","0","1","-","Active","Board Mount","Absolute","4.35PSI ~ 17.4PSI (30kPa ~ 120kPa)","I²C","24 b","±0.058PSI (±0.4kPa)","1.5V ~ 3.6V","-","No Port","-","SMD (SMT) Tab","87.02PSI (600kPa)","-40°C ~ 85°C","4-SMD, No Lead Exposed Pad","4-SMD"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=MS5607-02BA03&DocType=Data+Sheet&DocLang=English,//media.digikey.com/Photos/Measurement%20Specialties%20Photos/MS560702BA03-50.jpg,223-1198-2-ND,MS560702BA03-50,TE Connectivity Measurement Specialties,BAROMETRIC PRESSURE SENSOR,21600,0,"1.41400","0","3600","-","Active","Board Mount","Absolute","0.15PSI ~ 17.4PSI (1kPa ~ 120kPa)","I²C, SPI","24 b","±0.022PSI (±0.15kPa)","1.8V ~ 3.6V","-","No Port","-","SMD (SMT) Tab","87.02PSI (600kPa)","-40°C ~ 85°C","8-SMD","8-SMD"
