Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Type","Pixel Size","Active Pixel Array","Frames per Second","Voltage - Supply","Package / Case","Supplier Device Package","Operating Temperature"
http://www.onsemi.com/pub/Collateral/MT9M114-D.PDF,//media.digikey.com/Renders/On%20Semi%20Renders/488;-570BP;-;-55.jpg,MT9M114EBLSTCZ-CR1-ND,MT9M114EBLSTCZ-CR1,ON Semiconductor,SENSOR IMAGE 1MP CMOS 55ODCSP,866,24960,"8.49000","0","1","Tray","-","Active","CMOS","1.9µm x 1.9µm","1296H x 976V","120","1.7V ~ 3.1V","55-WFBGA","55-ODCSP (4.62x3.82)","-30°C ~ 70°C"
http://www.onsemi.com/pub/Collateral/MT9V034-D.PDF,//media.digikey.com/photos/Eastman%20Kodak%20Photos/543-48-CLCC.jpg,MT9V034C12STM-DP1OS-ND,MT9V034C12STM-DP1,ON Semiconductor,SENSOR IMAGE VGA 1/3 CMOS 48CLCC,255,760,"26.72000","0","1","Tray","-","Active","CMOS","6µm x 6µm","752H x 480V","60","3V ~ 3.6V","48-PLCC","48-PLCC (11.43x11.43)","-30°C ~ 70°C"
http://www.onsemi.com/pub/Collateral/MT9P031-D.PDF,-,MT9P031I12STC-DR-ND,MT9P031I12STC-DR,ON Semiconductor,SENSOR IMAGE COLOR CMOS 48-LCC,1820,9600,"29.77000","0","1","-","-","Active","CMOS","2.2µm x 2.2µm","2592H x 1944V","53","1.7V ~ 1.9V, 2.6V ~ 3.1V","48-LCC","48-iLCC (10x10)","-30°C ~ 70°C"
https://www.melexis.com/-/media/files/documents/datasheets/mlx90640-datasheet-melexis.pdf,//media.digikey.com/Photos/Melexis%20Photos/MLX90640.jpg,MLX90640ESF-BAB-000-TU-ND,MLX90640ESF-BAB-000-TU,Melexis Technologies NV,SENSOR DGTL -40C-85C TO39,501,0,"46.34000","0","1","Bulk","-","Active","Thermal","-","32H x 24V","-","2.9V ~ 3.6V","TO-205AD, TO-39-3 Metal Can","TO-39","-40°C ~ 85°C"
https://www.melexis.com/-/media/files/documents/datasheets/mlx90640-datasheet-melexis.pdf,//media.digikey.com/Photos/Melexis%20Photos/MLX90640.jpg,MLX90640ESF-BAB-000-SP-ND,MLX90640ESF-BAB-000-SP,Melexis Technologies NV,SENSOR DGTL -40C-85C TO39,195,0,"46.34000","0","1","Bulk","-","Active","Thermal","-","32H x 24V","-","2.9V ~ 3.6V","TO-39-4 Metal Can","TO-39","-40°C ~ 85°C"
http://www.4dsystems.com.au/productpages/uCAM-III/downloads/uCAM-III_datasheet_R_1_0.pdf,//media.digikey.com/Photos/4D-Systems-Pty-Ltd/MFG_UCAM-III_A.jpg,1613-1369-ND,UCAM-III,4D Systems Pty Ltd,MODULE MICRO SERIAL JPEG CAMERA,103,0,"49.98000","0","1","Bulk","-","Active","CMOS","5.5µm x 5.5µm","656H x 496V","-","4.5V ~ 9V","Module","-","-30°C ~ 85°C"
https://www.melexis.com/-/media/files/documents/datasheets/mlx90640-datasheet-melexis.pdf,//media.digikey.com/Photos/Melexis%20Photos/MLX90614ESF-DCC-000-TU.jpg,MLX90640ESF-BAA-000-SP-ND,MLX90640ESF-BAA-000-SP,Melexis Technologies NV,SENSOR DGTL -40C-85C TO39,525,0,"50.80000","0","1","Bulk","-","Active","Thermal","-","32H x 24V","-","2.9V ~ 3.6V","TO-39-4 Metal Can","TO-39","-40°C ~ 85°C"
https://www.flir.com/globalassets/imported-assets/document/flir-lepton-engineering-datasheet.pdf,//media.digikey.com/Photos/FLIR/MFG_500-0643-00.jpg,500-0643-00-ND,500-0643-00,FLIR Lepton,THERMAL IMAGE SENSOR 80HX60V,552,0,"175.00000","0","1","Tray","Lepton®","Active","Thermal","17µm x 17µm","80H x 60V","8.6","2.72V ~ 2.88V","Module","Module","-10°C ~ 65°C"
https://www.flir.com/globalassets/imported-assets/document/flir-lepton-engineering-datasheet.pdf,//media.digikey.com/Photos/FLIR/MFG_500-0659-01.jpg,500-0659-01-ND,500-0659-01,FLIR Lepton,THERMAL IMAGE SENSOR 80HX60V,172,0,"183.00000","0","1","Tray","Lepton®","Active","Thermal","17µm x 17µm","80H x 60V","8.6","2.72V ~ 2.88V","Module","Module","-10°C ~ 65°C"
https://www.flir.com/globalassets/imported-assets/document/flir-lepton-engineering-datasheet.pdf,//media.digikey.com/Photos/FLIR/MFG_500-0690-00.jpg,500-0690-00-ND,500-0690-00,FLIR Lepton,THERMAL IMAGE SENSOR 80HX60V,43,0,"183.00000","0","1","Tray","Lepton®","Active","Thermal","17µm x 17µm","80H x 60V","8.6","2.72V ~ 2.88V","Module","Module","-10°C ~ 65°C"
http://www.onsemi.com/pub/Collateral/NOIL1SM0300A-D.PDF,//media.digikey.com/Photos/On%20Semi%20Photos/NOIL1SM0300A-QDC.jpg,NOIL1SM0300A-QDCOS-ND,NOIL1SM0300A-QDC,ON Semiconductor,IC IMAGE SENSOR LUPA300 48LLC,511,350,"215.27000","0","1","Tray","-","Active","CMOS","9.9µm x 9.9µm","640H x 480V","250","2.5V, 3.3V","48-LQFN","48-LCC (14.22x14.22)","-40°C ~ 70°C (TJ)"
 https://www.flir.com/globalassets/imported-assets/document/lepton-3-3.5-datasheet.pdf,//media.digikey.com/Photos/FLIR/500-0763-01.JPG,500-0726-01-ND,500-0726-01,FLIR Lepton,THERMAL IMAGE SENSOR 160HX120V,607,0,"239.00000","0","1","Tray","Lepton®","Active","Thermal","12µm x 12µm","160H x 120V","8.8","2.5V ~ 3.1V","Module","Module","-10°C ~ 65°C"
 https://www.flir.com/globalassets/imported-assets/document/lepton-3-3.5-datasheet.pdf,//media.digikey.com/Photos/FLIR/MFG_500-0771-01.jpg,500-0771-01-ND,500-0771-01,FLIR Lepton,THERMAL IMAGE SENSOR 160HX120V,6,0,"259.00000","0","1","-","Lepton® 3.5","Active","Thermal","12µm x 12µm","160H x 120V","8.7","2.5V ~ 3.1V","Module","Module","-10°C ~ 80°C"
https://omronfs.omron.com/en_US/ecb/products/pdf/en-b5t.pdf,//media.digikey.com/Photos/Omron%20Elect%20Photos/MFG_B5T-007001-010.jpg,Z6070-ND,B5T-007001-010,Omron Electronics Inc-EMC Div,FACIAL RECOGNITION CAMERA 50 DEG,172,0,"300.88000","0","1","Box","HVC-P2","Active","Human Detection, Facial Recognition","-","1600H x 1200V","-","5V","Module","Module","0°C ~ 50°C (TA)"
https://omronfs.omron.com/en_US/ecb/products/pdf/en-b5t.pdf,//media.digikey.com/Photos/Omron%20Elect%20Photos/MFG_B5T-007001-020.jpg,Z6071-ND,B5T-007001-020,Omron Electronics Inc-EMC Div,FACIAL RECOGNITION CAMERA 90 DEG,33,0,"312.06000","0","1","Bulk","HVC-P2","Active","Human Detection, Facial Recognition","-","1600H x 1200V","-","5V","Module","Module","0°C ~ 50°C (TA)"
http://www.onsemi.com/pub/Collateral/NOIV1SN5000A-D.PDF,//media.digikey.com/photos/On%20Semi%20Photos/NOIV1SN5000A-QDC.JPG,NOIV1SN5000A-QDCOS-ND,NOIV1SN5000A-QDC,ON Semiconductor,IC IMAGE SENSOR 5.3MP 68LLC,37,0,"459.04000","0","1","Tray","-","Active","CMOS","4.8µm x 4.8µm","2592H x 2048V","75","1.8V, 3.3V","68-QFN","68-LCC (24.13x24.13)","0°C ~ 70°C (TJ)"
//media.digikey.com/pdf/Data%20Sheets/OmniVision%20PDFs/OVM7690.pdf,//media.digikey.com/Photos/OmniVision%20Tech/OVM7690-R20A.jpg,884-1019-2-ND,OVM7690-R20A,OmniVision Technologies Inc,SENSOR CAMERA CMOS 20CAMERACUBE,2500,0,"3.85000","0","2500","Tape & Reel (TR)","CameraCube™","Active","CMOS with Processor","1.75µm x 1.75µm","640H x 480V","30","2.8V","20-CAMERACUBE","-","-30°C ~ 70°C (TA)"
//media.digikey.com/pdf/Data%20Sheets/OmniVision%20PDFs/OVM7690.pdf,//media.digikey.com/Photos/OmniVision%20Tech/OVM7690-R20A.jpg,884-1019-1-ND,OVM7690-R20A,OmniVision Technologies Inc,SENSOR CAMERA CMOS 20CAMERACUBE,4939,0,"8.78000","0","1","Cut Tape (CT)","CameraCube™","Active","CMOS with Processor","1.75µm x 1.75µm","640H x 480V","30","2.8V","20-CAMERACUBE","-","-30°C ~ 70°C (TA)"
//media.digikey.com/pdf/Data%20Sheets/OmniVision%20PDFs/OVM7690.pdf,//media.digikey.com/Photos/OmniVision%20Tech/OVM7690-R20A.jpg,884-1019-6-ND,OVM7690-R20A,OmniVision Technologies Inc,SENSOR CAMERA CMOS 20CAMERACUBE,4939,0,"Digi-Reel","0","1","Digi-Reel®","CameraCube™","Active","CMOS with Processor","1.75µm x 1.75µm","640H x 480V","30","2.8V","20-CAMERACUBE","-","-30°C ~ 70°C (TA)"
http://www.ovt.com/download/sensorpdf/46/OmniVision_OVM7692.pdf,//media.digikey.com/Photos/OmniVision%20Tech/OVM7690-RYAA.JPG,884-1028-2-ND,OVM7692-RAAA,OmniVision Technologies Inc,SENSOR IMAGE,12500,0,"4.33125","0","2500","Tape & Reel (TR)","CameraCubeChip™, OmniPixel3-HS™","Active","CMOS with Processor","1.75µm x 1.75µm","640H x 480V","30","2.8V","25-CSP","-","-30°C ~ 70°C (TJ)"
http://www.ovt.com/download/sensorpdf/46/OmniVision_OVM7692.pdf,//media.digikey.com/Photos/OmniVision%20Tech/OVM7690-RYAA.JPG,884-1028-1-ND,OVM7692-RAAA,OmniVision Technologies Inc,SENSOR IMAGE,13659,0,"9.88000","0","1","Cut Tape (CT)","CameraCubeChip™, OmniPixel3-HS™","Active","CMOS with Processor","1.75µm x 1.75µm","640H x 480V","30","2.8V","25-CSP","-","-30°C ~ 70°C (TJ)"
http://www.ovt.com/download/sensorpdf/46/OmniVision_OVM7692.pdf,//media.digikey.com/Photos/OmniVision%20Tech/OVM7690-RYAA.JPG,884-1028-6-ND,OVM7692-RAAA,OmniVision Technologies Inc,SENSOR IMAGE,13659,0,"Digi-Reel","0","1","Digi-Reel®","CameraCubeChip™, OmniPixel3-HS™","Active","CMOS with Processor","1.75µm x 1.75µm","640H x 480V","30","2.8V","25-CSP","-","-30°C ~ 70°C (TJ)"
//media.digikey.com/pdf/Data%20Sheets/OmniVision%20PDFs/OV5653.pdf,//media.digikey.com/Photos/OmniVision%20Tech/OV05653-A66A-1E.jpg,884-1036-ND,OV05653-A66A-1E,OmniVision Technologies Inc,SENSOR IMAGE,3188,0,"14.19000","0","1","Tray","OmniBSI™","Active","CMOS with Processor","1.75µm x 1.75µm","2592H x 1944V","15","2.8V","-","66-CSP3 (6.5x6)","-"
http://www.ovt.com/download/sensorpdf/221/OmniVision_OVM6946.pdf,-,884-1049-ND,OVM6946-RAJA,OmniVision Technologies Inc,CAMERA CUBE CHIP,1858,0,"73.50000","0","1","Tray","*","Active","-","1.75µm x 1.75µm","400H x 400V","30","3.135V ~ 3.465V","Module","Module","-20°C ~ 70°C (TJ)"
http://www.onsemi.com/pub/Collateral/NOIV1SN1300A-D.PDF,//media.digikey.com/Photos/On%20Semi%20Photos/NOIV1SN1300A-QDC.JPG,NOIV1SN1300A-QDCOS-ND,NOIV1SN1300A-QDC,ON Semiconductor,IC IMAGE SENSOR 1.3MP 48LCC,56,192,"176.44000","0","1","Tray","-","Active","CMOS","4.8µm x 4.8µm","1280H x 1024V","150","1.8V, 3.3V","48-LCC","48-LCC (14.22x14.22)","-40°C ~ 85°C (TJ)"
http://www.onsemi.com/pub/Collateral/NOIV1SN1300A-D.PDF,//media.digikey.com/Photos/On%20Semi%20Photos/MFG_NOIV2SE1300A-QDC.JPG,NOIV2SE1300A-QDCOS-ND,NOIV2SE1300A-QDC,ON Semiconductor,IC IMAGE SENSOR 1.3MP 48LLC,60,64,"184.45000","0","1","Tray","-","Active","CMOS","4.8µm x 4.8µm","1280H x 1024V","150","1.8V, 3.3V","168-CPGA","168-PGA","-40°C ~ 85°C (TJ)"
