Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","For Measuring","Sensor Type","Current - Sensing","Number of Channels","Output","Sensitivity","Frequency","Linearity","Accuracy","Voltage - Supply","Response Time","Current - Supply (Max)","Operating Temperature","Polarization","Mounting Type","Package / Case","Supplier Device Package"
https://www.allegromicro.com/~/media/Files/Datasheets/ACS711-Datasheet.ashx,//media.digikey.com/Renders/Allegro%20Microsystems%20Renders/620;12QFN-.80-3x3;EX;12.jpg,620-1482-2-ND,ACS711KEXLT-31AB-T,"Allegro MicroSystems, LLC",SENSOR CURRENT HALL 31A AC/DC,91500,0,"0.56100","0","1500","Tape & Reel (TR)","-","Active","AC/DC","Hall Effect, Open Loop","31A","1","Ratiometric, Voltage","45mV/A","DC ~ 100kHz","±1%","±5%","3V ~ 5.5V","4.6µs","5.5mA","-40°C ~ 125°C","Bidirectional","Surface Mount","12-PowerWFQFN","12-QFN (3x3)"
https://www.allegromicro.com/~/media/Files/Datasheets/ACS711-Datasheet.ashx,//media.digikey.com/Renders/Allegro%20Microsystems%20Renders/620;12QFN-.80-3x3;EX;12.jpg,620-1482-1-ND,ACS711KEXLT-31AB-T,"Allegro MicroSystems, LLC",SENSOR CURRENT HALL 31A AC/DC,91937,0,"1.55000","0","1","Cut Tape (CT)","-","Active","AC/DC","Hall Effect, Open Loop","31A","1","Ratiometric, Voltage","45mV/A","DC ~ 100kHz","±1%","±5%","3V ~ 5.5V","4.6µs","5.5mA","-40°C ~ 125°C","Bidirectional","Surface Mount","12-PowerWFQFN","12-QFN (3x3)"
https://www.allegromicro.com/~/media/Files/Datasheets/ACS711-Datasheet.ashx,//media.digikey.com/Renders/Allegro%20Microsystems%20Renders/620;12QFN-.80-3x3;EX;12.jpg,620-1482-6-ND,ACS711KEXLT-31AB-T,"Allegro MicroSystems, LLC",SENSOR CURRENT HALL 31A AC/DC,91937,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","AC/DC","Hall Effect, Open Loop","31A","1","Ratiometric, Voltage","45mV/A","DC ~ 100kHz","±1%","±5%","3V ~ 5.5V","4.6µs","5.5mA","-40°C ~ 125°C","Bidirectional","Surface Mount","12-PowerWFQFN","12-QFN (3x3)"
https://www.allegromicro.com/~/media/Files/Datasheets/ACS711-Datasheet.ashx,//media.digikey.com/Renders/Allegro%20Microsystems%20Renders/620;12QFN-.80-3x3;EX;12.jpg,620-1483-2-ND,ACS711KEXLT-15AB-T,"Allegro MicroSystems, LLC",SENSOR CURRENT HALL 15.5A AC/DC,18000,0,"0.56100","0","1500","Tape & Reel (TR)","-","Active","AC/DC","Hall Effect, Open Loop","15.5A","1","Ratiometric, Voltage","90mV/A","DC ~ 100kHz","±1%","±5%","3V ~ 5.5V","4.6µs","5.5mA","-40°C ~ 125°C","Bidirectional","Surface Mount","12-PowerWFQFN","12-QFN (3x3)"
https://www.allegromicro.com/~/media/Files/Datasheets/ACS711-Datasheet.ashx,//media.digikey.com/Renders/Allegro%20Microsystems%20Renders/620;12QFN-.80-3x3;EX;12.jpg,620-1483-1-ND,ACS711KEXLT-15AB-T,"Allegro MicroSystems, LLC",SENSOR CURRENT HALL 15.5A AC/DC,19749,0,"1.55000","0","1","Cut Tape (CT)","-","Active","AC/DC","Hall Effect, Open Loop","15.5A","1","Ratiometric, Voltage","90mV/A","DC ~ 100kHz","±1%","±5%","3V ~ 5.5V","4.6µs","5.5mA","-40°C ~ 125°C","Bidirectional","Surface Mount","12-PowerWFQFN","12-QFN (3x3)"
https://www.allegromicro.com/~/media/Files/Datasheets/ACS711-Datasheet.ashx,//media.digikey.com/Renders/Allegro%20Microsystems%20Renders/620;12QFN-.80-3x3;EX;12.jpg,620-1483-6-ND,ACS711KEXLT-15AB-T,"Allegro MicroSystems, LLC",SENSOR CURRENT HALL 15.5A AC/DC,19749,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","AC/DC","Hall Effect, Open Loop","15.5A","1","Ratiometric, Voltage","90mV/A","DC ~ 100kHz","±1%","±5%","3V ~ 5.5V","4.6µs","5.5mA","-40°C ~ 125°C","Bidirectional","Surface Mount","12-PowerWFQFN","12-QFN (3x3)"
https://www.allegromicro.com/~/media/Files/Datasheets/ACS70331-Datasheet.ashx,"//media.digikey.com/Renders/Allegro%20Microsystems%20Renders/620;-12QFN-,80-3x3;-ES;-12.jpg",620-1889-2-ND,ACS70331EESATR-2P5B3,"Allegro MicroSystems, LLC","HIGH SENSITIVITY, 1 MHZ, GMR-BAS",3000,0,"0.70875","0","1500","Tape & Reel (TR)","ACS70331","Active","AC/DC","Hall Effect, Open Loop","2.5A","1","Voltage","400mV/A","DC ~ 1MHz","±0.2%","±2%","3V ~ 4.5V","535ns","6mA","-40°C ~ 85°C","Bidirectional","Surface Mount","12-PowerWQFN","12-QFN (3x3)"
https://www.allegromicro.com/~/media/Files/Datasheets/ACS70331-Datasheet.ashx,"//media.digikey.com/Renders/Allegro%20Microsystems%20Renders/620;-12QFN-,80-3x3;-ES;-12.jpg",620-1889-1-ND,ACS70331EESATR-2P5B3,"Allegro MicroSystems, LLC","HIGH SENSITIVITY, 1 MHZ, GMR-BAS",3533,0,"1.61000","0","1","Cut Tape (CT)","ACS70331","Active","AC/DC","Hall Effect, Open Loop","2.5A","1","Voltage","400mV/A","DC ~ 1MHz","±0.2%","±2%","3V ~ 4.5V","535ns","6mA","-40°C ~ 85°C","Bidirectional","Surface Mount","12-PowerWQFN","12-QFN (3x3)"
https://www.allegromicro.com/~/media/Files/Datasheets/ACS70331-Datasheet.ashx,"//media.digikey.com/Renders/Allegro%20Microsystems%20Renders/620;-12QFN-,80-3x3;-ES;-12.jpg",620-1889-6-ND,ACS70331EESATR-2P5B3,"Allegro MicroSystems, LLC","HIGH SENSITIVITY, 1 MHZ, GMR-BAS",3533,0,"Digi-Reel","0","1","Digi-Reel®","ACS70331","Active","AC/DC","Hall Effect, Open Loop","2.5A","1","Voltage","400mV/A","DC ~ 1MHz","±0.2%","±2%","3V ~ 4.5V","535ns","6mA","-40°C ~ 85°C","Bidirectional","Surface Mount","12-PowerWQFN","12-QFN (3x3)"
https://www.allegromicro.com/~/media/Files/Datasheets/ACS711-Datasheet.ashx,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/8-SOIC.jpg,620-1370-2-ND,ACS711ELCTR-12AB-T,"Allegro MicroSystems, LLC",SENSOR CURRENT HALL 12.5A AC/DC,21000,0,"1.08750","0","3000","Tape & Reel (TR)","-","Active","AC/DC","Hall Effect, Open Loop","12.5A","1","Ratiometric, Voltage","110mV/A","DC ~ 100kHz","±1%","±5%","3V ~ 5.5V","4.6µs","5.5mA","-40°C ~ 85°C","Bidirectional","Surface Mount","8-SOIC (0.154"", 3.90mm Width)","8-SOIC"
