Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Sensor Type","Response Time","Output Type","Termination Style","Voltage - Supply","Operating Temperature"
https://cdn2.hubspot.net/hubfs/3899023/Interlinkelectronics%20November2017/Docs/Datasheet_FSR.pdf,//media.digikey.com/Photos/Interlink%20Electronics%20Photos/MFG_30-49649.jpg,1027-1000-ND,30-49649,Interlink Electronics,SENSOR FORCE RES 0.04-4.5LBS,2816,0,"7.84000","0","1","FSR™400","Active","Resistive","3µs","Analog","-","-","-40°C ~ 85°C"
https://cdn2.hubspot.net/hubfs/3899023/Interlinkelectronics%20November2017/Docs/Datasheet_FSR.pdf,//media.digikey.com/Photos/Interlink%20Electronics%20Photos/34-00004.JPG,1027-1014-ND,34-00004,Interlink Electronics,SENSOR FORCE RES 0.04-4.5LBS,2181,0,"10.97000","0","1","FSR™400","Active","Resistive","3µs","Analog","Solder Tab","-","-40°C ~ 85°C"
https://cdn2.hubspot.net/hubfs/3899023/Interlinkelectronics%20November2017/Docs/Datasheet_FSR.pdf,//media.digikey.com/Photos/Interlink%20Electronics%20Photos/MFG_34-00015.jpg,1027-1018-ND,34-00015,Interlink Electronics,SENSOR FORCE SENS RES 0-2.2LBS,1688,0,"12.54000","0","1","FSR™400","Active","Resistive","3µs","Analog","Solder Tab","-","-40°C ~ 85°C"
https://cdn2.hubspot.net/hubfs/3899023/Interlinkelectronics%20November2017/Docs/Datasheet_FSR.pdf,//media.digikey.com/Photos/Interlink%20Electronics%20Photos/MFG_30-61710.jpg,1027-1003-ND,30-61710,Interlink Electronics,SENSOR FORCE RES 0.04-4.5LBS,824,0,"22.99000","0","1","FSR™400","Active","Resistive","3µs","Analog","Solder Tab","-","-40°C ~ 85°C"
http://www.ohmite.com/assets/docs/res_fsr.pdf?r=false,//media.digikey.com/Photos/Ohmite%20Photos/FSR01CE.jpg,FSR01CE-ND,FSR01CE,Ohmite,FORCE SENSING RESISTOR,231,0,"11.09000","0","1","FSR","Active","Resistive","-","Analog","Connector","-","-20°C ~ 85°C"
https://cdn2.hubspot.net/hubfs/3899023/Interlinkelectronics%20November2017/Docs/Datasheet_FSR.pdf,//media.digikey.com/Photos/Interlink%20Electronics%20Photos/34-00065.jpg,1027-1034-ND,34-00065,Interlink Electronics,SENSOR FORCE RES 0.04-4.5LBS,450,0,"13.48000","0","1","FSR™ 404","Active","Resistive","3µs","Analog","Solder Tab","-","-40°C ~ 85°C"
http://www.ohmite.com/assets/docs/res_fsr.pdf?r=false,//media.digikey.com/Photos/Ohmite%20Photos/FSR03CE.jpg,FSR03CE-ND,FSR03CE,Ohmite,FORCE SENSING RESISTOR,292,0,"13.97000","0","1","FSR","Active","Resistive","-","Analog","Connector","-","-20°C ~ 85°C"
https://cdn2.hubspot.net/hubfs/3899023/Interlinkelectronics%20November2017/Docs/Datasheet_FSR.pdf,//media.digikey.com/Photos/Interlink%20Electronics%20Photos/34-00068.JPG,1027-1028-ND,34-00068,Interlink Electronics,SENSOR FORCE RES 0.04-4.5LBS,181,0,"14.70000","0","1","FSR™ 408","Active","Resistive","3µs","Analog","Solder Tab","-","-40°C ~ 85°C"
https://cdn2.hubspot.net/hubfs/3899023/Interlinkelectronics%20November2017/Docs/Datasheet_FSR.pdf,//media.digikey.com/Photos/Interlink%20Electronics%20Photos/34-00071.JPG,1027-1031-ND,34-00071,Interlink Electronics,SENSOR FORCE RES 0.04-4.5LBS,103,0,"22.77000","0","1","FSR™ 408","Active","Resistive","3µs","Analog","Solder Tab","-","-40°C ~ 85°C"
https://support.neonode.com/docs/download/attachments/1671912/zForce%20AIR%E2%84%A2%20Touch%20Sensor%20Specifications.pdf,//media.digikey.com/Photos/Neonode-Inc/NN-AMC-1800PC01.jpg,1816-1003-ND,NN AMC 2090PC01,Neonode Inc.,INFRARED TOUCH SENSOR,240,0,"62.00000","0","1","zForce AIR Touch Sensor","Active","Infrared","10ms","I²C, USB","Card Edge/Solder Pad","4.75V ~ 5.25V","-20°C ~ 65°C"
