Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Output Type","Sensitivity","Current - DC Forward (If) (Max)","Voltage - Supply","Mounting Type","Operating Temperature","Package / Case"
http://www.socle-tech.com/doc/IC%20Channel%20Product/Sensors/Dust%20Sensor/GP2Y1010AU0F.pdf,//media.digikey.com/photos/Sharp%20Photos/Sharp%20Microelectronics-GP2Y1010AU0F.jpg,1855-1012-ND,GP2Y1010AU0F,SHARP/Socle Technology,SENSOR AIR QUALITY DUST,7165,0,"12.25000","0","1","-","Active","Infrared (IR)","-","0.5V/(0.1mg/m3)","20mA","4.5V ~ 5.5V","Chassis Mount","-10°C ~ 65°C","Module, Single Pass Through"
//media.digikey.com/pdf/Data%20Sheets/Sensirion%20PDFs/Sensirion_SPS30_Particulate_Matter_Sensor_v0.9_D1.pdf,//media.digikey.com/Photos/Sensirion/MFG_SPS30.jpg,1649-1106-ND,SPS30,Sensirion AG,PM2.5 PARTICLE SENSOR,644,0,"49.04000","0","1","-","Active","Air Sensor","I²C, UART","10μg/m3","60mA","4.5V ~ 5.5V","-","-10°C ~ 60°C","Box"
https://www.honeywellscportal.com/honeywell-sensing-particle-sensors-hpm-series-datasheet-32322550-b-en.pdf,//media.digikey.com/Photos/Honeywell%20Photos/MFG_HPMA115SO-XXX.jpg,480-7035-ND,HPMA115S0-XXX,Honeywell Sensing and Productivity Solutions,HPM SERIES PM2.5 PARTICLE SENSOR,170,0,"52.50000","0","1","HPM","Active","Air Sensor","UART","15μg/m3","-","5V","Chassis Mount","-10°C ~ 50°C","Module"
https://omronfs.omron.com/en_US/ecb/products/pdf/en_b5w-ld0101-1_2.pdf,//media.digikey.com/Photos/Omron%20Elect%20Photos/MFG_B5W-LD0101-2.jpg,Z8244-ND,B5W-LD0101-1,Omron Electronics Inc-EMC Div,SENSOR DUST AIR QUALITY 5V,114,0,"14.70000","0","1","-","Active","Air Sensor","Voltage","-","90mA","4.5V ~ 5.5V","User Defined","0°C ~ 45°C","Module"
https://www.amphenol-sensors.com/index.php?option=com_edocman&task=document.download&id=225,//media.digikey.com/Photos/Amphenol%20Photos/MFG_SM-PWM-01C.JPG,235-1443-ND,SM-PWM-01C,Amphenol Advanced Sensors,DUST SENSOR,537,0,"14.82000","0","1","-","Active","Infrared (IR)","PWM","-","-","5V","User Defined","-10°C ~ 45°C","Module"
https://www.amphenol-sensors.com/en/component/edocman/514-telaire-sm-uart-04l-laser-dust-sensor-application-note/download?Itemid=8488 ',//media.digikey.com/Photos/Amphenol%20Photos/MFG_SM-UART-04L.JPG,235-1590-ND,SM-UART-04L,Amphenol Advanced Sensors,PM2.5 IR LASER DUST SENSOR,292,0,"28.72000","0","1","-","Active","-","UART","-","100mA","4.8V ~ 5.2V","Chassis Mount","-10°C ~ 50°C","Module"
https://omronfs.omron.com/en_US/ecb/products/pdf/en_b5w-ld0101-1_2.pdf,//media.digikey.com/Photos/Omron%20Elect%20Photos/MFG_B5W-LD0101-2.jpg,Z12211-ND,B5W-LD0101-2,Omron Electronics Inc-EMC Div,SENSOR AIR QUALITY FLOW .5UM,256,0,"14.18000","0","1","-","Active","Air Sensor","Voltage","-","90mA","4.5V ~ 5.5V","User Defined","0°C ~ 45°C","Module"
http://www.socle-tech.com/doc/IC%20Channel%20Product/Sensors/Dust%20Sensor/GP2Y1023AU0F_spec_ED14G011A.pdf,//media.digikey.com/Photos/Sharp%20Photos/MFG_GP2Y1023AU0F.jpg,425-2897-ND,GP2Y1023AU0F,SHARP/Socle Technology,MOD DUST SENSOR 5PIN QFN,412,0,"14.95000","0","1","-","Active","Infrared (IR)","PWM","1400µs/(0.1mg/m3)","25mA","5V","Chassis Mount","-10°C ~ 65°C","Module"
http://www.socle-tech.com/doc/IC%20Channel%20Product/SHARP_GP2Y1014AU0F.pdf,//media.digikey.com/Photos/Sharp%20Photos/MFG_GP2Y1023AU0F.jpg,1855-1013-ND,GP2Y1014AU0F,SHARP/Socle Technology,DUST SENSOR UNIT,0,0,"8.98000","0","1","-","Active","Infrared (IR)","-","0.5V/(0.1mg/m3)","20mA","5V","Chassis Mount","-10°C ~ 65°C","Module, Single Pass Through"
-,//media.digikey.com/Photos/Omron%20Auto/MFG_ZN-A4105.jpg,Z10290-ND,ZN-A4105,Omron Automation and Safety,AIR CLEAN UNIT,0,0,"2255.00000","0","1","ZN","Active","-","Voltage","-","-","24V","Chassis Mount","0°C ~ 40°C","-"
