Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Voltage - Input","Number of Ports","Voltage - Output","Current - Output","Power (Watts) - Per Port","Compliance","Data Rate","Features","Operating Temperature","Efficiency","Mounting Type","Size / Dimension"
http://www.midspans.com/pdf/POE21X-1AF.pdf,//media.digikey.com/Photos/Phihong%20USA/POE21U-1AF.JPG,993-1140-ND,POE21U-1AF,Phihong USA,POE INJECTOR 19.6W 56V DESKTOP,5443,0,"20.00000","0","1","-","Active","Midspan Injector","90 ~ 264 VAC","1","56V","350mA","19.6W","IEEE802.3af","10/100/1000 Mbps","OCP, OVP, SCP","0°C ~ 40°C","80%","Desktop","5.51"" L x 2.55"" W x 1.42"" H (140.0mm x 65.0mm x 36.0mm)"
http://midspans.com/pdf/POE16R-1AF.pdf,//media.digikey.com/Photos/Phihong%20USA/POE16R-1AFG.jpg,993-1239-ND,POE16R-1AFG,Phihong USA,POE INJECTOR 15.4W 56V WALL,697,0,"20.95000","0","1","POE16R","Active","Midspan Injector","90 ~ 264 VAC","1","56V","275mA","15.4W","IEEE802.3af","10/100/1000 Mbps","OCP, OVP, SCP","0°C ~ 40°C","Level V","Wall Mount","3.15"" L x 1.77"" W x 1.29"" H (80.0mm x 45.0mm x 33.0mm)"
http://www.midspans.com/pdf/POE31x-1AT.pdf,//media.digikey.com/Photos/Phihong%20USA/POE31U-1AT.JPG,993-1142-ND,POE31U-1AT,Phihong USA,POE INJECTOR 30W 56V DESKTOP,2483,0,"28.20000","0","1","POE31X","Active","Midspan Injector","90 ~ 264 VAC","1","56V","535mA","30W","IEEE802.3at","10/100/1000 Mbps","OCP, OVP, SCP","0°C ~ 40°C","Level V","Desktop","5.51"" L x 2.55"" W x 1.42"" H (140.0mm x 65.0mm x 36.0mm)"
http://www.midspans.com/pdf/POE14.pdf,//media.digikey.com/Photos/Phihong%20USA/MFG_POE14.jpg,993-1076-ND,POE14-050,Phihong USA,POE SPLITTER 12.5W 5V DESKTOP,449,0,"30.90000","0","1","POE14","Active","Splitter","36 ~ 56V","1","5V","2.2A","12.5W","IEEE802.3af","10/100/1000 Mbps","OCP, OTP, OVP","0°C ~ 40°C","72%","Desktop","3.94"" L x 2.21"" W x 1.10"" H (100.0mm x 56.0mm x 28.0mm)"
https://assets.lairdtech.com/home/brandworld/files/IAS-BRO-Telecom-Backhaul%200115.pdf,//media.digikey.com/Photos/Laird%20Tech%20Photos/POE-48I.jpg,994-1052-ND,POE-48I,Laird Technologies IAS,POE INJECTOR 24W 48V DESKTOP,147,0,"33.78000","0","1","-","Active","Midspan Injector","90 ~ 264 VAC","1","48V","500mA","24W","IEEE802.3af","-","OCP, SCP","-10°C ~ 60°C","70%","Desktop","3.25"" L x 3.00"" W x 1.50"" H (82.6mm x 76.2mm x 38.1mm)"
http://midspans.com/pdf/POE21.pdf,//media.digikey.com/Photos/Phihong%20USA/POE21%20SERIES.JPG,993-1080-ND,POE21-120,Phihong USA,POE SPLITTER 21W 12V DESKTOP,0,0,"35.01000","0","1","POE21","Active","Splitter","45 ~ 57V","1","12V","1.75A","21W","IEEE802.3at","10/100/1000 Mbps","OCP, OTP, OVP, SCP","0°C ~ 40°C","80%","Desktop","3.97"" L x 2.20"" W x 1.10"" H (100.0mm x 56.0mm x 27.9mm)"
http://midspans.com/pdf/POE21.pdf,//media.digikey.com/Photos/Phihong%20USA/POE21%20SERIES.JPG,993-1081-ND,POE21-240,Phihong USA,POE SPLITTER 21W 24V DESKTOP,250,0,"35.01000","0","1","POE21","Active","Splitter","45 ~ 57V","1","24V","875mA","21W","IEEE802.3at","10/100/1000 Mbps","OCP, OTP, OVP, SCP","0°C ~ 40°C","80%","Desktop","3.97"" L x 2.20"" W x 1.10"" H (100.0mm x 56.0mm x 27.9mm)"
http://www.midspans.com/pdf/POE36U-1AT.pdf,//media.digikey.com/Photos/Phihong%20USA/MFG_POE36U.jpg,993-1088-ND,POE36U-1AT,Phihong USA,POE INJECTOR 33.6W 56V DESKTOP,3016,0,"41.12000","0","1","POE36x","Active","Midspan Injector","90 ~ 264 VAC","1","56V","600mA","33.6W","IEEE802.3at","10/100/1000 Mbps","OCP, OVP, SCP","-20°C ~ 50°C","78%","Desktop","5.98"" L x 2.56"" W x 1.42"" H (152.0mm x 65.0mm x 36.0mm)"
http://www.midspans.com/pdf/POE61x.pdf,//media.digikey.com/Photos/Phihong%20USA/MFG_POE61X.jpg,993-1151-ND,POE61U-560D,Phihong USA,POE INJECTOR 60W 56V DESKTOP,155,0,"44.86000","0","1","POE61","Active","Passive Injector","90 ~ 264 VAC","1","56V","1.1A","60W","-","10/100 Mbps","OCP, OVP, SCP","0°C ~ 40°C","Level VI","Desktop","6.40"" L x 2.56"" W x 1.42"" H (163.0mm x 65.0mm x 36.0mm)"
http://midspans.com/pdf/POE36D-1AT.pdf,//media.digikey.com/Photos/Phihong%20USA/MFG_POE36D-1AT.jpg,993-1087-ND,POE36D-1AT,Phihong USA,POE INJECTOR 33.6W 56V DESKTOP,658,0,"48.09000","0","1","POE36x","Active","Midspan Injector","36 ~ 72V","1","56V","600mA","33.6W","IEEE802.3at","10/100/1000 Mbps","OCP, OVP, SCP","-20°C ~ 50°C","80%","Desktop","5.51"" L x 2.55"" W x 1.42"" H (140.0mm x 65.0mm x 36.0mm)"
http://www.midspans.com/pdf/POE61x.pdf,//media.digikey.com/Photos/Phihong%20USA/MFG_POE61X.jpg,993-1092-ND,POE61U-560DG,Phihong USA,POE INJECTOR 60W 56V DESKTOP,358,0,"50.04000","0","1","POE61","Active","Passive Injector","90 ~ 264 VAC","1","56V","1.1A","60W","-","10/100/1000 Mbps","OCP, OVP, SCP","0°C ~ 40°C","Level VI","Desktop","6.40"" L x 2.56"" W x 1.42"" H (163.0mm x 65.0mm x 36.0mm)"
http://www.microsemi.com/document-portal/doc_download/129706-pd-3501g-datasheet,//media.digikey.com/photos/Microsemi%20Photos/PD3501G%5EAC.jpg,PD-3501G/AC-US-ND,PD-3501G/AC-US,Microsemi Corporation,POE INJECTOR 15.4W 48V DESKTOP,122,0,"54.02000","0","1","PowerDsine®","Active","Midspan Injector","90 ~ 264 VAC","1","48V","320mA","15.4W","IEEE802.3af","10/100/1000 Mbps","-","0°C ~ 40°C","-","Desktop","5.50"" L x 2.09"" W x 1.28"" H (140.0mm x 53.0mm x 32.5mm)"
https://www.phihong.com/admin/uploads/POE60U-1BT.pdf,-,993-1419-ND,POE60U-1BT,Phihong USA,IEEE802.3BT - POE INJECTOR DESKT,309,0,"58.00000","0","1","POE60","Active","Midspan Injector","90 ~ 264 VAC","1","56V","1.07A","60W","IEEE802.3bt","-","OCP, OVP, SCP","-10°C ~ 40°C","75%","Desktop","6.43"" L x 2.56"" W x 1.42"" H (163.2mm x 65.0mm x 36.0mm)"
http://www.midspans.com/pdf/POE75U-1UP.pdf,//media.digikey.com/Photos/Phihong%20USA/MFG_POE75U-1UP.jpg,993-1095-ND,POE75U-1UP,Phihong USA,POE INJECTOR 75W 56V DESKTOP,1650,0,"60.00000","0","1","POE75U","Active","Midspan Injector","90 ~ 264 VAC","1","56V","670mA","75W","IEEE802.3af","10/100/1000 Mbps","OCP, OVP, SCP","-20°C ~ 40°C","80%","Desktop","6.53"" L x 3.15"" W x 1.73"" H (166.0mm x 80.0mm x 44.0mm)"
https://www.phihong.com/admin/uploads/POE90U-1BT.pdf,-,993-1420-ND,POE90U-1BT,Phihong USA,IEEE802.3BT - POE INJECTOR DESKT,191,0,"98.80000","0","1","POE90","Active","Midspan Injector","90 ~ 264 VAC","1","56V","1.6A","90W","IEEE802.3bt","-","OCP, OVP, SCP","-20°C ~ 40°C","75%","Desktop","6.54"" L x 3.15"" W x 1.72"" H (166.0mm x 80.0mm x 43.6mm)"
http://www.microsemi.com/document-portal/doc_download/136301-pd-9501gr-ac-datasheet,//media.digikey.com/photos/Microsemi%20Photos/PD9501GR%5EAC.jpg,PD-9501GR/AC-ND,PD-9501GR/AC,Microsemi Corporation,POE INJECTOR 60W 55V DESKTOP,41,0,"133.24000","0","1","PowerDsine®","Active","Midspan Injector","100 ~ 240 VAC","1","55V","1.1A","60W","IEEE802.3at","10/100/1000 Mbps","-","-10°C ~ 45°C","-","Desktop","5.94"" L x 2.44"" W x 1.50"" H (151.0mm x 62.0mm x 38.0mm)"
