Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Topology","Number of Outputs","Voltage - Input (Min)","Voltage - Input (Max)","Voltage - Output","Current - Output (Max)","Power (Watts)","Voltage - Isolation","Dimming","Features","Ratings","Operating Temperature","Efficiency","Termination Style","Size / Dimension"
https://www.recom-power.com/pdf/Lightline/RACD06.pdf,//media.digikey.com/Photos/Recom%20Power%20Inc/RACD06-350.jpg,945-1415-ND,RACD06-350,Recom Power,LED DRIVER CC AC/DC 3-24V 350MA,1179,1000,"12.00000","0","1","LIGHTLINE RACD06 (6W)","Active","Constant Current","AC DC Converter","1","90VAC","264VAC","3 ~ 24V","350mA","6W","3kV","-","OCP, OTP, OVP, SCP","IP20","-20°C ~ 65°C","65%","Screw Terminal","2.68"" L x 1.38"" W x 0.79"" H (68.0mm x 35.0mm x 20.0mm)"
https://www.erp-power.com/wp-content/uploads/2017/05/EBR-Series-1-pager.pdf,//media.digikey.com/Photos/ERP-Power/EBR-Series.jpg,1800-1014-ND,EBR020U-0500-42,"ERP Power, LLC",LED DRIVER CC AC/DC 30-42V 500MA,1063,0,"14.64000","0","1","EBR (21W)","Active","Constant Current","AC DC Converter","1","90VAC","132VAC","30 ~ 42V","500mA","19W","-","ELV, Triac","OCP, OTP, SCP","IP20","-30°C ~ 90°C","87%","Wire Leads","2.28"" Dia x 1.25"" H (57.9mm x 31.8mm)"
https://hubbellcdn.com/specsheet/LED-12W.pdf,//media.digikey.com/Photos/Thomas%20Research%20Products/LED-12W%20SERIES.JPG,1121-1022-ND,LED12W-12,Thomas Research Products,LED DRIVER CV AC/DC 12V 1A,638,0,"18.87000","0","1","LED-12W","Active","Constant Voltage","AC DC Converter","1","90VAC","305VAC","12V","1A","12W","-","-","OCP, OVP, SCP","IP66","-30°C ~ 60°C","78%","Wire Leads","3.35"" L x 1.42"" W x 0.91"" H (85.0mm x 36.0mm x 23.0mm)"
https://hubbellcdn.com/specsheet/LED-12W.pdf,//media.digikey.com/Photos/Thomas%20Research%20Products/LED-12W%20SERIES.JPG,1121-1027-ND,LED12W-36-C0350,Thomas Research Products,LED DRIVER CC AC/DC 18-36V 350MA,412,0,"18.87000","0","1","LED-12W","Active","Constant Current","AC DC Converter","1","90VAC","305VAC","18 ~ 36V","350mA","12W","-","-","OCP, OVP, SCP","IP66","-30°C ~ 60°C","81%","Wire Leads","3.35"" L x 1.42"" W x 0.91"" H (85.0mm x 36.0mm x 23.0mm)"
https://www.recom-power.com/pdf/Lightline/RCD-24.pdf,-,945-1127-ND,RCD-24-0.70/W/X3,Recom Power,LED DRIVER CC BUCK 2-35V 700MA,498,65,"19.00000","0","1","LIGHTLINE RCD-24","Active","Constant Current","Buck","1","4.5V","36V","2 ~ 35V","700mA","25W","-","Analog, PWM","Remote On/Off, SCP","IP67","-40°C ~ 71°C","96%","Wire Leads","0.87"" L x 0.49"" W x 0.33"" H (22.1mm x 12.6mm x 8.5mm)"
https://hubbellcdn.com/specsheet/LED-25W.pdf,//media.digikey.com/Photos/Thomas%20Research%20Products/LED-25W%20SERIES.JPG,1121-1048-ND,LED25W-36-C0700,Thomas Research Products,LED DRIVER CC AC/DC 12-36V 700MA,1321,0,"21.84000","0","1","LED-25W","Active","Constant Current","AC DC Converter","1","90VAC","305VAC","12 ~ 36V","700mA","25W","-","-","OCP, OVP, SCP","IP66","-","84%","Wire Leads","3.15"" L x 3.07"" W x 0.99"" H (80.0mm x 78.0mm x 25.2mm)"
https://hubbellcdn.com/specsheet/LED-25W.pdf,//media.digikey.com/Photos/Thomas%20Research%20Products/LED-25W%20SERIES.JPG,1121-1044-ND,LED25W-24-C1040,Thomas Research Products,LED DRIVER CC AC/DC 8-24V 1.04A,481,0,"21.84000","0","1","LED-25W","Active","Constant Current","AC DC Converter","1","90VAC","305VAC","8 ~ 24V","1.04A","25W","-","-","OCP, OVP, SCP","IP66","-","83%","Wire Leads","3.15"" L x 3.07"" W x 0.99"" H (80.0mm x 78.0mm x 25.2mm)"
https://hubbellcdn.com/specsheet/LED-25W.pdf,//media.digikey.com/Photos/Thomas%20Research%20Products/LED25W-14-C1750-D.JPG,1121-1049-ND,LED25W-36-C0700-D,Thomas Research Products,LED DRIVER CC AC/DC 12-36V 700MA,1001,0,"22.12000","0","1","LED-25W","Active","Constant Current","AC DC Converter","1","90VAC","305VAC","12 ~ 36V","700mA","25W","-","Analog","OCP, OVP, SCP","IP66","-","84%","Wire Leads","3.15"" L x 3.07"" W x 0.99"" H (80.0mm x 78.0mm x 25.2mm)"
https://hubbellcdn.com/specsheet/LED-25W.pdf,//media.digikey.com/Photos/Thomas%20Research%20Products/LED25W-14-C1750-D.JPG,1121-1045-ND,LED25W-24-C1040-D,Thomas Research Products,LED DRIVER CC AC/DC 8-24V 1.04A,725,0,"22.12000","0","1","LED-25W","Active","Constant Current","AC DC Converter","1","90VAC","305VAC","8 ~ 24V","1.04A","25W","-","Analog","OCP, OVP, SCP","IP66","-","83%","Wire Leads","3.15"" L x 3.07"" W x 0.99"" H (80.0mm x 78.0mm x 25.2mm)"
https://hubbellcdn.com/specsheet/LED-25W.pdf,//media.digikey.com/Photos/Thomas%20Research%20Products/LED25W-14-C1750-D.JPG,1121-1051-ND,LED25W-56-C0450-D,Thomas Research Products,LED DRIVER CC AC/DC 19-56V 450MA,358,0,"22.12000","0","1","LED-25W","Active","Constant Current","AC DC Converter","1","90VAC","305VAC","19 ~ 56V","450mA","25W","-","Analog","OCP, OVP, SCP","IP66","-","84%","Wire Leads","3.15"" L x 3.07"" W x 0.99"" H (80.0mm x 78.0mm x 25.2mm)"
https://hubbellcdn.com/specsheet/LED-25W.pdf,//media.digikey.com/Photos/Thomas%20Research%20Products/LED25W-14-C1750-D.JPG,1121-1053-ND,LED25W-72-C0350-D,Thomas Research Products,LED DRIVER CC AC/DC 24-72V 350MA,247,0,"22.12000","0","1","LED-25W","Active","Constant Current","AC DC Converter","1","100VAC","277VAC","24 ~ 72V","350mA","25W","-","Analog","OCP, OVP, SCP","IP66","-","86%","Wire Leads","3.15"" L x 3.07"" W x 0.99"" H (80.0mm x 78.0mm x 25.2mm)"
https://hubbellcdn.com/specsheet/LED-40W.pdf,//media.digikey.com/Photos/Thomas%20Research%20Products/LED40W-12.jpg,1121-1071-ND,LED40W-054-C0700,Thomas Research Products,LED DRIVER CC AC/DC 18-54V 700MA,852,0,"24.26000","0","1","LED-40W","Active","Constant Current","AC DC Converter","1","90VAC","305VAC","18 ~ 54V","700mA","40W","-","-","OCP, OVP, SCP","IP66, NEMA 4","-30°C ~ 60°C","86%","Wire Leads","3.74"" L x 2.76"" W x 1.26"" H (95.0mm x 70.0mm x 32.0mm)"
