Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Base Resonator","Type","Frequency","Function","Output","Voltage - Supply","Frequency Stability","Absolute Pull Range (APR)","Operating Temperature","Spread Spectrum Bandwidth","Current - Supply (Max)","Ratings","Mounting Type","Package / Case","Size / Dimension","Height - Seated (Max)"
https://abracon.com/Oscillators/ASFL1.pdf,//media.digikey.com/photos/Abracon%20Corporation%20Photos/ASFL1%20SERIES.jpg,300-8254-2-ND,ASFL1-25.000MHZ-EC-T,Abracon LLC,XTAL OSC XO 25.0000MHZ HCMOS TTL,11000,0,"0.55500","0","1000","Tape & Reel (TR)","ASFL1","Active","Crystal","XO (Standard)","25MHz","Enable/Disable","HCMOS, TTL","3.3V","±50ppm","-","-20°C ~ 70°C","-","15mA","-","Surface Mount","4-SMD, No Lead","0.197"" L x 0.126"" W (5.00mm x 3.20mm)","0.051"" (1.30mm)"
https://abracon.com/Oscillators/ASFL1.pdf,//media.digikey.com/photos/Abracon%20Corporation%20Photos/ASFL1%20SERIES.jpg,300-8254-1-ND,ASFL1-25.000MHZ-EC-T,Abracon LLC,XTAL OSC XO 25.0000MHZ HCMOS TTL,11650,0,"1.03000","0","1","Cut Tape (CT)","ASFL1","Active","Crystal","XO (Standard)","25MHz","Enable/Disable","HCMOS, TTL","3.3V","±50ppm","-","-20°C ~ 70°C","-","15mA","-","Surface Mount","4-SMD, No Lead","0.197"" L x 0.126"" W (5.00mm x 3.20mm)","0.051"" (1.30mm)"
https://abracon.com/Oscillators/ASFL1.pdf,//media.digikey.com/photos/Abracon%20Corporation%20Photos/ASFL1%20SERIES.jpg,300-8254-6-ND,ASFL1-25.000MHZ-EC-T,Abracon LLC,XTAL OSC XO 25.0000MHZ HCMOS TTL,11650,0,"Digi-Reel","0","1","Digi-Reel®","ASFL1","Active","Crystal","XO (Standard)","25MHz","Enable/Disable","HCMOS, TTL","3.3V","±50ppm","-","-20°C ~ 70°C","-","15mA","-","Surface Mount","4-SMD, No Lead","0.197"" L x 0.126"" W (5.00mm x 3.20mm)","0.051"" (1.30mm)"
https://abracon.com/Oscillators/ASFL1.pdf,//media.digikey.com/photos/Abracon%20Corporation%20Photos/ASFL1%20SERIES.jpg,535-9263-2-ND,ASFL1-27.000MHZ-EK-T,Abracon LLC,XTAL OSC XO 27.0000MHZ HCMOS TTL,9000,0,"1.10625","0","1000","Tape & Reel (TR)","ASFL1","Active","Crystal","XO (Standard)","27MHz","Enable/Disable","HCMOS, TTL","3.3V","±30ppm","-","-20°C ~ 70°C","-","15mA","-","Surface Mount","4-SMD, No Lead","0.197"" L x 0.126"" W (5.00mm x 3.20mm)","0.051"" (1.30mm)"
https://abracon.com/Oscillators/ASFL1.pdf,//media.digikey.com/photos/Abracon%20Corporation%20Photos/ASFL1%20SERIES.jpg,535-9263-1-ND,ASFL1-27.000MHZ-EK-T,Abracon LLC,XTAL OSC XO 27.0000MHZ HCMOS TTL,9482,0,"1.86000","0","1","Cut Tape (CT)","ASFL1","Active","Crystal","XO (Standard)","27MHz","Enable/Disable","HCMOS, TTL","3.3V","±30ppm","-","-20°C ~ 70°C","-","15mA","-","Surface Mount","4-SMD, No Lead","0.197"" L x 0.126"" W (5.00mm x 3.20mm)","0.051"" (1.30mm)"
https://abracon.com/Oscillators/ASFL1.pdf,//media.digikey.com/photos/Abracon%20Corporation%20Photos/ASFL1%20SERIES.jpg,535-9263-6-ND,ASFL1-27.000MHZ-EK-T,Abracon LLC,XTAL OSC XO 27.0000MHZ HCMOS TTL,9482,0,"Digi-Reel","0","1","Digi-Reel®","ASFL1","Active","Crystal","XO (Standard)","27MHz","Enable/Disable","HCMOS, TTL","3.3V","±30ppm","-","-20°C ~ 70°C","-","15mA","-","Surface Mount","4-SMD, No Lead","0.197"" L x 0.126"" W (5.00mm x 3.20mm)","0.051"" (1.30mm)"
https://abracon.com/Oscillators/ASV.pdf,//media.digikey.com/Photos/Abracon%20Corporation%20Photos/ASV7%20SERIES.jpg,535-13490-2-ND,ASV-10.000MHZ-LCS-T,Abracon LLC,XTAL OSC XO 10.0000MHZ HCMOS SMD,2000,0,"0.58500","0","1000","Tape & Reel (TR)","ASV","Active","Crystal","XO (Standard)","10MHz","Enable/Disable","HCMOS","3.3V","±50ppm","-","-40°C ~ 85°C","-","10mA","-","Surface Mount","4-SMD, No Lead","0.276"" L x 0.200"" W (7.00mm x 5.08mm)","0.071"" (1.80mm)"
https://abracon.com/Oscillators/ASV.pdf,//media.digikey.com/Photos/Abracon%20Corporation%20Photos/ASV7%20SERIES.jpg,535-13490-1-ND,ASV-10.000MHZ-LCS-T,Abracon LLC,XTAL OSC XO 10.0000MHZ HCMOS SMD,2941,0,"1.12000","0","1","Cut Tape (CT)","ASV","Active","Crystal","XO (Standard)","10MHz","Enable/Disable","HCMOS","3.3V","±50ppm","-","-40°C ~ 85°C","-","10mA","-","Surface Mount","4-SMD, No Lead","0.276"" L x 0.200"" W (7.00mm x 5.08mm)","0.071"" (1.80mm)"
https://abracon.com/Oscillators/ASV.pdf,//media.digikey.com/Photos/Abracon%20Corporation%20Photos/ASV7%20SERIES.jpg,535-13490-6-ND,ASV-10.000MHZ-LCS-T,Abracon LLC,XTAL OSC XO 10.0000MHZ HCMOS SMD,2941,0,"Digi-Reel","0","1","Digi-Reel®","ASV","Active","Crystal","XO (Standard)","10MHz","Enable/Disable","HCMOS","3.3V","±50ppm","-","-40°C ~ 85°C","-","10mA","-","Surface Mount","4-SMD, No Lead","0.276"" L x 0.200"" W (7.00mm x 5.08mm)","0.071"" (1.80mm)"
https://abracon.com/Oscillators/ASV.pdf,//media.digikey.com/Photos/Abracon%20Corporation%20Photos/ASV7%20SERIES.jpg,535-9330-2-ND,ASV-50.000MHZ-EJ-T,Abracon LLC,XTAL OSC XO 50.0000MHZ HCMOS SMD,21000,0,"0.67500","0","1000","Tape & Reel (TR)","ASV","Active","Crystal","XO (Standard)","50MHz","Enable/Disable","HCMOS","3.3V","±20ppm","-","-20°C ~ 70°C","-","30mA","-","Surface Mount","4-SMD, No Lead","0.276"" L x 0.200"" W (7.00mm x 5.08mm)","0.071"" (1.80mm)"
