Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Battery Chemistry","Battery Cell Size","Voltage - Rated","Capacity","Size / Dimension","Termination Style"
//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Inustrial/ML_Serie.pdf,//media.digikey.com/Photos/Panasonic%20Photos/ML-621S%5EZTN.JPG,P007-ND,ML-621S/ZTN,Panasonic - BSG,BATTERY LITH 3V 5MAH COIN 6.8MM,73975,0,"1.76000","0","1","ML621","Active","Lithium","Coin, 6.8mm","3V","5mAh","0.27"" Dia x 0.09"" H (6.8mm x 2.2mm)","Requires Holder"
https://www.sii.co.jp/en/me/files/2018/04/MicroBattery_catalogue_E_2018_forWeb.pdf,"//media.digikey.com/Photos/Seiko%20Instr%20Photos/MS621FE-FL11E,%20MS518SE-FL35E,%20%20MS412FE-FL26E.JPG",728-1053-ND,MS412FE-FL26E,Seiko Instruments,BATTERY LITH 3V 1MAH COIN 4.8MM,10942,0,"1.82000","0","1","MS412FE","Active","Lithium","Coin, 4.8mm","3V","1mAh","0.19"" Dia x 0.05"" H (4.8mm x 1.2mm)","SMD (SMT) Tab"
//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Inustrial/ML_Serie.pdf,//media.digikey.com/photos/Panasonic%20Photos/ML621S^F9DE.jpg,P044-ND,ML-621S/DN,Panasonic - BSG,BATTERY LITH 3V 5MAH COIN 6.8MM,114462,0,"1.91000","0","1","ML621","Active","Lithium","Coin, 6.8mm","3V","5mAh","0.27"" Dia x 0.09"" H (6.8mm x 2.2mm)","SMD (SMT) Tab"
https://www.sii.co.jp/en/me/files/2018/04/MicroBattery_catalogue_E_2018_forWeb.pdf,"//media.digikey.com/Photos/Seiko%20Instr%20Photos/MS621FE-FL11E,%20MS518SE-FL35E,%20%20MS412FE-FL26E.JPG",728-1057-ND,MS621FE-FL11E,Seiko Instruments,BATT LITH 3V 5.5MAH COIN 6.8MM,22373,0,"1.94000","0","1","MS621FE","Active","Lithium","Coin, 6.8mm","3V","5.5mAh","0.27"" Dia x 0.08"" H (6.8mm x 2.1mm)","SMD (SMT) Tab"
https://www.sii.co.jp/en/me/files/2018/04/MicroBattery_catalogue_E_2018_forWeb.pdf,//media.digikey.com/Photos/Seiko%20Instr%20Photos/MS518SE-FL35E.JPG,728-1054-ND,MS518SE-FL35E,Seiko Instruments,BATT LITH 3V 3.4MAH COIN 5.8MM,6335,0,"1.94000","0","1","MS518SE","Active","Lithium","Coin, 5.8mm","3V","3.4mAh","0.23"" Dia x 0.07"" H (5.8mm x 1.8mm)","SMD (SMT) Tab"
//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Inustrial/ML_Serie.pdf,//media.digikey.com/photos/Panasonic%20Photos/ML-614S^F9FE.jpg,P297-ND,ML-614S/FN,Panasonic - BSG,BATT LITH 3V 3.4MAH COIN 6.8MM,51912,0,"1.96000","0","1","ML614","Active","Lithium","Coin, 6.8mm","3V","3.4mAh","0.27"" Dia x 0.06"" H (6.8mm x 1.5mm)","SMD (SMT) Tab"
//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Inustrial/ML_Serie.pdf,//media.digikey.com/photos/Panasonic%20Photos/ML-920S^F9DE.jpg,P296-ND,ML-920S/DN,Panasonic - BSG,BATTERY LITH 3V 11MAH COIN 9.5MM,22322,0,"2.16000","0","1","ML920","Active","Lithium","Coin, 9.5mm","3V","11mAh","0.37"" Dia x 0.08"" H (9.5mm x 2.1mm)","SMD (SMT) Tab"
//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Inustrial/ML_Serie.pdf,//media.digikey.com/Photos/Panasonic%20Photos/ML-1220%5EF1AN.jpg,P295-ND,ML-1220/F1AN,Panasonic - BSG,BATT LITH 3V 17MAH COIN 12.5MM,54586,0,"2.26000","0","1","ML1220","Active","Lithium","Coin, 12.5mm","3V","17mAh","0.49"" Dia x 0.08"" H (12.5mm x 2.0mm)","SMD (SMT) Tab"
//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Inustrial/ML_Serie.pdf,//media.digikey.com/photos/Panasonic%20Photos/ML-1220^V1AE.jpg,P294-ND,ML-1220/V1AN,Panasonic - BSG,BATT LITH 3V 17MAH COIN 12.5MM,15219,0,"2.26000","0","1","ML1220","Active","Lithium","Coin, 12.5mm","3V","17mAh","0.49"" Dia x 0.08"" H (12.5mm x 2.0mm)","PC Pin (Vertical Mount)"
//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Inustrial/ML_Serie.pdf,//media.digikey.com/Photos/Panasonic%20Photos/ML-1220%5EF1BN.JPG,P663-ND,ML-1220/F1BN,Panasonic - BSG,BATT LITH 3V 17MAH COIN 12.5MM,8741,0,"2.26000","0","1","ML1220","Active","Lithium","Coin, 12.5mm","3V","17mAh","0.49"" Dia x 0.08"" H (12.5mm x 2.0mm)","PC Pin (Vertical Mount)"
