Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Battery Chemistry","Rechargeability","Battery Cell Size","Number of Cells","Voltage - Rated","Capacity","Structure","Termination Style","Size / Dimension"
http://na.industrial.panasonic.com/sites/default/pidsa/files/1.5vseries_datasheets_merged.pdf,//media.digikey.com/photos/Panasonic%20Photos/F021.jpg,P646-F021-ND,LR6XWA/BF2,Panasonic - BSG,BATTERY PACK ALKALINE 3V AA,0,0,"1.80000","0","1","LR6XWA","Active","Alkaline Manganese Dioxide","No","AA","2","3V","-","Side to Side, 1 Row x 2 Cells","Solder Tab","1.14"" L x 0.57"" W x 1.99"" H (29.0mm x 14.5mm x 50.5mm)"
http://data.energizer.com/pdfs/EN91.pdf,//media.digikey.com/photos/Energizer%20Photos/F021.jpg,N107-F021-ND,EN91F2,Energizer Battery Company,BATTERY PACK ALKALINE 3V AA,0,0,"2.38000","0","1","EN91","Active","Alkaline Manganese Dioxide","No","AA","2","3V","-","Side to Side, 1 Row x 2 Cells","Solder Tab","1.14"" L x 0.57"" W x 1.99"" H (29.0mm x 14.5mm x 50.5mm)"
http://data.energizer.com/pdfs/EN91.pdf,//media.digikey.com/photos/Sanyo%20Photos/L021.jpg,N107-L021-ND,EN91L2,Energizer Battery Company,BATTERY PACK ALKALINE 3V AA,40,0,"2.42000","0","1","EN91","Active","Alkaline Manganese Dioxide","No","AA","2","3V","-","Front to Back, 1 Row x 2 Cells","Solder Tab","0.57"" L x 0.57"" W x 3.98"" H (14.5mm x 14.5mm x 101.0mm)"
http://na.industrial.panasonic.com/sites/default/pidsa/files/1.5vseries_datasheets_merged.pdf,//media.digikey.com/photos/Panasonic%20Photos/F031.jpg,P646-F031-ND,LR6XWA/BF3,Panasonic - BSG,BATTERY PACK ALKALINE 4.5V AA,0,0,"2.54000","0","1","LR6XWA","Active","Alkaline Manganese Dioxide","No","AA","3","4.5V","-","Side to Side, 1 Row x 3 Cells","Solder Tab","1.71"" L x 0.57"" W x 1.99"" H (43.5mm x 14.5mm x 50.5mm)"
http://na.industrial.panasonic.com/sites/default/pidsa/files/1.5vseries_datasheets_merged.pdf,//media.digikey.com/photos/Panasonic%20Photos/F022.jpg,P646-F022-ND,LR6XWA/BF2X2,Panasonic - BSG,BATTERY PACK ALKALINE 6V AA,0,0,"3.26000","0","1","LR6XWA","Active","Alkaline Manganese Dioxide","No","AA","4","6V","-","Side to Side, 2 Rows x 2 Cells","Solder Tab","1.14"" L x 1.14"" W x 1.99"" H (29.0mm x 29.0mm x 50.5mm)"
http://na.industrial.panasonic.com/sites/default/pidsa/files/1.5vseries_datasheets_merged.pdf,//media.digikey.com/photos/Panasonic%20Photos/L022.jpg,P646-L022-ND,LR6XWA/BL2X2,Panasonic - BSG,BATTERY PACK ALKALINE 6V AA,6,0,"3.28000","0","1","LR6XWA","Active","Alkaline Manganese Dioxide","No","AA","4","6V","-","Front to Back, 2 Rows x 2 Cells","Solder Tab","1.14"" L x 0.57"" W x 3.98"" H (29.0mm x 14.5mm x 101.0mm)"
http://na.industrial.panasonic.com/sites/default/pidsa/files/1.5vseries_datasheets_merged.pdf,//media.digikey.com/photos/Panasonic%20Photos/F041.jpg,P646-F041-ND,LR6XWA/BF4,Panasonic - BSG,BATTERY PACK ALKALINE 6V AA,0,0,"3.29000","0","1","LR6XWA","Active","Alkaline Manganese Dioxide","No","AA","4","6V","-","Side to Side, 1 Row x 4 Cells","Solder Tab","2.28"" L x 0.57"" W x 1.99"" H (57.9mm x 14.5mm x 50.5mm)"
http://data.energizer.com/pdfs/EN91.pdf,//media.digikey.com/photos/Energizer%20Photos/F031.jpg,N107-F031-ND,EN91F3,Energizer Battery Company,BATTERY PACK ALKALINE 4.5V AA,0,0,"3.42000","0","1","EN91","Active","Alkaline Manganese Dioxide","No","AA","3","4.5V","-","Side to Side, 1 Row x 3 Cells","Solder Tab","1.71"" L x 0.57"" W x 1.99"" H (43.5mm x 14.5mm x 50.5mm)"
http://data.energizer.com/pdfs/EN91.pdf,//media.digikey.com/Photos/Energizer%20Photos/L031.jpg,N107-L031-ND,EN91L3,Energizer Battery Company,BATTERY PACK ALKALINE 4.5V AA,0,0,"3.48000","0","1","EN91","Active","Alkaline Manganese Dioxide","No","AA","3","4.5V","-","Front to Back, 1 Row x 3 Cells","Solder Tab","0.57"" L x 0.57"" W x 5.96"" H (14.5mm x 14.5mm x 151.5mm)"
http://na.industrial.panasonic.com/sites/default/pidsa/files/1.5vseries_datasheets_merged.pdf,//media.digikey.com/photos/Panasonic%20Photos/F021.jpg,P644-F021-ND,LR14XWA/BF2,Panasonic - BSG,BATTERY PACK ALKALINE 3V C,0,0,"3.50000","0","1","LR14","Active","Alkaline Manganese Dioxide","No","C","2","3V","-","Side to Side, 1 Row x 2 Cells","Solder Tab","2.06"" L x 1.03"" W x 1.97"" H (52.3mm x 26.2mm x 50.0mm)"
