Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status"
http://wpc.ac62.edgecastcdn.net/00AC62/drawings/17-0712-001-CSU.PDF,//media.digikey.com/photos/HellermannTyton%20Photos/MFG_596-00793.jpg,1436-2113-ND,596-00793,HellermannTyton,"PEEL-OFF PAINT SHIELD, UV STABLE",30,0,"2.93000","0","1","*","Active"
http://wpc.ac62.edgecastcdn.net/00AC62/drawings/17-0712-001-CSU.PDF,//media.digikey.com/photos/HellermannTyton%20Photos/MFG_596-00792.jpg,1436-2112-ND,596-00792,HellermannTyton,"PEEL-OFF PAINT SHIELD, UV STABLE",10,0,"2.96000","0","1","*","Active"
http://wpc.ac62.edgecastcdn.net/00AC62/drawings/17-0712-001-CSU.PDF,//media.digikey.com/Photos/HellermannTyton%20Photos/MFG_596-00796.jpg,1436-2116-ND,596-00796,HellermannTyton,"PEEL-OFF PAINT SHIELD, UV STABLE",10,0,"2.96000","0","1","*","Active"
http://wpc.ac62.edgecastcdn.net/00AC62/drawings/17-0712-001-CSU.PDF,//media.digikey.com/Photos/HellermannTyton%20Photos/MFG_596-00794.jpg,1436-2114-ND,596-00794,HellermannTyton,"PEEL-OFF PAINT SHIELD, UV STABLE",10,0,"3.02000","0","1","*","Active"
http://wpc.ac62.edgecastcdn.net/00AC62/drawings/17-0712-001-CSU.PDF,//media.digikey.com/photos/HellermannTyton%20Photos/MFG_596-00795.jpg,1436-2117-ND,596-00797,HellermannTyton,"PEEL-OFF PAINT SHIELD, UV STABLE",10,0,"3.02000","0","1","*","Active"
http://wpc.ac62.edgecastcdn.net/00AC62/drawings/17-0712-001-CSU.PDF,//media.digikey.com/photos/HellermannTyton%20Photos/MFG_596-00795.jpg,1436-2115-ND,596-00795,HellermannTyton,"PEEL-OFF PAINT SHIELD, UV STABLE",10,0,"3.29000","0","1","*","Active"
http://www.panduit.com/heiler/PartDrawings/C-SFPPS0404WSL1-TER-C11042--ENG.pdf,-,C300X150SL1-OL-ND,C300X150SL1-OL,Panduit Corp,LABEL ID/RATINGS 3""X1.5"" 50PC,0,0,"0.55100","0","250","-","Active"
http://www.panduit.com/heiler/PartDrawings/C-SFPPS0404WSL1-TER-C11042--ENG.pdf,-,C400X200SL1-OL-ND,C400X200SL1-OL,Panduit Corp,LABEL ID/RATINGS 4""X2"" 50PC,0,0,"0.87400","0","250","-","Active"
http://www.panduit.com/heiler/PartDrawings/C-SFPPS0404WSL1-TER-C11042--ENG.pdf,-,C600X175SL1-OL-ND,C600X175SL1-OL,Panduit Corp,LABEL ID/RATINGS 6""X1.75"" 50PC,0,0,"0.90000","0","250","-","Active"
http://www.panduit.com/heiler/PartDrawings/C-SFPPS0404WSL1-TER-C11042--ENG.pdf,-,C400X400SL1-OL-ND,C400X400SL1-OL,Panduit Corp,LABEL ID/RATINGS 4""X4"" 50PC,0,0,"0.99000","0","250","-","Active"
https://www.phoenixcontact.com/assets/downloads_ed/global/web_dwl_promotion/1005361_EN_HQ_Thermotansferdruck_LoRes.pdf,//media.digikey.com/Photos/Phoenix%20Photos/MFG_0827450.jpg,0827450-ND,0827450,Phoenix Contact,LABEL ID/RATINGS 0.67""X0.59"" BLK,0,0,"1.14450","0","80","-","Active"
-,//media.digikey.com/Photos/Phoenix%20Photos/0827451.JPG,277-7505-ND,0827451,Phoenix Contact,MARKER CARRIER FOR SNAP-IN LBL,0,0,"1.27050","0","80","UC-EMP","Active"
https://www.phoenixcontact.com/assets/downloads_ed/global/web_dwl_promotion/1005361_EN_HQ_Thermotansferdruck_LoRes.pdf,//media.digikey.com/Photos/Phoenix%20Photos/MFG_0827452.jpg,0827452-ND,0827452,Phoenix Contact,LABEL ID/RATINGS 1.93""X0.59"" BLK,0,0,"1.37550","0","40","-","Active"
-,-,PSS029-ND,PSS029,Panduit Corp,3X2 READY MIX POCKET CARD,0,0,"1.56000","0","1","*","Active"
-,-,PSS026-ND,PSS026,Panduit Corp,CRANE SIGNALS CARD OVERHEAD,0,0,"1.56000","0","1","*","Active"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/0827454.pdf,//media.digikey.com/Photos/Phoenix%20Photos/MFG_0827454.jpg,0827454-ND,0827454,Phoenix Contact,MARKER CARRIER,0,0,"1.57500","0","30","UC-EMP","Active"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/0827447.pdf,//media.digikey.com/Photos/Phoenix%20Photos/0827447.JPG,277-5530-ND,0827447,Phoenix Contact,MARKER CARRIER,0,0,"1.93000","0","50","UC-EMP","Active"
https://www.phoenixcontact.com/assets/downloads_ed/global/web_dwl_promotion/1005361_EN_HQ_Thermotansferdruck_LoRes.pdf,//media.digikey.com/Photos/Phoenix%20Photos/MFG_0828987.jpg,0828987-ND,0828987,Phoenix Contact,MARKER CARRIERS BLACK,0,50,"2.02660","0","50","-","Active"
https://www.phoenixcontact.com/assets/downloads_ed/global/web_dwl_promotion/1005361_EN_HQ_Thermotansferdruck_LoRes.pdf,//media.digikey.com/Photos/Phoenix%20Photos/MFG_0828986.jpg,0828986-ND,0828986,Phoenix Contact,MARKER CARRIERS BLACK,0,0,"2.02660","0","50","-","Active"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/0827449.pdf,//media.digikey.com/Photos/Phoenix%20Photos/MFG_0827449.jpg,0827449-ND,0827449,Phoenix Contact,MARKER CARRIER,0,0,"2.07900","0","50","UC-EMP","Active"
-,-,PHC0001-ND,PHC0001,Panduit Corp,GHS WALLET CARD,0,0,"2.52000","0","1","*","Active"
-,-,PHC0119-ND,PHC0119,Panduit Corp,GHS WALLET CARD - SPANISH,0,0,"2.52000","0","1","*","Active"
-,-,PHC0122-ND,PHC0122,Panduit Corp,NFPA WALLET GUIDE,0,0,"2.52000","0","1","*","Active"
-,-,PSS028-ND,PSS028,Panduit Corp,CRANE SIGNALS CARD MOBILE,0,0,"3.02000","0","1","*","Active"
-,-,PSS027-ND,PSS027,Panduit Corp,CRANE SIGNALS STND METHOD CARD,0,0,"3.02000","0","1","*","Active"
https://www.phoenixcontact.com/assets/downloads_ed/global/web_dwl_promotion/1005361_EN_HQ_Thermotansferdruck_LoRes.pdf,//media.digikey.com/Photos/Phoenix%20Photos/MFG_0829560.jpg,0829560-ND,0829560,Phoenix Contact,MARKER CARRIERS,0,0,"9.40800","0","25","-","Active"
http://www.panduit.com/heiler/PartDrawings/C10943%20(PMSCL_).pdf,-,PMSCLL-ND,PMSCLL,Panduit Corp,PRE-COILED CLEAR SNAP-ON MARKERS,0,0,"31.03000","0","1","*","Active"
-,-,QC200AC-ND,QC200AC,TE Connectivity Raychem Cable Protection,LABEL ID/RATINGS 2""X0.63"" CLEAR,0,0,"37.98000","0","50","QC","Active"
-,-,QC210AC-ND,QC210AC,TE Connectivity Raychem Cable Protection,LABEL ID/RATINGS 2.25""X0.87"" CLR,0,0,"38.53900","0","10","QC","Active"
http://www.panduit.com/heiler/PartDrawings/C10943%20(PMSCL_).pdf,-,PMSCLP-ND,PMSCLP,Panduit Corp,PRE-COILED CLEAR SNAP-ON MARKERS,0,0,"40.41000","0","1","*","Active"
