Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Voltage - Primary","Voltage - Secondary (Full Load)","Current - Output (Max)","Primary Winding(s)","Secondary Winding(s)","Center Tap","Power - Max","Mounting Type","Termination Style","Size / Dimension","Height - Seated (Max)","Voltage - Isolation","Weight"
http://catalog.triadmagnetics.com/Asset/FS12-090-C2.pdf,//media.digikey.com/Photos/Triad%20Magnetics%20Photos/FSxx-xxx-C2-B.JPG,237-1577-ND,FS12-090-C2,Triad Magnetics,XFRMR LAMINATED 1.1VA THRU HOLE,1676,0,"4.92000","0","1","Split Pack™, Class 2/3, FS","Active","Laminated Core","115V, 230V","Parallel 6.3V, Series 12.6V","Parallel 180mA, Series 90mA","Dual","Dual","No","1.1VA","Through Hole","PC Pin","34.93mm L x 28.58mm W","23.80mm","4200Vrms","0.17 lb (77.11g)"
http://www.tamuracorp.com/clientuploads/pdfs/engineeringdocs/3FS-2XX.pdf,//media.digikey.com/photos/Tamura%20Photos/3FS-216.JPG,MT2205-ND,3FS-212,Tamura,XFRMR LAMINATED 1.1VA THRU HOLE,4205,0,"5.45000","0","1","3FS-2xx","Active","Laminated Core","115V","Parallel 6.3V, Series 12.6V","Parallel 180mA, Series 90mA","Single","Dual","No","1.1VA","Through Hole","PC Pin","35.56mm L x 31.00mm W","25.40mm","2500Vrms","-"
http://catalog.triadmagnetics.com/Asset/FS24-100-C2.pdf,//media.digikey.com/Photos/Triad%20Magnetics%20Photos/FSxx-xxx-C2-B.JPG,237-1539-ND,FS24-100-C2,Triad Magnetics,XFRMR LAMINATED 2.4VA THRU HOLE,2867,0,"5.51000","0","1","Split Pack™, Class 2/3, FS","Active","Laminated Core","115V, 230V","Parallel 12V, Series 24V","Parallel 200mA, Series 100mA","Dual","Dual","No","2.4VA","Through Hole","PC Pin","34.93mm L x 28.58mm W","30.15mm","4200Vrms","0.25 lb (113.4g)"
http://catalog.triadmagnetics.com/Asset/FS20-120-C2.pdf,//media.digikey.com/Photos/Triad%20Magnetics%20Photos/FSxx-xxx-C2-B.JPG,237-1540-5-ND,FS20-120-C2,Triad Magnetics,XFRMR LAMINATED 2.4VA THRU HOLE,1103,0,"5.51000","0","1","Split Pack™, Class 2/3, FS","Active","Laminated Core","115V, 230V","Parallel 10V, Series 20V","Parallel 240mA, Series 120mA","Dual","Dual","No","2.4VA","Through Hole","PC Pin","34.93mm L x 28.58mm W","30.15mm","4200Vrms","0.25 lb (113.4g)"
http://www.tamuracorp.com/clientuploads/pdfs/engineeringdocs/3FD-2XX.pdf,//media.digikey.com/photos/Tamura%20Photos/3FD-210.jpg,MT2096-ND,3FD-210,Tamura,XFRMR LAMINATED 1.1VA THRU HOLE,6524,0,"5.73000","0","1","3FD-2xx","Active","Laminated Core","115V, 230V","Parallel 5V, Series 10V","Parallel 220mA, Series 110mA","Dual","Dual","No","1.1VA","Through Hole","PC Pin","35.56mm L x 31.00mm W","25.40mm","2500Vrms","-"
http://www.tamuracorp.com/clientuploads/pdfs/engineeringdocs/3FD-2XX.pdf,//media.digikey.com/photos/Tamura%20Photos/3FD-248.JPG,MT2101-ND,3FD-212,Tamura,XFRMR LAMINATED 1.1VA THRU HOLE,3925,0,"5.73000","0","1","3FD-2xx","Active","Laminated Core","115V, 230V","Parallel 6.3V, Series 12.6V","Parallel 180mA, Series 90mA","Dual","Dual","No","1.1VA","Through Hole","PC Pin","35.56mm L x 31.00mm W","38.00mm","2500Vrms","-"
http://www.tamuracorp.com/clientuploads/pdfs/engineeringdocs/3FD-2XX.pdf,//media.digikey.com/photos/Tamura%20Photos/3FD-248.JPG,MT2105-ND,3FD-216,Tamura,XFRMR LAMINATED 1.1VA THRU HOLE,1034,0,"5.73000","0","1","3FD-2xx","Active","Laminated Core","115V, 230V","Parallel 8V, Series 16V","Parallel 140mA, Series 70mA","Dual","Dual","No","1.1VA","Through Hole","PC Pin","35.56mm L x 31.00mm W","38.00mm","2500Vrms","-"
http://www.tamuracorp.com/clientuploads/pdfs/engineeringdocs/3FS-3XX.pdf,//media.digikey.com/photos/Tamura%20Photos/3FS-310.jpg,MT2218-ND,3FS-324,Tamura,XFRMR LAMINATED 2.4VA THRU HOLE,4864,0,"6.10000","0","1","3FS-3xx","Active","Laminated Core","115V","Parallel 12V, Series 24V","Parallel 200mA, Series 100mA","Single","Dual","No","2.4VA","Through Hole","PC Pin","35.56mm L x 31.00mm W","32.10mm","2500Vrms","-"
http://www.tamuracorp.com/clientuploads/pdfs/engineeringdocs/3FD-3XX.pdf,//media.digikey.com/photos/Tamura%20Photos/3FD-310.jpg,MT2110-ND,3FD-320,Tamura,XFRMR LAMINATED 2.4VA THRU HOLE,18194,0,"6.45000","0","1","3FD-3xx","Active","Laminated Core","115V, 230V","Parallel 10V, Series 20V","Parallel 240mA, Series 120mA","Dual","Dual","No","2.4VA","Through Hole","PC Pin","35.56mm L x 31.00mm W","32.10mm","2500Vrms","-"
http://www.tamuracorp.com/clientuploads/pdfs/engineeringdocs/3FD-3XX.pdf,//media.digikey.com/photos/Tamura%20Photos/3FD-324.jpg,MT2106-ND,3FD-316,Tamura,XFRMR LAMINATED 2.4VA THRU HOLE,14297,0,"6.45000","0","1","3FD-3xx","Active","Laminated Core","115V, 230V","Parallel 8V, Series 16V","Parallel 300mA, Series 150mA","Dual","Dual","No","2.4VA","Through Hole","PC Pin","35.56mm L x 31.00mm W","32.10mm","2500Vrms","-"
