Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","For Use With/Related Products","Contents"
http://ww1.microchip.com/downloads/en/DeviceDoc/MPLAB%20Snap%20In-Circuit%20Debugger%20IS%20DS50002787A.pdf,//media.digikey.com/Photos/Microchip%20Tech%20Photos/MFG_PG164100.jpg,PG164100-ND,PG164100,Microchip Technology,MPLAB SNAP DEBUGGER,167,0,"14.95000","0","1","MPLAB®","Active","Debugger, Programmer (In-Circuit/In-System)","PIC Micro® MCU","Board(s)"
-,//media.digikey.com/Photos/CSR%20PLC%20Photos/DK-USB-SPI-10225-1A.JPG,DK-USB-SPI-10225-1A-ND,DK-USB-SPI-10225-1A,Qualcomm,KIT SPI PROGRAMMER SENSOR,501,0,"15.00000","0","1","-","Active","Debugger, Programmer (In-Circuit/In-System)","CSR101x","Board(s)"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/Tiny_AVR_Prog_Hookup_Guide_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_PGM-11801.jpg,1568-1079-ND,PGM-11801,SparkFun Electronics,TINY AVR PROGRAMMER,230,0,"16.25000","0","1","-","Active","Programmer (In-Circuit/In-System, Universal Out-of-Circuit)","ATtiny45, ATtiny85","Board(s)"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/Pocket_AVR_Prog_HookupGuide_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_PGM-09825.jpg,1568-1080-ND,PGM-09825,SparkFun Electronics,POCKET AVR PROGRAMMER,134,0,"16.95000","0","1","-","Active","Programmer","AVR®","Board(s)"
http://www.xmos.com/published/xtag-3-hardware-manual?version=latest,//media.digikey.com/Photos/XMOS%20Photos/XA-XTAG.jpg,XA-XTAG-ND,XA-XTAG,XMOS,ADAPTER USB DEBUGGER JTAG XSYS2,185,0,"18.95000","0","1","-","Active","Debugger (In-Circuit/In-System)","XMOS Development Boards","Board(s)"
http://www.st.com/content/ccc/resource/technical/document/data_brief/80/76/2b/dc/45/c5/46/90/DM00027105.pdf/files/DM00027105.pdf/jcr:content/translations/en.DM00027105.pdf,//media.digikey.com/Photos/STMicro%20Photos/ST-LINK%5EV2.jpg,497-10484-ND,ST-LINK/V2,STMicroelectronics,DEBUGGER/PROGRAMMER STM8 STM32,121,0,"22.61000","0","1","-","Active","Debugger, Programmer (In-Circuit/In-System)","STM8, STM32","Board(s), Cable(s)"
https://github.com/sparkfun/Bus_Pirate,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/TOL-12942.JPG,1568-1375-ND,TOL-12942,SparkFun Electronics,BUS PIRATE V3.6A,131,0,"29.95000","0","1","-","Active","Programmer (In-Circuit/In-System)","-","Board(s)"
http://trenz.org/catalog,//media.digikey.com/Photos/Trenz-Electronic-GmbH/MFG_TE0790-02L.JPG,1686-1080-ND,TE0790-02L,Trenz Electronic GmbH,ADAPTER USB JTAG XMOD FTDI 2CH,127,0,"30.60000","0","1","TE0790","Active","Programmer (In-Circuit/In-System)","JTAG Devices","Board(s)"
https://www.silabs.com/documents/public/user-guides/8-bit-USB-Debug-Adapter.pdf,//media.digikey.com/photos/Silicon%20Labs%20Photos/DEBUGADPTR1-USB.JPG,336-1182-ND,DEBUGADPTR1-USB,Silicon Labs,USB DEBUG ADAPTER 8-BIT,214,0,"35.00000","0","1","-","Active","Debugger","8051","Board(s), Cable(s)"
https://www.st.com/content/ccc/resource/technical/document/technical_note/group0/30/c8/1d/0f/15/62/46/ef/DM00290229/files/DM00290229.pdf/jcr:content/translations/en.DM00290229.pdf,//media.digikey.com/Photos/STMicro%20Photos/MFG_STLINK-V3SET.jpg,497-18216-ND,STLINK-V3SET,STMicroelectronics,STLINK V3 MODULAR IN-CIRCUIT DEB,195,0,"35.00000","0","1","-","Active","Debugger, Programmer (In-Circuit/In-System)","STM8, STM32","Board(s)"
