Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Capacitance","Tolerance","Voltage - Rated","ESR (Equivalent Series Resistance)","Lifetime @ Temp.","Operating Temperature","Polarization","Ratings","Applications","Ripple Current @ Low Frequency","Ripple Current @ High Frequency","Impedance","Lead Spacing","Size / Dimension","Height - Seated (Max)","Surface Mount Land Size","Mounting Type","Package / Case"
"//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Electronic%20Components/S_Series,Type_V_Rev2018.pdf","//media.digikey.com/photos/Panasonic%20Photos/VS%20SERIES%206.50H,4.0D,HA%20SERIES%205.5H,4.0D.jpg",PCE3878TR-ND,EEE-1CA100SR,Panasonic Electronic Components,CAP ALUM 10UF 20% 16V SMD,248000,0,"0.05960","0","2000","Tape & Reel (TR)","S","Active","10µF","±20%","16V","-","2000 Hrs @ 85°C","-40°C ~ 85°C","Polar","AEC-Q200","Automotive","28mA @ 120Hz","47.6mA @ 10kHz","-","-","0.157"" Dia (4.00mm)","0.213"" (5.40mm)","0.169"" L x 0.169"" W (4.30mm x 4.30mm)","Surface Mount","Radial, Can - SMD"
"//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Electronic%20Components/S_Series,Type_V_Rev2018.pdf","//media.digikey.com/photos/Panasonic%20Photos/VS%20SERIES%206.50H,4.0D,HA%20SERIES%205.5H,4.0D.jpg",PCE3878CT-ND,EEE-1CA100SR,Panasonic Electronic Components,CAP ALUM 10UF 20% 16V SMD,250666,0,"0.30000","0","1","Cut Tape (CT)","S","Active","10µF","±20%","16V","-","2000 Hrs @ 85°C","-40°C ~ 85°C","Polar","AEC-Q200","Automotive","28mA @ 120Hz","47.6mA @ 10kHz","-","-","0.157"" Dia (4.00mm)","0.213"" (5.40mm)","0.169"" L x 0.169"" W (4.30mm x 4.30mm)","Surface Mount","Radial, Can - SMD"
"//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Electronic%20Components/S_Series,Type_V_Rev2018.pdf","//media.digikey.com/photos/Panasonic%20Photos/VS%20SERIES%206.50H,4.0D,HA%20SERIES%205.5H,4.0D.jpg",PCE3878DKR-ND,EEE-1CA100SR,Panasonic Electronic Components,CAP ALUM 10UF 20% 16V SMD,250676,0,"Digi-Reel","0","1","Digi-Reel®","S","Active","10µF","±20%","16V","-","2000 Hrs @ 85°C","-40°C ~ 85°C","Polar","AEC-Q200","Automotive","28mA @ 120Hz","47.6mA @ 10kHz","-","-","0.157"" Dia (4.00mm)","0.213"" (5.40mm)","0.169"" L x 0.169"" W (4.30mm x 4.30mm)","Surface Mount","Radial, Can - SMD"
"//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Electronic%20Components/S_Series,Type_V_Rev2018.pdf","//media.digikey.com/photos/Panasonic%20Photos/VS%20SERIES%206.50H,4.0D,HA%20SERIES%205.5H,4.0D.jpg",PCE3857TR-ND,EEE-0JA220SR,Panasonic Electronic Components,CAP ALUM 22UF 20% 6.3V SMD,134000,0,"0.05960","0","2000","Tape & Reel (TR)","S","Active","22µF","±20%","6.3V","-","2000 Hrs @ 85°C","-40°C ~ 85°C","Polar","AEC-Q200","Automotive","29mA @ 120Hz","49.3mA @ 10kHz","-","-","0.157"" Dia (4.00mm)","0.213"" (5.40mm)","0.169"" L x 0.169"" W (4.30mm x 4.30mm)","Surface Mount","Radial, Can - SMD"
"//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Electronic%20Components/S_Series,Type_V_Rev2018.pdf","//media.digikey.com/photos/Panasonic%20Photos/VS%20SERIES%206.50H,4.0D,HA%20SERIES%205.5H,4.0D.jpg",PCE3857CT-ND,EEE-0JA220SR,Panasonic Electronic Components,CAP ALUM 22UF 20% 6.3V SMD,137686,0,"0.30000","0","1","Cut Tape (CT)","S","Active","22µF","±20%","6.3V","-","2000 Hrs @ 85°C","-40°C ~ 85°C","Polar","AEC-Q200","Automotive","29mA @ 120Hz","49.3mA @ 10kHz","-","-","0.157"" Dia (4.00mm)","0.213"" (5.40mm)","0.169"" L x 0.169"" W (4.30mm x 4.30mm)","Surface Mount","Radial, Can - SMD"
"//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Electronic%20Components/S_Series,Type_V_Rev2018.pdf","//media.digikey.com/photos/Panasonic%20Photos/VS%20SERIES%206.50H,4.0D,HA%20SERIES%205.5H,4.0D.jpg",PCE3857DKR-ND,EEE-0JA220SR,Panasonic Electronic Components,CAP ALUM 22UF 20% 6.3V SMD,137686,0,"Digi-Reel","0","1","Digi-Reel®","S","Active","22µF","±20%","6.3V","-","2000 Hrs @ 85°C","-40°C ~ 85°C","Polar","AEC-Q200","Automotive","29mA @ 120Hz","49.3mA @ 10kHz","-","-","0.157"" Dia (4.00mm)","0.213"" (5.40mm)","0.169"" L x 0.169"" W (4.30mm x 4.30mm)","Surface Mount","Radial, Can - SMD"
http://nichicon-us.com/english/products/pdfs/e-uwx.pdf,"//media.digikey.com/photos/Nichicon%20Photos/WT,WX%20SERIES%203.0,5.4.jpg",493-2099-2-ND,UWX1C100MCL2GB,Nichicon,CAP ALUM 10UF 20% 16V SMD,228000,0,"0.06520","0","2000","Tape & Reel (TR)","UWX","Active","10µF","±20%","16V","-","2000 Hrs @ 85°C","-40°C ~ 85°C","Polar","-","General Purpose","18mA @ 120Hz","27mA @ 10kHz","-","-","0.118"" Dia (3.00mm)","0.213"" (5.40mm)","0.130"" L x 0.130"" W (3.30mm x 3.30mm)","Surface Mount","Radial, Can - SMD"
http://nichicon-us.com/english/products/pdfs/e-uwx.pdf,"//media.digikey.com/photos/Nichicon%20Photos/WT,WX%20SERIES%203.0,5.4.jpg",493-2099-1-ND,UWX1C100MCL2GB,Nichicon,CAP ALUM 10UF 20% 16V SMD,228808,0,"0.33000","0","1","Cut Tape (CT)","UWX","Active","10µF","±20%","16V","-","2000 Hrs @ 85°C","-40°C ~ 85°C","Polar","-","General Purpose","18mA @ 120Hz","27mA @ 10kHz","-","-","0.118"" Dia (3.00mm)","0.213"" (5.40mm)","0.130"" L x 0.130"" W (3.30mm x 3.30mm)","Surface Mount","Radial, Can - SMD"
http://nichicon-us.com/english/products/pdfs/e-uwx.pdf,"//media.digikey.com/photos/Nichicon%20Photos/WT,WX%20SERIES%203.0,5.4.jpg",493-2099-6-ND,UWX1C100MCL2GB,Nichicon,CAP ALUM 10UF 20% 16V SMD,228808,0,"Digi-Reel","0","1","Digi-Reel®","UWX","Active","10µF","±20%","16V","-","2000 Hrs @ 85°C","-40°C ~ 85°C","Polar","-","General Purpose","18mA @ 120Hz","27mA @ 10kHz","-","-","0.118"" Dia (3.00mm)","0.213"" (5.40mm)","0.130"" L x 0.130"" W (3.30mm x 3.30mm)","Surface Mount","Radial, Can - SMD"
"//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Electronic%20Components/S_Series,Type_V_Rev2018.pdf","//media.digikey.com/photos/Panasonic%20Photos/VS%20SERIES%206.50H,4.0D,HA%20SERIES%205.5H,4.0D.jpg",PCE3948TR-ND,EEE-1VA100WR,Panasonic Electronic Components,CAP ALUM 10UF 20% 35V SMD,36000,0,"0.06580","0","2000","Tape & Reel (TR)","S","Active","10µF","±20%","35V","-","1000 Hrs @ 85°C","-40°C ~ 85°C","Polar","AEC-Q200","Automotive","22mA @ 120Hz","37.4mA @ 10kHz","-","-","0.157"" Dia (4.00mm)","0.213"" (5.40mm)","0.169"" L x 0.169"" W (4.30mm x 4.30mm)","Surface Mount","Radial, Can - SMD"
