Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Accessory Type","Style","Includes"
https://belfuse.com/resources/cinch-brochures/CCS%20Trompeter%20Catalog.pdf,//media.digikey.com/Photos/Cinch-Connectivity-Solutions/HP-437.JPG,1097-1326-ND,HP-437,Cinch Connectivity Solutions Trompeter,.437"" PATCH PANEL HOLE PLUG,200,0,"0.58000","0","1","HP","Active","Plug, Sealing","-","-"
https://www.panduit.com/content/dam/panduit/en/products/assets/c/c4/c4p/c4pp/c4pplk/media/C-COC4PPLK--ENG.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_C4PPLK.jpg,298-15932-ND,C4PPLK,Panduit Corp,REPLACEMENT LABEL KIT FOR MODULA,100,0,"3.27000","0","1","-","Active","-","-","-"
https://www.panduit.com/content/dam/panduit/en/products/assets/q/qp/qpp/qppb/qppbbl/media/C-COQPPBBL--ENG.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_QPPBBL.JPG,298-12854-ND,QPPBBL,Panduit Corp,QUICKNET PATCH PANEL BLANK ADAPT,100,0,"4.35000","0","1","QuickNet™","Active","Blank Panel","-","-"
https://www.panduit.com/content/dam/panduit/en/products/assets/q/qp/qpp/qppa/qppabl/media/C-COQPPABL--ENG.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/QPPABL.JPG,298-12853-ND,QPPABL,Panduit Corp,MINI COM 6-PORT QUICKNET PATCH P,69,0,"4.40000","0","1","QuickNet™","Active","Adapter Plate","-","-"
http://www.switchcraft.com/Documents/EDG4.pdf#page=240,-,SC2803-ND,DS302,Switchcraft Inc.,COVER USED WITH KIT DS301,35,0,"5.72000","0","1","Kwik-Change®","Active","Designation Strip Kit","-","Cover"
https://www.panduit.com/content/dam/panduit/en/products/assets/c/c6/c6p/c6pp/c6pplk2548/media/C-COC6PPLK25-48--ENG.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_C6PPLK25-48.jpg,298-15933-ND,C6PPLK25-48,Panduit Corp,REPLACEMENT LABEL KIT FOR M6 STY,33,0,"6.22000","0","1","-","Active","-","-","-"
https://www.panduit.com/content/dam/panduit/en/products/assets/w/wb/wb8/wb89/wb89d/media/C-COWB89D--ENG.pdF,//media.digikey.com/photos/Panduit%20Corp%20Photos/MFG_WB89D.jpg,298-16578-ND,WB89D,Panduit Corp,BRACKET WALL MNT FOR 12PORT,48,0,"8.53000","0","1","NetKey®","Active","Mounting Brackets","-","-"
http://www.panduit.com/heiler/PartDrawings/C-COSRBS19BL-XY--ENG.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/MFG_SRBS19BL-XY.jpg,298-16346-ND,SRBS19BL-XY,Panduit Corp,STRAIN RELIEF BAR STRAIGHT,50,0,"11.43000","0","1","NetKey®","Active","Strain Relief","-","-"
-,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_SRBBRKT.JPG,298-13075-ND,SRBBRKT,Panduit Corp,STRAIN RELIEF BAR BRACKET,20,0,"19.64000","0","1","-","Active","-","-","-"
http://www.panduit.com/heiler/PartDrawings/C-COSRB19BLY--ENG.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/MFG_SRB19BLY.jpg,298-12431-ND,SRB19BLY,Panduit Corp,STRAIN RELIEF BAR FOR 19"" RACK,49,0,"21.76000","0","1","NetKey®","Active","Strain Relief","-","-"
http://www.switchcraft.com/Drawings/VMLPUHD_CD_REV0D.pdf,//media.digikey.com/Photos/Switchcraft%20Photos/MFG_VMLPUHD.jpg,SC3541-ND,VMLPUHD,Switchcraft Inc.,LOOPING PLUG,75,0,"29.14000","0","1","-","Active","Dummy Plug, Twin","1/4"" Phone Jack (Not Provided)","-"
http://www.switchcraft.com/Drawings/VMTPUHD_CD_REV0C.pdf,-,SC3542-ND,VMTPUHD,Switchcraft Inc.,DUAL TERMINATING PLUG,25,0,"29.14000","0","1","-","Active","Dummy Plug, Twin","1/4"" Phone Jack (Not Provided)","-"
https://www.panduit.com/content/dam/panduit/en/products/assets/s/sr/srb/srb1/srb19d5bl/media/C-COSRB19D5BL--ENG.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/SRB19D5BL.JPG,298-12866-ND,SRB19D5BL,Panduit Corp,STRAIN RELIEF BAR EXTENDS 5 INCH,14,0,"38.09000","0","1","-","Active","Strain Relief","-","-"
http://www.panduit.com/heiler/PartDrawings/C-COSRBM19BLY--ENG.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/MFG_SRBM19BLY.jpg,298-16345-ND,SRBM19BLY,Panduit Corp,STRAIN REL BAR W/HOOK & LOOP TIE,35,0,"40.37000","0","1","NetKey®","Active","Strain Relief","-","-"
https://www.panduit.com/content/dam/panduit/en/products/assets/s/sr/srb/srbw/srbwcy/media/C-COSRBWCY--ENG.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_SRBWCY.jpg,298-16347-ND,SRBWCY,Panduit Corp,STRAIN RELIEF BAR WITH ADJUSTABL,14,0,"46.84000","0","1","-","Active","Strain Relief","-","-"
https://www.panduit.com/content/dam/panduit/en/products/assets/s/sr/srb/srb1/srb19mdbl/media/C-COSRB19MDBL--ENG.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_SRB19MDBL.jpg,298-16344-ND,SRB19MDBL,Panduit Corp,"STRAIN RELIEF BAR, 7"" MULTI-DEPT",35,0,"49.18000","0","1","-","Active","Strain Relief","-","-"
https://www.panduit.com/content/dam/panduit/en/products/assets/s/sr/srb/srb1/srb19d7bl/media/SRB19D7BL.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_SRB19D7BL.JPG,298-12867-ND,SRB19D7BL,Panduit Corp,STRAIN RELIEF BAR EXTENDS 7 INCH,10,0,"49.18000","0","1","-","Active","Strain Relief","-","-"
https://www.panduit.com/content/dam/panduit/en/products/assets/f/fq/fqc/fqcr/fqcrcm/media/FQCRCM.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_FQCRCM.JPG,298-12691-ND,FQCRCM,Panduit Corp,THE PANDUIT QUICKNET CASSETTE RE,5,0,"92.40000","0","1","QuickNet™","Active","Cable Management Bracket","-","-"
http://www.switchcraft.com/Documents/switchcraft_studiopatch_npb_563c_update_alt3.pdf,//media.digikey.com/Photos/Switchcraft%20Photos/MFG_1625RACK.png,SC3518-ND,1625RACK,Switchcraft Inc.,1.5 RU MTG RACK-MAX,4,0,"129.15000","0","1","EZ Norm TT","Active","Mounting Brackets","-","-"
https://www.panduit.com/content/dam/panduit/en/products/assets/q/qs/qsp/qsp4/qsp48hdbl/media/C-COQSP48HDBL--ENG.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_QSP48HDBL.JPG,298-12855-ND,QSP48HDBL,Panduit Corp,48-PORT SHIELDED HIGH DENSITY PA,4,0,"145.29000","0","1","QuickNet™","Active","-","-","-"
https://assets.tripplite.com/product-pdfs/en/n492wm4bk.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_N492-WM4-BK_A.jpg,TL2129-ND,N492-WM4-BK,Tripp Lite,FIBER OPTIC WALLMOUNT DISTRIBUTI,3,0,"220.58000","0","1","-","Active","Fiber Distribution Unit","Wall Mount","Cable Lock, Cable Manager Rings, Cable Ties, Label, Keys, Start Guide"
https://assets.tripplite.com/product-pdfs/en/n060001.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_N060-001.JPG,TL1258-ND,N060-001,Tripp Lite,1U HINGED WALL-MOUNT PATCH PANEL,5,0,"20.00000","0","1","-","Active","Mounting Brackets","Wall Mount","-"
http://www.switchcraft.com/Drawings/VMSTPUHD_CD_REV0A.pdf,-,SC3543-ND,VMSTPUHD,Switchcraft Inc.,SINGLE TERMINATING PLUG,25,0,"19.85000","0","1","-","Active","Dummy Plug","1/4"" Phone Jack (Not Provided)","-"
http://wpc.ac62.edgecastcdn.net/00AC62/drawings/16-1243-001-CSU.pdf,-,1436-2502-ND,RNA4UCN,HellermannTyton,"RAPIDNET DISTRIBUTION CHASSIS, 7",1,0,"404.52000","0","1","-","Active","Fiber Distribution Unit","Rack Mount","-"
-,-,09458520000-ND,09458520000,HARTING,HARTING RJ INDUSTRIAL PLUG COVER,0,0,"0.34500","0","100","*","Active","-","-","-"
https://belfuse.com/resources/cinch-brochures/CCS%20Trompeter%20Catalog.pdf,-,HP-250-ND,HP-250,Cinch Connectivity Solutions Trompeter,.250"" PATCH PANEL HOLE PLUG,0,0,"0.41400","0","100","HP","Active","Plug, Sealing","-","-"
https://belfuse.com/resources/cinch-brochures/CCS%20Trompeter%20Catalog.pdf,-,HP-375-ND,HP-375,Cinch Connectivity Solutions Trompeter,.375"" PATCH PANEL HOLE PLUG,0,0,"0.41400","0","100","HP","Active","Plug, Sealing","-","-"
-,//media.digikey.com/photos/Switchcraft%20Photos/Switchcraft%20-%20P1801.jpg,P1801-ND,P1801,Switchcraft Inc.,HOLE PLUG,0,0,"1.07800","0","500","-","Active","Dummy Plug","-","-"
//media.digikey.com/PDF/Data%20Sheets/Switchcraft%20PDFs/TT%20Bantam%20Circuit%20Guard%20Plugs.pdf,-,TT5122-ND,TT5122,Switchcraft Inc.,PANEL PLUG GUARD CIRCUIT BLACK,0,0,"1.69600","0","100","-","Active","Plug, Sealing","Phone, 0.173"" Dia","-"
//media.digikey.com/PDF/Data%20Sheets/Switchcraft%20PDFs/TT%20Bantam%20Circuit%20Guard%20Plugs.pdf,-,TT5131-ND,TT5131,Switchcraft Inc.,PANEL PLUG GUARD CIRCUIT RED,0,0,"1.69600","0","100","-","Active","Plug, Sealing","Phone, 0.173"" Dia","-"
