Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Function","Modulation or Protocol","Frequency","Applications","Interface","Sensitivity","Power - Output","Data Rate (Max)","Features"
http://www.lantronix.com/wp-content/uploads/pdf/xPico_PB.pdf,//media.digikey.com/Photos/LANTRONIX/XPC100100B-01.JPG,1829-1003-ND,XPC100100B-01,"Lantronix, Inc.","XPICO DEVICE SERVER MODULE, EXTE",930,0,"23.44000","0","1","xPico®","Active","Router","-","-","General Purpose","Ethernet","-","-","-","-"
https://www.lantronix.com/wp-content/uploads/pdf/xPico110_PB.pdf,-,1829-1027-ND,XPC100200S-01,"Lantronix, Inc.",XPICO 110 WIRED DEVICE SERVER MO,155,0,"29.99000","0","1","xPico®","Active","Router","-","-","General Purpose","-","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Multi-Tech%20Systems%20PDFs/SocketModem_Rev4-13.pdf,//media.digikey.com/Photos/Multi-Tech%20Photos/MT5692SMI-L-34.R1.JPG,591-1180-ND,MT5692SMI-L-34.R1,Multi-Tech Systems Inc.,V.34 SERIAL DATA,328,0,"40.79000","0","1","SocketModem®","Active","-","-","-","-","Serial","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Multi-Tech%20Systems%20PDFs/SocketModem_Rev4-13.pdf,//media.digikey.com/Photos/Multi-Tech%20Photos/MT5692SMI-92.jpg,591-1179-ND,MT5692SMI-92.R1,Multi-Tech Systems Inc.,V.92 SERIAL DATA,2273,0,"41.96000","0","1","SocketModem®","Active","-","-","-","-","Serial","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Multi-Tech%20Systems%20PDFs/SocketModem_Rev4-13.pdf,//media.digikey.com/Photos/Multi-Tech%20Photos/MT5692SMI-L-92.R1.JPG,591-1178-ND,MT5692SMI-L-92.R1,Multi-Tech Systems Inc.,V.92 SERIAL DATA,627,0,"41.96000","0","1","SocketModem®","Active","-","-","-","-","Serial","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Multi-Tech%20Systems%20PDFs/SocketModem_Rev4-13.pdf,//media.digikey.com/Photos/Multi-Tech%20Photos/MT5692SMI-V-92.R1.JPG,591-1190-ND,MT5692SMI-V-92.R1,Multi-Tech Systems Inc.,MODEM V.92 SRL/PRL DATA/FAX 5V,698,0,"46.45000","0","1","SocketModem®","Active","-","-","-","-","Serial","-","-","-","-"
http://www.lantronix.com/wp-content/uploads/pdf/MatchPort-NR_PB.pdf,-,1829-1012-ND,MP5002000-01,"Lantronix, Inc.","MP5002000-01 EMBEDDED, DEVICE SE",335,0,"60.00000","0","1","*","Active","Gateway","802.11b/g","2.4GHz","General Purpose","-","-","-","-","-"
https://www.digi.com/pdf/ds_xbeewallrouter.pdf,//media.digikey.com/Photos/Digi%20Int'l%20Photos/XR-Z14-CW1P1.jpg,602-1149-ND,XR-Z14-CW1P1,Digi International,XBEE ZB RANGE EXTENDER US PLUG,196,0,"69.00000","0","1","XBee-Pro®","Active","Router","ISM","2.4GHz","General Purpose","-","-102dBm","17dBm","250kbps","-"
//media.digikey.com/pdf/Data%20Sheets/Multi-Tech%20Systems%20PDFs/SocketModem_Rev4-13.pdf,//media.digikey.com/Photos/Multi-Tech%20Photos/MT9234SMI-92.R1.JPG,591-1149-ND,MT9234SMI-92.R1,Multi-Tech Systems Inc.,MODEM V.92 SRL/PRL DATA/FAX 5V,506,0,"71.73000","0","1","SocketModem®","Active","-","-","-","-","Serial","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Multi-Tech%20Systems%20PDFs/SocketModem_Rev4-13.pdf,//media.digikey.com/Photos/Multi-Tech%20Photos/MT9234SMI-L-92.R1.JPG,591-1151-ND,MT9234SMI-L-92.R1,Multi-Tech Systems Inc.,MODEM V.92 SRL/PRL DATA/FAX 3.3V,258,0,"71.73000","0","1","SocketModem®","Active","-","-","-","-","Serial","-","-","-","-"
