Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Type","Applications","Mounting Type","Package / Case","Supplier Device Package"
http://www.microchip.com/mymicrochip/filehandler.aspx?ddocname=en590027,//media.digikey.com/Renders/Microchip%20Tech%20Renders/150;-8S1;-;-8.jpg,ATSHA204A-SSHDA-TTR-ND,ATSHA204A-SSHDA-T,Microchip Technology,IC AUTHENTICATION CHIP 8SOIC,8000,0,"0.42230","0","4000","Tape & Reel (TR)","CryptoAuthentication™","Active","Authentication Chip","Networking and Communications","Surface Mount","8-SOIC (0.154"", 3.90mm Width)","8-SOIC"
http://www.microchip.com/mymicrochip/filehandler.aspx?ddocname=en590027,//media.digikey.com/Renders/Microchip%20Tech%20Renders/150;-8S1;-;-8.jpg,ATSHA204A-SSHDA-TCT-ND,ATSHA204A-SSHDA-T,Microchip Technology,IC AUTHENTICATION CHIP 8SOIC,13798,0,"0.50000","0","1","Cut Tape (CT)","CryptoAuthentication™","Active","Authentication Chip","Networking and Communications","Surface Mount","8-SOIC (0.154"", 3.90mm Width)","8-SOIC"
http://www.microchip.com/mymicrochip/filehandler.aspx?ddocname=en590027,//media.digikey.com/Renders/Microchip%20Tech%20Renders/150;-8S1;-;-8.jpg,ATSHA204A-SSHDA-TDKR-ND,ATSHA204A-SSHDA-T,Microchip Technology,IC AUTHENTICATION CHIP 8SOIC,13798,0,"Digi-Reel","0","1","Digi-Reel®","CryptoAuthentication™","Active","Authentication Chip","Networking and Communications","Surface Mount","8-SOIC (0.154"", 3.90mm Width)","8-SOIC"
http://www.microchip.com/mymicrochip/filehandler.aspx?ddocname=en590027,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-23-3%20PKG.jpg,ATSHA204A-STUCZ-TTR-ND,ATSHA204A-STUCZ-T,Microchip Technology,IC AUTHENTICATION CHIP SOT23-3,10000,0,"0.48925","0","5000","Tape & Reel (TR)","CryptoAuthentication™","Active","Authentication Chip","Networking and Communications","Surface Mount","TO-236-3, SC-59, SOT-23-3","SOT-23-3"
http://www.microchip.com/mymicrochip/filehandler.aspx?ddocname=en590027,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-23-3%20PKG.jpg,ATSHA204A-STUCZ-TCT-ND,ATSHA204A-STUCZ-T,Microchip Technology,IC AUTHENTICATION CHIP SOT23-3,13872,0,"0.56000","0","1","Cut Tape (CT)","CryptoAuthentication™","Active","Authentication Chip","Networking and Communications","Surface Mount","TO-236-3, SC-59, SOT-23-3","SOT-23-3"
http://www.microchip.com/mymicrochip/filehandler.aspx?ddocname=en590027,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-23-3%20PKG.jpg,ATSHA204A-STUCZ-TDKR-ND,ATSHA204A-STUCZ-T,Microchip Technology,IC AUTHENTICATION CHIP SOT23-3,13872,0,"Digi-Reel","0","1","Digi-Reel®","CryptoAuthentication™","Active","Authentication Chip","Networking and Communications","Surface Mount","TO-236-3, SC-59, SOT-23-3","SOT-23-3"
http://www.microchip.com/mymicrochip/filehandler.aspx?ddocname=en590027,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/8-TSSOP.JPG,ATSHA204A-XHDA-TTR-ND,ATSHA204A-XHDA-T,Microchip Technology,IC AUTHENTICATION CHIP 8TSSOP,10000,0,"0.55620","0","5000","Tape & Reel (TR)","CryptoAuthentication™","Active","Authentication Chip","Networking and Communications","Surface Mount","8-TSSOP (0.173"", 4.40mm Width)","8-TSSOP"
http://www.microchip.com/mymicrochip/filehandler.aspx?ddocname=en590027,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/8-TSSOP.JPG,ATSHA204A-XHDA-TCT-ND,ATSHA204A-XHDA-T,Microchip Technology,IC AUTHENTICATION CHIP 8TSSOP,12638,0,"0.68000","0","1","Cut Tape (CT)","CryptoAuthentication™","Active","Authentication Chip","Networking and Communications","Surface Mount","8-TSSOP (0.173"", 4.40mm Width)","8-TSSOP"
http://www.microchip.com/mymicrochip/filehandler.aspx?ddocname=en590027,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/8-TSSOP.JPG,ATSHA204A-XHDA-TDKR-ND,ATSHA204A-XHDA-T,Microchip Technology,IC AUTHENTICATION CHIP 8TSSOP,12638,0,"Digi-Reel","0","1","Digi-Reel®","CryptoAuthentication™","Active","Authentication Chip","Networking and Communications","Surface Mount","8-TSSOP (0.173"", 4.40mm Width)","8-TSSOP"
http://www.microchip.com/mymicrochip/filehandler.aspx?ddocname=en603815,//media.digikey.com/Renders/Atmel%20Renders/8-UDFN-8MA2.jpg,ATECC508A-MAHDA-TTR-ND,ATECC508A-MAHDA-T,Microchip Technology,IC AUTHENTICATION CHIP 8UDFN,15000,0,"0.63088","0","15000","Tape & Reel (TR)","CryptoAuthentication™","Active","Authentication Chip","Networking and Communications","Surface Mount","8-UFDFN Exposed Pad","8-UDFN (2x3)"
http://www.microchip.com/mymicrochip/filehandler.aspx?ddocname=en603815,//media.digikey.com/Renders/Atmel%20Renders/8-UDFN-8MA2.jpg,ATECC508A-MAHDA-TCT-ND,ATECC508A-MAHDA-T,Microchip Technology,IC AUTHENTICATION CHIP 8UDFN,21475,0,"0.72000","0","1","Cut Tape (CT)","CryptoAuthentication™","Active","Authentication Chip","Networking and Communications","Surface Mount","8-UFDFN Exposed Pad","8-UDFN (2x3)"
http://www.microchip.com/mymicrochip/filehandler.aspx?ddocname=en603815,//media.digikey.com/Renders/Atmel%20Renders/8-UDFN-8MA2.jpg,ATECC508A-MAHDA-TDKR-ND,ATECC508A-MAHDA-T,Microchip Technology,IC AUTHENTICATION CHIP 8UDFN,21475,0,"Digi-Reel","0","1","Digi-Reel®","CryptoAuthentication™","Active","Authentication Chip","Networking and Communications","Surface Mount","8-UFDFN Exposed Pad","8-UDFN (2x3)"
http://www.microchip.com/mymicrochip/filehandler.aspx?ddocname=en601565,//media.digikey.com/Renders/Microchip%20Tech%20Renders/C04-136%20MU.jpg,ATECC608A-MAHCZ-TTR-ND,ATECC608A-MAHCZ-T,Microchip Technology,IC AUTHENTICATION CHIP 8UDFN,15000,0,"0.63088","0","15000","Tape & Reel (TR)","CryptoAuthentication™","Active","Authentication Chip","Networking and Communications","Surface Mount","8-UFDFN Exposed Pad","8-UDFN (2x3)"
http://www.microchip.com/mymicrochip/filehandler.aspx?ddocname=en601565,//media.digikey.com/Renders/Microchip%20Tech%20Renders/C04-136%20MU.jpg,ATECC608A-MAHCZ-TCT-ND,ATECC608A-MAHCZ-T,Microchip Technology,IC AUTHENTICATION CHIP 8UDFN,15920,0,"0.75000","0","1","Cut Tape (CT)","CryptoAuthentication™","Active","Authentication Chip","Networking and Communications","Surface Mount","8-UFDFN Exposed Pad","8-UDFN (2x3)"
http://www.microchip.com/mymicrochip/filehandler.aspx?ddocname=en601565,//media.digikey.com/Renders/Microchip%20Tech%20Renders/C04-136%20MU.jpg,ATECC608A-MAHCZ-TDKR-ND,ATECC608A-MAHCZ-T,Microchip Technology,IC AUTHENTICATION CHIP 8UDFN,15920,0,"Digi-Reel","0","1","Digi-Reel®","CryptoAuthentication™","Active","Authentication Chip","Networking and Communications","Surface Mount","8-UFDFN Exposed Pad","8-UDFN (2x3)"
http://www.microchip.com/mymicrochip/filehandler.aspx?ddocname=en603815,//media.digikey.com/Renders/Atmel%20Renders/8-UDFN-8MA2.jpg,ATECC508A-MAHDA-STR-ND,ATECC508A-MAHDA-S,Microchip Technology,IC AUTHENTICATION CHIP 8UDFN,21000,0,"0.64375","0","3000","Tape & Reel (TR)","CryptoAuthentication™","Active","Authentication Chip","Networking and Communications","Surface Mount","8-UFDFN Exposed Pad","8-UDFN (2x3)"
http://www.microchip.com/mymicrochip/filehandler.aspx?ddocname=en603815,//media.digikey.com/Renders/Atmel%20Renders/8-UDFN-8MA2.jpg,ATECC508A-MAHDA-SCT-ND,ATECC508A-MAHDA-S,Microchip Technology,IC AUTHENTICATION CHIP 8UDFN,21295,0,"0.73000","0","1","Cut Tape (CT)","CryptoAuthentication™","Active","Authentication Chip","Networking and Communications","Surface Mount","8-UFDFN Exposed Pad","8-UDFN (2x3)"
http://www.microchip.com/mymicrochip/filehandler.aspx?ddocname=en603815,//media.digikey.com/Renders/Atmel%20Renders/8-UDFN-8MA2.jpg,ATECC508A-MAHDA-SDKR-ND,ATECC508A-MAHDA-S,Microchip Technology,IC AUTHENTICATION CHIP 8UDFN,21295,0,"Digi-Reel","0","1","Digi-Reel®","CryptoAuthentication™","Active","Authentication Chip","Networking and Communications","Surface Mount","8-UFDFN Exposed Pad","8-UDFN (2x3)"
http://www.microchip.com/mymicrochip/filehandler.aspx?ddocname=en590569,//media.digikey.com/Renders/Microchip%20Tech%20Renders/150;-8S1;-;-8.jpg,ATAES132A-SHEQ-TTR-ND,ATAES132A-SHEQ-T,Microchip Technology,IC EEPROM 32K SPI 10MHZ 8SOIC,4000,0,"0.64375","0","4000","Tape & Reel (TR)","CryptoAuthentication™","Active","Authentication Chip","Networking and Communications","Surface Mount","8-SOIC (0.154"", 3.90mm Width)","8-SOIC"
http://www.microchip.com/mymicrochip/filehandler.aspx?ddocname=en590569,//media.digikey.com/Renders/Microchip%20Tech%20Renders/150;-8S1;-;-8.jpg,ATAES132A-SHEQ-TCT-ND,ATAES132A-SHEQ-T,Microchip Technology,IC EEPROM 32K SPI 10MHZ 8SOIC,7303,0,"0.74000","0","1","Cut Tape (CT)","CryptoAuthentication™","Active","Authentication Chip","Networking and Communications","Surface Mount","8-SOIC (0.154"", 3.90mm Width)","8-SOIC"
http://www.microchip.com/mymicrochip/filehandler.aspx?ddocname=en590569,//media.digikey.com/Renders/Microchip%20Tech%20Renders/150;-8S1;-;-8.jpg,ATAES132A-SHEQ-TDKR-ND,ATAES132A-SHEQ-T,Microchip Technology,IC EEPROM 32K SPI 10MHZ 8SOIC,7303,0,"Digi-Reel","0","1","Digi-Reel®","CryptoAuthentication™","Active","Authentication Chip","Networking and Communications","Surface Mount","8-SOIC (0.154"", 3.90mm Width)","8-SOIC"
http://www.microchip.com/mymicrochip/filehandler.aspx?ddocname=en601565,//media.digikey.com/Renders/Microchip%20Tech%20Renders/C04-136%20MU.jpg,ATECC608A-MAHDA-STR-ND,ATECC608A-MAHDA-S,Microchip Technology,IC AUTHENTICATION CHIP 8UDFN,3000,0,"0.64375","0","3000","Tape & Reel (TR)","CryptoAuthentication™","Active","Authentication Chip","Networking and Communications","Surface Mount","8-UFDFN Exposed Pad","8-UDFN (2x3)"
http://www.microchip.com/mymicrochip/filehandler.aspx?ddocname=en601565,//media.digikey.com/Renders/Microchip%20Tech%20Renders/C04-136%20MU.jpg,ATECC608A-MAHDA-SCT-ND,ATECC608A-MAHDA-S,Microchip Technology,IC AUTHENTICATION CHIP 8UDFN,4179,0,"0.77000","0","1","Cut Tape (CT)","CryptoAuthentication™","Active","Authentication Chip","Networking and Communications","Surface Mount","8-UFDFN Exposed Pad","8-UDFN (2x3)"
http://www.microchip.com/mymicrochip/filehandler.aspx?ddocname=en601565,//media.digikey.com/Renders/Microchip%20Tech%20Renders/C04-136%20MU.jpg,ATECC608A-MAHDA-SDKR-ND,ATECC608A-MAHDA-S,Microchip Technology,IC AUTHENTICATION CHIP 8UDFN,4179,0,"Digi-Reel","0","1","Digi-Reel®","CryptoAuthentication™","Active","Authentication Chip","Networking and Communications","Surface Mount","8-UFDFN Exposed Pad","8-UDFN (2x3)"
http://www.microchip.com/mymicrochip/filehandler.aspx?ddocname=en603815,//media.digikey.com/Renders/Microchip%20Tech%20Renders/150;-8S1;-;-8.jpg,ATECC508A-SSHDA-TTR-ND,ATECC508A-SSHDA-T,Microchip Technology,IC AUTHENTICATION CHIP 8SOIC,8000,0,"0.65663","0","4000","Tape & Reel (TR)","CryptoAuthentication™","Active","Authentication Chip","Networking and Communications","Surface Mount","8-SOIC (0.154"", 3.90mm Width)","8-SOIC"
http://www.microchip.com/mymicrochip/filehandler.aspx?ddocname=en603815,//media.digikey.com/Renders/Microchip%20Tech%20Renders/150;-8S1;-;-8.jpg,ATECC508A-SSHDA-TCT-ND,ATECC508A-SSHDA-T,Microchip Technology,IC AUTHENTICATION CHIP 8SOIC,11910,0,"0.75000","0","1","Cut Tape (CT)","CryptoAuthentication™","Active","Authentication Chip","Networking and Communications","Surface Mount","8-SOIC (0.154"", 3.90mm Width)","8-SOIC"
http://www.microchip.com/mymicrochip/filehandler.aspx?ddocname=en603815,//media.digikey.com/Renders/Microchip%20Tech%20Renders/150;-8S1;-;-8.jpg,ATECC508A-SSHDA-TDKR-ND,ATECC508A-SSHDA-T,Microchip Technology,IC AUTHENTICATION CHIP 8SOIC,11910,0,"Digi-Reel","0","1","Digi-Reel®","CryptoAuthentication™","Active","Authentication Chip","Networking and Communications","Surface Mount","8-SOIC (0.154"", 3.90mm Width)","8-SOIC"
http://www.onsemi.com/pub/Collateral/CM2020-01TR-D.PDF,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/38-TSSOP.JPG,CM2020-01TROSTR-ND,CM2020-01TR,ON Semiconductor,IC HDMI PROTECTOR 38TSSOP,2500,0,"0.66220","0","2500","Tape & Reel (TR)","-","Active","HDMI Port Protection","Consumer Electronics, DVD-RW Players, Set Top Box","Surface Mount","38-TFSOP (0.173"", 4.40mm Width)","38-TSSOP"
http://www.onsemi.com/pub/Collateral/CM2020-01TR-D.PDF,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/38-TSSOP.JPG,CM2020-01TROSCT-ND,CM2020-01TR,ON Semiconductor,IC HDMI PROTECTOR 38TSSOP,3491,0,"1.61000","0","1","Cut Tape (CT)","-","Active","HDMI Port Protection","Consumer Electronics, DVD-RW Players, Set Top Box","Surface Mount","38-TFSOP (0.173"", 4.40mm Width)","38-TSSOP"
http://www.onsemi.com/pub/Collateral/CM2020-01TR-D.PDF,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/38-TSSOP.JPG,CM2020-01TROSDKR-ND,CM2020-01TR,ON Semiconductor,IC HDMI PROTECTOR 38TSSOP,3491,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","HDMI Port Protection","Consumer Electronics, DVD-RW Players, Set Top Box","Surface Mount","38-TFSOP (0.173"", 4.40mm Width)","38-TSSOP"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Ftpd4s014,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/10-DFN%20PKG.jpg,296-29093-2-ND,TPD4S014DSQR,Texas Instruments,IC OVERVOLTAGE PROT CTRL 10SON,21000,3000,"0.67760","0","3000","Tape & Reel (TR)","-","Active","Overvoltage Protection Controller","Cell Phones, Media Players","Surface Mount","10-WFDFN Exposed Pad","10-SON (2x2)"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Ftpd4s014,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/10-DFN%20PKG.jpg,296-29093-1-ND,TPD4S014DSQR,Texas Instruments,IC OVERVOLTAGE PROT CTRL 10SON,27017,3750,"1.65000","0","1","Cut Tape (CT)","-","Active","Overvoltage Protection Controller","Cell Phones, Media Players","Surface Mount","10-WFDFN Exposed Pad","10-SON (2x2)"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Ftpd4s014,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/10-DFN%20PKG.jpg,296-29093-6-ND,TPD4S014DSQR,Texas Instruments,IC OVERVOLTAGE PROT CTRL 10SON,27017,3750,"Digi-Reel","0","1","Digi-Reel®","-","Active","Overvoltage Protection Controller","Cell Phones, Media Players","Surface Mount","10-WFDFN Exposed Pad","10-SON (2x2)"
https://datasheets.maximintegrated.com/en/ds/DS2411.pdf,//media.digikey.com/renders/Maxim%20Renders/SOT-23-3%20PKG.jpg,DS2411R+TR-ND,DS2411R+T&R,Maxim Integrated,IC SILICON SERIAL NUMBER SOT23-3,15000,0,"0.67973","0","3000","Tape & Reel (TR)","-","Active","Silicon Serial Number","PCB, Network Node, Equipment Identification/Registration","Surface Mount","TO-236-3, SC-59, SOT-23-3","SOT-23-3"
https://datasheets.maximintegrated.com/en/ds/DS2411.pdf,//media.digikey.com/renders/Maxim%20Renders/SOT-23-3%20PKG.jpg,DS2411R+CT-ND,DS2411R+T&R,Maxim Integrated,IC SILICON SERIAL NUMBER SOT23-3,16303,0,"1.43000","0","1","Cut Tape (CT)","-","Active","Silicon Serial Number","PCB, Network Node, Equipment Identification/Registration","Surface Mount","TO-236-3, SC-59, SOT-23-3","SOT-23-3"
https://datasheets.maximintegrated.com/en/ds/DS2411.pdf,//media.digikey.com/renders/Maxim%20Renders/SOT-23-3%20PKG.jpg,DS2411R+DKR-ND,DS2411R+T&R,Maxim Integrated,IC SILICON SERIAL NUMBER SOT23-3,16303,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","Silicon Serial Number","PCB, Network Node, Equipment Identification/Registration","Surface Mount","TO-236-3, SC-59, SOT-23-3","SOT-23-3"
https://datasheets.maximintegrated.com/en/ds/DS28CM00.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-23-5%20PKG.jpg,DS28CM00R-A00+TTR-ND,DS28CM00R-A00+T,Maxim Integrated,IC SILICON SERIAL NUMBER SOT23-5,24000,0,"0.74385","0","3000","Tape & Reel (TR)","-","Active","Silicon Serial Number","PCB, Network Node, Equipment Identification/Registration","Surface Mount","SC-74A, SOT-753","SOT-23-5"
https://datasheets.maximintegrated.com/en/ds/DS28CM00.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-23-5%20PKG.jpg,DS28CM00R-A00+TCT-ND,DS28CM00R-A00+T,Maxim Integrated,IC SILICON SERIAL NUMBER SOT23-5,26874,1921,"1.67000","0","1","Cut Tape (CT)","-","Active","Silicon Serial Number","PCB, Network Node, Equipment Identification/Registration","Surface Mount","SC-74A, SOT-753","SOT-23-5"
https://datasheets.maximintegrated.com/en/ds/DS28CM00.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-23-5%20PKG.jpg,DS28CM00R-A00+TDKR-ND,DS28CM00R-A00+T,Maxim Integrated,IC SILICON SERIAL NUMBER SOT23-5,26874,1921,"Digi-Reel","0","1","Digi-Reel®","-","Active","Silicon Serial Number","PCB, Network Node, Equipment Identification/Registration","Surface Mount","SC-74A, SOT-753","SOT-23-5"
https://datasheets.maximintegrated.com/en/ds/DS2411.pdf,//media.digikey.com/photos/Maxim%20Photos/406-6-TSOC.jpg,DS2411P+TR-ND,DS2411P+T&R,Maxim Integrated,IC SILICON SERIAL NUMBER 6TSOC,4000,32000,"0.76950","0","4000","Tape & Reel (TR)","-","Active","Silicon Serial Number","PCB, Network Node, Equipment Identification/Registration","Surface Mount","6-LSOJ (0.148"", 3.76mm Width)","6-TSOC"
https://datasheets.maximintegrated.com/en/ds/DS2411.pdf,//media.digikey.com/photos/Maxim%20Photos/406-6-TSOC.jpg,DS2411P+CT-ND,DS2411P+T&R,Maxim Integrated,IC SILICON SERIAL NUMBER 6TSOC,5344,32000,"1.73000","0","1","Cut Tape (CT)","-","Active","Silicon Serial Number","PCB, Network Node, Equipment Identification/Registration","Surface Mount","6-LSOJ (0.148"", 3.76mm Width)","6-TSOC"
https://datasheets.maximintegrated.com/en/ds/DS2411.pdf,//media.digikey.com/photos/Maxim%20Photos/406-6-TSOC.jpg,DS2411P+DKR-ND,DS2411P+T&R,Maxim Integrated,IC SILICON SERIAL NUMBER 6TSOC,5344,32000,"Digi-Reel","0","1","Digi-Reel®","-","Active","Silicon Serial Number","PCB, Network Node, Equipment Identification/Registration","Surface Mount","6-LSOJ (0.148"", 3.76mm Width)","6-TSOC"
https://pdfserv.maximintegrated.com/en/ds/DS2401.pdf,//media.digikey.com/photos/Maxim%20Photos/406-6-TSOC.jpg,DS2401P+TR-ND,DS2401P+T&R,Maxim Integrated,IC SILICON SERIAL NUMBER 6TSOC,20000,0,"0.85928","0","4000","Tape & Reel (TR)","-","Active","Silicon Serial Number","PCB, Network Node, Equipment Identification/Registration","Surface Mount","6-LSOJ (0.148"", 3.76mm Width)","6-TSOC"
