Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Voltage - Input","Features"
https://media-weller.de/weller.php?action=send&modul_erp_article__lang=us&modul_erp_article__org_id=U-145-1000-ESDN,-,U-145-1000-ESDN-ND,U-145-1000-ESDN,Apex Tool Group,FUME ABSORBER MOBL UNIT 100-240V,6,0,"1860.00000","0","1","Weller® FT","Active","Mobile Unit","100 ~ 240V","-"
//media.digikey.com/pdf/Data%20Sheets/Easy%20Braid%20PDFs/EB%20072190.pdf,//media.digikey.com/Photos/Easy%20Braid%20Photos/EB-072190.jpg,EB1328-ND,EB 072190,MENDA/EasyBraid,FUME ABSORBER BENCH TOP 120V,8,0,"866.25000","0","1","DigiCube","Obsolete","Bench Top","120V","-"
https://www.jonard.com/~/media/Files/Catalogs/Jonard%20Tools%20Catalog%20114.ashx,//media.digikey.com/photos/OK%20Industries%20-%20Jonard%20Photos/MFG_SA-91-E.jpg,K499-ND,SA-91-E,Jonard Tools,FUME ABSRB ARTICULATING ARM 120V,0,0,"265.13000","0","1","SA","Active","Articulating Arm","120V","ESD Safe"
//media.digikey.com/pdf/Data%20Sheets/O.C._White/Industrial_Catalog.pdf,//media.digikey.com/Photos/OC-White-Co/MFG_50020.JPG,1844-1009-ND,50020,O.C. White Co.,FUME ABSRB ARTICULATING ARM 120V,1,0,"299.00000","0","1","-","Active","Articulating Arm","120V","ESD Safe"
-,//media.digikey.com/Photos/OC-White-Co/MFG_50000.JPG,1844-1008-ND,50000,O.C. White Co.,FUME ABSRB ARTICULATING ARM 120V,1,0,"359.00000","0","1","-","Active","Articulating Arm","120V","ESD Safe"
//media.digikey.com/pdf/Data%20Sheets/O.C._White/Industrial_Catalog.pdf,//media.digikey.com/Photos/OC-White-Co/MFG_50010.JPG,1844-1007-ND,50010,O.C. White Co.,FUME ABSRB ARTICULATING ARM 120V,1,0,"359.00000","0","1","-","Active","Articulating Arm","120V","ESD Safe"
-,-,T0053637299-ND,T0053637299,Apex Tool Group,FUME ABSORBER ARTICULATING ARM,0,0,"119.00000","0","1","-","Active","Articulating Arm","-","-"
-,-,FT91000022N-ND,FT91000022N,Apex Tool Group,FUME ABSORBER EXTRACTION HOOD,0,0,"364.00000","0","1","Weller®","Active","Extraction Hood","-","-"
-,-,FT91000023N-ND,FT91000023N,Apex Tool Group,FUME ABSORBER EXTRACTION HOOD,0,0,"420.00000","0","1","Weller®","Active","Extraction Hood","-","-"
https://media-weller.de/weller.php?action=send&modul_erp_article__lang=us&modul_erp_article__org_id=112-0000-ESDN,//media.digikey.com/Photos/Apex%20Tool%20Photos/MFG_112-0000-ESD.jpg,112-0000-ESDN-ND,112-0000-ESDN,Apex Tool Group,FILTER UNIT FT12-ESD,0,0,"530.00000","0","1","Weller® FT","Not For New Designs","-","-","-"
https://media-weller.de/weller.php?action=send&modul_erp_article__lang=us&modul_erp_article__org_id=ZEROSMOGELN,-,ZEROSMOGELN-ND,ZEROSMOGELN,Apex Tool Group,FUME ABSORBER MOBILE UNIT 120V,0,0,"630.00000","0","1","Zero Smog®","Not For New Designs","Mobile Unit","120V","-"
https://media-weller.de/weller.php?action=send&modul_erp_article__lang=us&modul_erp_article__org_id=ZEROSMOGTLN,-,ZEROSMOGTLN-ND,ZEROSMOGTLN,Apex Tool Group,FUME ABSORBER BENCH TOP,0,0,"810.00000","0","1","Zero Smog®","Active","Bench Top","-","-"
-,//media.digikey.com/Photos/Apex%20Tool%20Photos/MFG_T0053623299.jpg,T0053623299N-ND,T0053623299N,Apex Tool Group,FUME ABSORBER MOBILE UNIT 120V,0,0,"1070.00000","0","1","Weller®","Not For New Designs","Mobile Unit","120V","ESD Safe"
//media.digikey.com/pdf/Data%20Sheets/Easy%20Braid%20PDFs/072095.pdf,//media.digikey.com/Photos/Easy%20Braid%20Photos/MFG_072095-1.jpg,072095-1-ND,072155-120-1EB,MENDA/EasyBraid,FUME ABSORBER MOBILE UNIT 120V,0,0,"1092.00000","0","100","-","Active","Mobile Unit","120V","-"
http://documents.easybraidco.com/PDF/Multi-volt%20Fume%20Cube%20.pdf,-,072155-230-1EB-ND,072155-230-1EB,MENDA/EasyBraid,FUME ABSORBER MOBILE UNIT 230V,0,0,"1137.50000","0","1","FumeCube","Active","Mobile Unit","230V","-"
https://media-weller.de/weller.php?action=send&modul_erp_article__lang=us&modul_erp_article__org_id=U-130-1000-ESDN,//media.digikey.com/Photos/Apex%20Tool%20Photos/MFG_U-130-1000-ESD.jpg,U-130-1000-ESDN-ND,U-130-1000-ESDN,Apex Tool Group,FUME ABSORBER MOBL UNIT 100-240V,0,0,"1160.00000","0","1","Zero Smog®","Active","Mobile Unit","100 ~ 240V","ESD Safe"
http://documents.easybraidco.com/PDF/Multi-volt%20Fume%20Cube%20.pdf,-,072160-120-2EB-ND,072160-120-2EB,MENDA/EasyBraid,FUME ABSORBER MOBILE UNIT 120V,0,0,"1216.80000","0","1","FumeCube","Active","Mobile Unit","120V","-"
http://documents.easybraidco.com/PDF/Multi-volt%20Fume%20Cube%20.pdf,-,072160-230-2EB-ND,072160-230-2EB,MENDA/EasyBraid,FUME ABSORBER MOBILE UNIT 230V,0,0,"1216.80000","0","1","FumeCube","Active","Mobile Unit","230V","-"
-,-,35447D-ND,35447,Desco,FUME EXTRACTOR DUO 120VAC,0,0,"1439.91000","0","1","-","Active","-","-","-"
-,-,U-100-1056-ESDN-ND,U-100-1056-ESDN,Apex Tool Group,FUME ABSORBER MOBILE UNIT 120V,0,0,"1730.00000","0","1","Zero Smog®","Active","Mobile Unit","120V","ESD Safe"
-,-,U-100-1055-ESDN-ND,U-100-1055-ESDN,Apex Tool Group,FUME ABSORBER MOBILE UNIT 120V,0,0,"1800.00000","0","1","Zero Smog®","Active","Mobile Unit","120V","ESD Safe"
https://media-weller.de/weller.php?action=send&modul_erp_article__lang=us&modul_erp_article__org_id=T0053664299N,-,T0053664299N-ND,T0053664299N,Apex Tool Group,FUME ABSORBER MOBL UNIT 100-120V,0,0,"2450.00000","0","1","Zero Smog®","Active","Mobile Unit","100 ~ 120V","ESD Safe"
//media.digikey.com/pdf/Data%20Sheets/Easy%20Braid%20PDFs/Purex_Systems_Br.pdf,//media.digikey.com/Photos/Easy%20Braid%20Photos/MFG_ALPHA%20WEB.jpg,0AL4102-ND,0AL4102,MENDA/EasyBraid,FUME ABSORBER MOBILE UNIT 230V,0,0,"2637.60000","0","1","400","Active","Mobile Unit","230V","-"
//media.digikey.com/pdf/Data%20Sheets/Easy%20Braid%20PDFs/Purex_Systems_Br.pdf,//media.digikey.com/Photos/Easy%20Braid%20Photos/MFG_ALPHA%20WEB.jpg,0AL4103-ND,0AL4103,MENDA/EasyBraid,FUME ABSORBER MOBILE UNIT 120V,0,0,"2637.60000","0","1","400","Active","Mobile Unit","120V","-"
https://media-weller.de/weller.php?action=send&modul_erp_article__lang=us&modul_erp_article__org_id=T0053660299N,//media.digikey.com/Photos/Apex%20Tool%20Photos/MFG_T0053660299.jpg,T0053660299N-ND,T0053660299N,Apex Tool Group,FUME ABSORBER MOBILE UNIT 120V,0,0,"2680.00000","0","1","Weller®, WX","Not For New Designs","Mobile Unit","120V","ESD Safe"
https://media-weller.de/weller.php?action=send&modul_erp_article__lang=us&modul_erp_article__org_id=T0053661299N,//media.digikey.com/Photos/Apex%20Tool%20Photos/MFG_T0053661299.jpg,T0053661299N-ND,T0053661299N,Apex Tool Group,FUME ABSORBER MOBILE UNIT 120V,0,0,"2830.00000","0","1","Weller®","Not For New Designs","Mobile Unit","120V","ESD Safe"
http://www.weller-toolsus.com/MagentoShare/media/mannuals/ATG-1712%20Weller%20Rework%20Brochure.pdf,-,T0053665299-ND,T0053665299,Apex Tool Group,FUME ABSORBER MOBILE UNIT 120V,0,0,"2947.00000","0","1","Weller®","Not For New Designs","Mobile Unit","120V","ESD Safe"
//media.digikey.com/pdf/Data%20Sheets/Easy%20Braid%20PDFs/Purex_Systems_Br.pdf,//media.digikey.com/Photos/Easy%20Braid%20Photos/MFG_XBASE%20WEB.jpg,0AL4107-ND,0AL4107,MENDA/EasyBraid,FUME ABSORBER MOBILE UNIT 120V,0,0,"3391.20000","0","1","Xbase","Active","Mobile Unit","120V","-"
//media.digikey.com/pdf/Data%20Sheets/Easy%20Braid%20PDFs/Purex_Systems_Br.pdf,//media.digikey.com/Photos/Easy%20Braid%20Photos/MFG_200-400%20WEB.jpg,0LX2101D-ND,0LX2101D,MENDA/EasyBraid,FUME ABSORBER MOBILE UNIT 120V,0,0,"3679.20000","0","1","200","Active","Mobile Unit","120V","-"
-,-,T0053667299N-ND,T0053667299N,Apex Tool Group,FUME ABSORBER MOBILE UNIT 120V,0,0,"3990.00000","0","1","Zero Smog®","Active","Mobile Unit","120V","ESD Safe"
https://media-weller.de/weller.php?action=send&modul_erp_article__lang=us&modul_erp_article__org_id=T0053666299N,-,T0053666299N-ND,T0053666299N,Apex Tool Group,FUME ABSORBER MOBILE UNIT 120V,0,0,"4300.00000","0","1","Weller®","Not For New Designs","Mobile Unit","120V","ESD Safe"
-,-,CBCA112G02G65I2115-ND,CBCA112G02G65I2115,Apex Tool Group,CBC-A-112-G02-G65-I2-115V AS160,0,0,"4400.00000","0","1","-","Active","-","-","-"
-,-,CBCA112G04G65I2115-ND,CBCA112G04G65I2115,Apex Tool Group,FUME ABSORBER EXHAUST CABINET,0,0,"4400.00000","0","1","Weller® FT","Active","Exhaust Cabinet","-","ESD Safe"
-,-,CBCA112G2G65I2115N-ND,CBCA112G2G65I2115N,Apex Tool Group,CBC-A EXHAUST CABINET 160MM CONN,0,0,"4400.00000","0","1","-","Active","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Easy%20Braid%20PDFs/Purex_Systems_Br.pdf,//media.digikey.com/Photos/Easy%20Braid%20Photos/MFG_200i-400i%20WEB.jpg,0LX4013D-ND,0LX4013D,MENDA/EasyBraid,FUME ABSORBER MOBILE UNIT 120V,0,0,"4743.60000","0","1","400i","Active","Mobile Unit","120V","-"
//media.digikey.com/pdf/Data%20Sheets/Easy%20Braid%20PDFs/Purex_Systems_Br.pdf,//media.digikey.com/Photos/Easy%20Braid%20Photos/MFG_200i-400i%20WEB.jpg,080411ID-ND,080411ID,MENDA/EasyBraid,FUME ABSORBER MOBILE UNIT 120V,0,0,"4743.60000","0","1","400i","Active","Mobile Unit","120V","-"
https://media-weller.de/weller/data/ebooks/epaper-Weller_Catalogue_2016-17_EN/index.html,//media.digikey.com/Photos/Apex%20Tool%20Photos/MFG_WFE20D.jpg,WFE20D-ND,WFE20D,Apex Tool Group,FUME ABSORBER MOBILE UNIT 120V,0,0,"4872.00000","0","1","Weller®","Not For New Designs","Mobile Unit","120V","ESD Safe"
//media.digikey.com/pdf/Data%20Sheets/Easy%20Braid%20PDFs/Purex_Systems_Br.pdf,//media.digikey.com/Photos/Easy%20Braid%20Photos/MFG_1500i-2000i%20WEB.jpg,0LX2011D-ND,0LX2011D,MENDA/EasyBraid,FUME ABSORBER MOBILE UNIT 220V,0,0,"9969.60000","0","1","2000i","Active","Mobile Unit","220V","-"
//media.digikey.com/pdf/Data%20Sheets/Easy%20Braid%20PDFs/Purex_Systems_Br.pdf,//media.digikey.com/Photos/Easy%20Braid%20Photos/MFG_5000i%20WEB.jpg,0LX5551D-ND,0LX5551D,MENDA/EasyBraid,FUME ABSORBER MOBILE UNIT 220V,0,0,"14656.80000","0","1","5000i","Active","Mobile Unit","220V","-"
-,-,FA400-04/P-ND,FA400-04/P,"American Hakko Products, Inc.","ABSORBER,SMOKE,ESD,FA-400,GLD",0,0,"75.67000","0","1","-","Active","-","-","-"
-,-,FA430-KIT1-ND,FA430-KIT1,"American Hakko Products, Inc.","SMOKE ABSORBER,W/C1571,FA-430",0,0,"756.97000","0","1","-","Active","-","-","-"
-,-,FA430-KIT2-ND,FA430-KIT2,"American Hakko Products, Inc.","SMOKE ABSORBER,W/C1572,FA-430",0,0,"756.97000","0","1","-","Active","-","-","-"
http://documents.desco.com/PDF/TB-4001.pdf,-,35940-ND,35940,Desco,FUME ABSORBER BENCH TOP 120V,0,0,"Obsolete","0","1","Menda®","Obsolete","Bench Top","120V","-"
http://documents.desco.com/PDF/TB-4001.pdf,-,35943-ND,35943,Desco,FUME ABSORBER BENCH TOP 220V,0,0,"Obsolete","0","1","Menda®","Obsolete","Bench Top","220V","-"
http://www.weller-toolsus.com/MagentoShare/media/mannuals/ATG-1712%20Weller%20Rework%20Brochure.pdf,//media.digikey.com/Photos/Apex%20Tool%20Photos/MFG_WFE2ESKIT1.jpg,WFE2ESKIT1-ND,WFE2ESKIT1,Apex Tool Group,FUME ABSORBER BENCH TOP 120V,0,0,"Obsolete","0","1","Weller®","Obsolete","Bench Top","120V","-"
https://media-weller.de/weller/data/ebooks/epaper-Weller_Catalogue_2016-17_EN/index.html,//media.digikey.com/Photos/Apex%20Tool%20Photos/MFG_WFE2X.jpg,WFE2X-ND,WFE2X,Apex Tool Group,FUME ABSORBER BENCH TOP 100-240V,0,0,"Obsolete","0","1","Weller®","Obsolete","Bench Top","100 ~ 240V","ESD Safe"
//media.digikey.com/pdf/Data%20Sheets/Cooper%20Tool%20All%20Brands%20PDFs/FumeExtractionBrochure.pdf,-,WFE2XKIT1-ND,WFE2XKIT1,Apex Tool Group,FUME ABSORBER BENCH TOP 100-240V,0,0,"Obsolete","0","1","Weller®","Obsolete","Bench Top","100 ~ 240V","ESD Safe"
//media.digikey.com/pdf/Data%20Sheets/Cooper%20Tool%20All%20Brands%20PDFs/FumeExtractionBrochure.pdf,-,WFE2XKIT1S-ND,WFE2XKIT1S,Apex Tool Group,FUME ABSORBER BENCH TOP 100-240V,0,0,"Obsolete","0","1","Weller®","Obsolete","Bench Top","100 ~ 240V","ESD Safe"
//media.digikey.com/pdf/Data%20Sheets/Cooper%20Tool%20All%20Brands%20PDFs/FumeExtractionBrochure.pdf,-,WFE2SKIT2-ND,WFE2SKIT2,Apex Tool Group,FUME ABSORBER BENCH TOP 120V,0,0,"Obsolete","0","1","Weller®","Obsolete","Bench Top","120V","ESD Safe"
http://documents.desco.com/PDF/TB-4012.pdf,//media.digikey.com/Photos/Desco%20Photos/MFG_35440.jpg,35440D-ND,35440,MENDA/EasyBraid,FUME ABSORBER BENCH TOP 120V,0,0,"Obsolete","0","1","Menda®","Obsolete","Bench Top","120V","-"
http://documents.desco.com/PDF/TB-4012.pdf,//media.digikey.com/Photos/Desco%20Photos/MFG_35462.jpg,35462-ND,35462,MENDA/EasyBraid,FUME ABSORBER BENCH TOP 220V,0,0,"Obsolete","0","1","Menda®","Obsolete","Bench Top","220V","-"
http://www.weller-toolsus.com/MagentoShare/media/mannuals/ATG-1712%20Weller%20Rework%20Brochure.pdf,-,T0053663299-ND,T0053663299,Apex Tool Group,FUME ABSORBER MOBILE UNIT 120V,0,0,"Obsolete","0","1","Weller®","Obsolete","Mobile Unit","120V","ESD Safe"
-,//media.digikey.com/Photos/Apex%20Tool%20Photos/MFG_WFE2CS.jpg,WFE2CS-ND,WFE2CS,Apex Tool Group,FUME ABSORBER BENCH TOP 120V,0,0,"Obsolete","0","1","Weller®","Obsolete","Bench Top","120V","ESD Safe"
https://media-weller.de/weller/data/ebooks/epaper-Weller_Catalogue_2016-17_EN/index.html,//media.digikey.com/Photos/Apex%20Tool%20Photos/MFG_WFE2ES.jpg,WFE2ES-ND,WFE2ES,Apex Tool Group,FUME ABSORBER MOBILE UNIT 120V,0,0,"Obsolete","0","1","-","Obsolete","Mobile Unit","120V","-"
https://media-weller.de/weller/data/ebooks/epaper-Weller_Catalogue_2016-17_EN/index.html,//media.digikey.com/Photos/Apex%20Tool%20Photos/MFG_WFE4S.jpg,WFE4S-ND,WFE4S,Apex Tool Group,FUME ABSORBER MOBILE UNIT 120V,0,0,"Obsolete","0","1","Weller®","Obsolete","Mobile Unit","120V","ESD Safe"
https://media-weller.de/weller/data/ebooks/epaper-Weller_Catalogue_2016-17_EN/index.html,//media.digikey.com/Photos/Apex%20Tool%20Photos/MFG_WFE4SG.jpg,WFE4SG-ND,WFE4SG,Apex Tool Group,FUME ABSORBER MOBILE UNIT 120V,0,0,"Obsolete","0","1","Weller®","Obsolete","Mobile Unit","120V","ESD Safe"
https://media-weller.de/weller/data/ebooks/epaper-Weller_Catalogue_2016-17_EN/index.html,//media.digikey.com/Photos/Apex%20Tool%20Photos/MFG_WFE8S.jpg,WFE8S-ND,WFE8S,Apex Tool Group,FUME ABSORBER MOBILE UNIT 120V,0,0,"Obsolete","0","1","Weller®","Obsolete","Mobile Unit","120V","ESD Safe"
//media.digikey.com/pdf/Data%20Sheets/Easy%20Braid%20PDFs/Purex_Systems_Br.pdf,//media.digikey.com/Photos/Easy%20Braid%20Photos/MFG_200-400%20WEB.jpg,0LX2100D-ND,0LX2100D,MENDA/EasyBraid,FUME ABSORBER MOBILE UNIT 230V,0,0,"Obsolete","0","1","200","Obsolete","Mobile Unit","230V","-"
//media.digikey.com/pdf/Data%20Sheets/Easy%20Braid%20PDFs/Purex_Systems_Br.pdf,//media.digikey.com/Photos/Easy%20Braid%20Photos/MFG_200-400%20WEB.jpg,080026D-ND,080026D,MENDA/EasyBraid,FUME ABSORBER MOBILE UNIT 230V,0,0,"Obsolete","0","1","200","Obsolete","Mobile Unit","230V","-"
//media.digikey.com/pdf/Data%20Sheets/Easy%20Braid%20PDFs/Purex_Systems_Br.pdf,//media.digikey.com/Photos/Easy%20Braid%20Photos/MFG_200-400%20WEB.jpg,081026D-ND,081026D,MENDA/EasyBraid,FUME ABSORBER MOBILE UNIT 120V,0,0,"Obsolete","0","1","200","Obsolete","Mobile Unit","120V","-"
//media.digikey.com/pdf/Data%20Sheets/Easy%20Braid%20PDFs/Purex_Systems_Br.pdf,//media.digikey.com/Photos/Easy%20Braid%20Photos/MFG_200-400%20WEB.jpg,0LX4000D-ND,0LX4000D,MENDA/EasyBraid,FUME ABSORBER MOBILE UNIT 230V,0,0,"Obsolete","0","1","400","Obsolete","Mobile Unit","230V","-"
//media.digikey.com/pdf/Data%20Sheets/Easy%20Braid%20PDFs/Purex_Systems_Br.pdf,//media.digikey.com/Photos/Easy%20Braid%20Photos/MFG_200-400%20WEB.jpg,0LX4001D-ND,0LX4001D,MENDA/EasyBraid,FUME ABSORBER MOBILE UNIT 120V,0,0,"Obsolete","0","1","400","Obsolete","Mobile Unit","120V","-"
//media.digikey.com/pdf/Data%20Sheets/Easy%20Braid%20PDFs/Purex_Systems_Br.pdf,//media.digikey.com/Photos/Easy%20Braid%20Photos/MFG_200-400%20WEB.jpg,080410D-ND,080410D,MENDA/EasyBraid,FUME ABSORBER MOBILE UNIT 230V,0,0,"Obsolete","0","1","400","Obsolete","Mobile Unit","230V","-"
//media.digikey.com/pdf/Data%20Sheets/Easy%20Braid%20PDFs/Purex_Systems_Br.pdf,//media.digikey.com/Photos/Easy%20Braid%20Photos/MFG_200-400%20WEB.jpg,080411D-ND,080411D,MENDA/EasyBraid,FUME ABSORBER MOBILE UNIT 120V,0,0,"Obsolete","0","1","400","Obsolete","Mobile Unit","120V","-"
-,-,080465D-ND,080465D,MENDA/EasyBraid,650 VACUUM CONTROL 230V,0,0,"Obsolete","0","1","-","Obsolete","-","-","-"
-,-,080470D-ND,080470D,MENDA/EasyBraid,650 VACUUM CONTROL 120V,0,0,"Obsolete","0","1","-","Obsolete","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Easy%20Braid%20PDFs/Purex_Systems_Br.pdf,//media.digikey.com/Photos/Easy%20Braid%20Photos/MFG_200i-400i%20WEB.jpg,0LX2110D-ND,0LX2110D,MENDA/EasyBraid,FUME ABSORBER MOBILE UNIT 230V,0,0,"Obsolete","0","1","200i","Obsolete","Mobile Unit","230V","-"
//media.digikey.com/pdf/Data%20Sheets/Easy%20Braid%20PDFs/Purex_Systems_Br.pdf,//media.digikey.com/Photos/Easy%20Braid%20Photos/MFG_200i-400i%20WEB.jpg,0LX2121D-ND,0LX2121D,MENDA/EasyBraid,FUME ABSORBER MOBILE UNIT 120V,0,0,"Obsolete","0","1","200i","Obsolete","Mobile Unit","120V","-"
