Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Product Type","Type","ESD Protection","Color","Width","Length","Shelf Life","Shelf Life Start","Storage/Refrigeration Temperature"
http://documents.easybraidco.com/PDF/Quick-Braid-Desoldering-Braid.pdf,//media.digikey.com/photos/Easy%20Braid%20Photos/Q-B-5AS.jpg,EB1087-ND,Q-B-5AS,MENDA/EasyBraid,DESOLDER BRAID ROSIN 0.05"" 5',1198,0,"3.66000","0","1","Quick Braid™","Active","Braid/Wick","Rosin, Non Activated (R)","Static Dissipative (SD)","Gold","0.050"" (1.27mm)","5' (1.524m)","-","-","-"
https://www.chemtronics.com/content/msds/TDS_SWRosin.pdf,//media.digikey.com/photos/ITW%20Chemtronics%20Photos/80-2-5.jpg,80-2-5-ND,80-2-5,Chemtronics,DESOLDER BRAID ROSIN 0.06"" 5',1823,0,"4.38000","0","1","Soder-Wick® SW 80","Active","Braid/Wick","Rosin, Non Activated (R), Lead Free","Static Dissipative (SD)","Yellow","0.060"" (1.52mm)","5' (1.524m)","24 Months","Date of Manufacture","-"
https://www.chemtronics.com/content/msds/TDS_SWRosin.pdf,//media.digikey.com/photos/ITW%20Chemtronics%20Photos/80-1-5.jpg,80-1-5-ND,80-1-5,Chemtronics,DESOLDER BRAID ROSIN 0.03"" 5',1783,0,"4.38000","0","1","Soder-Wick® SW 80","Active","Braid/Wick","Rosin, Non Activated (R), Lead Free","Static Dissipative (SD)","White","0.030"" (0.76mm)","5' (1.524m)","24 Months","Date of Manufacture","-"
https://www.chemtronics.com/content/msds/TDS_SWRosin.pdf,//media.digikey.com/photos/ITW%20Chemtronics%20Photos/80-3-5.jpg,80-3-5-ND,80-3-5,Chemtronics,DESOLDER BRAID ROSIN 0.08"" 5',1992,0,"4.76000","0","1","Soder-Wick® SW 80","Active","Braid/Wick","Rosin, Non Activated (R), Lead Free","Static Dissipative (SD)","Green","0.080"" (2.03mm)","5' (1.524m)","24 Months","Date of Manufacture","-"
https://www.chemtronics.com/content/msds/TDS_SWRosin.pdf,//media.digikey.com/Photos/ITW%20Chemtronics%20Photos/80-4-x.jpg,80-4-5-ND,80-4-5,Chemtronics,DESOLDER BRAID ROSIN 0.11"" 5',1727,0,"5.14000","0","1","Soder-Wick® SW 80","Active","Braid/Wick","Rosin, Non Activated (R), Lead Free","Static Dissipative (SD)","Blue","0.110"" (2.79mm)","5' (1.524m)","24 Months","Date of Manufacture","-"
https://www.chemtronics.com/content/msds/TDS_SWPBFree.pdf,//media.digikey.com/photos/ITW%20Chemtronics%20Photos/40-2-10.jpg,40-2-10-ND,40-2-10,Chemtronics,DESOLDER BRAID ROSIN 0.06"" 10',470,0,"8.52000","0","1","Soder-Wick® LF","Active","Braid/Wick","Rosin, Non Activated (R), Lead Free","Static Dissipative (SD)","Yellow","0.060"" (1.52mm)","10' (3.048m)","24 Months","Date of Manufacture","-"
https://www.chemtronics.com/content/msds/TDS_SWNoClean.pdf,//media.digikey.com/photos/ITW%20Chemtronics%20Photos/60-3-10.jpg,60-3-10-ND,60-3-10,Chemtronics,DESOLDER BRAID NO-CLN 0.08"" 10',498,0,"9.04000","0","1","Soder-Wick® SW 60","Active","Braid/Wick","No Clean, Rosin, Non Activated (R), Lead Free","-","Green","0.080"" (2.03mm)","10' (3.048m)","24 Months","Date of Manufacture","-"
http://documents.easybraidco.com/PDF/Quick-Braid-Desoldering-Braid.pdf,//media.digikey.com/photos/Easy%20Braid%20Photos/Q-C-25.JPG,EB1025-ND,Q-C-25,MENDA/EasyBraid,DESOLDER BRAID ROSIN 0.075"" 25',162,0,"13.59000","0","1","Quick Braid™","Active","Braid/Wick","Rosin, Non Activated (R)","-","Green","0.075"" (1.91mm)","25' (7.62m)","-","-","-"
https://www.chemtronics.com/content/msds/TDS_Cwik.pdf,//media.digikey.com/photos/ITW%20Chemtronics%20Photos/5-25L.jpg,CW5-25-ND,5-25L,Chemtronics,DESOLDER BRAID ROSIN 0.05"" 25',558,0,"17.08000","0","1","Chem-Wik®","Active","Braid/Wick","Rosin, Non Activated (R), Lead Free","-","Yellow","0.050"" (1.27mm)","25' (7.62m)","24 Months","Date of Manufacture","-"
https://www.chemtronics.com/content/msds/TDS_Cwik.pdf,//media.digikey.com/photos/ITW%20Chemtronics%20Photos/2-25L.jpg,CW2-25-ND,2-25L,Chemtronics,DESOLDER BRAID ROSIN 0.03"" 25',232,0,"17.08000","0","1","Chem-Wik®","Active","Braid/Wick","Rosin, Non Activated (R), Lead Free","-","White","0.030"" (0.76mm)","25' (7.62m)","24 Months","Date of Manufacture","-"
