Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Wire Gauge","Conductor Diameter","Length","Jacket (Insulation) Material","Jacket (Insulation) Diameter","Conductor Material","Conductor Plating","Jacket Color","Ratings","Features"
https://www.jonard.com/~/media/6FBBD0F360D948FE8021C4C2CAB63025.pdf,//media.digikey.com/Photos/OK%20Industries%20-%20Jonard%20Photos/R30BLK-0100.JPG,K394-ND,R30BLK-0100,Jonard Tools,WIRE WW 30AWG PVDF BLACK 100',499,0,"13.53000","0","1","Roll","-","Active","30 AWG","0.010"" (0.25mm)","100' (30.5m)","Polyvinylidene Fluoride (PVDF)","0.019"" (0.50mm)","Copper, Bare","Silver","Black","UL Style 1423, VW-1","-"
https://www.jonard.com/~/media/6FBBD0F360D948FE8021C4C2CAB63025.pdf,//media.digikey.com/Photos/OK%20Industries%20-%20Jonard%20Photos/R30B-0100.JPG,K325-ND,R30B-0100,Jonard Tools,WIRE WW 30AWG PVDF BLUE 100',294,0,"13.53000","0","1","Roll","-","Active","30 AWG","0.010"" (0.25mm)","100' (30.5m)","Polyvinylidene Fluoride (PVDF)","0.019"" (0.50mm)","Copper, Bare","Silver","Blue","UL Style 1423, VW-1","-"
https://www.jonard.com/~/media/6FBBD0F360D948FE8021C4C2CAB63025.pdf,//media.digikey.com/Photos/OK%20Industries%20-%20Jonard%20Photos/MFG_R30G-1000.jpg,K617-ND,R30G-0100,Jonard Tools,WIRE WW 30AWG PVDF GREEN 100',214,0,"13.53000","0","1","Roll","-","Active","30 AWG","0.010"" (0.25mm)","100' (30.5m)","Polyvinylidene Fluoride (PVDF)","0.020"" (0.51mm)","Copper, Bare","Silver","Green","UL Style 1423, VW-1","-"
https://www.jonard.com/~/media/3497177228F044D98D3C8925171FEA60.pdf,//media.digikey.com/Photos/OK%20Industries%20-%20Jonard%20Photos/R26BLK-0100.JPG,K386-ND,R26BLK-0100,Jonard Tools,WIRE WW 26AWG PVDF BLACK 100',3055,0,"17.42000","0","1","Roll","-","Active","26 AWG","0.016"" (0.40mm)","100' (30.5m)","Polyvinylidene Fluoride (PVDF)","0.027"" (0.69mm)","Copper, Bare","Silver","Black","UL Style 1422","-"
https://www.jonard.com/~/media/C75C34D9F44240AA99F64F81BCFABE64.pdf,"//media.digikey.com/photos/OK%20Industries%20-%20Jonard%20Photos/30-B-50-010,%20020,%20030,%20050,%20060.jpg",B4-ND,30-B-50-020,Jonard Tools,WIRE WW 30AWG PVDF BLUE 4"" 50PC,1070,0,"9.60000","0","1","50 per Pkg","-","Active","30 AWG","0.010"" (0.25mm)","0.333' (101.60mm, 4.00"")","Polyvinylidene Fluoride (PVDF)","0.019"" (0.50mm)","Copper, Bare","Silver","Blue","UL Style 1423, VW-1","-"
https://www.jonard.com/~/media/C75C34D9F44240AA99F64F81BCFABE64.pdf,"//media.digikey.com/photos/OK%20Industries%20-%20Jonard%20Photos/30-B-50-010,%20020,%20030,%20050,%20060.jpg",B3-ND,30-B-50-010,Jonard Tools,WIRE WW 30AWG PVDF BLUE 3"" 50PC,151,0,"9.60000","0","1","50 per Pkg","-","Active","30 AWG","0.010"" (0.25mm)","0.250' (76.20mm, 3.00"")","Polyvinylidene Fluoride (PVDF)","0.019"" (0.50mm)","Copper, Bare","Silver","Blue","UL Style 1423, VW-1","-"
https://www.jonard.com/~/media/6FBBD0F360D948FE8021C4C2CAB63025.pdf,//media.digikey.com/photos/OK%20Industries%20-%20Jonard%20Photos/R-30Y-0050.jpg,K230-ND,R-30Y-0050,Jonard Tools,WIRE WW 30AWG PVDF YELLOW 50',286,0,"10.61000","0","1","Roll","WD-30","Active","30 AWG","0.010"" (0.25mm)","50' (15.24m)","Polyvinylidene Fluoride (PVDF)","0.019"" (0.50mm)","Copper, Bare","Silver","Yellow","UL Style 1423, VW-1","-"
https://www.jonard.com/~/media/6FBBD0F360D948FE8021C4C2CAB63025.pdf,//media.digikey.com/Photos/OK%20Industries%20-%20Jonard%20Photos/R30Y-0100.JPG,K396-ND,R30Y-0100,Jonard Tools,WIRE WW 30AWG PVDF YELLOW 100',2416,0,"13.53000","0","1","Roll","-","Active","30 AWG","0.010"" (0.25mm)","100' (30.5m)","Polyvinylidene Fluoride (PVDF)","0.019"" (0.50mm)","Copper, Bare","Silver","Yellow","UL Style 1423, VW-1","-"
https://www.jonard.com/~/media/D7BF658415F14624A951C1718DC0B122.pdf,//media.digikey.com/photos/OK%20Industries%20-%20Jonard%20Photos/R28W-0100.JPG,K393-ND,R28W-0100,Jonard Tools,WIRE WW 28AWG PVDF WHITE 100',121,0,"15.25000","0","1","Roll","-","Active","28 AWG","0.013"" (0.32mm)","100' (30.5m)","Polyvinylidene Fluoride (PVDF)","0.023"" (0.58mm)","Copper, Bare","Silver","White","UL Style 1422","-"
https://www.jonard.com/~/media/3497177228F044D98D3C8925171FEA60.pdf,//media.digikey.com/Photos/OK%20Industries%20-%20Jonard%20Photos/R26B-0100.JPG,K327-ND,R26B-0100,Jonard Tools,WIRE WW 26AWG PVDF BLUE 100',203,0,"17.42000","0","1","Roll","-","Active","26 AWG","0.016"" (0.40mm)","100' (30.5m)","Polyvinylidene Fluoride (PVDF)","0.027"" (0.69mm)","Copper, Bare","Silver","Blue","UL Style 1422","-"
