Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Function","Voltage - Supply","Trip Range","Delay Time","Mounting Type","Termination Style","Features","Operating Temperature"
https://www.littelfuse.com/products/protection-relays-and-controls/protection-relays/ground-fault-relays/~/media/files/littelfuse/technical%20resources/documents/data%20sheets/littelfuse_protectionrelays_pgr_3100_datasheet.pdf,//media.digikey.com/Photos/Littelfuse%20Photos/PGR-3100.JPG,F6250-ND,PGR-3100,Littelfuse Inc.,GRND FAULT INDICAT SYST LED 30V,4,0,"513.87000","0","1","POWR-GARD®","Active","-","-","-","-","-","-","-","-"
https://www.littelfuse.com/~/media/files/littelfuse/technical%20resources/documents/data%20sheets/littelfuse_relays_se_105_107.pdf,//media.digikey.com/Photos/Littelfuse%20Photos/MFG_SE-105.jpg,F10436-ND,SE-105,Littelfuse Inc.,GROUND FAULT MONITOR,7,0,"1065.14000","0","1","*","Active","-","-","-","-","-","-","-","-"
https://www.littelfuse.com/~/media/files/littelfuse/technical%20resources/documents/data%20sheets/littelfuse_protectionrelays_se_325_datasheet.pdf,//media.digikey.com/Photos/Littelfuse%20Photos/MFG_SE-325.jpg,F10439-ND,SE-325,Littelfuse Inc.,NGR MONITOR 120VAC SUPPLY,4,0,"1196.77000","0","1","SE-325","Active","-","-","-","-","-","-","-","-"
https://www.littelfuse.com/~/media/files/littelfuse/technical-resources/documents/data-sheets/littelfuse_protectionrelays_se_134c_se_135_datasheet.pdf,//media.digikey.com/photos/Littelfuse%20Photos/SE-134C-00.jpg,F10438-ND,SE-134C-00,Littelfuse Inc.,GROUND CONTINUITY MONITOR,15,0,"2940.59000","0","1","SE-134C","Active","-","-","-","-","-","-","-","-"
https://www.littelfuse.com/~/media/files/littelfuse/technical%20resources/documents/data%20sheets/littelfuse_protectionrelays_se_701_datasheet.pdf,//media.digikey.com/Photos/Littelfuse%20Photos/SE-701-0x.jpg,F10445-ND,SE-701-0U,Littelfuse Inc.,MONITOR GRND FALT RELAY 120/240V,14,0,"768.86000","0","1","POWR-GARD®","Active","-","-","-","-","-","-","-","-"
https://www.littelfuse.com/~/media/files/littelfuse/technical-resources/documents/data-sheets/littelfuse_protectionrelays_se_330_datasheet-new-rev.pdf,//media.digikey.com/photos/Littelfuse%20Photos/SE-330-00-00.jpg,F10441-ND,SE-330-00-00,Littelfuse Inc.,GRND RESISTOR RELAY UNIVERSAL,2,0,"3325.33000","0","1","SE-330","Active","Ground Fault","120/240VAC/DC","20 ~ 10000VAC","0.1 ~ 10s","Panel Mount","Screw Terminal","Harmonic Filtering, Manual Reset","-40°C ~ 60°C"
http://www.ia.omron.com/data_pdf/cat/s8m_ds_e_3_2_csm2006.pdf,//media.digikey.com/photos/Omron%20Auto/S8M-CP04-RS.JPG,Z4292-ND,S8M-CP04-RS,Omron Automation and Safety,PWR MULTICIRCUIT PROTECT RS-232,18,17,"473.60000","0","1","S8M","Active","Overcurrent, Overtemperature, Overvoltage, Undervoltage","24VDC","0.5mA ~ 3.8A, 18.0 ~ 28.8VDC","-","DIN Rail","Screw Terminal","-","-10°C ~ 60°C"
-,//media.digikey.com/Photos/TE%20Connectivity/1618067-8.jpg,A104689-ND,1618067-8,"TE Connectivity Aerospace, Defense and Marine",20-050-19X=WILMAR VOLT FREQ 120V,6,0,"1445.94000","0","1","Wilmar","Active","-","-","-","-","-","-","-","-"
http://www.gavazzionline.com/pdf/DEA71_DS.pdf,//media.digikey.com/Photos/Carlo-Gavazzi-Inc/DEA71DM24A003.png,1864-2893-ND,DEA71DM24A003,Carlo Gavazzi Inc.,EARTH LEAKAGE MONITORING RELAY,5,0,"137.45000","0","1","DEA71","Active","Ground Fault","24 ~ 240VAC","30mA","-","DIN Rail","Screw Terminal","-","-25°C ~ 60°C"
https://www.gavazzionline.com/pdf/DPD_DS_ENG_2016_11_10.pdf,//media.digikey.com/photos/Carlo-Gavazzi-Inc/MFG_DPD02.jpg,1864-1669-ND,DPD02DM44,Carlo Gavazzi Inc.,3PH MONITORING RELAY 480V,4,0,"255.75000","0","1","DPD","Active","Multiple","208 ~ 480VAC","177 ~ 552V AC","0 ~ 60s","DIN Rail","Screw Terminal","-","-20°C ~ 60°C"
