Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Memory Type","Memory Size","Speed","Technology","Operating Temperature"
http://eflash.apacerus.com/spec/Card/microSD/Consumer/microSD%202.0%20SPEC_rev2.1%20-%20APXXXMCSHX-X.pdf,//media.digikey.com/Photos/Apacer%20Photos/AP4GMCSH4-B.jpg,1582-1271-ND,AP4GMCSH4-B,Apacer Memory America,MEMORY CARD MICROSD 4GB CLASS 4,3180,0,"10.63000","0","1","-","Active","microSD™","4GB","Class 4","-","-"
http://eflash.apacerus.com/spec/Card/microSD/Consumer/EDM_mSD(SLC).pdf,//media.digikey.com/Photos/Apacer%20Photos/MFG_AP-MSD256ISI-1T.jpg,1582-1117-ND,AP-MSD256ISI-1T,Apacer Memory America,MEMORY CARD MICROSD 256MB SLC,2062,0,"12.85000","0","1","-","Active","microSD™","256MB","-","SLC","-40°C ~ 85°C"
//media.digikey.com/pdf/Data%20Sheets/ATP%20Electronics%20PDFs/ATP%20microSD_SDHC.pdf,//media.digikey.com/Photos/ATP%20Electronics/AF512UDI-OEM.jpg,AF512UDI-OEM-ND,AF512UDI-OEM,"ATP Electronics, Inc.",MEMORY CARD MICROSD 512MB SLC,4349,0,"13.12000","0","1","-","Active","microSD™","512MB","-","SLC","-40°C ~ 85°C"
//media.digikey.com/pdf/Data%20Sheets/ATP%20Electronics%20PDFs/ATP_SD_Series.pdf,//media.digikey.com/Photos/ATP%20Electronics/AF512SDI-OEM.jpg,AF512SDI-OEM-ND,AF512SDI-OEM,"ATP Electronics, Inc.",MEMORY CARD SD 512MB SLC,357,0,"13.59000","0","1","-","Active","SD™","512MB","-","SLC","-40°C ~ 85°C"
http://eflash.apacerus.com/spec/Card/microSD/Consumer/microSD%202.0%20SPEC_rev2.1%20-%20APXXXMCSHX-X.pdf,//media.digikey.com/Photos/Apacer%20Photos/AP8GMCSH4-B.jpg,1582-1020-ND,AP8GMCSH4-B,Apacer Memory America,MEMORY CARD MICROSD 8GB CLASS 4,380,0,"14.98000","0","1","-","Active","microSD™","8GB","Class 4","-","-25°C ~ 85°C"
https://na.industrial.panasonic.com/sites/default/pidsa/files/downloads/files/panasonic-le-series-datasheet.pdf,//media.digikey.com/Photos/Panasonic%20Photos/RP-SMLE08DA1.jpg,P17028-ND,RP-SMLE08DA1,Panasonic Electronic Components,MEM CARD MICROSDHC 8GB CLS10 MLC,10211,0,"15.23000","0","1","LE","Active","microSDHC™","8GB","Class 10","MLC","-25°C ~ 85°C"
"//media.digikey.com/pdf/Data%20Sheets/ATP%20Electronics%20PDFs/AFxGSD3A,%20AFxGUD3A.pdf",//media.digikey.com/Photos/ATP%20Electronics/AF4GUD3A-OEM.jpg,AF4GUD3A-OEM-ND,AF4GUD3A-OEM,"ATP Electronics, Inc.",MEM CARD MICROSD 4GB CLS10 AMLC,1441,0,"15.56000","0","1","-","Active","microSD™","4GB","Class 10","aMLC","-25°C ~ 85°C"
//media.digikey.com/pdf/Data%20Sheets/FTDI%20Chip%20PDFs/Micro_SD_Card_Web.pdf,//media.digikey.com/Photos/FTDI%20(Future%20Tech%20Devices)/MFG_MS-C6-8G.jpg,768-1288-ND,MS-C6-8G,Bridgetek Pte Ltd.,MEMORY CARD MICROSD 8GB CLASS 6,1280,0,"15.59000","0","1","CleO","Active","microSD™","8GB","Class 6","-","-"
//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Semiconductors%20ICs%20PDFs/RP-SMPExxDA1.pdf,//media.digikey.com/Photos/Panasonic%20Photos/RP-SMPE04DA1.JPG,P17024-ND,RP-SMPE04DA1,Panasonic Electronic Components,MEM CARD MICROSDHC 4GB UHS PSLC,810,0,"16.68000","0","1","PE","Active","microSDHC™","4GB","Class 10, UHS Class 1","pSLC","-25°C ~ 85°C"
//media.digikey.com/pdf/Data%20Sheets/ATP%20Electronics%20PDFs/ATP%20microSD_SDHC.pdf,//media.digikey.com/Photos/ATP%20Electronics/AF8GUD3-OEM.JPG,AF8GUD3-OEM-ND,AF8GUD3-OEM,"ATP Electronics, Inc.",MEM CARD MICROSD 8GB CLASS10 MLC,8015,0,"16.77000","0","1","-","Active","microSD™","8GB","Class 10","MLC","-25°C ~ 85°C"
//media.digikey.com/pdf/Data%20Sheets/ATP%20Electronics%20PDFs/ATP%20microSD_SDHC.pdf,//media.digikey.com/Photos/ATP%20Electronics/AF1GUDI-5ACXX.JPG,AF1GUDI-OEM-ND,AF1GUDI-OEM,"ATP Electronics, Inc.",MEM CARD MICROSD 1GB CLASS 6 SLC,10756,0,"17.43000","0","1","-","Active","microSD™","1GB","-","SLC","-40°C ~ 85°C"
http://eflash.apacerus.com/spec/Card/microSD/Consumer/microSD%203.0%20UHS-I%20SPEC_rev0.8%20-%20APXXXXMCSH10XX-X%20APXXXXMCSX10XX-X.pdf,//media.digikey.com/Photos/Apacer%20Photos/AP8GMCSH10U1-B.jpg,1582-1021-ND,AP8GMCSH10U1-B,Apacer Memory America,MEM CARD MICROSD 8GB CLASS10 UHS,1519,0,"17.52000","0","1","-","Active","microSD™","8GB","Class 10, UHS Class 1","-","0°C ~ 70°C"
https://www.swissbit.com/data/view.php?q=S-45u/S-45u_fact_sheet.pdf,//media.digikey.com/Photos/Swissbit%20NA%20Inc/MFG_S-450uSeries.JPG,1052-1240-ND,SFSD4096N3BM1TO-I-GE-2B1-STD,Swissbit,MEM CARD MICROSDHC 4GB CLASS 10,228,0,"18.48000","0","1","S-45u","Active","microSDHC™","4GB","Class 10, UHS Class 1","MLC","-40°C ~ 85°C"
https://na.industrial.panasonic.com/sites/default/pidsa/files/downloads/files/panasonic-pc-series-data-sheet.pdf,//media.digikey.com/Photos/Panasonic%20Photos/RP-SDPC04DA1.JPG,PCR240-ND,RP-SDPC04DA1,Panasonic Electronic Components,MEMORY CARD SDHC 4GB CLASS 4 MLC,3743,0,"18.55000","0","1","PC","Active","SDHC™","4GB","Class 4","MLC","-40°C ~ 85°C"
https://na.industrial.panasonic.com/sites/default/pidsa/files/downloads/files/panasonic-fx-series-data-sheet.pdf,//media.digikey.com/Photos/Panasonic%20Photos/RP-SDFC51DA1.JPG,P17008-ND,RP-SDFC51DA1,Panasonic Electronic Components,MEMORY CARD SD 512MB CLASS 6 SLC,2379,0,"18.84000","0","1","FX","Active","SD™","512MB","Class 6","SLC","-40°C ~ 85°C"
//media.digikey.com/pdf/Data%20Sheets/ATP%20Electronics%20PDFs/ATP_SD_Series.pdf,//media.digikey.com/photos/ATP%20Electronics/AF1GSDI-5ACXX.JPG,AF1GSDI-OEM-ND,AF1GSDI-OEM,"ATP Electronics, Inc.",MEMORY CARD SD 1GB CLASS 6 SLC,3210,0,"19.13000","0","1","-","Active","SD™","1GB","Class 6","SLC","-40°C ~ 85°C"
http://eflash.apacerus.com/spec/Card/microSD/Consumer/microSD%202.0%20SPEC_rev2.1%20-%20APXXXMCSHX-X.pdf,//media.digikey.com/Photos/Apacer%20Photos/AP16GMCSH4-B.jpg,1582-1003-ND,AP16GMCSH4-B,Apacer Memory America,MEMORY CARD MICROSD 16GB CLASS 4,173,0,"20.12000","0","1","-","Active","microSD™","16GB","Class 4","-","0°C ~ 70°C"
http://www.wintecind.com/oem/datasheets/winteccf-w7cf-h2_v2_12_rohs.pdf,//media.digikey.com/Photos/Wintec/H2%20SERIES.JPG,385-1120-ND,W7CF128M1XA-H20TE-001.A3,Wintec Industries,MEM CARD COMPACTFLASH 128MB SLC,224,0,"20.33000","0","1","H2","Active","CompactFlash®","128MB","-","SLC","0°C ~ 70°C"
http://eflash.apacerus.com/spec/Card/SD/NEW%20Commercial%20SD%203.0%20UHS-I%20SPEC_rev0.7%20-%20APXXXXSDHC10XX-X%20APXXXXSDXC10XX-X.pdf,//media.digikey.com/Photos/Apacer%20Photos/AP16GSDHC10U1-B.jpg,1582-1005-ND,AP16GSDHC10U1-B,Apacer Memory America,MEMORY CARD SDHC 16GB CLASS 10,256,0,"20.73000","0","1","-","Active","SDHC™","16GB","Class 10, UHS Class 1","-","-25°C ~ 85°C"
https://www.swissbit.com/data/view.php?q=S-45u/S-45u_fact_sheet.pdf,//media.digikey.com/Photos/Swissbit%20NA%20Inc/MFG_S-450uSeries.JPG,1052-1252-ND,SFSD8192N3BM1TO-I-GE-2B1-STD,Swissbit,MEMORY CARD MICROSDHC 8GB MLC,1494,0,"22.18000","0","1","S-45u","Active","microSDHC™","8GB","Class 10, UHS Class 1","MLC","-40°C ~ 85°C"
https://www.swissbit.com/data/view.php?q=S-46u/S-46u_fact_sheet.pdf,//media.digikey.com/Photos/Swissbit%20NA%20Inc/SFSD4096N3BM1TO-I-GE-2CP-STD.JPG,1052-1261-ND,SFSD4096N3BM1TO-I-GE-2CP-STD,Swissbit,MEMORY CARD MICROSDHC 4GB PSLC,139,0,"22.55000","0","1","S-46u","Active","microSDHC™","4GB","Class 10, UHS Class 1","pSLC","-40°C ~ 85°C"
https://www.swissbit.com/data/view.php?q=S-45/S-45_fact_sheet.pdf,//media.digikey.com/Photos/Swissbit%20NA%20Inc/MFG_S-45Series.JPG,1052-1239-ND,SFSD8192L3BM1TO-I-GE-2B1-STD,Swissbit,MEM CARD SDHC 8GB CLASS 10 UHS1,245,0,"22.73000","0","1","S-45","Active","SDHC™","8GB","Class 10, UHS Class 1","MLC","-40°C ~ 85°C"
http://eflash.apacerus.com/spec/Card/microSD/Consumer/microSD%203.0%20UHS-I%20SPEC_rev0.8%20-%20APXXXXMCSH10XX-X%20APXXXXMCSX10XX-X.pdf,//media.digikey.com/photos/Apacer%20Photos/AP16GMCSH10U1-B.JPG,1582-1004-ND,AP16GMCSH10U1-B,Apacer Memory America,MEM CARD MICROSD 16GB CLS10 UHS,177,0,"25.13000","0","1","-","Active","microSD™","16GB","Class 10, UHS Class 1","-","0°C ~ 70°C"
http://www.4dsystems.com.au/downloads/microSD/Phison/uSD-4GB-Industrial/Phison_uSD_Industrial_DS_v1.0.pdf,//media.digikey.com/Photos/4D-Systems-Pty-Ltd/USD-4GB-INDUSTRIAL.JPG,1613-1117-ND,USD-4GB-INDUSTRIAL,4D Systems Pty Ltd,MEM CARD SDHC 4GB CLASS 10 UHS,245,0,"26.75000","0","1","-","Active","SDHC™","4GB","Class 10, UHS Class 1","-","-40°C ~ 85°C"
https://na.industrial.panasonic.com/sites/default/pidsa/files/downloads/files/panasonic-le-series-datasheet.pdf,//media.digikey.com/Photos/Panasonic%20Photos/RP-SMLE16DA1.jpg,P17029-ND,RP-SMLE16DA1,Panasonic Electronic Components,MEMORY CARD MICROSDHC 16GB MLC,1409,0,"27.75000","0","1","LE","Active","microSDHC™","16GB","Class 10","MLC","-25°C ~ 85°C"
https://na.industrial.panasonic.com/sites/default/pidsa/files/downloads/files/panasonic-pc-series-data-sheet.pdf,//media.digikey.com/Photos/Panasonic%20Photos/RP-SDPC08DA1.JPG,PCR242-ND,RP-SDPC08DA1,Panasonic Electronic Components,MEMORY CARD SDHC 8GB CLASS 4 MLC,701,0,"27.83000","0","1","PC","Active","SDHC™","8GB","Class 4","MLC","-40°C ~ 85°C"
