Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Memory Type","Memory Size","Speed","Package / Case"
https://www.swissbit.com/data/view.php?q=U-400/U-400_fact_sheet.pdf,//media.digikey.com/Photos/Swissbit%20NA%20Inc/SFUI4096J1AB1TO-I-MS-211-STD.JPG,1052-1266-ND,SFUI4096J1AB1TO-I-MS-211-STD,Swissbit,MODULE FLASH NAND SLC 4GB,118,0,"72.06000","0","1","U-400","Active","FLASH - NAND (SLC)","4GB","-","Module"
//media.digikey.com/pdf/Data%20Sheets/ATP%20Electronics%20PDFs/AW12P6438BLK0M.pdf,//media.digikey.com/Photos/ATP%20Electronics/AW12P6438BLK0M-%28FRONT%29.jpg,AW12P6438BLK0M-ND,AW12P6438BLK0M,"ATP Electronics, Inc.",MODULE DDR3L SDRAM 4GB 204SODIMM,186,0,"68.00000","0","1","-","Active","DDR3L SDRAM","4GB","1600MT/s","204-SODIMM"
//media.digikey.com/pdf/Data%20Sheets/ATP%20Electronics%20PDFs/A4G04QA8BLPBSE.pdf,//media.digikey.com/Photos/ATP%20Electronics/A4G04QA8BLPBSE--%28FRONT%29.jpg,A4G04QA8BLPBSE-ND,A4G04QA8BLPBSE,"ATP Electronics, Inc.",MODULE DDR 4 SDRAM 4GB 260SODIMM,80,0,"90.10000","0","1","-","Active","DDR4 SDRAM","4GB","2133MT/s","260-SODIMM"
//media.digikey.com/pdf/Data%20Sheets/Micron%20Technology%20Inc%20PDFs/MT16KTF_64AZ_Rev2015.pdf,//media.digikey.com/Photos/Micron%20Photos/MT16KTF1G64AZ-1G9P1.JPG,557-1744-ND,MT16KTF1G64AZ-1G9P1,Micron Technology Inc.,MODULE DDR3L SDRAM 8GB 240UDIMM,99,0,"139.08000","0","1","-","Active","DDR3L SDRAM","8GB","1866MT/s","240-UDIMM"
//media.digikey.com/pdf/Data%20Sheets/ATP%20Electronics%20PDFs/A4F08QD8BNPBSE.pdf,//media.digikey.com/Photos/ATP%20Electronics/A4F08QD8BNPBSE-%28front%29.jpg,A4F08QD8BNPBSE-ND,A4F08QD8BNPBSE,"ATP Electronics, Inc.",MODULE DDR 4 SDRAM 8GB 260SODIMM,33,0,"154.50000","0","1","-","Active","DDR4 SDRAM","8GB","2133MT/s","260-SODIMM"
//media.digikey.com/pdf/Data%20Sheets/ATP%20Electronics%20PDFs/AW24M64F8BLK0MW-E.pdf,//media.digikey.com/Photos/ATP%20Electronics/AW24P64F8BLK0M-%28front%29.jpg,AW24M64F8BLK0MW-ND,AW24M64F8BLK0MW,"ATP Electronics, Inc.",MODULE DDR3 SDRAM 8GB 204SODIMM,206,0,"159.28000","0","1","-","Active","DDR3 SDRAM","8GB","1600MT/s","204-SODIMM"
https://www.swissbit.com/data/view.php?q=U-400/U-400_fact_sheet.pdf,//media.digikey.com/Photos/Swissbit%20NA%20Inc/MFG_SFUI016GJ1AB1TO-I-QT-211-STD.jpg,1052-1263-ND,SFUI1024J1AB1TO-I-MS-211-STD,Swissbit,MODULE FLASH NAND SLC 1GB,141,0,"35.96000","0","1","U-400","Active","FLASH - NAND (SLC)","1GB","-","Module"
//media.digikey.com/pdf/Data%20Sheets/ATP%20Electronics%20PDFs/AW12M64B8BLK0MW-E.pdf,//media.digikey.com/Photos/ATP%20Electronics/AW24P7228BLK0M-%28front%29.jpg,AW12M64B8BLK0MW-ND,AW12M64B8BLK0MW,"ATP Electronics, Inc.",MODULE DDR3 SDRAM 4GB 204SODIMM,183,0,"93.60000","0","1","-","Active","DDR3 SDRAM","4GB","1600MT/s","204-SODIMM"
//media.digikey.com/pdf/Data%20Sheets/ATP%20Electronics%20PDFs/AW24M7228BLK0MW-E.pdf,//media.digikey.com/photos/ATP%20Electronics/AW24M7228BLK0MW_Side-A.jpg,AW24M7228BLK0MW-ND,AW24M7228BLK0MW,"ATP Electronics, Inc.",MODULE DDR3 SDRAM 8GB 204SODIMM,229,0,"176.79000","0","1","-","Active","DDR3 SDRAM","8GB","1600MT/s","204-SODIMM"
//media.digikey.com/pdf/Data%20Sheets/ATP%20Electronics%20PDFs/A4G16QE8BNPBSE.pdf,//media.digikey.com/Photos/ATP%20Electronics/A4G16QE8BNPBSE.JPG,A4G16QE8BNPBSE-ND,A4G16QE8BNPBSE,"ATP Electronics, Inc.",MOD DDR 4 SDRAM 16GB 260SODIMM,30,0,"243.75000","0","1","-","Active","DDR4 SDRAM","16GB","2133MT/s","260-SODIMM"
//media.digikey.com/pdf/Data%20Sheets/ATP%20Electronics%20PDFs/A4F16QG8BNPBSE.pdf,//media.digikey.com/Photos/ATP%20Electronics/A4F16QG8BNPBSE.JPG,A4F16QG8BNPBSE-ND,A4F16QG8BNPBSE,"ATP Electronics, Inc.",MOD DDR 4 SDRAM 16GB 260SODIMM,43,0,"271.95000","0","1","-","Active","DDR4 SDRAM","16GB","2133MT/s","260-SODIMM"
http://www.micron.com/~/media/Documents/Products/Data%20Sheet/eUSB/eusb_MTED_230_embedded.pdf,-,557-2029-ND,MTEDCAR002SAJ-1M2,Micron Technology Inc.,MODULE FLASH NAND SLC 2GB,150,0,"30.95000","0","1","-","Active","FLASH - NAND (SLC)","2GB","-","Module"
http://www.micron.com/~/media/Documents/Products/Data%20Sheet/eUSB/eusb_MTED_230_embedded.pdf,-,557-2030-ND,MTEDCBE002SAJ-1M2,Micron Technology Inc.,MODULE FLASH NAND SLC 2GB,150,0,"30.95000","0","1","-","Active","FLASH - NAND (SLC)","2GB","-","Module"
http://www.micron.com/~/media/Documents/Products/Data%20Sheet/eUSB/eusb_MTED_230_embedded.pdf,-,557-2032-ND,MTEDCBR002SAJ-1M2,Micron Technology Inc.,MODULE FLASH NAND SLC 2GB,150,0,"30.95000","0","1","-","Active","FLASH - NAND (SLC)","2GB","-","Module"
http://www.micron.com/~/media/Documents/Products/Data%20Sheet/eUSB/eusb_MTED_230_embedded.pdf,-,557-2027-ND,MTEDCAE002SAJ-1M2,Micron Technology Inc.,MODULE FLASH NAND SLC 2GB,129,0,"30.95000","0","1","-","Active","FLASH - NAND (SLC)","2GB","-","Module"
http://www.micron.com/~/media/Documents/Products/Data%20Sheet/eUSB/eusb_MTED_230_embedded.pdf,-,557-2031-ND,MTEDCBE002SAJ-1M2IT,Micron Technology Inc.,MODULE FLASH NAND SLC 2GB,150,0,"34.59000","0","1","-","Active","FLASH - NAND (SLC)","2GB","-","Module"
http://www.micron.com/~/media/Documents/Products/Data%20Sheet/eUSB/eusb_MTED_230_embedded.pdf,-,557-2028-ND,MTEDCAE002SAJ-1M2IT,Micron Technology Inc.,MODULE FLASH NAND SLC 2GB,144,0,"34.59000","0","1","-","Active","FLASH - NAND (SLC)","2GB","-","Module"
http://www.micron.com/~/media/Documents/Products/Data%20Sheet/eUSB/eusb_MTED_230_embedded.pdf,-,557-2033-ND,MTEDCBR002SAJ-1M2IT,Micron Technology Inc.,MODULE FLASH NAND SLC 2GB,144,0,"34.59000","0","1","-","Active","FLASH - NAND (SLC)","2GB","-","Module"
-,-,557-2035-ND,MTEDFBR004SCA-1P2IT,Micron Technology Inc.,MOD FLASH NAND SLC 4GB VBGA,149,0,"61.76000","0","1","eU500","Active","FLASH - NAND (SLC)","4GB","-","Module"
-,-,557-2034-ND,MTEDFAE004SCA-1P2IT,Micron Technology Inc.,MOD FLASH NAND SLC 4GB VBGA,147,0,"61.76000","0","1","eU500","Active","FLASH - NAND (SLC)","4GB","-","Module"
-,-,557-2036-ND,MTEDFBR008SCA-1P2IT,Micron Technology Inc.,MOD FLASH NAND SLC 8GB VBGA,100,0,"112.22000","0","1","eU500","Active","FLASH - NAND (SLC)","8GB","-","Module"
//media.digikey.com/pdf/Data%20Sheets/Micron%20Technology%20Inc%20PDFs/MT36KDS2G72PZ-1Gyyy_ds.pdf,-,MT36KDS2G72PZ-1G6N1-ND,MT36KDS2G72PZ-1G6N1,Micron Technology Inc.,MODULE DDR3L SDRAM 16GB,70,0,"488.36000","0","1","-","Active","DDR3L SDRAM","16GB","1600MT/s","-"
http://www.vikingtechnology.com/wp-content/uploads/2017/07/VIKING_DRAM_PART_NO_BOOKLET.pdf,//media.digikey.com/Photos/Viking%20Technology/VR7PUXX6458ZZZ~.jpg,1803-1025-ND,VR7PU566458GBAMKT,Viking Technology,MODULE DDR3 SDRAM 2GB 204-SODIMM,96,0,"82.20000","0","1","-","Active","DDR3 SDRAM","2GB","1066MT/s","204-SODIMM"
http://www.micron.com/~/media/Documents/Products/Data%20Sheet/Modules/SODIMM/ktf8c128_256_512x64hz.pdf,-,MT8KTF25664HZ-1G6K1-ND,MT8KTF25664HZ-1G6K1,Micron Technology Inc.,MODULE DDR3L SDRAM 2GB 204SODIMM,85,0,"127.73000","0","1","-","Obsolete","DDR3L SDRAM","2GB","1600MT/s","204-SODIMM"
//media.digikey.com/pdf/Data%20Sheets/Viking%20PDFs/PS9FUxx64x8zzz.pdf,//media.digikey.com/Photos/Viking%20Technology/VR9FU126428HBHMBT.JPG,1803-1027-ND,VR9FU126428HBHMBT,Viking Technology,MODULE DDR4 SDRAM 4GB 260-SODIMM,91,0,"128.10000","0","1","-","Active","DDR4 SDRAM","4GB","2133MT/s","260-SODIMM"
//media.digikey.com/pdf/Data%20Sheets/Viking%20PDFs/PS7PUxx6498zzz.pdf,//media.digikey.com/Photos/Viking%20Technology/VR7PU126498GBFMKT.JPG,1803-1023-ND,VR7PU1G6498HBFMPT,Viking Technology,MODULE DDR3L SDRAM 8GB 204SODIMM,26,0,"160.53000","0","1","-","Active","DDR3L SDRAM","8GB","1600MT/s","204-SODIMM"
//media.digikey.com/pdf/Data%20Sheets/Viking%20PDFs/PS9MUxx72x8zzz_A.pdf,-,1803-1043-ND,VR9MU1G7228JBJSB,Viking Technology,MODULE DDR4 SDRAM 288UDIMM,43,0,"168.03000","0","1","-","Active","DDR4 SDRAM","8GB","2400MT/s","288-UDIMM"
http://www.vikingtechnology.com/wp-content/uploads/Viking_MemorySolutions_Brochure_LowRes.pdf,-,1803-1060-ND,VR9FU1G7228HBJSE,Viking Technology,DDR4 8GB ECC SODIMM,56,0,"214.54000","0","1","-","Active","DDR4 SDRAM","8GB","2400MT/s","260-SODIMM"
https://www.micron.com/~/media/documents/products/data-sheet/modules/rdimm/ddr4/asf36c4gx72pz.pdf,//media.digikey.com/Photos/Micron%20Photos/MTA36ASF4G72PZ-2G3B1.jpg,557-1723-ND,MTA36ASF4G72PZ-2G3B1,Micron Technology Inc.,MODULE DDR4 SDRAM 32GB 288RDIMM,81,0,"304.17000","0","1","-","Obsolete","DDR4 SDRAM","32GB","2400MT/s","288-RDIMM"
//media.digikey.com/pdf/Data%20Sheets/ATP%20Electronics%20PDFs/AW56P64B8BKK0M.pdf,//media.digikey.com/Photos/ATP%20Electronics/AW12P7218BLK0M-%28front%29.jpg,AW56P64B8BKK0M-ND,AW56P64B8BKK0M,"ATP Electronics, Inc.",MODULE DDR3L SDRAM 2GB 204SODIMM,86,0,"42.84000","0","1","-","Active","DDR3L SDRAM","2GB","1600MT/s","204-SODIMM"
https://swissbit.com/wp-content/uploads/2018/02/Swissbit_Product_Guide.pdf,//media.digikey.com/Photos/Swissbit%20NA%20Inc/MFG_SFUI4096J1AB1TO-I-GS-2A1-STD.jpg,1052-1271-ND,SFUI8192J1AB1TO-I-GS-2A1-STD,Swissbit,MODULE FLASH NAND MLC 8GB,7,0,"34.59000","0","1","U-45","Active","FLASH - NAND (MLC)","8GB","-","Module"
https://swissbit.com/wp-content/uploads/2018/02/Swissbit_Product_Guide.pdf,//media.digikey.com/Photos/Swissbit%20NA%20Inc/MFG_SFUI4096J1AB1TO-I-GS-2A1-STD.jpg,1052-1268-ND,SFUI016GJ1AB1TO-I-GS-2A1-STD,Swissbit,MODULE FLASH NAND MLC 16GB,64,0,"46.09000","0","1","U-45","Active","FLASH - NAND (MLC)","16GB","-","Module"
https://www.swissbit.com/data/view.php?q=U-400/U-400_fact_sheet.pdf,//media.digikey.com/Photos/Swissbit%20NA%20Inc/MFG_SFUI016GJ1AB1TO-I-QT-211-STD.jpg,1052-1265-ND,SFUI2048J1AB2TO-I-MS-211-STD,Swissbit,MODULE FLASH NAND SLC 2GB,21,0,"50.57000","0","1","U-400","Active","FLASH - NAND (SLC)","2GB","-","Module"
