Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Technology","Type","Duty Cycle","Voltage - Rated","Stroke Length","Power (Watts)","DC Resistance (DCR)","Bushing Thread","Mounting Type","Termination Style","Size / Dimension","Diameter - Shaft","Shaft Detail"
https://cdn.sparkfun.com/datasheets/Robotics/ZHO-0420S-05A4.5%20SPECIFICATION.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_ROB-11015.jpg,1568-1592-ND,ROB-11015,SparkFun Electronics,SOLENOID PUSH INTERMITTENT 5V,601,0,"4.95000","0","1","-","Active","Electromechanical","Open Frame (Push)","Intermittent","5VDC","0.177"" (4.50mm)","5.5W","4.5Ohm","-","Chassis Mount","Wire Leads with Connector","0.787"" L x 0.433"" W x 0.572"" H (20.00mm x 11.00mm x 12.00mm)","0.157"" (4.00mm)","Round"
http://www.deltaww.com/filecenter/Products/download/04/0409/DSMS-0730.pdf,//media.digikey.com/Photos/Delta%20Photos/DSMS-0730-xx.jpg,1144-1317-ND,DSMS-0730-12,Delta Electronics,SOLENOID PUSH PULSE 12V,291,0,"20.16000","0","1","DSMS","Active","Electromechanical","Open Frame Latching (Push)","Pulse","12VDC","0.138"" (3.50mm)","32W","4.5Ohm","-","Chassis Mount","Wire Leads with Connector","1.181"" L x 0.630"" W x 0.551"" H (30.00mm x 16.00mm x 14.00mm)","0.236"" (6.00mm)","Clevis"
http://www.deltaww.com/filecenter/Products/download/04/0409/DSOS-0416-D.pdf,//media.digikey.com/Photos/Delta%20Photos/DSOS-Series.jpg,1144-1401-ND,DSOS-0416-24D,Delta Electronics,"DC SOLENOID, OPEN FRAME PUSH TYP",245,0,"5.50000","0","1","DSOS","Active","Electromechanical","Open Frame (Push)","Intermittent","24VDC","0.060"" (1.52mm)","3.6W","160Ohm","-","Chassis Mount","-","0.622"" L x 0.304"" W x 0.393"" H (15.80mm x 7.72mm x 9.98mm)","0.165"" (4.19mm)","Round"
http://www.deltaww.com/filecenter/Products/download/04/0409/DSOS-0416-D.pdf,//media.digikey.com/Photos/Delta%20Photos/DSOS-Series.jpg,1144-1398-ND,DSOS-0416-09D,Delta Electronics,"DC SOLENOID, OPEN FRAME PUSH TYP",170,0,"5.50000","0","1","DSOS","Active","Electromechanical","Open Frame (Push)","Intermittent","9VDC","0.060"" (1.52mm)","3.6W","22.6Ohm","-","Chassis Mount","-","0.622"" L x 0.304"" W x 0.393"" H (15.80mm x 7.72mm x 9.98mm)","0.165"" (4.19mm)","Round"
http://www.deltaww.com/filecenter/Products/download/04/0409/DSOS-0416-D.pdf,//media.digikey.com/Photos/Delta%20Photos/DSOS-Series.jpg,1144-1396-ND,DSOS-0416-03D,Delta Electronics,"DC SOLENOID, OPEN FRAME PUSH TYP",114,0,"5.50000","0","1","DSOS","Active","Electromechanical","Open Frame (Push)","Intermittent","3VDC","0.060"" (1.52mm)","3.8W","2.33Ohm","-","Chassis Mount","-","0.622"" L x 0.304"" W x 0.393"" H (15.80mm x 7.72mm x 9.98mm)","0.165"" (4.19mm)","Round"
http://www.deltaww.com/filecenter/Products/download/04/0409/DSTL-0418.pdf,//media.digikey.com/Photos/Delta%20Photos/DSTL-0418-12.jpg,1144-1294-ND,DSTL-0418-06,Delta Electronics,SOLENOID PULL CONTINUOUS 6V,337,0,"8.13000","0","1","DSTL","Active","Electromechanical","Closed Frame (Pull), Tubular","Continuous","6VDC","0.125"" (3.18mm)","1.35W","27Ohm","-","Chassis Mount","Wire Leads with Connector","0.504"" Dia x 0.689"" L (12.80mm x 17.50mm)","0.156"" (3.97mm)","Round"
http://www.deltaww.com/filecenter/Products/download/04/0409/DSTL-0418.pdf,//media.digikey.com/Photos/Delta%20Photos/DSTL-0418-12.jpg,1144-1296-ND,DSTL-0418-12,Delta Electronics,SOLENOID PULL CONTINUOUS 12V,214,0,"8.13000","0","1","DSTL","Active","Electromechanical","Closed Frame (Pull), Tubular","Continuous","12VDC","0.125"" (3.18mm)","1.3W","110Ohm","-","Chassis Mount","Wire Leads with Connector","0.504"" Dia x 0.689"" L (12.80mm x 17.50mm)","0.156"" (3.97mm)","Round"
http://www.deltaww.com/filecenter/Products/download/04/0409/DSML-0224.pdf,//media.digikey.com/photos/Delta%20Photos/DSML-0224-05.jpg,1144-1320-ND,DSML-0224-05,Delta Electronics,SOLENOID PULL PULSE 5V,101,0,"9.13000","0","1","DSML","Active","Electromechanical","Open Frame (Pull)","Pulse","5VDC","0.200"" (5.08mm)","13W","1.9Ohm","-","Chassis Mount","Wire Leads","0.910"" L x 0.280"" W x 0.330"" H (23.11mm x 7.11mm x 8.38mm)","0.130"" (3.30mm)","Round"
http://www.deltaww.com/filecenter/Products/download/04/0409/DSTL-0216.pdf,//media.digikey.com/Photos/Delta%20Photos/DSTL-0216-05.jpg,1144-1279-ND,DSTL-0216-05,Delta Electronics,SOLENOID PULL CONTINUOUS 5.4V,353,0,"11.18000","0","1","DSTL","Active","Electromechanical","Closed Frame (Pull), Tubular","Continuous","5.4VDC","0.106"" (2.70mm)","1.1W","27Ohm","10-32 NF-2A","Chassis Mount","Wire Leads with Connector","0.378"" Dia x 0.520"" L (9.60mm x 13.20mm)","0.110"" (2.79mm)","Groove"
http://www.deltaww.com/filecenter/Products/download/04/0409/DSTL-0216.pdf,//media.digikey.com/Photos/Delta%20Photos/DSTL-0216-05.jpg,1144-1280-ND,DSTL-0216-09,Delta Electronics,SOLENOID PULL CONTINUOUS 9V,352,0,"11.18000","0","1","DSTL","Active","Electromechanical","Closed Frame (Pull), Tubular","Continuous","9VDC","0.106"" (2.70mm)","1.1W","76Ohm","10-32 NF-2A","Chassis Mount","Wire Leads with Connector","0.378"" Dia x 0.520"" L (9.60mm x 13.20mm)","0.110"" (2.79mm)","Groove"
