Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Motor Type","Control / Drive Type","Number of Motors","Voltage - Load","Current - Output","Wattage - Load","Voltage - Supply","Interface","Mounting Type","Operating Temperature","Features","For Use With/Related Products"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/EasyDriver_Hookup_Guide_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_ROB-12779.jpg,1568-1108-ND,ROB-12779,SparkFun Electronics,STEPPER DRIVER 0.75A 30V LOAD,166,0,"14.95000","0","1","Easy Driver","Active","Board","Stepper","Stepper, Bipolar","1","30V","0.75A","-","5VDC","Step / Direction","Chassis Mount","-20°C ~ 85°C","-","-"
https://www.allegromicro.com/~/media/Files/Datasheets/A4988-Datasheet.ashx,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_ROB-12859.jpg,1568-1066-ND,ROB-12859,SparkFun Electronics,STEPPER DRIVER 2A 35V LOAD,240,0,"19.95000","0","1","Big Easy Driver","Active","Board","Stepper","Stepper, Bipolar","1","35V","2A","-","5VDC","Step / Direction","Chassis Mount","-20°C ~ 85°C","-","-"
https://www.trinamic.com/_scripts/download.php?file=_articles%2Fproducts%2Fmodules%2Ftmcm-1070%2F_datasheet%2FTMCM-1070-hardware-manual.pdf,//media.digikey.com/Photos/Trinamic%20Motion%20Control%20Photos/MFG_TMCM-1070.JPG,1460-1177-ND,TMCM-1070,Trinamic Motion Control GmbH,STEPPER DRIVER 1A,125,0,"71.80000","0","1","TMCM","Active","Module","Stepper","Stepper, Bipolar","1","-","1A","-","10 ~ 24VDC","Step / Direction","Chassis Mount","-30°C ~ 40°C","-","-"
https://www.trinamic.com/fileadmin/assets/Solutions/TMCM-1110_TMCL-firmware_manual_Hw2.xx_Fw1.08_Rev1.01.pdf,//media.digikey.com/Photos/Trinamic%20Motion%20Control%20Photos/MFG_TMCM-1110-STEPROCKER.jpg,1460-1010-ND,TMCM-1110-STEPROCKER,Trinamic Motion Control GmbH,STEPPER DRIVER 1A 2.8A 10-30V,292,0,"98.50000","0","1","TMCM","Active","Board","Stepper","Stepper, Bipolar","1","10 ~ 30V","1A, 2.8A","-","12 ~ 24VDC","RS-485, Step / Direction, USB","Chassis Mount","-25°C ~ 80°C","-","-"
https://www.trinamic.com/fileadmin/assets/Products/Modules_Documents/TMCM-1111_hardware_manual_V090.pdf,//media.digikey.com/Photos/Trinamic%20Motion%20Control%20Photos/TMCM-1111-STEPROCKER-SERVO.JPG,1460-1232-ND,TMCM-1111-STEPROCKER-SERVO,Trinamic Motion Control GmbH,BOARD CONTROLLER DRIVER STEPPER,169,0,"114.25000","0","1","TMCM","Active","Board","Stepper","Stepper, Bipolar","1","10 ~ 30V","1A, 2.8A","-","12 ~ 24VDC","RS-485, Step / Direction, USB","Chassis Mount","-25°C ~ 60°C","-","-"
https://www.trinamic.com/fileadmin/assets/Products/Modules_Documents/TMCM-1021_hardware_manual_HW1.40_Rev1.04.pdf,//media.digikey.com/Photos/Trinamic%20Motion%20Control%20Photos/MFG_TMCM-1021.JPG,1460-1008-ND,TMCM-1021,Trinamic Motion Control GmbH,STEPPER DRIVER 0.7A 9-28V LOAD,223,0,"130.50000","0","1","TMCM","Active","Board","Stepper","Stepper, Bipolar","1","9 ~ 28V","0.7A","-","9 ~ 28VDC","CAN, RS-232, RS-422","Chassis Mount","-40°C ~ 60°C","-","-"
https://www.trinamic.com/_scripts/download.php?file=_articles%2Fproducts%2Fmodules%2Ftmcm-1140%2F_documentation%2FTMCM-1140_TMCL_firmware_manual.pdf,//media.digikey.com/Photos/Trinamic%20Motion%20Control%20Photos/TMCM-1140-TMCL.jpg,1460-1013-ND,TMCM-1140-TMCL,Trinamic Motion Control GmbH,STEPPER DRIVER 2.8A 9-28V LOAD,184,0,"176.12000","0","1","TMCM","Active","Board","Stepper","Stepper, Bipolar","1","9 ~ 28V","2.8A","-","12 ~ 24VDC","RS-485, Step / Direction, USB","Chassis Mount","-30°C ~ 50°C","-","-"
https://www.trinamic.com/fileadmin/assets/Products/Modules_Documents/TMCM-1240_hardware_manual_V110.pdf,//media.digikey.com/Photos/Trinamic%20Motion%20Control%20Photos/TMCM-1240.JPG,1460-1260-ND,TMCM-1240-TMCL,Trinamic Motion Control GmbH,STEPPER CONTROLLER/DRIVER 2A 10-,76,0,"188.90000","0","1","TMCM","Active","Board","Stepper","Stepper, Bipolar","1","-","2A","-","10 ~ 30VDC","CAN, USB","Chassis Mount","-30°C ~ 60°C","-","-"
https://www.trinamic.com/fileadmin/assets/Products/Modules_Documents/TMCM-1630_hardware_manual_Hw1.1_Rev1.05.pdf,//media.digikey.com/Photos/Trinamic%20Motion%20Control%20Photos/TMCM-1630-4U.jpg,1460-1029-ND,TMCM-1630-4U,Trinamic Motion Control GmbH,BRUSHLESS DRIVER 10A 12-48V LOAD,40,0,"202.30000","0","1","TMCM","Active","Board","Brushless (BLDC)","Brushless","1","12 ~ 48V","10A","-","12 ~ 48VDC","RS-485, USB","Chassis Mount","-25°C ~ 60°C","-","-"
https://www.trinamic.com/fileadmin/assets/Products/Modules_Documents/TMCM-1160_TMCL_firmware_manual.pdf,//media.digikey.com/Photos/Trinamic%20Motion%20Control%20Photos/TMCM-1160-TMCL.jpg,1460-1018-ND,TMCM-1160-TMCL,Trinamic Motion Control GmbH,STEPPER DRIVER 2.8A 9-51V LOAD,94,0,"208.20000","0","1","TMCM","Active","Board","Stepper","Stepper, Bipolar","1","9 ~ 51V","2.8A","-","12 ~ 48VDC","RS-485, Step / Direction, USB","Chassis Mount","0°C ~ 40°C","-","-"
https://www.trinamic.com/fileadmin/assets/Products/Modules_Documents/TMCM-1260_hardware_manual_V120.pdf,//media.digikey.com/Photos/Trinamic%20Motion%20Control%20Photos/MFG_TMCM-1260-TMCL.jpg,1460-1280-ND,TMCM-1260-TMCL,Trinamic Motion Control GmbH,STEPPER CONTROLLER/DRIVER 6A 12-,57,0,"208.20000","0","1","TMCM","Active","Module","Stepper","Stepper, Bipolar","2","-","6A","-","12 ~ 54VDC","CAN, RS-485, USB","Chassis Mount","-30°C ~ 40°C","-","-"
