Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Technology","Type","Isolated Power","Number of Channels","Inputs - Side 1/Side 2","Channel Type","Voltage - Isolation","Common Mode Transient Immunity (Min)","Data Rate","Propagation Delay tpLH / tpHL (Max)","Pulse Width Distortion (Max)","Rise / Fall Time (Typ)","Voltage - Supply","Operating Temperature","Mounting Type","Package / Case","Supplier Device Package"
//media.digikey.com/pdf/Data%20Sheets/Silicon%20Laboratories%20PDFs/Si8410_20_21_Rev_1.5.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/8-SOIC.jpg,336-1752-5-ND,SI8410BB-D-IS,Silicon Labs,DGTL ISO 2.5KV GEN PURP 8SOIC,4737,0,"0.73000","0","1","Tube","-","Not For New Designs","Capacitive Coupling","General Purpose","No","1","1/0","Unidirectional","2500Vrms","25kV/µs (Typ)","150Mbps","9.5ns, 9.5ns","2.5ns","3.8ns, 2.8ns","2.7V ~ 5.5V","-40°C ~ 125°C","Surface Mount","8-SOIC (0.154"", 3.90mm Width)","8-SOIC"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fiso7720,//media.digikey.com/Renders/Texas%20Instr%20Renders/296;4040047-3;D;8.jpg,296-48296-2-ND,ISO7721DR,Texas Instruments,DGTL ISO 3KV GEN PRP 8SOIC,15000,0,"0.83025","0","2500","Tape & Reel (TR)","-","Active","Capacitive Coupling","General Purpose","No","2","1/1","Unidirectional","3000Vrms","85kV/µs","100Mbps","16ns, 16ns","4.9ns","1.8ns, 1.9ns","2.25V ~ 5.5V","-55°C ~ 125°C","Surface Mount","8-SOIC (0.154"", 3.90mm Width)","8-SOIC"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fiso7720,//media.digikey.com/Renders/Texas%20Instr%20Renders/296;4040047-3;D;8.jpg,296-48296-1-ND,ISO7721DR,Texas Instruments,DGTL ISO 3KV GEN PRP 8SOIC,16323,0,"1.87000","0","1","Cut Tape (CT)","-","Active","Capacitive Coupling","General Purpose","No","2","1/1","Unidirectional","3000Vrms","85kV/µs","100Mbps","16ns, 16ns","4.9ns","1.8ns, 1.9ns","2.25V ~ 5.5V","-55°C ~ 125°C","Surface Mount","8-SOIC (0.154"", 3.90mm Width)","8-SOIC"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fiso7720,//media.digikey.com/Renders/Texas%20Instr%20Renders/296;4040047-3;D;8.jpg,296-48296-6-ND,ISO7721DR,Texas Instruments,DGTL ISO 3KV GEN PRP 8SOIC,16323,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","Capacitive Coupling","General Purpose","No","2","1/1","Unidirectional","3000Vrms","85kV/µs","100Mbps","16ns, 16ns","4.9ns","1.8ns, 1.9ns","2.25V ~ 5.5V","-55°C ~ 125°C","Surface Mount","8-SOIC (0.154"", 3.90mm Width)","8-SOIC"
https://www.silabs.com/documents/public/data-sheets/si861x-2x-datasheet.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/8-SOIC.jpg,336-4209-2-ND,SI8620BB-B-ISR,Silicon Labs,DGTL ISO 2.5KV GEN PURP 8SOIC,2500,0,"0.83620","0","2500","Tape & Reel (TR)","-","Active","Capacitive Coupling","General Purpose","No","2","2/0","Unidirectional","2500Vrms","35kV/µs","150Mbps","13ns, 13ns","4.5ns","2.5ns, 2.5ns","2.5V ~ 5.5V","-40°C ~ 125°C","Surface Mount","8-SOIC (0.154"", 3.90mm Width)","8-SOIC"
https://www.silabs.com/documents/public/data-sheets/si861x-2x-datasheet.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/8-SOIC.jpg,336-4209-1-ND,SI8620BB-B-ISR,Silicon Labs,DGTL ISO 2.5KV GEN PURP 8SOIC,6291,0,"4.53000","0","1","Cut Tape (CT)","-","Active","Capacitive Coupling","General Purpose","No","2","2/0","Unidirectional","2500Vrms","35kV/µs","150Mbps","13ns, 13ns","4.5ns","2.5ns, 2.5ns","2.5V ~ 5.5V","-40°C ~ 125°C","Surface Mount","8-SOIC (0.154"", 3.90mm Width)","8-SOIC"
https://www.silabs.com/documents/public/data-sheets/si861x-2x-datasheet.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/8-SOIC.jpg,336-4209-6-ND,SI8620BB-B-ISR,Silicon Labs,DGTL ISO 2.5KV GEN PURP 8SOIC,6291,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","Capacitive Coupling","General Purpose","No","2","2/0","Unidirectional","2500Vrms","35kV/µs","150Mbps","13ns, 13ns","4.5ns","2.5ns, 2.5ns","2.5V ~ 5.5V","-40°C ~ 125°C","Surface Mount","8-SOIC (0.154"", 3.90mm Width)","8-SOIC"
https://www.silabs.com/documents/public/data-sheets/si861x-2x-datasheet.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/8-SOIC.jpg,336-2567-ND,SI8620BB-B-IS,Silicon Labs,DGTL ISO 2.5KV GEN PURP 8SOIC,14452,0,"0.92000","0","1","Tube","-","Active","Capacitive Coupling","General Purpose","No","2","2/0","Unidirectional","2500Vrms","35kV/µs","150Mbps","13ns, 13ns","4.5ns","2.5ns, 2.5ns","2.5V ~ 5.5V","-40°C ~ 125°C","Surface Mount","8-SOIC (0.154"", 3.90mm Width)","8-SOIC"
//media.digikey.com/pdf/Data%20Sheets/Silicon%20Laboratories%20PDFs/Si87xx.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/8-SOIC.jpg,336-2386-ND,SI8710AC-B-IS,Silicon Labs,DGTL ISO 3.75KV GEN PURP 8SOIC,6621,0,"0.92000","0","1","Tube","-","Active","Capacitive Coupling","General Purpose","No","1","1/0","Unidirectional","3750Vrms","20kV/µs","15Mbps","60ns, 60ns","20ns","15ns, 5ns","3V ~ 30V","-40°C ~ 125°C","Surface Mount","8-SOIC (0.154"", 3.90mm Width)","8-SOIC"
//media.digikey.com/pdf/Data%20Sheets/Silicon%20Laboratories%20PDFs/Si87xx.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/8-SOIC.jpg,336-2370-ND,SI8712BC-B-IS,Silicon Labs,DGTL ISO 3.75KV GEN PURP 8SOIC,5884,0,"1.00000","0","1","Tube","-","Active","Capacitive Coupling","General Purpose","No","1","1/0","Unidirectional","3750Vrms","35kV/µs","15Mbps","60ns, 60ns","20ns","15ns, 5ns","3V ~ 30V","-40°C ~ 125°C","Surface Mount","8-SOIC (0.154"", 3.90mm Width)","8-SOIC"
