Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Technology","Number of Channels","Voltage - Isolation","Common Mode Transient Immunity (Min)","Propagation Delay tpLH / tpHL (Max)","Pulse Width Distortion (Max)","Rise / Fall Time (Typ)","Current - Output High, Low","Current - Peak Output","Voltage - Forward (Vf) (Typ)","Current - DC Forward (If) (Max)","Voltage - Output Supply","Operating Temperature","Mounting Type","Package / Case","Supplier Device Package","Approvals"
https://toshiba.semicon-storage.com/info/docget.jsp?did=1642&prodName=TLP701,//media.digikey.com/Photos/Toshiba%20Photos/TLP718(F).jpg,TLP701FTR-ND,"TLP701(TP,F)",Toshiba Semiconductor and Storage,OPTOISO 5KV GATE DRIVER 6SDIP GW,27000,0,"0.75625","0","1500","Tape & Reel (TR)","-","Active","Optical Coupling","1","5000Vrms","10kV/µs","700ns, 700ns","-","50ns, 50ns","400mA, 400mA","600mA","1.55V","20mA","10V ~ 30V","-40°C ~ 100°C","Surface Mount","6-SOIC (0.268"", 6.80mm Width)","6-SDIP Gull Wing","cUL, UL"
https://toshiba.semicon-storage.com/info/docget.jsp?did=1642&prodName=TLP701,//media.digikey.com/Photos/Toshiba%20Photos/TLP718(F).jpg,TLP701FCT-ND,"TLP701(TP,F)",Toshiba Semiconductor and Storage,OPTOISO 5KV GATE DRIVER 6SDIP GW,27454,0,"2.12000","0","1","Cut Tape (CT)","-","Active","Optical Coupling","1","5000Vrms","10kV/µs","700ns, 700ns","-","50ns, 50ns","400mA, 400mA","600mA","1.55V","20mA","10V ~ 30V","-40°C ~ 100°C","Surface Mount","6-SOIC (0.268"", 6.80mm Width)","6-SDIP Gull Wing","cUL, UL"
https://toshiba.semicon-storage.com/info/docget.jsp?did=1642&prodName=TLP701,//media.digikey.com/Photos/Toshiba%20Photos/TLP718(F).jpg,TLP701FDKR-ND,"TLP701(TP,F)",Toshiba Semiconductor and Storage,OPTOISO 5KV GATE DRIVER 6SDIP GW,27454,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","Optical Coupling","1","5000Vrms","10kV/µs","700ns, 700ns","-","50ns, 50ns","400mA, 400mA","600mA","1.55V","20mA","10V ~ 30V","-40°C ~ 100°C","Surface Mount","6-SOIC (0.268"", 6.80mm Width)","6-SDIP Gull Wing","cUL, UL"
http://www.vishay.com/docs/81808/vo3150a.pdf,//media.digikey.com/Renders/Vishay%20Semi%20Renders/i178006.jpg,751-1476-2-ND,VO3150A-X007T,Vishay Semiconductor Opto Division,OPTOISO 5.3KV 1CH GATE DRVR 8SMD,14000,0,"0.77000","0","1000","Tape & Reel (TR)","-","Active","Optical Coupling","1","5300Vrms","25kV/µs","400ns, 400ns","200ns","100ns, 100ns","500mA, 500mA","500mA","1.3V","25mA","15V ~ 32V","-40°C ~ 110°C","Surface Mount","8-SMD, Gull Wing","8-SMD","cUR, UR"
http://www.vishay.com/docs/81808/vo3150a.pdf,//media.digikey.com/Renders/Vishay%20Semi%20Renders/i178006.jpg,751-1476-1-ND,VO3150A-X007T,Vishay Semiconductor Opto Division,OPTOISO 5.3KV 1CH GATE DRVR 8SMD,14767,0,"2.16000","0","1","Cut Tape (CT)","-","Active","Optical Coupling","1","5300Vrms","25kV/µs","400ns, 400ns","200ns","100ns, 100ns","500mA, 500mA","500mA","1.3V","25mA","15V ~ 32V","-40°C ~ 110°C","Surface Mount","8-SMD, Gull Wing","8-SMD","cUR, UR"
http://www.vishay.com/docs/81808/vo3150a.pdf,//media.digikey.com/Renders/Vishay%20Semi%20Renders/i178006.jpg,751-1476-6-ND,VO3150A-X007T,Vishay Semiconductor Opto Division,OPTOISO 5.3KV 1CH GATE DRVR 8SMD,14767,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","Optical Coupling","1","5300Vrms","25kV/µs","400ns, 400ns","200ns","100ns, 100ns","500mA, 500mA","500mA","1.3V","25mA","15V ~ 32V","-40°C ~ 110°C","Surface Mount","8-SMD, Gull Wing","8-SMD","cUR, UR"
https://www.infineon.com/dgdl/Infineon-1EDI20N12AF-DS-v02_00-EN.pdf?fileId=5546d4614755559a014790299add6112,//media.digikey.com/Renders/Infineon%20Renders/8-SOIC.jpg,1EDI20N12AFXUMA1TR-ND,1EDI20N12AFXUMA1,Infineon Technologies,IC IGBT DVR 1200V DSO8,5000,0,"0.85886","0","2500","Tape & Reel (TR)","EiceDriver™","Active","Magnetic Coupling","1","-","-","-","-","10ns, 9ns","-","-","-","-","10V ~ 35V","-40°C ~ 150°C (TJ)","Surface Mount","8-SOIC (0.154"", 3.90mm Width)","PG-DSO-8-51","-"
https://www.infineon.com/dgdl/Infineon-1EDI20N12AF-DS-v02_00-EN.pdf?fileId=5546d4614755559a014790299add6112,//media.digikey.com/Renders/Infineon%20Renders/8-SOIC.jpg,1EDI20N12AFXUMA1CT-ND,1EDI20N12AFXUMA1,Infineon Technologies,IC IGBT DVR 1200V DSO8,5304,0,"1.93000","0","1","Cut Tape (CT)","EiceDriver™","Active","Magnetic Coupling","1","-","-","-","-","10ns, 9ns","-","-","-","-","10V ~ 35V","-40°C ~ 150°C (TJ)","Surface Mount","8-SOIC (0.154"", 3.90mm Width)","PG-DSO-8-51","-"
https://www.infineon.com/dgdl/Infineon-1EDI20N12AF-DS-v02_00-EN.pdf?fileId=5546d4614755559a014790299add6112,//media.digikey.com/Renders/Infineon%20Renders/8-SOIC.jpg,1EDI20N12AFXUMA1DKR-ND,1EDI20N12AFXUMA1,Infineon Technologies,IC IGBT DVR 1200V DSO8,5304,0,"Digi-Reel","0","1","Digi-Reel®","EiceDriver™","Active","Magnetic Coupling","1","-","-","-","-","10ns, 9ns","-","-","-","-","10V ~ 35V","-40°C ~ 150°C (TJ)","Surface Mount","8-SOIC (0.154"", 3.90mm Width)","PG-DSO-8-51","-"
https://www.infineon.com/dgdl/Infineon-1EDI60N12AF-DS-v02_00-EN.pdf?fileId=db3a3043427ac3e201428e5da08f372a,//media.digikey.com/Renders/Infineon%20Renders/8-SOIC.jpg,1EDI60N12AFXUMA1TR-ND,1EDI60N12AFXUMA1,Infineon Technologies,IC IGBT DVR 1200V DSO8,2500,0,"1.03322","0","2500","Tape & Reel (TR)","EiceDriver™","Active","Magnetic Coupling","1","-","-","-","-","10ns, 9ns","-","-","-","-","10V ~ 35V","-40°C ~ 150°C (TJ)","Surface Mount","8-SOIC (0.154"", 3.90mm Width)","PG-DSO-8-51","-"
