Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Holding Temperature","Rated Functioning Temperature","Voltage - Rated AC","Voltage - Rated DC","Current Rating (Amps)","Approvals","Maximum Temperature Limit","Package / Case"
https://www.cantherm.com/wp-content/uploads/2017/05/SDF_JUNE_2016.pdf,//media.digikey.com/Photos/Cantherm%20Photos/SDF%20DF098S.JPG,317-1128-ND,SDF DF098S,Cantherm,TCO 250VAC 10A 98C(208F) AXIAL,19062,0,"1.11000","0","1","SDF","Active","76°C (169°F)","98°C (208°F)","250V","-","10A","CCC, cUL, PSE, UL, VDE","-","Axial"
https://www.cantherm.com/wp-content/uploads/2017/05/SDF_JUNE_2016.pdf,//media.digikey.com/photos/Cantherm%20Photos/SDJ1%20DF091S.jpg,317-1127-ND,SDF DF091S,Cantherm,TCO 250VAC 10A 91C(196F) AXIAL,14451,0,"1.11000","0","1","SDF","Active","67°C (156°F)","91°C (196°F)","250V","-","10A","CCC, cUL, PSE, UL, VDE","-","Axial"
https://www.cantherm.com/wp-content/uploads/2017/05/SDF_JUNE_2016.pdf,//media.digikey.com/photos/Cantherm%20Photos/SDJ1%20DF100S.jpg,317-1129-ND,SDF DF100S,Cantherm,TCO 250VAC 10A 100C(212F) AXIAL,10893,0,"1.11000","0","1","SDF","Active","78°C (174°F)","100°C (212°F)","250V","-","10A","CCC, cUL, PSE, UL, VDE","-","Axial"
https://www.cantherm.com/wp-content/uploads/2017/05/SDF_JUNE_2016.pdf,//media.digikey.com/photos/Cantherm%20Photos/SDJ1%20DF%20SERIES.jpg,317-1132-ND,SDF DF119S,Cantherm,TCO 250VAC 10A 119C(246F) AXIAL,5899,0,"1.11000","0","1","SDF","Active","95°C (203°F)","119°C (246°F)","250V","-","10A","CCC, cUL, PSE, UL, VDE","-","Axial"
https://www.cantherm.com/wp-content/uploads/2017/05/SDF_JUNE_2016.pdf,//media.digikey.com/photos/Cantherm%20Photos/SDJ1%20DF%20SERIES.jpg,317-1133-ND,SDF DF128S,Cantherm,TCO 250VAC 10A 128C(262F) AXIAL,6969,0,"1.11000","0","1","SDF","Active","106°C (223°F)","128°C (262°F)","250V","-","10A","CCC, cUL, PSE, UL, VDE","-","Axial"
https://www.cantherm.com/wp-content/uploads/2017/05/SDF_JUNE_2016.pdf,//media.digikey.com/photos/Cantherm%20Photos/SDJ1%20DF%20SERIES.jpg,317-1134-ND,SDF DF141S,Cantherm,TCO 250VAC 10A 141C(286F) AXIAL,3990,0,"1.11000","0","1","SDF","Active","117°C (243°F)","141°C (286°F)","250V","-","10A","CCC, cUL, PSE, UL, VDE","-","Axial"
https://www.cantherm.com/wp-content/uploads/2017/05/SDF_JUNE_2016.pdf,//media.digikey.com/photos/Cantherm%20Photos/SDJ1%20DF%20SERIES.jpg,317-1138-ND,SDF DF184S,Cantherm,TCO 250VAC 10A 184C(363F) AXIAL,2510,0,"1.11000","0","1","SDF","Active","160°C (320°F)","184°C (363°F)","250V","-","10A","CCC, cUL, PSE, UL, VDE","-","Axial"
https://www.us.tdk-lambda.com/ftp/specs/dfp10112.pdf,//media.digikey.com/Photos/TDK%20Photos/DFP10112.jpg,285-1901-ND,DFP10112,TDK-Lambda Americas Inc.,TCO 250VAC 139C(282F) RADIAL,25544,0,"1.26000","0","1","-","Active","-","139°C (282°F)","250V","-","-","CCC, UL/cUL, VDE","-","Radial"
https://www.cantherm.com/wp-content/uploads/2017/05/Thermal_Cutoff_11x17_SEPT_2016.pdf,//media.digikey.com/Photos/Cantherm%20Photos/L50%20SERIES.jpg,317-1560-ND,L5012824DELB0XE,Cantherm,TCO 250VAC 15A 128C(262F) CYLNDR,324,0,"13.11000","0","1","L50","Active","106°C (223°F)","128°C (262°F)","250V","-","15A","-","155°C (311°F)","Cylinder, Wire Leads"
https://www.cantherm.com/wp-content/uploads/2017/05/Thermal_Cutoff_11x17_SEPT_2016.pdf,//media.digikey.com/Photos/Cantherm%20Photos/L50%20SERIES.jpg,317-1564-ND,L5010024DELB0XE,Cantherm,TCO 250VAC 15A 100C(212F) CYLNDR,130,0,"13.11000","0","1","L50","Active","78°C (174°F)","100°C (212°F)","250V","-","15A","-","250°C (482°F)","Cylinder, Wire Leads"
