Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Convert From (Adapter End)","Convert To (Adapter End)","Features","Color"
http://www.assmann-wsw.com/fileadmin/datasheets/ASS_7853_CA.pdf,//media.digikey.com/photos/Assmann%20Photos/AT-23065-R.jpg,AE10308-ND,AT-23065,Assmann WSW Components,ADAPT DB9F TO 6P6C JACK BEIGE,1189,0,"2.32000","0","1","AT","Active","D-Sub, 9 Pin Female","Modular, Female Jack, 6p6c (RJ11, RJ12, RJ14, RJ25)","-","Beige"
http://www.assmann-wsw.com/fileadmin/datasheets/ASS_7884_CA.pdf,//media.digikey.com/photos/Assmann%20Photos/AT-23067-R.jpg,AE10310-ND,AT-23067,Assmann WSW Components,ADAPT DB9F TO RJ45 JACK BEIGE,4023,0,"2.38000","0","1","AT","Active","D-Sub, 9 Pin Female","Modular, Female Jack, 8p8c (RJ45)","-","Beige"
https://www.norcomp.net/rohspdfs/BackShells/RJADK/RJADK09P70808Y1.pdf,//media.digikey.com/photos/Norcomp%20Photos/RJADK09P7080831.JPG,RJADK09P7080831-ND,RJADK09P7080831,NorComp Inc.,ADAPT DB9M TO RJ45 JACK GRAY,2102,0,"4.18000","0","1","RJADK","Active","D-Sub, 9 Pin Male","Modular, Female Jack, 8p8c (RJ45)","-","Gray"
https://www.norcomp.net/rohspdfs/BackShells/RJADK/RJADK09S70808Y1.pdf,//media.digikey.com/photos/Norcomp%20Photos/RJADK09S7080811.JPG,RJADK09S7080811-ND,RJADK09S7080811,NorComp Inc.,ADAPT DB9F TO RJ45 JACK BLACK,1555,0,"4.18000","0","1","RJADK","Active","D-Sub, 9 Pin Female","Modular, Female Jack, 8p8c (RJ45)","-","Black"
https://www.pomonaelectronics.com/file/17341/download?token=7qCwwJQ4,//media.digikey.com/photos/Pomona%20Photos/3777A-02.JPG,501-2457-ND,3777A-02,Pomona Electronics,ADAPT SPADE LUG TO BAN JCK BLK/R,315,0,"6.59000","0","1","-","Active","Spade Lug","Banana Jack","-","Black, Red"
https://muellerelectric.com/wp-content/uploads/DS-BU-00260.pdf,//media.digikey.com/photos/Mueller%20Photos/BU-00260.JPG,314-1127-ND,BU-00260,Mueller Electric Co,ADAPT BNC JACK TO BAN PLUG DBL,284,1127,"7.92000","0","1","BU","Active","BNC Female","Banana Plug, Double","-","Black"
https://www.pomonaelectronics.com/file/16994/download?token=cRlo0ROC,//media.digikey.com/Photos/Pomona%20Photos/1269.jpg,501-1032-ND,1269,Pomona Electronics,ADAPT BNC JACK TO DUAL BAN PLUG,3245,0,"10.29000","0","1","-","Active","BNC Female","Banana Plug, Double, Stackable","-","Black"
https://www.pomonaelectronics.com/file/17279/download?token=uAWOozeB,//media.digikey.com/Photos/Pomona%20Photos/3430-0.JPG,501-1382-ND,3430-0,Pomona Electronics,ADAPT BNC PLUG TO BIND POST BLK,1076,0,"10.29000","0","1","-","Active","BNC Male","Binding Post","-","Black"
https://www.pomonaelectronics.com/file/17079/download?token=WyRaIDrx,//media.digikey.com/Photos/Pomona%20Photos/1894.JPG,501-1323-ND,1894,Pomona Electronics,ADAPT BNC JACK TO BAN PLUG BLK,326,0,"11.29000","0","1","-","Active","BNC Female","Banana Plug","-","Black"
https://www.pomonaelectronics.com/file/17205/download?token=dbv_OYA7,//media.digikey.com/Photos/Pomona%20Photos/3073.jpg,501-1117-ND,3073,Pomona Electronics,ADAPT BNC JACK TO BAN PLG STACK,708,0,"12.99000","0","1","-","Active","BNC Female","Banana Plug, Stackable (2)","-","Black, Red"
https://www.pomonaelectronics.com/file/16996/download?token=iUJ37bHL,//media.digikey.com/Photos/Pomona%20Photos/1270.jpg,501-1127-ND,1270,Pomona Electronics,ADAPT BNC PLUG TO DUAL BAN PLUG,287,0,"15.49000","0","1","-","Active","BNC Male","Banana Plug, Double, Stackable","-","Black"
https://www.pomonaelectronics.com/file/17002/download?token=EyXsK5eA,//media.digikey.com/Photos/Pomona%20Photos/1297.JPG,501-1128-ND,1297,Pomona Electronics,ADAPT BNC JACK TO 1/4"" PLUG,222,0,"15.99000","0","1","-","Active","BNC Jack, Female Socket","Phone Plug, Mono, 6.35mm (0.250"", 1/4"")","-","-"
https://www.pomonaelectronics.com/file/17034/download?token=KuJTVk-U,//media.digikey.com/Photos/Pomona%20Photos/1452.jpg,501-1122-ND,1452,Pomona Electronics,ADAPT BNC JACK TO DBL BIND POST,448,0,"16.49000","0","1","-","Active","BNC Female","Binding Post, Double","-","-"
http://www.amphenolltw.com/2012download/2D PDF/08_RJ Connectors/RJS-12D04FF-RS8001.pdf,//media.digikey.com/Photos/Amphenol%20Photos/MFG_RJS-12D04FF-RS8001.jpg,1754-1181-ND,RJS-12D04FF-RS8001,Amphenol LTW,ADAPT CIRC 4POS TO RJ45 JACK BLK,173,0,"16.55000","0","1","-","Active","Circular, Female Sockets, 4 Pos, M12","Modular, Female Jack, 8p8c (RJ45)","Dust Tight, Shielded, Waterproof","Black"
http://www.amphenolltw.com/2012download/2D PDF/08_RJ Connectors/RJS-12D04FF-LS8001.pdf,//media.digikey.com/Photos/Amphenol%20Photos/RJS-12D04FF-LS8001.JPG,1754-1180-ND,RJS-12D04FF-LS8001,Amphenol LTW,ADAPT CIRC 4POS TO RJ45 JACK BLK,157,0,"17.35000","0","1","-","Active","Circular, Female Sockets, 4 Pos, M12","Modular, Female Jack, 8p8c (RJ45)","Dust Tight, Shielded, Waterproof","Black"
https://www.pomonaelectronics.com/sites/default/files/Pomona_Electronics_Catalog_2016.pdf#page=18,//media.digikey.com/Photos/Pomona%20Photos/1296.jpg,501-1033-ND,1296,Pomona Electronics,ADAPT BNC PLUG TO DBL BIND POST,1117,0,"18.49000","0","1","-","Active","BNC Male","Binding Post, Double","-","Black"
https://www.pomonaelectronics.com/sites/default/files/Pomona_Electronics_Catalog_2016.pdf#page=18,//media.digikey.com/Photos/Pomona%20Photos/72937.JPG,501-1242-ND,72937,Pomona Electronics,ADAPT BNC PLUG TO BAN JACK DBL,100,0,"19.49000","0","1","-","Active","BNC Male","Banana Jack, Double","-","-"
https://b2b.harting.com/files/download/PRD/PDF_TS/21033814401_100513256DRW008C.pdf,//media.digikey.com/Photos/Harting/21033814401.jpg,1195-5841-ND,21033814401,HARTING,ADAPTER M12 RJ45 CAT 5A ANGLED,329,0,"42.11000","0","1","*","Active","-","-","-","-"
https://b2b.harting.com/files/download/PRD/PDF_TS/21033814800_100230266DRW008E.pdf,//media.digikey.com/Photos/Harting/MFG_21033814800.jpg,1195-5867-ND,21033814800,HARTING,ADAPTER M12 RJ45 CAT 6A ANGLED,185,0,"66.64000","0","1","*","Active","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Emerson%20PDFs/25-7510-RevB.pdf,//media.digikey.com/photos/Emerson%20Network%20Photos/CP-AD-515.jpg,367-1013-ND,CP-AD-515,Cinch Connectivity Solutions AIM-Cambridge,ADAPT BNC PLUG TO RCA JACK,1756,0,"1.54000","0","1","-","Active","BNC Plug, Male Pin","Phono (RCA) Jack","-","-"
https://muellerelectric.com/wp-content/uploads/DS-BU-30211-0.pdf,//media.digikey.com/Photos/Mueller%20Photos/MFG_BU-30211-0.jpg,314-1379-ND,BU-30211A-0,Mueller Electric Co,ADAPT SPADE LUG TO BAN JACK BLK,377,0,"1.85000","0","1","BU","Active","Spade Lug","Banana Jack","-","Black"
https://muellerelectric.com/wp-content/uploads/DS-BU-30211-0.pdf,//media.digikey.com/Photos/Mueller%20Photos/MFG_BU-30211-2.jpg,314-1380-ND,BU-30211A-2,Mueller Electric Co,ADAPT SPADE LUG TO BAN JACK RED,291,2924,"1.85000","0","1","BU","Active","Spade Lug","Banana Jack","-","Red"
http://www.assmann-wsw.com/fileadmin/datasheets/ASS_7781_CA.pdf,//media.digikey.com/photos/Assmann%20Photos/AT-23064-R.jpg,AE10307-ND,AT-23064,Assmann WSW Components,ADAPT DB9M TO 6P6C JACK BEIGE,2210,0,"2.32000","0","1","AT","Active","D-Sub, 9 Pin Male","Modular, Female Jack, 6p6c (RJ11, RJ12, RJ14, RJ25)","-","Beige"
http://www.assmann-wsw.com/fileadmin/datasheets/ASS_7883_CA.pdf,//media.digikey.com/photos/Assmann%20Photos/AT-23066-R.jpg,AE10309-ND,AT-23066,Assmann WSW Components,ADAPT DB9M TO RJ45 JACK BEIGE,1331,0,"2.38000","0","1","AT","Active","D-Sub, 9 Pin Male","Modular, Female Jack, 8p8c (RJ45)","-","Beige"
https://belfuse.com/resources/AIMCambridge/dr-CPAD517.pdf,//media.digikey.com/photos/Emerson%20Network%20Photos/CP-AD-517.jpg,J10099-ND,CPAD517,Cinch Connectivity Solutions AIM-Cambridge,ADAPT BNC PLUG TO RCA JACK,792,0,"2.88000","0","1","-","Active","BNC Plug, Male Pin","Phono (RCA) Jack","-","-"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/PRT-10288_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_PRT-10288.jpg,1568-1510-ND,PRT-10288,SparkFun Electronics,ADAPT TERM BL 2POS TO 2.1MM JCK,115,0,"2.95000","0","1","-","Active","Terminal Blocks, Screw Connection, 2 Pos, 1 Row","2.1mm DC Jack","-","Black, Green"
https://www.pomonaelectronics.com/file/18458/download?token=Le8iAUbe,//media.digikey.com/photos/Pomona%20Photos/MFG_5531_01a_c.jpg,501-2454-ND,5531,Pomona Electronics,ADAPT RING TERM TO BANANA JACK,403,0,"2.99000","0","1","-","Active","Ring Terminal","Banana Jack","-","-"
https://belfuse.com/resources/AIMCambridge/dr-40-9538F.pdf,//media.digikey.com/Photos/Emerson%20Network%20Photos/40-9538F.jpg,367-1112-ND,40-9538F,Cinch Connectivity Solutions AIM-Cambridge,CONN ADAPTER RJ-45 TO DB9 FMALE,789,0,"3.10000","0","1","*","Active","-","-","-","-"
https://www.pomonaelectronics.com/file/17341/download?token=7qCwwJQ4,//media.digikey.com/Photos/Pomona%20Photos/3777A-2.JPG,501-1352-ND,3777A-2,Pomona Electronics,ADAPT SPADE LUG TO BAN JACK RED,411,0,"3.44000","0","1","-","Active","Spade Lug","Banana Jack","-","Red"
https://www.pomonaelectronics.com/file/17341/download?token=7qCwwJQ4,//media.digikey.com/Photos/Pomona%20Photos/3777A-0.JPG,501-1415-ND,3777A-0,Pomona Electronics,ADAPT SPADE LUG TO BAN JACK BLK,197,0,"3.44000","0","1","-","Active","Spade Lug","Banana Jack","-","Black"
http://www.assmann-wsw.com/fileadmin/datasheets/AT-23054-R_REV00.pdf,//media.digikey.com/photos/Assmann%20Photos/AT-23054-R.jpg,AE10305-ND,AT-23054,Assmann WSW Components,ADAPT DB25M TO RJ45 JACK BEIGE,1712,0,"3.79000","0","1","AT","Active","D-Sub, 25 Pin Male","Modular, Female Jack, 8p8c (RJ45)","-","Beige"
https://www.norcomp.net/rohspdfs/BackShells/RJADK/RJADK15P70808Y1.pdf,//media.digikey.com/photos/Norcomp%20Photos/RJADK15P7080831.JPG,RJADK15P7080831-ND,RJADK15P7080831,NorComp Inc.,ADAPT DB15M TO RJ45 JACK GRAY,2736,0,"4.18000","0","1","RJADK","Active","D-Sub, 15 Pin Male","Modular, Female Jack, 8p8c (RJ45)","-","Gray"
https://www.norcomp.net/rohspdfs/BackShells/RJADK/RJADK09P70808Y1.pdf,//media.digikey.com/photos/Norcomp%20Photos/rjadk09p7080811.JPG,RJADK09P7080811-ND,RJADK09P7080811,NorComp Inc.,ADAPT DB9M TO RJ45 JACK BLACK,2601,0,"4.18000","0","1","RJADK","Active","D-Sub, 9 Pin Male","Modular, Female Jack, 8p8c (RJ45)","-","Black"
https://www.norcomp.net/rohspdfs/BackShells/RJADK/RJADK09S70808Y1.pdf,//media.digikey.com/photos/Norcomp%20Photos/RJADK09S7080831.JPG,RJADK09S7080831-ND,RJADK09S7080831,NorComp Inc.,ADAPT DB9F TO RJ45 JACK GRAY,1444,0,"4.18000","0","1","RJADK","Active","D-Sub, 9 Pin Female","Modular, Female Jack, 8p8c (RJ45)","-","Gray"
https://www.norcomp.net/rohspdfs/BackShells/RJADK/RJADK25S70808Y1.pdf,//media.digikey.com/photos/Norcomp%20Photos/rjadk25s7080831.JPG,RJADK25S7080831-ND,RJADK25S7080831,NorComp Inc.,ADAPT DB25F TO RJ45 JACK GRAY,326,0,"4.18000","0","1","RJADK","Active","D-Sub, 25 Pin Female","Modular, Female Jack, 8p8c (RJ45)","-","Gray"
https://www.pomonaelectronics.com/file/17295/download?token=YV4OHqA-,//media.digikey.com/photos/Pomona%20Photos/3563-2.jpg,501-1414-ND,3563-2,Pomona Electronics,ADAPT PIN 0.063"" TO BAN JCK RED,267,0,"5.19000","0","1","-","Active","Pin, 0.063"" Dia","Banana Jack","-","Red"
https://www.pomonaelectronics.com/file/17295/download?token=YV4OHqA-,//media.digikey.com/Photos/Pomona%20Photos/3561-2.jpg,501-1413-ND,3561-2,Pomona Electronics,ADAPT PIN 0.040"" TO BAN JACK RED,261,0,"5.19000","0","1","-","Active","Pin, 0.040"" Dia","Banana Jack","-","Red"
https://www.pomonaelectronics.com/file/17295/download?token=YV4OHqA-,//media.digikey.com/photos/Pomona%20Photos/MFG_3563-0.jpg,501-1632-ND,3563-0,Pomona Electronics,ADAPT PIN 0.063"" TO BAN JCK BLK,251,0,"5.19000","0","1","-","Active","Pin, 0.063"" Dia","Banana Jack","-","Black"
https://www.pomonaelectronics.com/file/17295/download?token=YV4OHqA-,//media.digikey.com/Photos/Pomona%20Photos/3561-0.JPG,501-1396-ND,3561-0,Pomona Electronics,ADAPT PIN 0.040"" TO BAN JACK BLK,231,0,"5.19000","0","1","-","Active","Pin, 0.040"" Dia","Banana Jack","-","Black"
https://www.pomonaelectronics.com/file/17293/download?token=wxiZAM1w,//media.digikey.com/Photos/Pomona%20Photos/MFG_4690-2.jpg,501-1467-ND,3560-2,Pomona Electronics,ADAPT SCKT 0.040"" TO BAN JCK RED,190,0,"5.19000","0","1","-","Active","Socket, 0.040"" Dia","Banana Jack","-","Red"
https://www.pomonaelectronics.com/file/17293/download?token=wxiZAM1w,//media.digikey.com/photos/Pomona%20Photos/MFG_3562-2.jpg,501-1522-ND,3562-2,Pomona Electronics,ADAPT SCKT 0.063"" TO BAN JCK RED,182,0,"5.19000","0","1","-","Active","Socket, 0.063"" Dia","Banana Jack","-","Red"
https://www.pomonaelectronics.com/file/17293/download?token=wxiZAM1w,//media.digikey.com/Photos/Pomona%20Photos/MFG_3562-0.jpg,501-1803-ND,3562-0,Pomona Electronics,ADAPT SCK 0.063"" TO BAN JACK BLK,180,0,"5.19000","0","1","-","Active","Socket, 0.063"" Dia","Banana Jack","-","Black"
https://www.pomonaelectronics.com/file/17293/download?token=wxiZAM1w,//media.digikey.com/photos/Pomona%20Photos/MFG_3560-0.jpg,501-1466-ND,3560-0,Pomona Electronics,ADAPT SCK 0.040"" TO BAN JACK BLK,129,0,"5.19000","0","1","-","Active","Socket, 0.040"" Dia","Banana Jack","-","Black"
https://www.pomonaelectronics.com/file/17295/download?token=YV4OHqA-,//media.digikey.com/Photos/Pomona%20Photos/4691-2.jpg,501-1372-ND,4691-2,Pomona Electronics,ADAPT PIN 0.030"" TO BAN JACK RED,520,0,"5.49000","0","1","-","Active","Pin, 0.030"" Dia","Banana Jack","-","Red"
https://www.pomonaelectronics.com/file/17295/download?token=YV4OHqA-,//media.digikey.com/Photos/Pomona%20Photos/4691-0.JPG,501-1384-ND,4691-0,Pomona Electronics,ADAPT PIN 0.030"" TO BAN JACK BLK,458,0,"5.49000","0","1","-","Active","Pin, 0.030"" Dia","Banana Jack","-","Black"
https://www.pomonaelectronics.com/file/17293/download?token=wxiZAM1w,//media.digikey.com/Photos/Pomona%20Photos/4690-2.jpg,501-1401-ND,4690-2,Pomona Electronics,ADAPT SCKT 0.030"" TO BAN JCK RED,194,0,"5.49000","0","1","-","Active","Socket, 0.030"" Dia","Banana Jack","-","Red"
https://www.pomonaelectronics.com/file/17293/download?token=wxiZAM1w,//media.digikey.com/Photos/Pomona%20Photos/MFG_4690-0.jpg,501-1420-ND,4690-0,Pomona Electronics,ADAPT SCK 0.030"" TO BAN JACK BLK,193,0,"5.49000","0","1","-","Active","Socket, 0.030"" Dia","Banana Jack","-","Black"
https://www.pomonaelectronics.com/file/17831/download?token=kMjvYdES,//media.digikey.com/photos/Pomona%20Photos/5700-2.JPG,501-2340-ND,5700-2,Pomona Electronics,ADAPT 8/32 SCRW TO BAN JACK RED,267,0,"5.69000","0","1","-","Active","8/32"" Threaded Screw","Banana Jack","-","Red"
https://www.pomonaelectronics.com/file/17831/download?token=kMjvYdES,//media.digikey.com/Photos/Pomona%20Photos/5701-0.JPG,501-1656-ND,5701-0,Pomona Electronics,ADAPT 10/32 SCRW TO BAN JACK BLK,190,0,"5.69000","0","1","-","Active","10/32"" Threaded Screw","Banana Jack","-","Black"
https://www.pomonaelectronics.com/file/17831/download?token=kMjvYdES,//media.digikey.com/photos/Pomona%20Photos/5700-0.JPG,501-2339-ND,5700-0,Pomona Electronics,ADAPT 8/32 SCRW TO BAN JACK BLK,107,0,"5.69000","0","1","-","Active","8/32"" Threaded Screw","Banana Jack","-","Black"
https://www.pomonaelectronics.com/file/17044/download?token=Ha8lVPds,//media.digikey.com/photos/Pomona%20Photos/MFG_6203.jpg,501-1526-ND,6203,Pomona Electronics,ADAPT SPADE LUG TO BAN JCK BLK/R,576,0,"5.79000","0","1","-","Active","Spade Lug","Banana Jack","-","Black, Red"
https://www.pomonaelectronics.com/file/17293/download?token=wxiZAM1w,//media.digikey.com/Photos/Pomona%20Photos/MFG_3564-0.jpg,501-1860-ND,3564-0,Pomona Electronics,ADAPT SCK 0.093"" TO BAN JACK BLK,198,0,"8.79000","0","1","-","Active","Socket, 0.093"" Dia","Banana Jack","-","Black"
https://www.pomonaelectronics.com/file/17293/download?token=wxiZAM1w,//media.digikey.com/Photos/Pomona%20Photos/MFG_3564-2.jpg,501-1861-ND,3564-2,Pomona Electronics,ADAPT SCKT 0.093"" TO BAN JCK RED,191,0,"8.79000","0","1","-","Active","Socket, 0.093"" Dia","Banana Jack","-","Red"
https://www.pomonaelectronics.com/file/17768/download?token=5G6TQwp0,//media.digikey.com/Photos/Pomona%20Photos/5319.jpg,501-1099-ND,5319,Pomona Electronics,ADAPT BNC JACK TO RCA PLUG,125,0,"9.99000","0","1","-","Active","BNC Jack, Female Socket","Phono (RCA) Plug","-","-"
https://www.pomonaelectronics.com/file/17279/download?token=uAWOozeB,//media.digikey.com/photos/Pomona%20Photos/3430-2.JPG,501-1371-ND,3430-2,Pomona Electronics,ADAPT BNC PLUG TO BIND POST RED,260,0,"10.29000","0","1","-","Active","BNC Male","Binding Post","-","Red"
http://www.amphenolltw.com/2012download/2D PDF/08_RJ Connectors/RJS-12D04FM-LS8001.pdf,//media.digikey.com/Photos/Amphenol%20Photos/RJS-12D04FM-LS8001.JPG,1754-1178-ND,RJS-12D04FM-LS8001,Amphenol LTW,ADAPT CIRC 4POS TO RJ45 JACK BLK,113,0,"19.14000","0","1","-","Active","Circular, Male Pins, 4 Pos, M12","Modular, Female Jack, 8p8c (RJ45)","Dust Tight, Shielded, Waterproof","Black"
https://www.pomonaelectronics.com/file/17032/download?token=EkCRh7jp,//media.digikey.com/Photos/Pomona%20Photos/1442.JPG,501-1129-ND,1442,Pomona Electronics,ADAPT RCA JACK TO BAN PLUG DBL,138,0,"20.49000","0","1","-","Active","Phono (RCA) Jack","Banana Plug, Double","-","Black"
