Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Wire/Cable Tie Type","Length - Approximate","Bundle Diameter","Width","Length - Actual","Mounting Type","Tensile Strength","Features","Material","Color"
http://wpc.ac62.edgecastcdn.net/00AC62/drawings/CT2018002CST.pdf,//media.digikey.com/Photos/HellermannTyton%20Photos/T18R9M4.jpg,1436-1517-ND,T18R9M4,HellermannTyton,CABLE TIE 4""L 18LB NATURAL,134000,0,"0.01582","0","1000","1000 per Pkg","-","Active","Standard, Locking","4.00""","0.86"" (22.00mm)","0.096"" (2.45mm)","0.328' (100.00mm, 3.93"")","Free Hanging (In-Line)","18 lbs (8.16 kg)","-","Polyamide (PA66), Nylon 6/6","Natural"
http://wpc.ac62.edgecastcdn.net/00AC62/drawings/CT2018002CST.pdf,//media.digikey.com/Photos/HellermannTyton%20Photos/T18R0M4.JPG,1436-1518-ND,T18R0M4,HellermannTyton,CABLE TIE 4""L 18LB BLACK,24000,0,"0.01582","0","1000","1000 per Pkg","-","Active","Standard, Locking","4.00""","0.86"" (22.00mm)","0.096"" (2.45mm)","0.328' (100.00mm, 3.93"")","Free Hanging (In-Line)","18 lbs (8.16 kg)","-","Polyamide (PA66), Nylon 6/6","Black"
https://gp1.wpc.edgecastcdn.net/00AC62/drawings/CT2018004CST.pdf,//media.digikey.com/Photos/HellermannTyton%20Photos/T18L0M4.jpg,1436-1524-ND,T18L0M4,HellermannTyton,CABLE TIE 8""L 18LB BLACK,142000,0,"0.03352","0","1000","1000 per Pkg","-","Active","Standard, Locking","8.00""","2.17"" (55.00mm)","0.098"" (2.50mm)","0.673' (205.00mm, 8.07"")","Free Hanging (In-Line)","18 lbs (8.16 kg)","-","Polyamide (PA66), Nylon 6/6","Black"
http://www.panduit.com/heiler/PartDrawings/C-CTPLT-6SM-SS-5540-1--ENG.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/MFG_PLT.6SM-M.JPG,298-1017-ND,PLT.6SM-M,Panduit Corp,TIE CABLE PAN-TY 8LB 2.8"",441000,0,"0.04179","0","1000","1000 per Pkg","PAN-TY® PLT","Active","Standard, Locking","2.75""","0.60"" (15.24mm)","0.070"" (1.80mm)","0.233' (71.12mm, 2.80"")","Free Hanging (In-Line)","8 lbs (3.62 kg)","-","Polyamide (PA66), Nylon 6/6","Natural"
http://www.panduit.com/heiler/PartDrawings/C-CTPLT-6SM-SS-5540-1--ENG.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/PLT%20SERIES%20NATURAL.jpg,298-1021-ND,PLT1M-M,Panduit Corp,CABLE TIE MINI 18LB 3.9"",678000,0,"0.04636","0","1000","1000 per Pkg","PAN-TY® PLT","Active","Standard, Locking","4.00""","0.87"" (22.10mm)","0.098"" (2.50mm)","0.325' (99.06mm, 3.90"")","Free Hanging (In-Line)","18 lbs (8.16 kg)","-","Polyamide (PA66), Nylon 6/6","Natural"
http://www.panduit.com/heiler/PartDrawings/C-CTPLT-6SM-SS-5540-1--ENG.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/PLT%20SERIES%20BLACK.jpg,298-1039-ND,PLT.7M-M0,Panduit Corp,TIE CABLE PAN-TY 18LB 3.1"",192000,0,"0.05352","0","1000","1000 per Pkg","PAN-TY® PLT","Active","Standard, Locking","3.00""","0.68"" (17.27mm)","0.090"" (2.29mm)","0.258' (78.74mm, 3.10"")","Free Hanging (In-Line)","18 lbs (8.16 kg)","Weather Resistant","Polyamide (PA66), Nylon 6/6","Black"
http://www.panduit.com/heiler/PartDrawings/C-CTPLT-6SM-SS-5540-1--ENG.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/PLT%20SERIES%20BLACK.jpg,298-1038-ND,PLT.6SM-M0,Panduit Corp,TIE CABLE PAN-TY 8LB 2.8"",152000,0,"0.05622","0","1000","1000 per Pkg","PAN-TY® PLT","Active","Standard, Locking","2.75""","0.60"" (15.24mm)","0.070"" (1.80mm)","0.233' (71.12mm, 2.80"")","Free Hanging (In-Line)","8 lbs (3.62 kg)","Weather Resistant","Polyamide (PA66), Nylon 6/6","Black"
http://www.panduit.com/heiler/PartDrawings/C-CTPLT3I-SS-5540-2--ENG.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/PLT%20SERIES%20BLACK.jpg,298-1051-ND,PLT2S-M0,Panduit Corp,CABLE TIE STD 50LB 7.4"",146000,0,"0.06799","0","1000","1000 per Pkg","PAN-TY® PLT","Active","Standard, Locking","7.50""","1.88"" (47.75mm)","0.190"" (4.83mm)","0.617' (187.96mm, 7.40"")","Free Hanging (In-Line)","50 lbs (22.68 kg)","Weather Resistant","Polyamide (PA66), Nylon 6/6","Black"
http://www.panduit.com/heiler/PartDrawings/C-CTPLT-6SM-SS-5540-1--ENG.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/PLT%20SERIES%20NATURAL.jpg,298-1029-ND,PLT2M-M,Panduit Corp,CABLE TIE MINI 18LB 8.0"",350000,0,"0.06952","0","1000","1000 per Pkg","PAN-TY® PLT","Active","Standard, Locking","8.00""","2.00"" (50.80mm)","0.098"" (2.50mm)","0.667' (203.20mm, 8.00"")","Free Hanging (In-Line)","18 lbs (8.16 kg)","-","Polyamide (PA66), Nylon 6/6","Natural"
http://www.panduit.com/heiler/PartDrawings/C-CTPLT-6SM-SS-5540-1--ENG.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/PLT%20SERIES%20NATURAL.jpg,298-1025-ND,PLT1.5M-M,Panduit Corp,CABLE TIE MINI 18LB 5.6"",138000,0,"0.07182","0","1000","1000 per Pkg","PAN-TY® PLT","Active","Standard, Locking","5.50""","1.25"" (31.75mm)","0.098"" (2.50mm)","0.467' (142.24mm, 5.60"")","Free Hanging (In-Line)","18 lbs (8.16 kg)","-","Polyamide (PA66), Nylon 6/6","Natural"
http://multimedia.3m.com/mws/media/105553O/3mtm-cable-ties.pdf,//media.digikey.com/Photos/3M%20Photos/CTxBK18.jpg,3M115BKM-ND,CT4BK18-M,3M,4"" BLACK 18LB CABLE TIE,90000,0,"0.07254","0","1000","1000 per Pkg","-","Active","Standard, Locking","4.00""","0.75"" (19.05mm)","0.118"" (3.00mm)","0.342' (104.24mm, 4.10"")","Free Hanging (In-Line)","18 lbs (8.16 kg)","UV Resistant","Polyamide (PA66), Nylon 6/6","Black"
http://www.panduit.com/heiler/PartDrawings/C-CTPLT-6SM-SS-5540-1--ENG.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/PLT%20SERIES%20BLACK.jpg,298-1041-ND,PLT1M-M0,Panduit Corp,CABLE TIE MINI 18LB 3.9"",145000,0,"0.07256","0","1000","1000 per Pkg","PAN-TY® PLT","Active","Standard, Locking","4.00""","0.87"" (22.10mm)","0.098"" (2.50mm)","0.325' (99.06mm, 3.90"")","Free Hanging (In-Line)","18 lbs (8.16 kg)","Weather Resistant","Polyamide (PA66), Nylon 6/6","Black"
http://www.panduit.com/heiler/PartDrawings/C-CTBT1M-BT1M-BT-0037-1--ENG.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/MFG_BTSeries_Blk.jpg,298-10369-ND,BT1M-M0,Panduit Corp,CABLE TIE 18LB WR BLK 4"",92000,0,"0.07256","0","1000","1000 per Pkg","DOME-TOP® BARB-TY® BT","Active","Standard, Locking","4.00""","0.90"" (22.86mm)","0.095"" (2.40mm)","0.333' (101.60mm, 4.00"")","Free Hanging (In-Line)","18 lbs (8.16 kg)","Weather Resistant","Polyamide (PA66), Nylon 6/6","Black"
http://www.panduit.com/heiler/PartDrawings/C-CTCBR1M--ENG.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/CBR%20Series%20Black.jpg,298-9909-ND,CBR1M-M0,Panduit Corp,CABLE TIE MINI BLK 4.1"",95000,0,"0.07559","0","1000","1000 per Pkg","Contour-Ty® CBR","Active","Cable Tie, Parallel","4.00""","1.00"" (25.40mm)","0.098"" (2.50mm)","0.342' (104.24mm, 4.10"")","Free Hanging (In-Line)","18 lbs (8.16 kg)","Weather Resistant","Polyamide (PA66), Nylon 6/6","Black"
