Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Function","Frequency","RF Type","Secondary Attributes","Package / Case","Supplier Device Package"
http://www.psemi.com/pdf/datasheets/pe64906ds.pdf,//media.digikey.com/Renders/Peregrine%20Semiconductor%20Renders/10-UFQFN%20Exposed%20Pad.jpg,1046-1079-2-ND,PE64906B-Z,pSemi,IC RF DTC 100-3000MHZ 10QFN,54000,0,"0.62000","0","3000","Tape & Reel (TR)","UltraCMOS®, DuNE™","Active","Digitally Tunable Capacitor","100MHz ~ 3GHz","General Purpose","SPI Interface","10-UFQFN Exposed Pad","10-QFN (2x2)"
http://www.psemi.com/pdf/datasheets/pe64906ds.pdf,//media.digikey.com/Renders/Peregrine%20Semiconductor%20Renders/10-UFQFN%20Exposed%20Pad.jpg,1046-1079-1-ND,PE64906B-Z,pSemi,IC RF DTC 100-3000MHZ 10QFN,56790,0,"0.75000","0","1","Cut Tape (CT)","UltraCMOS®, DuNE™","Active","Digitally Tunable Capacitor","100MHz ~ 3GHz","General Purpose","SPI Interface","10-UFQFN Exposed Pad","10-QFN (2x2)"
http://www.psemi.com/pdf/datasheets/pe64906ds.pdf,//media.digikey.com/Renders/Peregrine%20Semiconductor%20Renders/10-UFQFN%20Exposed%20Pad.jpg,1046-1079-6-ND,PE64906B-Z,pSemi,IC RF DTC 100-3000MHZ 10QFN,56790,0,"Digi-Reel","0","1","Digi-Reel®","UltraCMOS®, DuNE™","Active","Digitally Tunable Capacitor","100MHz ~ 3GHz","General Purpose","SPI Interface","10-UFQFN Exposed Pad","10-QFN (2x2)"
http://www.psemi.com/pdf/datasheets/pe64102ds.pdf,//media.digikey.com/Renders/Peregrine%20Semiconductor%20Renders/12-UFQFN.jpg,1046-1066-2-ND,PE64102B-Z,pSemi,RF DTC 100MHZ-3GHZ 12QFN,6000,0,"0.63000","0","3000","Tape & Reel (TR)","UltraCMOS®, DuNE™","Active","Digitally Tunable Capacitor","100MHz ~ 3GHz","General Purpose","SPI Interface","12-UFQFN Exposed Pad","12-QFN (2x2)"
http://www.psemi.com/pdf/datasheets/pe64102ds.pdf,//media.digikey.com/Renders/Peregrine%20Semiconductor%20Renders/12-UFQFN.jpg,1046-1066-1-ND,PE64102B-Z,pSemi,RF DTC 100MHZ-3GHZ 12QFN,8578,0,"0.72000","0","1","Cut Tape (CT)","UltraCMOS®, DuNE™","Active","Digitally Tunable Capacitor","100MHz ~ 3GHz","General Purpose","SPI Interface","12-UFQFN Exposed Pad","12-QFN (2x2)"
http://www.psemi.com/pdf/datasheets/pe64102ds.pdf,//media.digikey.com/Renders/Peregrine%20Semiconductor%20Renders/12-UFQFN.jpg,1046-1066-6-ND,PE64102B-Z,pSemi,RF DTC 100MHZ-3GHZ 12QFN,8578,0,"Digi-Reel","0","1","Digi-Reel®","UltraCMOS®, DuNE™","Active","Digitally Tunable Capacitor","100MHz ~ 3GHz","General Purpose","SPI Interface","12-UFQFN Exposed Pad","12-QFN (2x2)"
http://www.psemi.com/pdf/datasheets/pe64909ds.pdf,//media.digikey.com/Renders/Peregrine%20Semiconductor%20Renders/10-UFQFN%20Exposed%20Pad.jpg,1046-1082-2-ND,PE64909B-Z,pSemi,IC RF DTC 100-3000MHZ 10QFN,9000,0,"0.68000","0","3000","Tape & Reel (TR)","UltraCMOS®, DuNE™","Active","Digitally Tunable Capacitor","100MHz ~ 3GHz","General Purpose","SPI Interface","10-UFQFN Exposed Pad","10-QFN (2x2)"
http://www.psemi.com/pdf/datasheets/pe64909ds.pdf,//media.digikey.com/Renders/Peregrine%20Semiconductor%20Renders/10-UFQFN%20Exposed%20Pad.jpg,1046-1082-1-ND,PE64909B-Z,pSemi,IC RF DTC 100-3000MHZ 10QFN,11167,0,"0.82000","0","1","Cut Tape (CT)","UltraCMOS®, DuNE™","Active","Digitally Tunable Capacitor","100MHz ~ 3GHz","General Purpose","SPI Interface","10-UFQFN Exposed Pad","10-QFN (2x2)"
http://www.psemi.com/pdf/datasheets/pe64909ds.pdf,//media.digikey.com/Renders/Peregrine%20Semiconductor%20Renders/10-UFQFN%20Exposed%20Pad.jpg,1046-1082-6-ND,PE64909B-Z,pSemi,IC RF DTC 100-3000MHZ 10QFN,11167,0,"Digi-Reel","0","1","Digi-Reel®","UltraCMOS®, DuNE™","Active","Digitally Tunable Capacitor","100MHz ~ 3GHz","General Purpose","SPI Interface","10-UFQFN Exposed Pad","10-QFN (2x2)"
https://cdn.anaren.com/product-documents/WirelessResistive/TerminationsSMD/C10A50Z4/C10A50Z4_DataSheet(Rev_B).pdf,"//media.digikey.com/Renders/Anaren%20Renders/2-SMD,No-Lead.JPG",1173-1180-2-ND,C10A50Z4,Anaren,FREQUENCY TERMINATION,6000,0,"1.08750","0","1000","Tape & Reel (TR)","-","Active","Termination","0Hz ~ 3GHz","Cellular, DCS, GSM, PCS, UMTS","-","2-SMD, No Lead","-"
https://cdn.anaren.com/product-documents/WirelessResistive/TerminationsSMD/C10A50Z4/C10A50Z4_DataSheet(Rev_B).pdf,"//media.digikey.com/Renders/Anaren%20Renders/2-SMD,No-Lead.JPG",1173-1180-1-ND,C10A50Z4,Anaren,FREQUENCY TERMINATION,6959,0,"2.83000","0","1","Cut Tape (CT)","-","Active","Termination","0Hz ~ 3GHz","Cellular, DCS, GSM, PCS, UMTS","-","2-SMD, No Lead","-"
https://cdn.anaren.com/product-documents/WirelessResistive/TerminationsSMD/C10A50Z4/C10A50Z4_DataSheet(Rev_B).pdf,"//media.digikey.com/Renders/Anaren%20Renders/2-SMD,No-Lead.JPG",1173-1180-6-ND,C10A50Z4,Anaren,FREQUENCY TERMINATION,6959,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","Termination","0Hz ~ 3GHz","Cellular, DCS, GSM, PCS, UMTS","-","2-SMD, No Lead","-"
https://cdn.anaren.com/product-documents/WirelessResistive/TerminationsSMD/C8A50Z4B/C8A50Z4B_DataSheet(Rev_A).pdf,"//media.digikey.com/Photos/Anaren,%20Inc/C8A50Z4A.jpg",1173-1074-2-ND,C8A50Z4B,Anaren,TERMINATION FLANGLESS 50 OHM SMD,3000,0,"1.20350","0","1000","Tape & Reel (TR)","-","Active","Termination","0Hz ~ 6GHz","GSM, DCS, PCS","-","2-SMD, No Lead","SMD"
https://cdn.anaren.com/product-documents/WirelessResistive/TerminationsSMD/C8A50Z4B/C8A50Z4B_DataSheet(Rev_A).pdf,"//media.digikey.com/Photos/Anaren,%20Inc/C8A50Z4A.jpg",1173-1074-1-ND,C8A50Z4B,Anaren,TERMINATION FLANGLESS 50 OHM SMD,3880,0,"2.70000","0","1","Cut Tape (CT)","-","Active","Termination","0Hz ~ 6GHz","GSM, DCS, PCS","-","2-SMD, No Lead","SMD"
https://cdn.anaren.com/product-documents/WirelessResistive/TerminationsSMD/C8A50Z4B/C8A50Z4B_DataSheet(Rev_A).pdf,"//media.digikey.com/Photos/Anaren,%20Inc/C8A50Z4A.jpg",1173-1074-6-ND,C8A50Z4B,Anaren,TERMINATION FLANGLESS 50 OHM SMD,3880,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","Termination","0Hz ~ 6GHz","GSM, DCS, PCS","-","2-SMD, No Lead","SMD"
https://cdn.anaren.com/product-documents/WirelessResistive/TerminationsSMD/C16A50Z4/C16A50Z4_DataSheet(Rev_F).pdf,"//media.digikey.com/Photos/Anaren,%20Inc/C16A50Z4.JPG",1173-1077-2-ND,C16A50Z4,Anaren,TERMINATION 16W 4GHZ 50 OHM SMD,73000,0,"1.31950","0","1000","Tape & Reel (TR)","-","Active","Termination","0Hz ~ 4GHz","GSM, DCS, PCS","16W","2-SMD, No Lead","SMD"
https://cdn.anaren.com/product-documents/WirelessResistive/TerminationsSMD/C16A50Z4/C16A50Z4_DataSheet(Rev_F).pdf,"//media.digikey.com/Photos/Anaren,%20Inc/C16A50Z4.JPG",1173-1077-1-ND,C16A50Z4,Anaren,TERMINATION 16W 4GHZ 50 OHM SMD,73562,0,"2.96000","0","1","Cut Tape (CT)","-","Active","Termination","0Hz ~ 4GHz","GSM, DCS, PCS","16W","2-SMD, No Lead","SMD"
https://cdn.anaren.com/product-documents/WirelessResistive/TerminationsSMD/C16A50Z4/C16A50Z4_DataSheet(Rev_F).pdf,"//media.digikey.com/Photos/Anaren,%20Inc/C16A50Z4.JPG",1173-1077-6-ND,C16A50Z4,Anaren,TERMINATION 16W 4GHZ 50 OHM SMD,73562,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","Termination","0Hz ~ 4GHz","GSM, DCS, PCS","16W","2-SMD, No Lead","SMD"
http://www.psemi.com/pdf/datasheets/pe64904ds.pdf,//media.digikey.com/Renders/Peregrine%20Semiconductor%20Renders/10-QFN.jpg,1046-1054-2-ND,PE64904C-Z,pSemi,IC RF DTC 100MHZ-3GHZ 10QFN,9000,0,"1.88001","0","3000","Tape & Reel (TR)","UltraCMOS®, DuNE™","Active","Digitally Tunable Capacitor","100MHz ~ 3GHz","General Purpose","SPI Interface","10-XFQFN","10-QFN (2x2)"
http://www.psemi.com/pdf/datasheets/pe64904ds.pdf,//media.digikey.com/Renders/Peregrine%20Semiconductor%20Renders/10-QFN.jpg,1046-1054-1-ND,PE64904C-Z,pSemi,IC RF DTC 100MHZ-3GHZ 10QFN,11534,0,"2.27000","0","1","Cut Tape (CT)","UltraCMOS®, DuNE™","Active","Digitally Tunable Capacitor","100MHz ~ 3GHz","General Purpose","SPI Interface","10-XFQFN","10-QFN (2x2)"
http://www.psemi.com/pdf/datasheets/pe64904ds.pdf,//media.digikey.com/Renders/Peregrine%20Semiconductor%20Renders/10-QFN.jpg,1046-1054-6-ND,PE64904C-Z,pSemi,IC RF DTC 100MHZ-3GHZ 10QFN,11534,0,"Digi-Reel","0","1","Digi-Reel®","UltraCMOS®, DuNE™","Active","Digitally Tunable Capacitor","100MHz ~ 3GHz","General Purpose","SPI Interface","10-XFQFN","10-QFN (2x2)"
http://www.atceramics.com/UserFiles/resistive_prod_cz.pdf,-,1284-1973-2-ND,CZ12010T0050GTR,American Technical Ceramics,RES THIN FILM,1000,0,"2.14200","0","1000","Tape & Reel (TR)","-","Active","Termination","0Hz ~ 3GHz","-","-","2010 (5125 Metric)","-"
http://www.atceramics.com/UserFiles/resistive_prod_cz.pdf,-,1284-1973-1-ND,CZ12010T0050GTR,American Technical Ceramics,RES THIN FILM,1678,0,"4.73000","0","1","Cut Tape (CT)","-","Active","Termination","0Hz ~ 3GHz","-","-","2010 (5125 Metric)","-"
http://www.atceramics.com/UserFiles/resistive_prod_cz.pdf,-,1284-1973-6-ND,CZ12010T0050GTR,American Technical Ceramics,RES THIN FILM,1678,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","Termination","0Hz ~ 3GHz","-","-","2010 (5125 Metric)","-"
https://cdn.anaren.com/product-documents/WirelessResistive/TerminationsSMD/C150N50Z4/C150N50Z4_DataSheet(Rev_J).pdf,"//media.digikey.com/Photos/Anaren,%20Inc/C150N50Z4.jpg",1173-1076-2-ND,C150N50Z4,Anaren,TERMINATION 10W 3GHZ 50 OHM SMD,100000,0,"2.35200","0","1000","Tape & Reel (TR)","-","Active","Termination","0Hz ~ 3GHz","GSM, DCS, PCS","150W","2-SMD, No Lead","SMD"
https://cdn.anaren.com/product-documents/WirelessResistive/TerminationsSMD/C150N50Z4/C150N50Z4_DataSheet(Rev_J).pdf,"//media.digikey.com/Photos/Anaren,%20Inc/C150N50Z4.jpg",1173-1076-1-ND,C150N50Z4,Anaren,TERMINATION 10W 3GHZ 50 OHM SMD,100454,0,"4.94000","0","1","Cut Tape (CT)","-","Active","Termination","0Hz ~ 3GHz","GSM, DCS, PCS","150W","2-SMD, No Lead","SMD"
https://cdn.anaren.com/product-documents/WirelessResistive/TerminationsSMD/C150N50Z4/C150N50Z4_DataSheet(Rev_J).pdf,"//media.digikey.com/Photos/Anaren,%20Inc/C150N50Z4.jpg",1173-1076-6-ND,C150N50Z4,Anaren,TERMINATION 10W 3GHZ 50 OHM SMD,100454,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","Termination","0Hz ~ 3GHz","GSM, DCS, PCS","150W","2-SMD, No Lead","SMD"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Ftl852,//media.digikey.com/Renders/Texas%20Instr%20Renders/296;4040047-6;D;16.jpg,296-17139-2-ND,TL852CDR,Texas Instruments,IC SONAR RANGING RCVR 16-SOIC,2500,10000,"3.23057","0","2500","Tape & Reel (TR)","-","Active","Sonar Ranging Receiver","20kHz ~ 90kHz","Sonar Control","TTL-Compatible","16-SOIC (0.154"", 3.90mm Width)","16-SOIC"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Ftl852,//media.digikey.com/Renders/Texas%20Instr%20Renders/296;4040047-6;D;16.jpg,296-17139-1-ND,TL852CDR,Texas Instruments,IC SONAR RANGING RCVR 16-SOIC,2710,10001,"6.12000","0","1","Cut Tape (CT)","-","Active","Sonar Ranging Receiver","20kHz ~ 90kHz","Sonar Control","TTL-Compatible","16-SOIC (0.154"", 3.90mm Width)","16-SOIC"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Ftl852,//media.digikey.com/Renders/Texas%20Instr%20Renders/296;4040047-6;D;16.jpg,296-17139-6-ND,TL852CDR,Texas Instruments,IC SONAR RANGING RCVR 16-SOIC,2710,10001,"Digi-Reel","0","1","Digi-Reel®","-","Active","Sonar Ranging Receiver","20kHz ~ 90kHz","Sonar Control","TTL-Compatible","16-SOIC (0.154"", 3.90mm Width)","16-SOIC"
