Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Type","RF Family/Standard","Protocol","Modulation","Frequency","Data Rate (Max)","Power - Output","Sensitivity","Memory Size","Serial Interfaces","GPIO","Voltage - Supply","Current - Receiving","Current - Transmitting","Operating Temperature","Mounting Type","Package / Case","Supplier Device Package"
https://www.qualcomm.com/documents/csr1010-data-sheet,//media.digikey.com/Photos/CSR%20PLC%20Photos/CSR1010A05-IQQM-R.JPG,CSR1010A05-IQQM-RTR-ND,CSR1010A05-IQQM-R,Qualcomm,IC RF TXRX+MCU BLUETOOTH 32UFQFN,8000,0,"1.05070","0","2000","Tape & Reel (TR)","µEnergy®","Active","TxRx + MCU","Bluetooth","Bluetooth v4.0","-","2.4GHz","3.69Mbaud","9dBm","-93dBm","64kB RAM, 64kB ROM","I²C, SPI, UART","15","1.2V ~ 3.6V","20mA","18mA","-30°C ~ 85°C","-","32-UFQFN Exposed Pad","-"
https://www.qualcomm.com/documents/csr1010-data-sheet,//media.digikey.com/Photos/CSR%20PLC%20Photos/CSR1010A05-IQQM-R.JPG,CSR1010A05-IQQM-RCT-ND,CSR1010A05-IQQM-R,Qualcomm,IC RF TXRX+MCU BLUETOOTH 32UFQFN,9341,0,"2.57000","0","1","Cut Tape (CT)","µEnergy®","Active","TxRx + MCU","Bluetooth","Bluetooth v4.0","-","2.4GHz","3.69Mbaud","9dBm","-93dBm","64kB RAM, 64kB ROM","I²C, SPI, UART","15","1.2V ~ 3.6V","20mA","18mA","-30°C ~ 85°C","-","32-UFQFN Exposed Pad","-"
https://www.qualcomm.com/documents/csr1010-data-sheet,//media.digikey.com/Photos/CSR%20PLC%20Photos/CSR1010A05-IQQM-R.JPG,CSR1010A05-IQQM-RDKR-ND,CSR1010A05-IQQM-R,Qualcomm,IC RF TXRX+MCU BLUETOOTH 32UFQFN,9341,0,"Digi-Reel","0","1","Digi-Reel®","µEnergy®","Active","TxRx + MCU","Bluetooth","Bluetooth v4.0","-","2.4GHz","3.69Mbaud","9dBm","-93dBm","64kB RAM, 64kB ROM","I²C, SPI, UART","15","1.2V ~ 3.6V","20mA","18mA","-30°C ~ 85°C","-","32-UFQFN Exposed Pad","-"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fcc2500,//media.digikey.com/Renders/Texas%20Instr%20Renders/RGP-20-PQFP%20Pkg.jpg,296-38562-2-ND,CC2500RGPR,Texas Instruments,IC RF TXRX ISM>1GHZ 20VFQFN,36000,0,"1.17585","0","3000","Tape & Reel (TR)","-","Active","TxRx Only","General ISM > 1GHZ","-","2FSK, GFSK, MSK, OOK","2.4GHz","500kBaud","1dBm","-104dBm","-","SPI","-","1.8V ~ 3.6V","13.3mA ~ 19.6mA","11.1mA ~ 21.5mA","-40°C ~ 85°C","Surface Mount","20-VFQFN Exposed Pad","20-QFN (4x4)"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fcc2500,//media.digikey.com/Renders/Texas%20Instr%20Renders/RGP-20-PQFP%20Pkg.jpg,296-38562-1-ND,CC2500RGPR,Texas Instruments,IC RF TXRX ISM>1GHZ 20VFQFN,41086,0,"2.84000","0","1","Cut Tape (CT)","-","Active","TxRx Only","General ISM > 1GHZ","-","2FSK, GFSK, MSK, OOK","2.4GHz","500kBaud","1dBm","-104dBm","-","SPI","-","1.8V ~ 3.6V","13.3mA ~ 19.6mA","11.1mA ~ 21.5mA","-40°C ~ 85°C","Surface Mount","20-VFQFN Exposed Pad","20-QFN (4x4)"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fcc2500,//media.digikey.com/Renders/Texas%20Instr%20Renders/RGP-20-PQFP%20Pkg.jpg,296-38562-6-ND,CC2500RGPR,Texas Instruments,IC RF TXRX ISM>1GHZ 20VFQFN,41086,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","TxRx Only","General ISM > 1GHZ","-","2FSK, GFSK, MSK, OOK","2.4GHz","500kBaud","1dBm","-104dBm","-","SPI","-","1.8V ~ 3.6V","13.3mA ~ 19.6mA","11.1mA ~ 21.5mA","-40°C ~ 85°C","Surface Mount","20-VFQFN Exposed Pad","20-QFN (4x4)"
https://www.dialog-semiconductor.com/sites/default/files/da14580_fs_3v4.pdf,//media.digikey.com/Renders/Dialog%20Semi%20Renders/1564;%2034WLCSP-.51-2.44x2.44;%20;%2034.jpg,1564-1012-2-ND,DA14580-01UNA,Dialog Semiconductor GmbH,IC RF TXRX+MCU BLUETOOTH 34UFBGA,5000,0,"1.24644","0","5000","Tape & Reel (TR)","-","Active","TxRx + MCU","Bluetooth","Bluetooth v4.1","-","2.4GHz","-","-1dBm","-93dBm","32kB OTP, 84kB ROM, 50kB SRAM","I²C, SPI, UART","14","2.35V ~ 3.3V","3.7mA","3.4mA","-40°C ~ 85°C","Surface Mount","34-UFBGA, WLCSP","-"
https://www.dialog-semiconductor.com/sites/default/files/da14580_fs_3v4.pdf,//media.digikey.com/Renders/Dialog%20Semi%20Renders/1564;%2034WLCSP-.51-2.44x2.44;%20;%2034.jpg,1564-1012-1-ND,DA14580-01UNA,Dialog Semiconductor GmbH,IC RF TXRX+MCU BLUETOOTH 34UFBGA,5663,0,"2.82000","0","1","Cut Tape (CT)","-","Active","TxRx + MCU","Bluetooth","Bluetooth v4.1","-","2.4GHz","-","-1dBm","-93dBm","32kB OTP, 84kB ROM, 50kB SRAM","I²C, SPI, UART","14","2.35V ~ 3.3V","3.7mA","3.4mA","-40°C ~ 85°C","Surface Mount","34-UFBGA, WLCSP","-"
https://www.dialog-semiconductor.com/sites/default/files/da14580_fs_3v4.pdf,//media.digikey.com/Renders/Dialog%20Semi%20Renders/1564;%2034WLCSP-.51-2.44x2.44;%20;%2034.jpg,1564-1012-6-ND,DA14580-01UNA,Dialog Semiconductor GmbH,IC RF TXRX+MCU BLUETOOTH 34UFBGA,5663,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","TxRx + MCU","Bluetooth","Bluetooth v4.1","-","2.4GHz","-","-1dBm","-93dBm","32kB OTP, 84kB ROM, 50kB SRAM","I²C, SPI, UART","14","2.35V ~ 3.3V","3.7mA","3.4mA","-40°C ~ 85°C","Surface Mount","34-UFBGA, WLCSP","-"
https://www.dialog-semiconductor.com/sites/default/files/da14585_product_brief.pdf,//media.digikey.com/Photos/Dialog%20Semiconductor/DA14585-00000AT2.JPG,1564-1047-2-ND,DA14585-00000AT2,Dialog Semiconductor GmbH,IC RF TXRX+MCU BLUETOOTH 40VFQFN,5000,0,"1.44356","0","5000","Tape & Reel (TR)","SmartBond™","Active","TxRx + MCU","Bluetooth","Bluetooth v5.0","-","2.4GHz","-","0dBm","-93dBm","64kB OTP, 128kB ROM, 96kB SRAM","I²C, SPI, UART","25","3.3V","3.7mA","3.4mA","-","Surface Mount","40-VFQFN Exposed Pad","40-QFN (5x5)"
