Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","RF Type","Topology","Circuit","Frequency Range","Isolation","Insertion Loss","Test Frequency","P1dB","IIP3","Features","Impedance","Voltage - Supply","Operating Temperature","Package / Case","Supplier Device Package"
http://www.psemi.com/pdf/datasheets/pe423422ds.pdf,//media.digikey.com/Renders/CEL/12-UFQFN.jpg,1046-1134-2-ND,PE423422A-Z,pSemi,IC RF SWITCH SPDT 6GHZ 12QFN,3000,0,"1.24000","0","3000","Tape & Reel (TR)","UltraCMOS®","Active","-","-","SPDT","100MHz ~ 6GHz","42dB","0.9dB","1GHz, 6GHz","34dBm","73dBm","-","50Ohm","2.3V ~ 5.5V","-40°C ~ 105°C","12-UFQFN Exposed Pad","12-QFN (2x2)"
http://www.psemi.com/pdf/datasheets/pe423422ds.pdf,//media.digikey.com/Renders/CEL/12-UFQFN.jpg,1046-1134-1-ND,PE423422A-Z,pSemi,IC RF SWITCH SPDT 6GHZ 12QFN,5968,0,"1.49000","0","1","Cut Tape (CT)","UltraCMOS®","Active","-","-","SPDT","100MHz ~ 6GHz","42dB","0.9dB","1GHz, 6GHz","34dBm","73dBm","-","50Ohm","2.3V ~ 5.5V","-40°C ~ 105°C","12-UFQFN Exposed Pad","12-QFN (2x2)"
http://www.psemi.com/pdf/datasheets/pe423422ds.pdf,//media.digikey.com/Renders/CEL/12-UFQFN.jpg,1046-1134-6-ND,PE423422A-Z,pSemi,IC RF SWITCH SPDT 6GHZ 12QFN,5968,0,"Digi-Reel","0","1","Digi-Reel®","UltraCMOS®","Active","-","-","SPDT","100MHz ~ 6GHz","42dB","0.9dB","1GHz, 6GHz","34dBm","73dBm","-","50Ohm","2.3V ~ 5.5V","-40°C ~ 105°C","12-UFQFN Exposed Pad","12-QFN (2x2)"
http://www.psemi.com/pdf/datasheets/pe42426ds.pdf,//media.digikey.com/Renders/Peregrine%20Semiconductor%20Renders/1046;12QFN-.80-3x3;;12.jpg,1046-1161-2-ND,PE42426A-Z,pSemi,IC RF SWITCH SPDT 6GHZ 12QFN,3000,0,"1.25000","0","3000","Tape & Reel (TR)","-","Active","-","-","SPDT","5MHz ~ 6GHz","20dB","0.75dB","6GHz","-","-","-","50Ohm","2.3V ~ 5.5V","-40°C ~ 105°C","12-WFQFN Exposed Pad","12-QFN (3x3)"
http://www.psemi.com/pdf/datasheets/pe42426ds.pdf,//media.digikey.com/Renders/Peregrine%20Semiconductor%20Renders/1046;12QFN-.80-3x3;;12.jpg,1046-1161-1-ND,PE42426A-Z,pSemi,IC RF SWITCH SPDT 6GHZ 12QFN,3392,0,"2.09000","0","1","Cut Tape (CT)","-","Active","-","-","SPDT","5MHz ~ 6GHz","20dB","0.75dB","6GHz","-","-","-","50Ohm","2.3V ~ 5.5V","-40°C ~ 105°C","12-WFQFN Exposed Pad","12-QFN (3x3)"
http://www.psemi.com/pdf/datasheets/pe42426ds.pdf,//media.digikey.com/Renders/Peregrine%20Semiconductor%20Renders/1046;12QFN-.80-3x3;;12.jpg,1046-1161-6-ND,PE42426A-Z,pSemi,IC RF SWITCH SPDT 6GHZ 12QFN,3392,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","-","-","SPDT","5MHz ~ 6GHz","20dB","0.75dB","6GHz","-","-","-","50Ohm","2.3V ~ 5.5V","-40°C ~ 105°C","12-WFQFN Exposed Pad","12-QFN (3x3)"
http://cdn.macom.com/datasheets/MASWSS0178.pdf,//media.digikey.com/Renders/MACom%20Technology%20Solutions/8-TSSOP%208-MSOP%20%283mm%20Width%29%20Exposed%20Pad.jpg,1465-1386-2-ND,MASWSS0178TR-3000,M/A-Com Technology Solutions,IC RF SWITCH SPDT 3GHZ 8MSOP,6000,21000,"1.36990","0","3000","Tape & Reel (TR)","-","Active","Cellular, GPS, PCS","Absorptive","SPDT","10MHz ~ 3GHz","43dB","0.75dB","3GHz","29dBm","43dBm","-","50Ohm","-","-40°C ~ 85°C","8-TSSOP, 8-MSOP (0.118"", 3.00mm Width) Exposed Pad","8-MSOP-EP"
http://cdn.macom.com/datasheets/MASWSS0178.pdf,//media.digikey.com/Renders/MACom%20Technology%20Solutions/8-TSSOP%208-MSOP%20%283mm%20Width%29%20Exposed%20Pad.jpg,1465-1386-1-ND,MASWSS0178TR-3000,M/A-Com Technology Solutions,IC RF SWITCH SPDT 3GHZ 8MSOP,6631,22602,"2.97000","0","1","Cut Tape (CT)","-","Active","Cellular, GPS, PCS","Absorptive","SPDT","10MHz ~ 3GHz","43dB","0.75dB","3GHz","29dBm","43dBm","-","50Ohm","-","-40°C ~ 85°C","8-TSSOP, 8-MSOP (0.118"", 3.00mm Width) Exposed Pad","8-MSOP-EP"
http://cdn.macom.com/datasheets/MASWSS0178.pdf,//media.digikey.com/Renders/MACom%20Technology%20Solutions/8-TSSOP%208-MSOP%20%283mm%20Width%29%20Exposed%20Pad.jpg,1465-1386-6-ND,MASWSS0178TR-3000,M/A-Com Technology Solutions,IC RF SWITCH SPDT 3GHZ 8MSOP,6631,22602,"Digi-Reel","0","1","Digi-Reel®","-","Active","Cellular, GPS, PCS","Absorptive","SPDT","10MHz ~ 3GHz","43dB","0.75dB","3GHz","29dBm","43dBm","-","50Ohm","-","-40°C ~ 85°C","8-TSSOP, 8-MSOP (0.118"", 3.00mm Width) Exposed Pad","8-MSOP-EP"
http://www.skyworksinc.com/uploads/documents/SKY13418_485LF_201712E.pdf,//media.digikey.com/Renders/Skyworks%20Solutions%20Renders/863;14QFN-.6-2x2;;14.jpg,863-1586-2-ND,SKY13418-485LF,Skyworks Solutions Inc.,IC RF SWITCH SP8T 3GHZ 14QFN,15000,0,"1.47750","0","3000","Tape & Reel (TR)","-","Active","-","-","SP8T","100MHz ~ 3GHz","24dB","0.6dB","2GHz","37dBm","66dBm","-","50Ohm","2.5V ~ 4.8V","-40°C ~ 90°C","14-UFQFN Exposed Pad","14-QFN (2x2)"
http://www.skyworksinc.com/uploads/documents/SKY13418_485LF_201712E.pdf,//media.digikey.com/Renders/Skyworks%20Solutions%20Renders/863;14QFN-.6-2x2;;14.jpg,863-1586-1-ND,SKY13418-485LF,Skyworks Solutions Inc.,IC RF SWITCH SP8T 3GHZ 14QFN,16366,0,"3.03000","0","1","Cut Tape (CT)","-","Active","-","-","SP8T","100MHz ~ 3GHz","24dB","0.6dB","2GHz","37dBm","66dBm","-","50Ohm","2.5V ~ 4.8V","-40°C ~ 90°C","14-UFQFN Exposed Pad","14-QFN (2x2)"
http://www.skyworksinc.com/uploads/documents/SKY13418_485LF_201712E.pdf,//media.digikey.com/Renders/Skyworks%20Solutions%20Renders/863;14QFN-.6-2x2;;14.jpg,863-1586-6-ND,SKY13418-485LF,Skyworks Solutions Inc.,IC RF SWITCH SP8T 3GHZ 14QFN,16366,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","-","-","SP8T","100MHz ~ 3GHz","24dB","0.6dB","2GHz","37dBm","66dBm","-","50Ohm","2.5V ~ 4.8V","-40°C ~ 90°C","14-UFQFN Exposed Pad","14-QFN (2x2)"
http://www.psemi.com/pdf/datasheets/pe42724ds.pdf,//media.digikey.com/Renders/Peregrine%20Semiconductor%20Renders/12-WFQFN-Exp-Pad.jpg,1046-1172-2-ND,PE42724A-Z,pSemi,IC RF SWITCH SPDT 1.79GHZ 12QFN,3000,0,"1.54280","0","3000","Tape & Reel (TR)","UltraCMOS®","Active","-","Reflective","SPDT","5MHz ~ 1.79GHz","-","-","-","-","-","-","75Ohm","2.3V ~ 5.5V","-40°C ~ 85°C","12-WFQFN Exposed Pad","12-QFN (3x3)"
http://www.psemi.com/pdf/datasheets/pe42724ds.pdf,//media.digikey.com/Renders/Peregrine%20Semiconductor%20Renders/12-WFQFN-Exp-Pad.jpg,1046-1172-1-ND,PE42724A-Z,pSemi,IC RF SWITCH SPDT 1.79GHZ 12QFN,3000,0,"3.25000","0","1","Cut Tape (CT)","UltraCMOS®","Active","-","Reflective","SPDT","5MHz ~ 1.79GHz","-","-","-","-","-","-","75Ohm","2.3V ~ 5.5V","-40°C ~ 85°C","12-WFQFN Exposed Pad","12-QFN (3x3)"
http://www.psemi.com/pdf/datasheets/pe42724ds.pdf,//media.digikey.com/Renders/Peregrine%20Semiconductor%20Renders/12-WFQFN-Exp-Pad.jpg,1046-1172-6-ND,PE42724A-Z,pSemi,IC RF SWITCH SPDT 1.79GHZ 12QFN,3000,0,"Digi-Reel","0","1","Digi-Reel®","UltraCMOS®","Active","-","Reflective","SPDT","5MHz ~ 1.79GHz","-","-","-","-","-","-","75Ohm","2.3V ~ 5.5V","-40°C ~ 85°C","12-WFQFN Exposed Pad","12-QFN (3x3)"
http://www.skyworksinc.com/uploads/documents/SKY13286_359LF_200570K.pdf,"//media.digikey.com/Renders/Skyworks%20Solutions%20Renders/16-QFN,S1692.jpg",863-1049-2-ND,SKY13286-359LF,Skyworks Solutions Inc.,IC RF SWITCH SPDT 6GHZ 16QFN,21000,0,"1.64787","0","3000","Tape & Reel (TR)","-","Active","GSM, ISM, PCS, WCDMA","Absorptive","SPDT","100MHz ~ 6GHz","42dB","1.5dB","6GHz","30dBm","46dBm","Single Line Control","50Ohm","2.7V ~ 5.5V","-40°C ~ 95°C","16-VQFN Exposed Pad","16-QFN (4x4)"
http://www.skyworksinc.com/uploads/documents/SKY13286_359LF_200570K.pdf,"//media.digikey.com/Renders/Skyworks%20Solutions%20Renders/16-QFN,S1692.jpg",863-1049-1-ND,SKY13286-359LF,Skyworks Solutions Inc.,IC RF SWITCH SPDT 6GHZ 16QFN,22285,0,"3.38000","0","1","Cut Tape (CT)","-","Active","GSM, ISM, PCS, WCDMA","Absorptive","SPDT","100MHz ~ 6GHz","42dB","1.5dB","6GHz","30dBm","46dBm","Single Line Control","50Ohm","2.7V ~ 5.5V","-40°C ~ 95°C","16-VQFN Exposed Pad","16-QFN (4x4)"
http://www.skyworksinc.com/uploads/documents/SKY13286_359LF_200570K.pdf,"//media.digikey.com/Renders/Skyworks%20Solutions%20Renders/16-QFN,S1692.jpg",863-1049-6-ND,SKY13286-359LF,Skyworks Solutions Inc.,IC RF SWITCH SPDT 6GHZ 16QFN,22285,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","GSM, ISM, PCS, WCDMA","Absorptive","SPDT","100MHz ~ 6GHz","42dB","1.5dB","6GHz","30dBm","46dBm","Single Line Control","50Ohm","2.7V ~ 5.5V","-40°C ~ 95°C","16-VQFN Exposed Pad","16-QFN (4x4)"
https://www.analog.com/media/en/technical-documentation/data-sheets/hmc544ae.pdf,//media.digikey.com/Photos/Analog%20Devices%20Photos/SOT-23-6.jpg,1127-1856-2-ND,HMC544AETR,Analog Devices Inc.,IC RF SWITCH SPDT 4GHZ SOT26,6500,0,"1.74982","0","500","Tape & Reel (TR)","-","Active","WiMax, WLAN","-","SPDT","0Hz ~ 4GHz","12dB","0.7dB","4GHz","39dBm","60dBm","-","50Ohm","5V","-40°C ~ 85°C","SOT-23-6","SOT-26"
https://www.analog.com/media/en/technical-documentation/data-sheets/hmc544ae.pdf,//media.digikey.com/Photos/Analog%20Devices%20Photos/SOT-23-6.jpg,1127-1856-1-ND,HMC544AETR,Analog Devices Inc.,IC RF SWITCH SPDT 4GHZ SOT26,6664,0,"2.88000","0","1","Cut Tape (CT)","-","Active","WiMax, WLAN","-","SPDT","0Hz ~ 4GHz","12dB","0.7dB","4GHz","39dBm","60dBm","-","50Ohm","5V","-40°C ~ 85°C","SOT-23-6","SOT-26"
https://www.analog.com/media/en/technical-documentation/data-sheets/hmc544ae.pdf,//media.digikey.com/Photos/Analog%20Devices%20Photos/SOT-23-6.jpg,1127-1856-6-ND,HMC544AETR,Analog Devices Inc.,IC RF SWITCH SPDT 4GHZ SOT26,6664,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","WiMax, WLAN","-","SPDT","0Hz ~ 4GHz","12dB","0.7dB","4GHz","39dBm","60dBm","-","50Ohm","5V","-40°C ~ 85°C","SOT-23-6","SOT-26"
https://www.analog.com/media/en/technical-documentation/data-sheets/ADG901_902.pdf,//media.digikey.com/Renders/Analog%20Devices%20Renders/RM-8.jpg,ADG901BRMZ-REEL7TR-ND,ADG901BRMZ-REEL7,Analog Devices Inc.,IC RF SWITCH SPST 2.5GHZ 8MSOP,2000,0,"1.80992","0","1000","Tape & Reel (TR)","-","Active","ASK/FSK","Absorptive","SPST","0Hz ~ 4.5GHz","40dB","0.8dB","1GHz","17dBm","36dBm","-","50Ohm","1.65V ~ 2.75V","-40°C ~ 85°C","8-TSSOP, 8-MSOP (0.118"", 3.00mm Width)","8-MSOP"
https://www.analog.com/media/en/technical-documentation/data-sheets/ADG901_902.pdf,//media.digikey.com/Renders/Analog%20Devices%20Renders/RM-8.jpg,ADG901BRMZ-REEL7CT-ND,ADG901BRMZ-REEL7,Analog Devices Inc.,IC RF SWITCH SPST 2.5GHZ 8MSOP,2977,0,"3.73000","0","1","Cut Tape (CT)","-","Active","ASK/FSK","Absorptive","SPST","0Hz ~ 4.5GHz","40dB","0.8dB","1GHz","17dBm","36dBm","-","50Ohm","1.65V ~ 2.75V","-40°C ~ 85°C","8-TSSOP, 8-MSOP (0.118"", 3.00mm Width)","8-MSOP"
https://www.analog.com/media/en/technical-documentation/data-sheets/ADG901_902.pdf,//media.digikey.com/Renders/Analog%20Devices%20Renders/RM-8.jpg,ADG901BRMZ-REEL7DKR-ND,ADG901BRMZ-REEL7,Analog Devices Inc.,IC RF SWITCH SPST 2.5GHZ 8MSOP,2977,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","ASK/FSK","Absorptive","SPST","0Hz ~ 4.5GHz","40dB","0.8dB","1GHz","17dBm","36dBm","-","50Ohm","1.65V ~ 2.75V","-40°C ~ 85°C","8-TSSOP, 8-MSOP (0.118"", 3.00mm Width)","8-MSOP"
https://www.analog.com/media/en/technical-documentation/data-sheets/hmc221b.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-23-6%20PKG.jpg,1127-1844-2-ND,HMC221BETR,Analog Devices Inc.,IC RF SWITCH SPDT 3GHZ SOT23-6,9500,0,"1.84426","0","500","Tape & Reel (TR)","-","Active","General Purpose","-","SPDT","10kHz ~ 3GHz","18dB","0.8dB","3GHz","29dBm","54dBm","-","50Ohm","5V","-40°C ~ 85°C","SOT-23-6","SOT-23-6"
https://www.analog.com/media/en/technical-documentation/data-sheets/hmc221b.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-23-6%20PKG.jpg,1127-1844-1-ND,HMC221BETR,Analog Devices Inc.,IC RF SWITCH SPDT 3GHZ SOT23-6,9809,0,"3.03000","0","1","Cut Tape (CT)","-","Active","General Purpose","-","SPDT","10kHz ~ 3GHz","18dB","0.8dB","3GHz","29dBm","54dBm","-","50Ohm","5V","-40°C ~ 85°C","SOT-23-6","SOT-23-6"
https://www.analog.com/media/en/technical-documentation/data-sheets/hmc221b.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-23-6%20PKG.jpg,1127-1844-6-ND,HMC221BETR,Analog Devices Inc.,IC RF SWITCH SPDT 3GHZ SOT23-6,9809,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","General Purpose","-","SPDT","10kHz ~ 3GHz","18dB","0.8dB","3GHz","29dBm","54dBm","-","50Ohm","5V","-40°C ~ 85°C","SOT-23-6","SOT-23-6"
https://www.analog.com/media/en/technical-documentation/data-sheets/HMC545A_545AE.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-23-6%20PKG.jpg,1127-3126-2-ND,HMC545AETR,Analog Devices Inc.,IC RF SWITCH SPDT 3GHZ SOT26,12000,0,"1.97838","0","500","Tape & Reel (TR)","-","Active","WiMax, WLAN","-","SPDT","0Hz ~ 3GHz","22dB","0.4dB","3GHz","33dBm","54dBm","-","50Ohm","-","-40°C ~ 85°C","SOT-23-6","SOT-26"
https://www.analog.com/media/en/technical-documentation/data-sheets/HMC545A_545AE.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-23-6%20PKG.jpg,1127-3126-1-ND,HMC545AETR,Analog Devices Inc.,IC RF SWITCH SPDT 3GHZ SOT26,12114,0,"3.44000","0","1","Cut Tape (CT)","-","Active","WiMax, WLAN","-","SPDT","0Hz ~ 3GHz","22dB","0.4dB","3GHz","33dBm","54dBm","-","50Ohm","-","-40°C ~ 85°C","SOT-23-6","SOT-26"
https://www.analog.com/media/en/technical-documentation/data-sheets/HMC545A_545AE.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-23-6%20PKG.jpg,1127-3126-6-ND,HMC545AETR,Analog Devices Inc.,IC RF SWITCH SPDT 3GHZ SOT26,12114,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","WiMax, WLAN","-","SPDT","0Hz ~ 3GHz","22dB","0.4dB","3GHz","33dBm","54dBm","-","50Ohm","-","-40°C ~ 85°C","SOT-23-6","SOT-26"
http://cdn.macom.com/datasheets/MASW-007813.pdf,//media.digikey.com/Photos/MACom%20Technology%20Solutions/16-PQFN.jpg,1465-1358-2-ND,MASW-007813-TR3000,M/A-Com Technology Solutions,IC RF SWITCH SP4T 3GHZ 16QFN,3000,0,"2.22110","0","3000","Tape & Reel (TR)","-","Active","CDMA, GSM","Reflective","SP4T","DC ~ 3GHz","23dB","1dB","3GHz","-","-","-","50Ohm","-","-40°C ~ 85°C","16-WFQFN Exposed Pad","16-PQFN (3x3)"
http://cdn.macom.com/datasheets/MASW-007813.pdf,//media.digikey.com/Photos/MACom%20Technology%20Solutions/16-PQFN.jpg,1465-1358-1-ND,MASW-007813-TR3000,M/A-Com Technology Solutions,IC RF SWITCH SP4T 3GHZ 16QFN,3163,0,"4.82000","0","1","Cut Tape (CT)","-","Active","CDMA, GSM","Reflective","SP4T","DC ~ 3GHz","23dB","1dB","3GHz","-","-","-","50Ohm","-","-40°C ~ 85°C","16-WFQFN Exposed Pad","16-PQFN (3x3)"
http://cdn.macom.com/datasheets/MASW-007813.pdf,//media.digikey.com/Photos/MACom%20Technology%20Solutions/16-PQFN.jpg,1465-1358-6-ND,MASW-007813-TR3000,M/A-Com Technology Solutions,IC RF SWITCH SP4T 3GHZ 16QFN,3163,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","CDMA, GSM","Reflective","SP4T","DC ~ 3GHz","23dB","1dB","3GHz","-","-","-","50Ohm","-","-40°C ~ 85°C","16-WFQFN Exposed Pad","16-PQFN (3x3)"
https://www.analog.com/media/en/technical-documentation/data-sheets/ADG918_919.pdf,//media.digikey.com/Renders/Analog%20Devices%20Renders/RM-8.jpg,ADG918BRMZ-500RL7TR-ND,ADG918BRMZ-500RL7,Analog Devices Inc.,IC RF SWITCH SPDT 2GHZ 8MSOP,9000,0,"2.24664","0","500","Tape & Reel (TR)","-","Active","General Purpose","Absorptive","SPDT","DC ~ 2GHz","37dB","0.8dB","1GHz","17dBm","36dBm","-","-","1.65V ~ 2.75V","-40°C ~ 85°C","8-TSSOP, 8-MSOP (0.118"", 3.00mm Width)","8-MSOP"
https://www.analog.com/media/en/technical-documentation/data-sheets/ADG918_919.pdf,//media.digikey.com/Renders/Analog%20Devices%20Renders/RM-8.jpg,ADG918BRMZ-500RL7CT-ND,ADG918BRMZ-500RL7,Analog Devices Inc.,IC RF SWITCH SPDT 2GHZ 8MSOP,9649,0,"3.90000","0","1","Cut Tape (CT)","-","Active","General Purpose","Absorptive","SPDT","DC ~ 2GHz","37dB","0.8dB","1GHz","17dBm","36dBm","-","-","1.65V ~ 2.75V","-40°C ~ 85°C","8-TSSOP, 8-MSOP (0.118"", 3.00mm Width)","8-MSOP"
https://www.analog.com/media/en/technical-documentation/data-sheets/ADG918_919.pdf,//media.digikey.com/Renders/Analog%20Devices%20Renders/RM-8.jpg,ADG918BRMZ-500RL7DKR-ND,ADG918BRMZ-500RL7,Analog Devices Inc.,IC RF SWITCH SPDT 2GHZ 8MSOP,9649,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","General Purpose","Absorptive","SPDT","DC ~ 2GHz","37dB","0.8dB","1GHz","17dBm","36dBm","-","-","1.65V ~ 2.75V","-40°C ~ 85°C","8-TSSOP, 8-MSOP (0.118"", 3.00mm Width)","8-MSOP"
https://www.analog.com/media/en/technical-documentation/data-sheets/hmc284A.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/8-TSSOP_8-MSOP.jpg,1127-1317-2-ND,HMC284AMS8GETR,Analog Devices Inc.,IC RF SWITCH SPDT 3.5GHZ 8MSOP,1500,0,"2.29694","0","500","Tape & Reel (TR)","-","Active","Cellular, ISM, PCS","Absorptive","SPDT","DC ~ 3.5GHz","40dB","0.7dB","3.5GHz","29dBm","50dBm (min)","-","50Ohm","-","-40°C ~ 85°C","8-TSSOP, 8-MSOP (0.118"", 3.00mm Width) Exposed Pad","8-MSOPG"
