Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Circuit Type","Resistance (Ohms)","Tolerance","Number of Resistors","Resistor Matching Ratio","Resistor-Ratio-Drift","Number of Pins","Power Per Element","Temperature Coefficient","Operating Temperature","Applications","Mounting Type","Package / Case","Supplier Device Package","Size / Dimension","Height - Seated (Max)"
"//media.digikey.com/pdf/Data%20Sheets/Yageo%20PDFs/YC102-358,TC122-164_Series_DS.pdf",//media.digikey.com/Renders/Yageo%20Renders/YC124.jpg,YC124J-27TR-ND,YC124-JR-0727RL,Yageo,RES ARRAY 4 RES 27 OHM 0804,1360000,0,"0.00837","0","10000","Tape & Reel (TR)","YC124","Active","Isolated","27","±5%","4","-","-","8","62.5mW","±200ppm/°C","-55°C ~ 155°C","DDRAM, SDRAM","Surface Mount","0804, Convex, Long Side Terminals","-","0.079"" L x 0.039"" W (2.00mm x 1.00mm)","0.022"" (0.55mm)"
"//media.digikey.com/pdf/Data%20Sheets/Yageo%20PDFs/YC102-358,TC122-164_Series_DS.pdf",//media.digikey.com/Renders/Yageo%20Renders/YC124.jpg,YC124J-27CT-ND,YC124-JR-0727RL,Yageo,RES ARRAY 4 RES 27 OHM 0804,1371001,0,"0.10000","0","1","Cut Tape (CT)","YC124","Active","Isolated","27","±5%","4","-","-","8","62.5mW","±200ppm/°C","-55°C ~ 155°C","DDRAM, SDRAM","Surface Mount","0804, Convex, Long Side Terminals","-","0.079"" L x 0.039"" W (2.00mm x 1.00mm)","0.022"" (0.55mm)"
"//media.digikey.com/pdf/Data%20Sheets/Yageo%20PDFs/YC102-358,TC122-164_Series_DS.pdf",//media.digikey.com/Renders/Yageo%20Renders/YC124.jpg,YC124J-27DKR-ND,YC124-JR-0727RL,Yageo,RES ARRAY 4 RES 27 OHM 0804,1371001,0,"Digi-Reel","0","1","Digi-Reel®","YC124","Active","Isolated","27","±5%","4","-","-","8","62.5mW","±200ppm/°C","-55°C ~ 155°C","DDRAM, SDRAM","Surface Mount","0804, Convex, Long Side Terminals","-","0.079"" L x 0.039"" W (2.00mm x 1.00mm)","0.022"" (0.55mm)"
https://industrial.panasonic.com/cdbs/www-data/pdf/AOC0000/AOC0000C14.pdf,//media.digikey.com/Renders/Panasonic%20Renders/EXBxxV.jpg,Y7220TR-ND,EXB-28V220JX,Panasonic Electronic Components,RES ARRAY 4 RES 22 OHM 0804,1440000,0,"0.00839","0","10000","Tape & Reel (TR)","EXB","Active","Isolated","22","±5%","4","-","-","8","62.5mW","±200ppm/°C","-55°C ~ 125°C","Automotive AEC-Q200","Surface Mount","0804, Convex, Long Side Terminals","0804","0.079"" L x 0.039"" W (2.00mm x 1.00mm)","0.018"" (0.45mm)"
https://industrial.panasonic.com/cdbs/www-data/pdf/AOC0000/AOC0000C14.pdf,//media.digikey.com/Renders/Panasonic%20Renders/EXBxxV.jpg,Y7220CT-ND,EXB-28V220JX,Panasonic Electronic Components,RES ARRAY 4 RES 22 OHM 0804,1445951,0,"0.10000","0","1","Cut Tape (CT)","EXB","Active","Isolated","22","±5%","4","-","-","8","62.5mW","±200ppm/°C","-55°C ~ 125°C","Automotive AEC-Q200","Surface Mount","0804, Convex, Long Side Terminals","0804","0.079"" L x 0.039"" W (2.00mm x 1.00mm)","0.018"" (0.45mm)"
https://industrial.panasonic.com/cdbs/www-data/pdf/AOC0000/AOC0000C14.pdf,//media.digikey.com/Renders/Panasonic%20Renders/EXBxxV.jpg,Y7220DKR-ND,EXB-28V220JX,Panasonic Electronic Components,RES ARRAY 4 RES 22 OHM 0804,1445951,0,"Digi-Reel","0","1","Digi-Reel®","EXB","Active","Isolated","22","±5%","4","-","-","8","62.5mW","±200ppm/°C","-55°C ~ 125°C","Automotive AEC-Q200","Surface Mount","0804, Convex, Long Side Terminals","0804","0.079"" L x 0.039"" W (2.00mm x 1.00mm)","0.018"" (0.45mm)"
https://industrial.panasonic.com/cdbs/www-data/pdf/AOC0000/AOC0000C14.pdf,//media.digikey.com/Renders/Panasonic%20Renders/EXBxxV.jpg,Y7470TR-ND,EXB-28V470JX,Panasonic Electronic Components,RES ARRAY 4 RES 47 OHM 0804,1210000,0,"0.00839","0","10000","Tape & Reel (TR)","EXB","Active","Isolated","47","±5%","4","-","-","8","62.5mW","±200ppm/°C","-55°C ~ 125°C","Automotive AEC-Q200","Surface Mount","0804, Convex, Long Side Terminals","0804","0.079"" L x 0.039"" W (2.00mm x 1.00mm)","0.018"" (0.45mm)"
https://industrial.panasonic.com/cdbs/www-data/pdf/AOC0000/AOC0000C14.pdf,//media.digikey.com/Renders/Panasonic%20Renders/EXBxxV.jpg,Y7470CT-ND,EXB-28V470JX,Panasonic Electronic Components,RES ARRAY 4 RES 47 OHM 0804,1219375,0,"0.10000","0","1","Cut Tape (CT)","EXB","Active","Isolated","47","±5%","4","-","-","8","62.5mW","±200ppm/°C","-55°C ~ 125°C","Automotive AEC-Q200","Surface Mount","0804, Convex, Long Side Terminals","0804","0.079"" L x 0.039"" W (2.00mm x 1.00mm)","0.018"" (0.45mm)"
https://industrial.panasonic.com/cdbs/www-data/pdf/AOC0000/AOC0000C14.pdf,//media.digikey.com/Renders/Panasonic%20Renders/EXBxxV.jpg,Y7470DKR-ND,EXB-28V470JX,Panasonic Electronic Components,RES ARRAY 4 RES 47 OHM 0804,1219375,0,"Digi-Reel","0","1","Digi-Reel®","EXB","Active","Isolated","47","±5%","4","-","-","8","62.5mW","±200ppm/°C","-55°C ~ 125°C","Automotive AEC-Q200","Surface Mount","0804, Convex, Long Side Terminals","0804","0.079"" L x 0.039"" W (2.00mm x 1.00mm)","0.018"" (0.45mm)"
https://industrial.panasonic.com/cdbs/www-data/pdf/AOC0000/AOC0000C14.pdf,//media.digikey.com/Renders/Panasonic%20Renders/EXBxxV.jpg,Y7330TR-ND,EXB-28V330JX,Panasonic Electronic Components,RES ARRAY 4 RES 33 OHM 0804,950000,0,"0.00839","0","10000","Tape & Reel (TR)","EXB","Active","Isolated","33","±5%","4","-","-","8","62.5mW","±200ppm/°C","-55°C ~ 125°C","Automotive AEC-Q200","Surface Mount","0804, Convex, Long Side Terminals","0804","0.079"" L x 0.039"" W (2.00mm x 1.00mm)","0.018"" (0.45mm)"
