Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Resistance","Power (Watts)","Tolerance","Adjustment Type","Fader Type","Travel Range","Size / Dimension","Mounting Type"
https://www.bourns.com/docs/Product-Datasheets/pta.pdf,//media.digikey.com/Photos/Bourns%20Photos/PTA%20SERIES%2035MM.JPG,PTA2043-2015CPB103-ND,PTA2043-2015CPB103,Bourns Inc.,SLIDE POT 10K OHM 0.1W TOP 20MM,1908,0,"1.29000","0","1","Tray","Pro Audio PTA","Active","10 kOhms","0.1W, 1/10W","±20%","Top","Standard","20mm","Rectangular - 1.378"" L x 0.354"" W x 0.256"" H (35.00mm x 9.00mm x 6.50mm)","Through Hole"
https://www.bourns.com/docs/Product-Datasheets/pta.pdf,//media.digikey.com/Photos/Bourns%20Photos/PTA%20SERIES%2035MM.JPG,PTA2043-2015DPB103-ND,PTA2043-2015DPB103,Bourns Inc.,SLIDE POT 10K OHM 0.1W TOP 20MM,1518,0,"1.29000","0","1","Bulk","Pro Audio PTA","Active","10 kOhms","0.1W, 1/10W","±20%","Top","Standard","20mm","Rectangular - 1.378"" L x 0.354"" W x 0.256"" H (35.00mm x 9.00mm x 6.50mm)","Through Hole"
https://www.bourns.com/docs/Product-Datasheets/pta.pdf,//media.digikey.com/Photos/Bourns%20Photos/PTA4543-2015DPB103.JPG,PTA4553-2015CPB103-ND,PTA4553-2015CPB103,Bourns Inc.,SLIDE POT 10K OHM 0.25W TOP 45MM,1099,0,"1.43000","0","1","Tray","Pro Audio PTA","Active","10 kOhms","0.25W, 1/4W","±20%","Top","Standard","45mm","Rectangular - 2.362"" L x 0.354"" W x 0.256"" H (60.00mm x 9.00mm x 6.50mm)","Through Hole"
https://www.bourns.com/docs/Product-Datasheets/pta.pdf,//media.digikey.com/Photos/Bourns%20Photos/PTA%20SERIES%2045MM.JPG,PTA3043-2010CIB103-ND,PTA3043-2010CIB103,Bourns Inc.,SLIDE POT 10K OHM 0.2W TOP 30MM,1317,0,"1.50000","0","1","Tray","Pro Audio PTA","Active","10 kOhms","0.2W, 1/5W","±20%","Top","Standard","30mm","Rectangular - 1.772"" L x 0.354"" W x 0.256"" H (45.00mm x 9.00mm x 6.50mm)","Through Hole"
https://www.ttelectronics.com/TTElectronics/media/ProductFiles/Potentiometers/Datasheets/PSxx.pdf,//media.digikey.com/Photos/TT%20Electronics%20BI/PS30-10PB10BR10K.JPG,987-1400-ND,PS30-10PB1BR10K,TT Electronics/BI,SLIDE POT 10K OHM 0.2W TOP 30MM,2294,0,"1.56000","0","1","Tray","PSxx","Active","10 kOhms","0.2W, 1/5W","±20%","Top","Standard","30mm","Rectangular - 1.772"" L x 0.354"" W x 0.256"" H (45.00mm x 9.00mm x 6.50mm)","Through Hole"
https://www.bourns.com/docs/Product-Datasheets/PTL.pdf,//media.digikey.com/Photos/Bourns%20Photos/Pro-Audio-PTL-Series.jpg,PTL30-15W1-103B1-ND,PTL30-15W1-103B1,Bourns Inc.,SLIDE POT 10K OHM 0.1W TOP 30MM,1156,0,"2.31000","0","1","Tray","Pro Audio PTL","Active","10 kOhms","0.1W, 1/10W","±20%","Top","Standard, LED","30mm","Rectangular - 1.772"" L x 0.354"" W x 0.276"" H (45.00mm x 9.00mm x 7.00mm)","Through Hole"
https://www.ttelectronics.com/TTElectronics/media/ProductFiles/Potentiometers/Datasheets/PSxxG.pdf,//media.digikey.com/Photos/TT%20Electronics%20BI/PS45G-C1LBR10KN.JPG,987-1402-ND,PS45G-C1LBR10KN,TT Electronics/BI,SLIDE POT 10K OHM 0.25W TOP 45MM,479,0,"4.45000","0","1","Tray","PSxxG","Active","10 kOhms","0.25W, 1/4W","±20%","Top","Dual","45mm","Rectangular - 2.835"" L x 0.630"" W x 0.433"" H (72.00mm x 16.00mm x 11.00mm)","Through Hole"
https://www.bourns.com/docs/Product-Datasheets/PTB.pdf,//media.digikey.com/Photos/Bourns%20Photos/PTB6043-2010BPB103.JPG,PTB6043-2010BPB103-ND,PTB6043-2010BPB103,Bourns Inc.,SLIDE POT 10K OHM 0.25W TOP 60MM,1200,0,"4.59000","0","1","Tray","Pro Audio PTB","Active","10 kOhms","0.25W, 1/4W","±20%","Top","Standard","60mm","Rectangular - 3.465"" L x 0.630"" W x 0.315"" H (88.00mm x 16.00mm x 8.00mm)","Through Hole"
https://www.ttelectronics.com/TTElectronics/media/ProductFiles/Potentiometers/Datasheets/PS100.pdf,//media.digikey.com/Photos/TT%20Electronics%20BI/PS100-2B1AR10K.JPG,987-1832-ND,PS100-1B1BR10K,TT Electronics/BI,SLIDE POT 10KOHM 0.25W TOP 100MM,508,0,"4.67000","0","1","-","PS100","Active","10 kOhms","0.25W, 1/4W","±20%","Top","Dual","100mm","Rectangular - 5.031"" L x 0.331"" W x 0.315"" H (127.80mm x 8.40mm x 8.00mm)","Through Hole"
https://www.bourns.com/docs/Product-Datasheets/PTB.pdf,//media.digikey.com/Photos/Bourns%20Photos/PTB6043-2010BPB103.JPG,PTB6053-2010APB103-ND,PTB6053-2010APB103,Bourns Inc.,SLIDE POT 10K OHM 0.25W TOP 60MM,166,0,"4.74000","0","1","Tray","Pro Audio PTB","Active","10 kOhms","0.25W, 1/4W","±20%","Top","Standard","60mm","Rectangular - 3.465"" L x 0.630"" W x 0.315"" H (88.00mm x 16.00mm x 8.00mm)","Through Hole"
https://www.bourns.com/docs/Product-Datasheets/PTB.pdf,//media.digikey.com/Photos/Bourns%20Photos/PTB0143-2010BPB103.JPG,PTB0143-2010BPB103-ND,PTB0143-2010BPB103,Bourns Inc.,SLIDE POT 10K OHM 0.5W TOP 100MM,704,0,"5.01000","0","1","Tray","Pro Audio PTB","Active","10 kOhms","0.5W, 1/2W","±20%","Top","Standard","100mm","Rectangular - 5.039"" L x 0.630"" W x 0.315"" H (128.00mm x 16.00mm x 8.00mm)","Through Hole"
https://www.bourns.com/docs/Product-Datasheets/PTL.pdf,//media.digikey.com/Photos/Bourns%20Photos/Pro-Audio-PTL-Series.jpg,PTL01-15W0-103B1-ND,PTL01-15W0-103B1,Bourns Inc.,SLIDE POT 10K OHM 0.2W TOP 100MM,849,0,"5.61000","0","1","Tray","Pro Audio PTL","Active","10 kOhms","0.2W, 1/5W","±20%","Top","Standard, LED","100mm","Rectangular - 5.039"" L x 0.366"" W x 0.276"" H (128.00mm x 9.30mm x 7.00mm)","Through Hole"
https://www.bourns.com/docs/Product-Datasheets/PTF.pdf,//media.digikey.com/Photos/Bourns%20Photos/PTF60-201A-102B1.JPG,PTF60-201A-102B1-ND,PTF60-201A-102B1,Bourns Inc.,SLIDE POT 1K OHM 0.5W TOP 60MM,113,0,"6.18000","0","1","Bulk","Pro Audio PTF","Active","1 kOhms","0.5W, 1/2W","±20%","Top","Standard","60mm","Rectangular - 3.465"" L x 0.787"" W x 0.551"" H (88.00mm x 20.00mm x 14.00mm)","Through Hole"
https://www.bourns.com/docs/Product-Datasheets/PTF.pdf,//media.digikey.com/Photos/Bourns%20Photos/PTF%20SERIES%20128MM.JPG,PTF01-152A-103B2-ND,PTF01-152A-103B2,Bourns Inc.,SLIDE POT 10K OHM 0.5W TOP 100MM,914,0,"7.00000","0","1","Tray","Pro Audio PTF","Active","10 kOhms","0.5W, 1/2W","±20%","Top","Dual","100mm","Rectangular - 5.039"" L x 0.787"" W x 0.551"" H (128.00mm x 20.00mm x 14.00mm)","Through Hole"
https://www.bourns.com/docs/Product-Datasheets/PTF.pdf,//media.digikey.com/Photos/Bourns%20Photos/PTF%20SERIES%20128MM.JPG,PTF01-152A-104B2-ND,PTF01-152A-104B2,Bourns Inc.,SLIDE POT 100KOHM 0.5W TOP 100MM,313,0,"7.00000","0","1","Bulk","Pro Audio PTF","Active","100 kOhms","0.5W, 1/2W","±20%","Top","Dual","100mm","Rectangular - 5.039"" L x 0.787"" W x 0.551"" H (128.00mm x 20.00mm x 14.00mm)","Through Hole"
